verdict	doc	line	skeleton	ref	context
CONFIRMED	Ezra-Nehemiah/book-overview-ezra-nehemiah.md	73	עור	Isa 45:13	the verb עוּר (stir up) alludes to Isaiah 45:13 and Haggai 1:14
CONFIRMED	Ezra-Nehemiah/book-overview-ezra-nehemiah.md	73	עור	Hag 1:14	the verb עוּר (stir up) alludes to Isaiah 45:13 and Haggai 1:14
FAILED	Isaiah/book-overview-isaiah.md	87	הוי	Isa 23:1	23:1), the הוֹי series (5:8–22
CONFIRMED	Isaiah/book-overview-isaiah.md	87	הוי	Isa 5:8	23:1), the הוֹי series (5:8–22
FAILED	Isaiah/book-overview-isaiah.md	87	אינ	Isa 33:1	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
FAILED	Isaiah/book-overview-isaiah.md	87	אינ	Isa 36:1	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED	Isaiah/book-overview-isaiah.md	87	אינ	Isa 48:22	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED	Isaiah/book-overview-isaiah.md	87	אינ	Isa 57:21	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	87	שלומ	Isa 33:1	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	87	שלומ	Isa 36:1	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED	Isaiah/book-overview-isaiah.md	87	שלומ	Isa 48:22	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED	Isaiah/book-overview-isaiah.md	87	שלומ	Isa 57:21	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
FAILED	Isaiah/book-overview-isaiah.md	87	לרשעימ	Isa 33:1	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	87	לרשעימ	Isa 36:1	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED	Isaiah/book-overview-isaiah.md	87	לרשעימ	Isa 48:22	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
