strongs	hebrew	translit	gloss
1	אָב	av	father
3	אֵב	ev	greenery
5	אֲבַגְתָא	a.vag.ta	Abagtha
6	אָבַד	a.vad	to perish
8	אֹבֵד	o.ved	destruction
9	אֲבֵדָה	a.ve.dah	something lost
10	אֲבַדּוֹן	a.vad.don	destruction
11	אֲבַדּוֹן	a.vad.don	Abaddon
12	אַבְדָ֑ן	av.dan	destruction
13	אׇבְדַן	ov.dan	destruction
14	אָבָה	a.vah	be willing
15	אָבִי 	a.veh	oh that!
16	אֵ֫בֶה	e.veh	papyrus
17	אֲבוֹי	a.voy	pain!
18	אֵבוּס	e.vus	crib
19	אִבְחָה	iv.chah	slaughter
20	אֲבַטִּחִים	a.vat.ti.ach	melon
21	אֲבִי	a.vi	Abi
22	אָב	av	father of
24	אָבִיב	a.viv	Abib
26	אֲבִיגַ֫יִל, אֲבִיגַ֫ל	a.vi.ga.yil	Abigail
27	אֲבִידָן	a.vi.dan	Abidan
28	אֲבִידָע	a.vi.da	Abida
29	אֲבִיָּה	a.viy.yah	Abijah
30	אֲבִיהוּא	a.vi.hu	Abihu
31	אֲבִיהוּד	a.vi.hud	Abihud
32	אֲבִיחַ֫יִל	a.vi.ha.yil	Abihail
34	אֶבְיוֹן	ev.yon	needy
35	אֲבִיּוֹנָה	a.viy.yo.nah	desire
36	אֲבִיטוּב	a.vi.tuv	Abitub
37	אֲבִיטָ֑ל	a.vi.tal	Abital
39	אֲבִימָאֵל	a.vi.ma.el	Abimael
40	אֲבִימֶ֫לֶךְ	a.vi.me.lekh	Abimelech
41	אֲבִינָדָב	a.vi.na.dav	Abinadab
42	אֲבִינֹ֫עַם	a.vi.no.am	Abinoam
43	אֲבִיאָסָף	a.vi.a.saph	Abiasaph
44	אֲבִי הָעֶזְרִי	a.vi ha.ez.ri	Abiezrite
45	אֲבִיאֵל	a.vi.el	Abiel
46	אָבִיר	a.vir	mighty
47	אַבִּיר	ab.bir	mighty: ox
48	אֲבִירָם	a.vi.ram	Abiram
49	אֲבִישַׁג	a.vi.shag	Abishag
50	אֲבִישׁוּעַ	a.vi.shu.a	Abishua
51	אֲבִישׁוּר	a.vi.shur	Abishur
52	אֲבִישַׁי	a.vi.shay	Abishai
