skeleton	strongs
H	251,253,254,255,260,265,277,278,2336,2397
HS	2363,2439,2440,2842
HSH	2818
HSHr	300
HSHt	2819
HSb	2803,2805,2815
HSbdnh	2806
HSbh	2807
HSbn	2808,2809,2810
HSbnh	2812
HSbnyh	2813
HSbrS	325
HSbyh	2811
HSdrpn	323
HSh	2364,2814
HSk	2821,2822,2823,4285
HSkh	2825
HSl	2826
HSm	2366,2367,2828
HSml	2830
HSmn	2829,2831
HSmnh	2832
HSn	2833
HSq	2836,2837,2838,2839
HSr	301,2840
HSrh	2841
HSt	2843
HStr	326
HStrn	327
HSy	2365
HZ	2351,2671,2677,2678,2686,2687
HZb	2672
HZh	2673
HZhmnHt	4506
HZhmnHtmnSh	4506
HZn	2435,2683,2684
HZntmr	5872
HZp	2685
HZr	2674,2681,2682,2690,2691,2695
HZrHdth	2675
HZrSl	2705
HZrdr	2692
HZrgdh	2693
HZrh	2689
HZrhtkn	2694
HZrm	2699
HZrmbt	2700
HZrn	2674,2696,2704,7152
HZrsh	2701
HZrsm	2702
HZrt	2698
HZt	2676
Hb	256,2243,2244,2245,2246,2325,2326,2340,2416
HbH	2336
HbS	2280
HbZlt	2261
HbZnyh	2262
Hbh	262,264,2247,2327,2331,2332,2333
Hbl	303,2254,2256,2257,2258,2259,2260
Hblh	2250,2258,2341
Hblm	2256
Hbn	257
Hbq	2263,2264,2265
Hbr	2249,2266,2267,2268,2270,2271,2357,2358
Hbrbrh	2272
Hbrh	2250,2270,2274
Hbrn	2275,2362
Hbrt	2278,2279
Hbt	2251,2281
Hbtyr	2334
Hbyh	2252
Hbyn	2253
Hd	164,258,259,284,2297,2299,2300,2301,2303,2307,2330,2373
HdS	2318,2319,2320,2321
HdSh	2322
Hdbh	2304
Hdh	2300,2302,2420
Hdl	2308,2309,2310
Hdly	2311
Hdq	2312
Hdql	2313
Hdr	2314,2315,2316
Hdrk	2317
Hdt	2319
Hg	2282,2283,2287,2291,2328,2329
Hgb	2284,2285,2286,2288
Hgbh	2286
Hglh	2295
Hgr	2289,2290,2296
Hgt	2294
Hgy	2292
Hgyh	2293
Hhd	282
Hk	2441
Hkh	2442,2443
Hkl	2447
Hklh	2444
Hklt	2448
Hklyh	2446
Hkm	2445,2449,2450
Hkmh	2451
Hkmn	2453
Hkmt	2451
Hl	2342,2343,2344,2419,2426,2427,2455,2456,2481,2482,2483,2485,2490,2491
HlH	2477
HlHl	2478
HlHlh	2479
HlS	2522,2523
HlSh	2476
HlZ	2502,2503,2504
HlZh	2488
Hlb	303,2459,2460,2461
Hlbh	2462
Hlbn	2463
Hlbnh	2464
Hld	286,2460,2465,2467
Hldh	2468
Hldy	2460,2469
Hlh	2426,2427,2457,2458,2470,2471,2486
Hlk	2428
Hlkh	2489
Hlm	2431,2469,2472,2492
HlmS	2496
Hlmh	306
Hlmt	2495
Hln	2473,2474,2497
Hlp	2475,2498,2500,2501
Hlph	2487
Hlq	2505,2506,2507,2509,2510,2511,2512
Hlqh	2513,2514,2515
Hlqlqh	2519
Hlqt	2520
HlqthZrm	2521
Hlqy	2517
Hlqyh	2518
Hlt	2480
Hly	304,305
Hlyh	2484
Hm	279,2345,2524,2525,2526,2527,2534,2552
HmS	2549,2567,2568,2569,2570,2571
HmSm	2572
HmZ	290,2541,2548,2556,2557,2558
Hmd	2530,2531
Hmdh	2530,2532
Hmdn	2533
Hmh	2346,2529,2534,2535,7342
Hml	2536,2538,2550
Hmlh	2551
Hmlk	288
Hmn	289,2553,2575
Hmq	2542,2559
Hmr	2543,2544,2560,2561,2563,2564
Hmrh	2565
Hmrn	2533
Hms	2554,2555
Hmt	287,307,2545,2546,2573,2574,2575,2577,6678
HmtZbh	6678
Hmtdr	2575
Hmth	2547
Hmtl	2537
Hmtrbh	2574
Hmy	267
Hn	2433,2580,2586,2587,2603,2605,2607,2977
Hnd	2582
Hndb	292
Hnh	2583,2584,2594
Hnk	2585,2593,2596
Hnkh	2598
Hnl	2592,2606
Hnm	293,2600
Hnml	2601,2602
Hnp	2610,2611,2612
Hnph	2613
Hnq	2614
Hns	2609
Hnt	2588,2590,2595,2603
Hnth	2406
Hntm	2590
Hntn	2615
Hnyh	2608
Hp	2348,2643,2653,2654
HpS	2666,2667,2670
HpSh	2668
HpSt	2669
HpZ	2654,2655,2656
HpZbh	2657,3389
