Lev 1:1	ΚΑΙ ἀνεκάλεσεν Μωυσῆν καὶ ἐλάλησεν Κύριος αὐτῷ ἐκ τῆς σκηνῆς τοῦ μαρτυρίου λέγων
Lev 1:2	Λάλησον τοῖς υἱοῖς Ἰσραὴλ καὶ ἐρεῖς πρὸς αὐτούς Ἄνθρωπος ἐξ ὑμῶν ἐὰν προσαγάγῃ δῶρα τῷ κυρίῳ, ἀπὸ τῶν κτηνῶν καὶ ἀπὸ τῶν βοῶν καὶ ἀπὸ τῶν προβάτων προσοίσετε τὰ δῶρα ὑμῶν.
Lev 1:3	Ἐὰν ὁλοκαύτωμα τὸ δῶρον αὐτοῦ ἐκ τῶν βοῶν, ἄρσεν ἄμωμον προσάξει· πρὸς τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου προσοίσει αὐτό, δεκτὸν αὐτῷ ἐναντίον Κυρίου.
Lev 1:4	καὶ ἐπιθήσει τὴν χεῖρα ἐπὶ τὴν κεφαλὴν τοῦ καρπώματος, δεκτὸν αὐτῷ ἐξιλάσασθαι περὶ αὐτοῦ.
Lev 1:5	καὶ σφάξουσι τὸν μόσχον ἔναντι Κυρίου· καὶ προσοίσουσιν οἱ ἱερεῖς οἱ υἱοὶ Ἀαρὼν τὸ αἷμα, καὶ προσχεοῦσιν τὸ αἷμα ἐπὶ τὸ θυσιαστήριον κύκλῳ τὸ ἐπὶ τῶν θυρῶν τῆς σκηνῆς τοῦ μαρτυρίου·
Lev 1:6	καὶ ἐκδείραντες τὸ ὁλοκαύτωμα μελιοῦσιν αὐτὸ κατὰ μέλη·
Lev 1:7	καὶ ἐπιθήσουσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς πῦρ ἐπὶ τὸ θυσιαστήριον, καὶ ἐπιστοιβάσουσιν ξύλα ἐπὶ τὸ πῦρ·
Lev 1:8	καὶ ἐπιστοιβάσουσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς τὰ διχοτομήματα καὶ τὴν κεφαλὴν καὶ τὸ στέαρ ἐπὶ τὰ ξύλα τὰ ἐπὶ τοῦ πυρὸς τὰ ὄντα ἐπὶ τοῦ θυσιαστηρίου,
Lev 1:9	τὰ δὲ ἐνκοίλια αὐτοῦ καὶ τοὺς πόδας πλυνοῦσιν ὕδατι· καὶ ἐπιθήσουσιν οἱ ἱερεῖς τὰ πάντα ἐπὶ τὸ θυσιαστήριον· κάρπωμά ἐστιν, θυσία, ὀσμὴ εὐωδίας τῷ κυρίῳ.
Lev 1:10	Ἐὰν δὲ ἀπὸ τῶν προβάτων τὸ δῶρον αὐτοῦ τῷ κυρίῳ ἀπό τε τῶν ἀρνῶν καὶ τῶν ἐρίφων εἰς ὁλοκαύτωμα, ἄρσεν ἄμωμον προσάξει αὐτό, καὶ ἐπιθήσει τὴν χεῖρα ἐπὶ τὴν κεφαλὴν αὐτοῦ.
Lev 1:11	καὶ σφάξουσιν αὐτὸ ἐκ πλαγίων τοῦ θυσιαστηρίου πρὸς βορρᾶν ἔναντι Κυρίου· καὶ προσχεοῦσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς τὸ αἷμα αὐτοῦ ἐπὶ τὸ θυσιαστήριον κύκλῳ·
Lev 1:12	καὶ διελοῦσιν αὐτὸ κατὰ μέλη, καὶ τὴν κεφαλὴν καὶ τὸ στέαρ· καὶ ἐπιστοιβάσουσιν αὐτὰ οἱ ἱερεῖς ἐπὶ τὰ ξύλα τὰ ἐπὶ τοῦ πυρὸς τὰ ἐπὶ τοῦ θυσιαστηρίου,
Lev 1:13	καὶ τὰ ἐνκοίλια καὶ τοὺς πόδας πλυνοῦσιν ὕδατι· καὶ προσοίσει ὁ ἱερεὺς τὰ πάντα καὶ ἐπιθήσει ἐπὶ τὸ θυσιαστήριον· κάρπωμά ἐστιν θυσίας, ὀσμὴ εὐωδίας τῷ Κυρίῳ.
Lev 1:14	Ἐὰν δὲ ἀπὸ τῶν πετεινῶν κάρπωμα προσφέρῃς δῶρον τῷ κυρίῳ, καὶ προσοίσει ἀπὸ τῶν τρυγόνων ἢ ἀπὸ τῶν περιστερῶν τὸ δῶρον αὐτοῦ·
Lev 1:15	καὶ προσοίσει αὐτὸ ὁ ἱερεὺς πρὸς τὸ θυσιαστήριον, καὶ ἀποκνίσει τὴν κεφαλήν· καὶ ἐπιθήσει ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον, καὶ στραγγιεῖ τὸ αἷμα πρὸς τὴν βάσιν τοῦ θυσιαστηρίου·
Lev 1:16	καὶ ἀφελεῖ τὸν πρόλοβον σὺν τοῖς πτεροῖς, καὶ ἐκβαλεῖ αὐτὸ παρὰ τὸ θυσιαστήριον κατὰ ἀνατολὰς εἰς τὸν τόπον τῆς σποδοῦ·
Lev 1:17	καὶ ἐκκλάσει αὐτὸ ἐκ τῶν πτερύγων καὶ οὐ διελεῖ· καὶ ἐπιθήσει αὐτὸ ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον ἐπὶ τὰ ξύλα τὰ ἐπὶ τοῦ πυρός· κάρπωμά ἐστιν, θυσία, ὀσμὴ εὐωδίας τῷ κυρίῳ.
Lev 2:1	Ἐὰν δὲ ψυχὴ προσφέρῃ δῶρον θυσίαν τῷ κυρίῳ, σεμίδαλις ἔσται τὸ δῶρον αὐτοῦ· καὶ ἐπιχεεῖ ἐπ᾽ αὐτὸ ἔλαιον, καὶ ἐπιθήσει ἐπ᾽ αὐτὸ λίβανον· θυσία ἐστίν.
Lev 2:2	καὶ οἴσει πρὸς τοὺς υἱοὺς Ἀαρὼν τοὺς ἱερεῖς· καὶ δραξάμενος ἀπ᾽ αὐτῆς πλήρη τὴν δράκα ἀπὸ τῆς σεμιδάλεως σὺν τῷ ἐλαίῳ καὶ πάντα τὸν λίβανον αὐτῆς, καὶ ἐπιθήσει ὁ ἱερεὺς τὸ μνημόσυνον αὐτῆς ἐπὶ τὸ θυσιαστήριον· θυσία, ὀσμὴ εὐωδίας τῷ κυρίῳ.
Lev 2:3	καὶ τὸ λοιπὸν ἀπὸ τῆς θυσίας Ἀαρὼν καὶ τοῖς υἱοῖς αὐτοῦ, ἅγιον τῶν ἁγίων ἀπὸ τῶν θυσιῶν Κυρίου.
Lev 2:4	Ἐὰν δὲ προσφέρῃ δῶρον θυσίαν πεπεμμένην ἐκ λιβάνου, δῶρον Κυρίῳ ἐκ σεμιδάλεως, ἄρτους ἀζύμους πεφυραμένους ἐν ἐλαίῳ καὶ λάγανα ἄζυμα διακεχρισμένα ἐν ἐλαίῳ.
Lev 2:5	ἐὰν δὲ θυσία ἀπὸ τηγάνου τὸ δῶρόν σου, σεμίδαλις πεφυραμένη ἐν ἐλαίῳ, ἄζυμά ἐστιν·
Lev 2:6	καὶ διαθρύψεις αὐτὰ κλάσματα, καὶ ἐπιχεεῖς ἐπ᾽ αὐτὰ ἔλαιον· θυσία ἐστὶν Κυρίῳ.
Lev 2:7	ἐὰν δὲ θυσία ἀπὸ ἐσχάρας τὸ δῶρόν σου, ἐν ἐλαίῳ ποιηθήσεται.
Lev 2:8	καὶ προσοίσει τὴν θυσίαν ἣν ἂν ποιῇ ἐκ τούτων τῷ κυρίῳ, καὶ προσοίσει πρὸς τὸν ἱερέα· καὶ προσεγγίσας πρὸς τὸ θυσιαστήριον
Lev 2:9	ἀφελεῖ ὁ ἱερεὺς ἀπὸ τῆς θυσίας τὸ μνημόσυνον αὐτῆς, καὶ ἐπιθήσει ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον· κάρπωμα, ὀσμὴ εὐωδίας Κυρίῳ.
Lev 2:10	τὸ δὲ καταλειφθὲν ἀπὸ τῆς θυσίας Ἀαρὼν καὶ τοῖς υἱοῖς αὐτοῦ, ἅγια τῶν ἁγίων ἀπὸ τῶν καρπωμάτων Κυρίου.
Lev 2:11	πᾶσαν θυσίαν ἣν ἂν προσφέρητε Κυρίῳ οὐ ποιήσετε ζυμωτόν· πᾶσαν γὰρ ζύμην καὶ πᾶν μέλι, οὐ προσοίσετε ἀπ᾽ αὐτοῦ καρπῶσαι Κυρίῳ.
Lev 2:12	δῶρον ἀπαρχῆς προσοίσετε αὐτὰ Κυρίῳ· ἐπὶ δὲ τὸ θυσιαστήριον οὐκ ἀναβιβασθήσεται εἰς ὀσμὴν εὐωδίας Κυρίῳ.
