Jos 1:1	ΚΑΙ ἐγένετο μετὰ τὴν τελευτὴν Μωυσῆ εἶπεν Κύριος τῷ Ἰησοῖ υἱῷ Ναυὴ τῷ ὑπουργῷ Μωυσῆ λέγων
Jos 1:2	Μωυσῆς ὁ θεράπων μου τετελεύτηκεν. νῦν οὖν ἀναστὰς διάβηθι τὸν Ἰορδάνην, σὺ καὶ πᾶς ὁ λαὸς οὗτος, εἰς τὴν γῆν ἣν ἐγὼ δίδωμι αὐτοῖς.
Jos 1:3	πᾶς ὁ τόπος ἐφ᾽ ὃν ἂν ἐπιβῆτε τῷ ἴχνει τῶν ποδῶν ὑμῶν, ὑμῖν δώσω αὐτόν, ὃν τρόπον εἴρηκα τῷ Μωυσῇ·
Jos 1:4	τὴν ἔρημον καὶ τὸν Ἀντιλίβανον ἕως τοῦ ποταμοῦ τοῦ μεγάλου, ποταμοῦ Εὐφράτου, καὶ ἕως τῆς θαλάσσης τῆς ἐσχάτης· ἀφ᾽ ἡλίου δυσμῶν ἔσται τὰ ὅρια ὑμῶν.
Jos 1:5	οὐκ ἀντιστήσεται ἄνθρωπος κατενώπιον ὑμῶν πάσας τὰς ἡμέρας τῆς ζωῆς σου· καὶ ὥσπερ ἤμην μετὰ Μωυσῆ, οὕτως ἔσομαι καὶ μετὰ σοῦ, καὶ οὐκ ἐνκαταλείψω σε οὐδὲ ὑπερόψομαί σε.
Jos 1:6	ἴσχυε καὶ ἀνδρίζου· σὺ γὰρ διελεῖς τῷ λαῷ τούτῳ τὴν γῆν ἣν ὤμοσα τοῖς πατράσιν ὑμῶν δοῦναι αὐτοῖς.
Jos 1:7	ἴσχυε οὖν καὶ ἀνδρίζου φυλάσσεσθαι καὶ ποιεῖν καθότι ἐνετείλατό σοι Μωυσῆς ὁ παῖς μου, καὶ οὐκ ἐκκλινεῖς ἀπ᾽ αὐτῶν εἰς δεξιὰ οὐδὲ εἰς ἀριστερά, ἵνα συνῇς ἐν πᾶσιν οἷς ἐὰν πράσσῃς.
Jos 1:8	καὶ οὐκ ἀποστήσεται ἡ βίβλος τοῦ νόμου τούτου ἐκ τοῦ στόματός σου, καὶ μελετήσεις ἐν αὐτῇ ἡμέρας καὶ νυκτός, ἵνα εἰδῇς ποιεῖν πάντα τὰ γεγραμμένα· τότε εὐοδωθήσῃ καὶ εὐοδώσει τὰς ὁδούς σου, καὶ τότε συνήσεις.
Jos 1:9	ἰδοὺ ἐντέταλμαί σοι· ἴσχυε καὶ ἀνδρίζου, μὴ δειλιάσῃς μηδὲ φοβηθῇς, ὅτι μετὰ σοῦ Κύριος ὁ θεός σου εἰς πάντα οὗ ἐὰν πορεύῃ.
Jos 1:10	Καὶ ἐνετείλατο Ἰησοῦς τοῖς γραμματεῦσιν τοῦ λαοῦ λέγων
Jos 1:11	Εἰσέλθατε κατὰ μέσον τῆς παρεμβολῆς τοῦ λαοῦ, καὶ ἐντείλασθε τῷ λαῷ λέγοντες Ἑτοιμάζεσθε ἐπισιτισμόν, ὅτι ἔτι τρεῖς ἡμέραι καὶ ὑμεῖς διαβαίνετε τὸν Ἰορδάνην τοῦτον, εἰσελθόντες κατασχεῖν τὴν γῆν ἣν Κύριος ὁ θεὸς τῶν πατέρων ὑμῶν δίδωσιν ὑμῖν.
Jos 1:12	Καὶ τῷ Ῥουβὴν καὶ τῷ Γὰδ καὶ τῷ ἡμίσει φυλῆς Μανασσὴ εἶπεν Ἰησοῦς
Jos 1:13	Μνήσθητε τὸ ῥῆμα ὃ ἐνετείλατο ὑμῖν Μωυσῆς ὁ παῖς Κυρίου λέγων Κύριος ὁ θεὸς ὑμῶν κατέπαυσεν ὑμᾶς καὶ ἔδωκεν ὑμῖν τὴν γῆν ταύτην.
Jos 1:14	αἱ γυναῖκες ὑμῶν καὶ τὰ παιδία ὑμῶν καὶ τὰ κτήνη ὑμῶν κατοικείτωσαν ἐν τῇ γῇ ᾗ ἔδωκεν ὑμῖν· ὑμεῖς δὲ διαβήσεσθε εὔζωνοι πρότεροι τῶν ἀδελφῶν ὑμῶν, πᾶς ὁ ἰσχύων, καὶ συμμαχήσετε αὐτοῖς
Jos 1:15	ἕως ἂν καταπαύσῃ Κύριος ὁ θεὸς ἡμῶν τοὺς ἀδελφοὺς ὑμῶν ὥσπερ καὶ ὑμᾶς, καὶ κληρονομήσωσιν καὶ οὗτοι τὴν γῆν ἣν Κύριος ὁ θεὸς ἡμῶν δίδωσιν αὐτοῖς· καὶ ἀπελεύσεσθε ἕκαστος εἰς τὴν κληρονομίαν αὐτοῦ, ἣν δέδωκεν ὑμῖν Μωυσῆς εἰς τὸ πέραν τοῦ Ἰορδάνου ἐπ᾽ ἀνατολῶν ἡλίου.
Jos 1:16	καὶ ἀποκριθέντες τῷ Ἰησοῖ εἶπαν Πάντα ὅσα ἂν ἐντείλῃ ἡμῖν ποιήσομεν, καὶ εἰς πάντα τόπον οὗ ἐὰν ἀποστείλῃς ἡμᾶς πορευσόμεθα.
Jos 1:17	κατὰ πάντα ὅσα ἠκούσαμεν Μωυσῆ ἀκουσόμεθα σοῦ· πλὴν ἔστω Κύριος ὁ θεὸς ἡμῶν μετὰ σοῦ ὃν τρόπον ἦν μετὰ Μωυσῆ.
Jos 1:18	ὁ δὲ ἄνθρωπος ὃς ἐὰν ἀπειθήσῃ σοι, καὶ ὅστις μὴ ἀκούσῃ τῶν ῥημάτων σου καθότι ἂν αὐτῷ ἐντείλῃ, ἀποθανέτω. ἀλλὰ ἴσχυε καὶ ἀνδρίζου.
