2Ki 1:1	ΚΑΙ ἠθέτησεν Μωὰβ ἐν Ἰσραὴλ μετὰ τὸ ἀποθανεῖν Ἀχαάβ.
2Ki 1:2	καὶ ἔπεσεν Ὀχοζείας διὰ τοῦ δικτυωτοῦ τοῦ ἐν τῷ ὑπερῴῳ αὐτοῦ τῷ ἐν Σαμαρείᾳ, καὶ ἠρρώστησεν· καὶ ἀπέστειλεν ἀγγέλους καὶ εἶπεν πρὸς αὐτούς Δεῦτε καὶ ἐπιζητήσατε ἐν τῷ Βάαλ μυῖαν θεὸν Ἀκκαρών, εἰ ζήσομαι ἐκ τῆς ἀρρωστίας μου ταύτης· καὶ ἐπορεύθησαν ἐπερωτῆσαι δι᾽ αὐτοῦ.
2Ki 1:3	καὶ ἄγγελος Κυρίου ἐκάλεσεν Ἠλειοὺ τὸν Θεσβείτην λέγων Ἀναστὰς δεῦρο εἰς συνάντησιν τῶν ἀγγέλων Ὀχοζείου βασιλέως Σαμαρείας καὶ λαλήσεις πρὸς αὐτούς Εἰ παρὰ τὸ μὴ εἶναι θεὸν ἐν Ἰσραὴλ ὑμεῖς πορεύεσθε ἐπιζητῆσαι ἐν τῷ Βάαλ μυῖαν θεὸν Ἀκκαρών; καὶ οὐχ οὕτως·
2Ki 1:4	ὅτι τάδε λέγει Κύριος Ἡ κλίνη ἐφ᾽ ἧς ἀνέβης ἐκεῖ οὐ καταβήσῃ ἀπ᾽ αὐτῆς, ὅτι θανάτῳ ἀποθανῇ. καὶ ἐπορεύθη Ἠλειοὺ καὶ εἶπεν πρὸς αὐτούς.
2Ki 1:5	καὶ ἐπεστράφησαν οἱ ἄγγελοι πρὸς αὐτόν, καὶ εἶπεν πρὸς αὐτούς Τί ὅτι ἐπεστρέψατε;
2Ki 1:6	καὶ εἶπαν πρὸς αὐτόν Ἀνὴρ ἀνέβη εἰς συνάντησιν ἡμῶν καὶ εἶπεν πρὸς ἡμᾶς Δεῦτε ἐπιστράφητε πρὸς τὸν βασιλέα τὸν ἀποστείλαντα ὑμᾶς καὶ λαλήσατε πρὸς αὐτόν Τάδε λέγει Κύριος Εἰ παρὰ τὸ μὴ εἶναι θεὸν ἐν Ἰσραὴλ σὺ πορεύῃ ζητῆσαι ἐν τῇ Βάαλ μυῖαν θεὸν Ἀκκαρών; οὐχ οὕτως· ἡ κλίνη ἐφ᾽ ἧς ἀνέβης ὅτι οὐ καταβήσῃ ἀπ᾽ αὐτῆς, ὅτι θανάτῳ ἀποθανῇ.
2Ki 1:7	καὶ ἐλάλησεν πρὸς αὐτούς Τίς ἡ κρίσις τοῦ ἀνδρὸς τοῦ ἀναβάντος εἰς συνάντησιν ὑμῖν καὶ λαλήσαντος πρὸς ὑμᾶς τοὺς λόγους τούτους;
2Ki 1:8	καὶ εἶπον πρὸς αὐτόν Ἀνὴρ δασὺς καὶ ζώνην δερματίνην περιεζωσμένος τὴν ὀσφὺν αὐτοῦ· καὶ εἶπεν Ἠλειοὺ ὁ Θεσβείτης οὗτός ἐστιν.
2Ki 1:9	καὶ ἀπέστειλεν πρὸς αὐτὸν πεντηκόνταρχον καὶ τοὺς πεντήκοντα αὐτοῦ, καὶ ἀνέβη πρὸς αὐτόν· καὶ ἰδοὺ Ἠλειοὺ ἐκάθητο ἐπὶ τῆς κορυφῆς τοῦ ὄρους. καὶ ἐλάλησεν ὁ πεντηκόνταρχος πρὸς αὐτὸν καὶ εἶπεν Ἄνθρωπε τοῦ θεοῦ, ὁ βασιλεὺς ἐκάλεσέν σε, κατάβηθι.
2Ki 1:10	καὶ ἀπεκρίθη Ἠλειοὺ καὶ εἶπεν πρὸς τὸν πεντηκόνταρχον Καὶ εἰ ἄνθρωπος θεοῦ ἐγώ, καταβήσεται πῦρ ἐκ τοῦ οὐρανοῦ καὶ καταφάγεται σὲ καὶ τοὺς πεντήκοντά σου· καὶ κατέβη πῦρ ἐκ τοῦ οὐρανοῦ καὶ κατέφαγεν αὐτὸν καὶ τοὺς πεντήκοντα αὐτοῦ.
2Ki 1:11	καὶ προσέθετο ὁ βασιλεὺς καὶ ἀπέστειλεν πρὸς αὐτὸν ἄλλον πεντηκόνταρχον καὶ τοὺς πεντήκοντα αὐτοῦ· καὶ ἐλάλησεν ὁ πεντηκόνταρχος πρὸς αὐτὸν καὶ εἶπεν Ἄνθρωπε τοῦ θεοῦ, τάδε λέγει ὁ βασιλεύς Ταχέως κατάβηθι.
2Ki 1:12	καὶ ἀπεκρίθη Ἠλειοὺ καὶ ἐλάλησεν πρὸς αὐτὸν καὶ εἶπεν Εἰ ἄνθρωπος θεοῦ ἐγώ, καταβήσεται πῦρ ἐκ τοῦ οὐρανοῦ καὶ καταφάγεταί σε καὶ τοὺς πεντήκοντά σου· καὶ κατέβη πῦρ ἐκ τοῦ οὐρανοῦ καὶ κατέφαγεν αὐτὸν καὶ τοὺς πεντήκοντα αὐτοῦ.
2Ki 1:13	καὶ προσέθετο ὁ βασιλεὺς ἔτι ἀποστεῖλαι ἡγούμενον καὶ τοὺς πεντήκοντα αὐτοῦ· καὶ ἦλθεν ὁ πεντηκόνταρχος ὁ τρίτος καὶ ἔκαμψεν ἐπὶ τὰ γόνατα αὐτοῦ κατέναντι Ἠλειού, καὶ ἐδεήθη αὐτοῦ καὶ ἐλάλησεν πρὸς αὐτὸν καὶ εἶπεν Ἄνθρωπε τοῦ θεοῦ, ἐντιμωθήτω ἡ ψυχή μου καὶ ἡ ψυχὴ τῶν δούλων σου τούτων ἐν ὀφθαλμοῖς σου·
2Ki 1:14	ἰδοὺ κατέβη πῦρ ἐκ τοῦ οὐρανοῦ καὶ κατέφαγεν τοὺς δύο πεντηκοντάρχους τοὺς πρώτους· καὶ νῦν ἐντιμωθήτω δὴ ἡ ψυχή μου ἐν ὀφθαλμοῖς σου.
2Ki 1:15	καὶ ἐλάλησεν ἄγγελος Κυρίου πρὸς Ἠλειοὺ καὶ εἶπεν Κατάβηθι μετ᾽ αὐτοῦ, μὴ φοβηθῇς ἀπὸ προσώπου αὐτῶν· καὶ ἀνέστη Ἠλειοὺ καὶ κατέβη μετ᾽ αὐτοῦ πρὸς τὸν βασιλέα.
