1Ch 1:1	ΑΔΑΜ, Σήθ, Ἐνώς,
1Ch 1:2	Καινάν, Μαλελεήλ, Ἰάρεδ,
1Ch 1:3	Ἑνώχ, Μαθθουσάλα, Λάμεχ,
1Ch 1:4	Νῶε. υἱοὶ Νῶε· Σήμ, Χάμ, Ἰάφεθ.
1Ch 1:5	Υἱοὶ Ἰάφεθ· Γάμερ, Μαγώγ, Μαδάιμ, Ἰωυάν, Ἐλεισά, Θοβέλ, Μόσοχ καὶ Θειράς.
1Ch 1:6	καὶ υἱοὶ Γάμερ· Ἀσχανὰζ καὶ Ἐρειφὰθ καὶ Θοργαμά.
1Ch 1:7	καὶ υἱοὶ Ἰωυάν· Ἐλεισὰ καὶ Θαρσείς, Κίτιοι καὶ Ῥόδιοι.
1Ch 1:8	Καὶ υἱοὶ Χάμ· Χοὺς καὶ Μεστράιμ, Φοὺδ καὶ Χανάαν.
1Ch 1:9	καὶ υἱοὶ Χούς· Σαβὰτ καὶ Εὑειλὰτ καὶ Σαβατὰ καὶ Ῥεγμὰ καὶ Σεβεκαθά. καὶ υἱοὶ Ῥεγμά· Σαβὰν καὶ Ἰουδαδάν.
1Ch 1:10	καὶ Χοὺς ἐγέννησεν τὸν Νεβρώδ· οὗτος ἤρξατο εἶναι γίγας κυνηγὸς ἐπὶ τῆς γῆς.
1Ch 1:11	
1Ch 1:12	
1Ch 1:13	
1Ch 1:14	
1Ch 1:15	
1Ch 1:16	
1Ch 1:17	Υἱοὶ Σήμ· Αἰλὰμ καὶ Ἀσσοὺρ
1Ch 1:18	
1Ch 1:19	
1Ch 1:20	
1Ch 1:21	
1Ch 1:22	
1Ch 1:23	
1Ch 1:24	καὶ Ἀρφαξάδ, Σαλά,
1Ch 1:25	Ἔβερ, Φάλεχ, Ῥαγαύ,
1Ch 1:26	Σερούχ, Ναχώρ, Θάρα,
1Ch 1:27	Ἀβραάμ·
1Ch 1:28	υἱοὶ δὲ Ἀβραάμ· Ἰσαὰκ καὶ Ἰσμαήλ.
1Ch 1:29	αὗται δὲ αἱ γενέσεις πρωτοτόκου Ἰσμαήλ, Ναβαιὼθ καὶ Κηδάρ, Ναβδαιήλ, Μασσά,
1Ch 1:30	Μαμά, Ἰδουμά, Μανασσή, Χονδάν, Θαιμάν,
1Ch 1:31	Ἰεττούρ, Ναφές, Κέδμα· οὗτοι υἱοὶ Ἰσμαήλ.
1Ch 1:32	Καὶ υἱοὶ Χεττούρας παλλακῆς Ἀβραάμ, καὶ ἔτεκεν αὐτῷ τὸν Ζεμβράν, Ἰεξάν, Μαδιάμ, Μαδάμ, Σοβάκ, Σῶε· καὶ υἱοὶ Ἰεξὰν Δαιδὰν καὶ Σαβαί·
1Ch 1:33	καὶ υἱοὶ Μαδιὰμ Γαφὲρ καὶ Ὄφερ καὶ Ἑνὼχ καὶ Ἀβειδὰ καὶ Ἐλλαδά· πάντες οὗτοι υἱοὶ Χεττούρας.
1Ch 1:34	Καὶ ἐγέννησεν Ἀβραὰμ τὸν Ἰσαάκ. καὶ υἱοὶ Ἰσαάκ· Ἰακὼβ καὶ Ἠσαύ.
1Ch 1:35	Υἱοὶ Ἠσαύ· Ἐλειφὰς καὶ Ῥαγουὴλ καὶ Ἰεοὺλ καὶ Ἰεγλόμ, Κόρε.
1Ch 1:36	υἱοὶ Ἐλειφάς· Θαιμὰν καὶ Ὠμάρ, Σωφὰρ καὶ Γοωθὰμ καὶ Κενὲζ καὶ τῆς Θαμνὰ Ἀμαλήκ.
1Ch 1:37	καὶ υἱοὶ Ῥαγουήλ· Νάχες, Ζάρες, Σομὲ καὶ Ὀμοζέ.
1Ch 1:38	υἱοὶ Σηείρ· Λωτάν, Σωβάλ, Σεβεγών, Ἀνά, Δησών, Ὠνάν.
1Ch 1:39	καὶ υἱοὶ Λωτάν· Χορρεὶ καὶ Αἱμὰν καὶ Αἰλὰθ καὶ Ναμνά.
1Ch 1:40	υἱοὶ Σωβάλ· Σωλάμ, Μαχάναμ, Γαιβήλ, Σὼβ καὶ Ὠνάν. υἱοὶ δὲ Σεβεγών· Ἀὶθ καὶ Σωνάν.
1Ch 1:41	υἱοὶ Σωνάν· Δαισών. υἱοὶ δὲ Δαισὼν· Ἑμερὼν καὶ Ἀσεβὼν καὶ Γεθρὰμ καὶ Χαρράν.
1Ch 1:42	καὶ υἱοὶ Ὦσαρ· Βαλαὰμ καὶ Ζουκὰμ καὶ Ὠνάν. υἱοὶ Δαισών· Ὢς καὶ Ἀρράν.
1Ch 1:43	Καὶ οὗτοι οἱ βασιλεῖς αὐτῶν· Βάλακ υἱὸς Βεώρ, καὶ ὄνομα τῇ πόλει αὐτοῦ Δεννάβα.
1Ch 1:44	καὶ ἀπέθανεν Βάλακ, καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ Ἰωαβὰβ υἱὸς Ζάρα ἐκ Βοσόρρας.
1Ch 1:45	καὶ ἀπέθανεν Ἰωβάβ, καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ Ἁσὸμ ἐκ τῆς γῆς Θαιμανῶν.
1Ch 1:46	καὶ ἀπέθανεν Ἁσόμ, καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ Ἁδὰδ υἱὸς Βαράδ, ὁ πατάξας Μαδιὰμ ἐν τῷ πεδίῳ Μωάβ, καὶ ὄνομα τῇ πόλει αὐτοῦ Γεθθάιμ.
1Ch 1:47	καὶ ἀπέθανεν Ἁδάδ, καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ
1Ch 1:48	
1Ch 1:49	Βαλαεννὼρ υἱὸς Ἀχοβώρ.
1Ch 1:50	καὶ ἀπέθανεν Βαλαεννὼρ υἱὸς Ἀχοβώρ, καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ Ἁδὰδ υἱὸς Βαράδ, καὶ ὄνομα τῇ πόλει αὐτοῦ Φόγωρ.
1Ch 1:51	καὶ ἀπέθανεν Ἁδδά, καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ Σαμαὰ ἐκ Μασέκκας· καὶ ἀπέθανεν Σαμαά, καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ Σαοὺλ ἐκ Ῥοβὼθ τῆς παρὰ ποταμόν. καὶ ἀπέθανεν Σαούλ. καὶ ἦσαν ἡγεμόνες Ἐδώμ· ἡγεμὼν Θαιμάν, ἡγεμὼν Γωλά, ἡγεμὼν Ἰεθέτ,
1Ch 1:52	ἡγεμὼν Ἐλειβαμᾶς, ἡγεμὼν Ἠλᾶς, ἡγεμὼν Φεινών,
1Ch 1:53	ἡγεμὼν Κενέζ, ἡγεμὼν Θαιμάν, ἡγεμὼν Μαζάρ,
1Ch 1:54	ἡγεμὼν Μεδιήλ, ἡγεμὼν Ζαφωείν· οὗτοι ἡγεμόνες Ἐδώμ.
1Ch 2:1	Ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἰσραήλ· Ῥουβήν, Συμεών, Λευεί, Ἰουδά, Ἰσσαχάρ, Ζαβουλών,
1Ch 2:2	Δάν, Ἰωσήφ, Βενιαμείν, Νεφθαλεί, Γάδ, Ἀσήρ.
1Ch 2:3	Υἱοὶ Ἰούδα· Ἤρ, Αὐνάν, Σηλών, τρεῖς· ἐγεννήθησαν αὐτῷ ἐκ τῆς θυγατρὸς Αὔας τῆς Χαναανείτιδος. καὶ ἦν Ἢρ ὁ πρωτότοκος Ἰούδα πονηρὸς ἐναντίον Κυρίου, καὶ ἀπέκτεινεν αὐτόν·
1Ch 2:4	καὶ Θαμὰρ ἡ νύμφη αὐτοῦ ἔτεκεν αὐτῷ τὸν Φάρες καὶ τὸν Ζάρα. πάντες υἱοὶ Ἰούδα πέντε.
1Ch 2:5	υἱοὶ Φάρες· Ἁρσὼν καὶ Ἱεμουήλ.
1Ch 2:6	καὶ υἱοὶ Ζάρα· Ζαμβρεὶ καὶ Αἰθὰμ καὶ Αἱμουὰν καὶ Χαλκὰ καὶ Δάρα, πάντες πέντε.
1Ch 2:7	καὶ υἱοὶ Χαρμεί· Ἀχὰρ ὁ ἐμποδοστάτης Ἰσραήλ, ὃς ἠθέτησεν εἰς τὸ ἀνάθεμα.
1Ch 2:8	καὶ υἱοὶ Αἰθάμ· Ζαρειά.
1Ch 2:9	καὶ υἱοὶ Ἑσερὼν οἳ ἐτέχθησαν αὐτῷ· ὁ Ἰραμεὴλ καὶ ὁ Ῥὰμ καὶ ὁ Χαβὲλ καὶ Ἀράμ.
1Ch 2:10	καὶ Ἀρρὰν ἐγέννησεν τὸν Ἀμειναδάβ, καὶ Ἀμειναδὰβ ἐγέννησεν τὸν Ναασσὼν ἄρχοντα τοῦ οἴκου Ἰούδα.
1Ch 2:11	καὶ Ναασσὼν ἐγέννησεν τὸν Σαλμών, καὶ Σαλμὼν ἐγέννησεν τὸν Βόος.
1Ch 2:12	καὶ Βόος ἐγέννησεν τὸν Ὠβήδ, καὶ Ὠβὴδ ἐγέννησεν τὸν Ἰεσσαί,
1Ch 2:13	καὶ Ἰεσσαὶ ἐγέννησεν τὸν πρωτότοκον αὐτοῦ Ἐλιάβ· Ἀμειναδὰβ ὁ δεύτερος, Σαμαὰ ὁ τρίτος,
1Ch 2:14	Ναθαναὴλ ὁ τέταρτος, Ζαδδαὶ ὁ πέμπτος,
1Ch 2:15	Ἄσομ ὁ ἕκτος, Δαυεὶδ ὁ ἕβδομος.
1Ch 2:16	καὶ ἀδελφὴ αὐτῶν Σαρουιά· καὶ υἱοὶ Σαρουιά· Ἀβεισὰ καὶ Ἰωὰβ καὶ Ἀσαήλ, τρεῖς.
1Ch 2:17	καὶ Ἀβειγαία ἐγέννσεν τὸν Ἀμεσσάβ· καὶ πατὴρ Ἀμεσσὰβ Ἰόθορ ὁ Ἰσμαηλείτης.
1Ch 2:18	Καὶ Χαλὲβ υἱὸς Ἑσερὼν ἐγέννησεν τὴν Γαζουβὰ γυναῖκα καὶ τὴν Ἐλιώθ. καὶ οὗτοι υἱοὶ αὐτῆς· Ἰωάσαρ καὶ Ἰασοὺβ καὶ Ὀρνά.
1Ch 2:19	καὶ ἀπέθανεν Γαζουβά, καὶ ἔλαβεν ἑαυτῷ Χαλὲβ τὴν Ἐφράθ, καὶ ἔτεκεν αὐτῷ τὸν Ὥρ.
1Ch 2:20	καὶ Ὣρ ἐγέννησεν τὸν Οὐρεί, καὶ Οὐρεὶ ἐγέννησεν τὸν Βεσελεήλ.
1Ch 2:21	καὶ μετὰ ταῦτα εἰσῆλθεν Ἑσερὼν πρὸς τὴν θυγατέρα Μαχεὶρ πατρὸς Γαλαάδ, καὶ οὗτος ἔλαβεν αὐτήν, καὶ αὐτὸς ἑξήκοντα ἦν ἐτῶν, καὶ ἔτεκεν αὐτῷ τὸν Σερούχ.
1Ch 2:22	καὶ Σεροὺχ ἐγέννησεν τὸν Ἰαείρ. καὶ ἦσαν αὐτῷ εἴκοσι τρεῖς πόλεις ἐν τῇ Γαλαάδ.
1Ch 2:23	καὶ ἔλαβεν Γεδσοὺρ καὶ Ἀρρὰν τὰς κώμας Σαεὶρ ἐξ αὐτῶν, τὴν Καναὰθ καὶ τὰς κώμας αὐτῆς, ἑξήκοντα πόλεις· πᾶσαι αὗται υἱῶν Μαχεὶρ πατρὸς Γαλαάδ.
1Ch 2:24	καὶ μετὰ τὸ ἀποθανεῖν Ἑσερὼν ἦλθεν Χαλὲβ εἰς Ἐφράθα· καὶ ἡ γυνὴ Ἑσερὼν Ἀβιά, καὶ ἔτεκεν αὐτῷ τὸν Ἀσχὼ πατέρα Θεκῶε.
1Ch 2:25	καὶ ἦσαν υἱοὶ Ἰραμεὴλ πρωτοτόκου Ἑσερὼν ὁ πρωτότοκος Ῥάν, καὶ Βαναιὰ καὶ Ἀραιὰ καὶ Ἀμβρὰμ καὶ Ἄσαν ἀδελφὸς αὐτοῦ.
1Ch 2:26	καὶ ἦν γυνὴ ἑτέρα τῷ Ἰερεμεήλ, καὶ ὄνομα αὐτῇ Ἀταρά· αὕτη ἐστὶν μήτηρ Ὀζόμ.
1Ch 2:27	καὶ ἦσαν υἱοὶ Ἀρὰμ πρωτοτόκου Ἰερεμαὴλ Μάας καὶ Ἰαμεὶν καὶ Ἄκορ.
1Ch 2:28	καὶ ἦσαν υἱοὶ Ὀζὸμ Σαμαὶ καὶ Ἰαδᾶε, καὶ υἱοὶ Σαμαὶ Ναδὰβ καὶ Ἀβεισούρ.
1Ch 2:29	καὶ ὄνομα τῆς γυναικὸς Ἀβεισοὺρ Ἀβειχαία, καὶ ἔτεκεν αὐτῷ τὸν Ἀχαβὰρ καὶ τὸν Μωήλ.
1Ch 2:30	υἱοὶ Ναδάβ· Ἀλσάλαδ καὶ Ἐφράιμ· καὶ ἀπέθανεν Σάλαδ οὐκ ἔχων τέκνα.
