Ecc 1:1	ΡΗΜΑΤΑ Ἐκκλησιαστοῦ υἱοῦ Δαυεὶδ βασιλέως Ἰσραὴλ ἐν Ἰερουσαλήμ.
Ecc 1:2	Ματαιότης ματαιοτήτων, εἶπεν ὁ ἐκκλησιαστής, ⸂⸆⸃ ματαιότης ματαιοτήτων, τὰ πάντα ματαιότης.
Ecc 1:3	τίς περισσεία τῷ ἀνθρώπῳ ἐν παντὶ μόχθῳ αὐτοῦ ᾧ μοχθεῖ ὑπὸ τὸν ἥλιον;
Ecc 1:4	γενεὰ πορεύεται καὶ γενεὰ ἔρχεται, καὶ ἡ γῆ εἰς τὸν αἰῶνα ἕστηκεν.
Ecc 1:5	καὶ ἀνατέλλει ὁ ἥλιος καὶ δύνει ὁ ἥλιος καὶ εἰς τὸν τόπον αὐτοῦ ἕλκει· αὐτὸς ἀνατέλλων ἐκεῖ
Ecc 1:6	πορεύεται πρὸς νότον καὶ κυκλοῖ πρὸς βορρᾶν· κυκλοῖ κυκλῶν, πορεύεται τὸ πνεῦμα, καὶ ἐπὶ κύκλους αὐτοῦ ἐπιστρέφει τὸ πνεῦμα.
Ecc 1:7	πάντες οἱ χείμαρροι πορεύονται εἰς τὴν θάλασσαν, καὶ ἡ θάλασσα οὐκ ἔσται ἐμπιμπλαμένη· εἰς τόπον οἱ χείμαρροι πορεύονται, ἐκεῖ αὐτοὶ ἐπιστρέφουσιν τοῦ πορευθῆναι.
Ecc 1:8	πάντες οἱ λόγοι ἔγκοποι· οὐ δυνήσεται ἀνὴρ τοῦ λαλεῖν, καὶ οὐ πλησθήσεται ὀφθαλμὸς τοῦ ὁρᾶν, καὶ οὐ πληρωθήσεται οὖς ἀπὸ ἀκροάσεως.
Ecc 1:9	τί τὸ γεγονός; αὐτὸ τὸ γενησόμενον· καὶ τί τὸ πεποιημένον; αὐτὸ τὸ ποιηθησόμενον· καὶ οὐκ ἔστιν πᾶν πρόσφατον ὑπὸ τὸν ἥλιον.
Ecc 1:10	ὃς λαλήσει καὶ ἐρεῖ Ἴδε τοῦτο καινόν ἐστιν, ἤδη γέγονεν ἐν τοῖς αἰῶσιν τοῖς γενομένοις ἀπὸ ἔμπροσθεν ἡμῶν.
Ecc 1:11	οὐκ ἔστιν μνήμη τοῖς πρώτοις, καί γε τοῖς ἐσχάτοις γενομένοις· οὐκ ἔσται αὐτῶν μνήμη μετὰ τῶν γενησομένων εἰς τὴν ἐσχάτην.
Ecc 1:12	Ἐγὼ Ἐκκλησιαστὴς ἐγενόμην βασιλεὺς ἐπὶ Ἰσραὴλ ἐν Ἰερουσαλήμ·
Ecc 1:13	καὶ ἔδωκα τὴν καρδίαν μου τοῦ ἐκζητῆσαι καὶ τοῦ κατασκέψασθαι ἐν τῇ σοφίᾳ περὶ πάντων τῶν γινομένων ὑπὸ τὸν οὐρανόν, ὅτι περισπασμὸν πονηρὸν ἔδωκεν ὁ θεὸς τοῖς υἱοῖς τῶν ἀνθρώπων τοῦ περισπᾶσθαι ἐν αὐτῷ.
Ecc 1:14	εἶδον σὺν πάντα τὰ ποιήματα τὰ πεποιημένα ὑπὸ τὸν ἥλιον, καὶ ἰδοὺ τὰ πάντα ματαιότης καὶ προαίρεσις πνεύματος. ⸆
Ecc 1:15	διεστραμμένον οὐ δυνήσεται ἐπικοσμηθῆναι, καὶ ὑστέρημα οὐ δυνήσεται ἀριθμηθῆναι.
Ecc 1:16	ἐλάλησα ἐγὼ ἐν τῇ καρδίᾳ μου τῷ λέγειν Ἐγὼ ἰδοὺ ἐμεγαλύνθην, καὶ προσέθηκα σοφίαν ἐπὶ πᾶσιν οἳ ἐγένοντο ἔμπροσθέν μου ἐν Ἰερουσαλήμ·
