Joe 1:1	ΛΟΓΟΣ Κυρίου ὃς ἐγενήθη πρὸς Ἰωὴλ τὸν τοῦ Βαθουήλ.
Joe 1:2	Ἀκούσατε ταῦτα, οἱ πρεσβύτεροι, καὶ ἐνωτίσασθε, πάντες οἱ κατοικοῦντες τὴν γῆν. εἰ γέγονεν τοιαῦτα ἐν ταῖς ἡμέραις ἡμῶν, ἢ ἐν ταῖς ἡμέραις τῶν πατέρων ὑμῶν;
Joe 1:3	ὑπὲρ αὐτῶν τοῖς τέκνοις ὑμῶν διηγήσασθε, καὶ τὰ τέκνα ὑμῶν τοῖς τέκνοις αὐτῶν, καὶ τὰ τέκνα αὐτῶν εἰς γενεὰν ἑτέραν.
Joe 1:4	τὰ κατάλοιπα τῆς κάμπης κατέφαγεν ἡ ἀκρίς, καὶ τὰ κατάλοιπα τῆς ἀκρίδος κατέφαγεν ὁ βροῦχος, καὶ τὰ κατάλοιπα τοῦ βρούχου κατέφαγεν ἡ ἐρυσίβη.
Joe 1:5	Ἐκνήψατε, οἱ μεθύοντες, ἐξ οἴνου αὐτῶν καὶ κλαύσατε· θρηνήσατε, πάντες οἱ πίνοντες οἶνον, εἰς μέθην, ὅτι ἐξήρθη ἐκ στόματος ὑμῶν εὐφροσύνη καὶ χαρά.
Joe 1:6	ὅτι ἔθνος ἀνέβη ἐπὶ τὴν γῆν μου ἰσχυρὸν καὶ ἀναρίθμητον, οἱ ὀδόντες αὐτοῦ ὀδόντες λέοντος, καὶ αἱ μύλαι αὐτοῦ σκύμνου·
Joe 1:7	ἔθετο τὴν ἄμπελόν μου εἰς ἀφανισμόν, καὶ τὰς συκᾶς μου εἰς συνκλασμόν· ἐρευνῶν ἐξηρεύνησεν αὐτὴν καὶ ἔριψεν, ἐλεύκανεν τὰ κλήματα αὐτῆς.
Joe 1:8	θρήνησον πρὸς μὲ ὑπὲρ νύμφην περιεζωσμένην σάκκον ἐπὶ τὸν ἄνδρα αὐτῆς τὸν παρθενικόν.
Joe 1:9	ἐξῆρται θυσία καὶ σπονδὴ ἐξ οἴκου Κυρίου· πενθεῖτε, ἱερεῖς οἱ λειτουργοῦντες θυσιαστηρίῳ.
Joe 1:10	ὅτι τεταλαιπώρηκεν τὰ πεδία, πενθείτω ἡ γῆ· ὅτι τεταλαιπώρηκεν σῖτος, ἐξηράνθη οἶνος, ὠλιγώθη ἔλαιον,
Joe 1:11	ἐξηράνθησαν γεωργοί· θρηνεῖτε, κτήματα, ὑπέρ πυροῦ καὶ κριθῆς, ὅτι ἀπόλωλεν τρυγητὸς ἐξ ἀγροῦ·
Joe 1:12	ἡ ἄμπελος ἐξηράνθη, καὶ αἱ συκαῖ ὠλιγώθησαν· ῥόα καὶ φοίνιξ καὶ μῆλον καὶ πάντα τὰ ξύλου ἀγροῦ ἐξηράνθησαν, ὅτι ᾔσχυναν χαρὰν οἱ υἱοὶ τῶν ἀνθρώπων.
Joe 1:13	περιζώσασθε καὶ κόπτεσθε οἱ ἱερεῖς, θρηνεῖτε οἱ λειτουργοῦντες θυσιαστηρίῳ· εἰσέλθατε, ὑπνώσατε ἐν σάκκοις, λειτουργοῦντες θεῷ, ὅτι ἀπέσχηκεν ἐξ οἴκου θεοῦ ὑμῶν θυσία καὶ σπονδή.
Joe 1:14	ἁγιάσατε νηστείαν, κηρύξατε θεραπείαν, συναγάγετε πρεσβυτέρους, πάντας κατοικοῦντας γῆν εἰς οἶκον θεοῦ ὑμῶν, καὶ κεκράξατε πρὸς Κύριον ἐκτενῶς
Joe 1:15	Οἴμοι οἴμοι οἴμοι εἰς ἡμέραν, ὅτι ἐγγὺς ἡμέρα Κυρίου, καὶ ὡς ταλαιπωρία ἐκ ταλαιπωρίας ἥξει.
Joe 1:16	κατέναντι τῶν ὀφθαλμῶν ὑμῶν βρώματα ἐξωλεθρεύθη, ἐξ οἴκου θεοῦ ὑμῶν εὐφροσύνη καὶ χαρά.
Joe 1:17	ἐσκίρτησαν δαμάλεις ἐπὶ ταῖς φάτναις αὐτῶν, ἠφανίσθησαν θησαυροί, κατεσκάφησαν ληνοί, ὅτι ἐξηράνθη σῖτος.
Joe 1:18	τί ἀποθήσομεν ἑαυτοῖς; ἔκλαυσαν βουκόλια βοῶν, ὅτι οὐχ ὑπῆρχεν νομὴ αὐτοῖς, καὶ τὰ ποίμνια τῶν προβάτων ἠφανίσθησαν.
Joe 1:19	πρὸς σέ, Κύριε, βοήσομαι, ὅτι πῦρ ἀνήλωσεν τὰ ὡραῖα τῆς ἐρήμου, καὶ φλὸξ ἀνῆψεν πάντα τὰ ξύλα τοῦ ἀγροῦ·
Joe 1:20	καὶ τὰ κτήνη τοῦ πεδίου ἀνέβλεψαν πρὸς σέ· ὅτι ἐξηράνθησαν ἀφέσεις ὑδάτων, καὶ πῦρ κατέφαγεν τὰ ὡραῖα τῆς ἐρήμου.
Joe 2:1	Σαλπίσατε σάλπιγγι ἐν Σειών, κηρύξατε ἐν ὄρει ἁγίῳ μου, καὶ συγχυθήτωσαν πάντες οἱ κατοικοῦντες τὴν γῆν, διότι πάρεστιν ἡμέρα Κυρίου, ὅτι ἐγγύς·
Joe 2:2	ἡμέρα σκότους καὶ γνόφου, ἡμέρα νεφέλης καὶ ὁμίχλης. ὡς ὄρθρος χυθήσεται ἐπὶ τὰ ὄρη λαὸς πολὺς καὶ ἰσχυρός· ὅμοιος αὐτῷ οὐ γέγονεν ἀπὸ τοῦ αἰῶνος, καὶ μετ᾽ αὐτὸν οὐ προστεθήσεται ἕως ἐτῶν εἰς γενεὰς γενεῶν.
Joe 2:3	τὰ ἔμπροσθεν αὐτοῦ πῦρ ἀναλίσκον, καὶ τὰ ὀπίσω αὐτοῦ ἀναπτομένη φλόξ· ὡς παράδεισος τρυφῆς ἡ γῆ πρὸ προσώπου αὐτοῦ, καὶ τὰ ὄπισθεν αὐτοῦ πεδίον ἀφανισμοῦ, καὶ ἀνασωζόμενος οὐκ ἔσται αὐτῷ.
Joe 2:4	ὡς ὅρασις ἵππων ἡ ὅρασις αὐτῶν, καὶ ὡς ἱππεῖς οὕτως καταδιώξονται
Joe 2:5	ὡς φωνὴ ἁρμάτων ἐπὶ τὰς κορυφὰς τῶν ὀρέων ἐξαλοῦνται, καὶ ὡς φωνὴ φλογὸς πυρὸς κατεσθιούσης καλάμην, καὶ ὡς λαὸς πολὺς καὶ ἰσχυρὸς παρατασσόμενος εἰς πόλεμον.
Joe 2:6	ἀπὸ προσώπου αὐτοῦ συντριβήσονται λαοί, πᾶν πρόσωπον ὡς πρόσκαυμα χύτρας.
Joe 2:7	ὡς μαχηταὶ δραμοῦνται, καὶ ὡς ἄνδρες πολεμισταὶ ἀναβήσονται ἐπὶ τὰ τείχη, καὶ ἕκαστος ἐν τῇ ὁδῷ αὐτοῦ πορεύσεται, καὶ οὐ μὴ ἐκκλίνωσιν τὰς τρίβους αὐτῶν,
Joe 2:8	καὶ ἕκαστος ἀπὸ τοῦ ἀδελφοῦ αὐτοῦ οὐκ ἀφέξεται· καταβαρυνόμενοι ἐν τοῖς ὅπλοις αὐτῶν πορεύσονται, καὶ ἐν τοῖς βέλεσιν αὐτῶν πεσοῦνται, καὶ οὐ μὴ συντελεσθῶσιν.
Joe 2:9	τῆς πόλεως ἐπιλήμψονται, καὶ ἐπὶ τῶν τειχέων δραμοῦνται, καὶ ἐπὶ ταῖς οἰκίαις ἀναβήσονται, καὶ διὰ θυρίδων εἰσελεύσονται ὡς κλέπται.
Joe 2:10	πρὸ προσώπου αὐτοῦ συγχυθήσεται ἡ γῆ καὶ σεισθήσεται ὁ οὐρανός, ὁ ἥλιος καὶ ἡ σελήνη συσκοτάσουσιν, καὶ τὰ ἄστρα δύσουσιν τὸ φέγγος αὐτῶν.
Joe 2:11	καὶ Κύριος δώσει φωνὴν αὐτοῦ πρὸ προσώπου δυνάμεως αὐτοῦ, ὅτι πολλή ἐστιν σφόδρα ἡ παρεμβολὴ αὐτοῦ, ὅτι ἰσχυρὰ ἔργα λόγων αὐτοῦ· διότι μεγάλη ἡμέρα τοῦ κυρίου, μεγάλη καὶ ἐπιφανὴς σφόδρα, καὶ τίς ἔσται ἱκανὸς αὐτῇ;
Joe 2:12	καὶ νῦν λέγει Κύριος ὁ θεὸς ὑμῶν Ἐπιστράφητε πρὸς μὲ ἐξ ὅλης τῆς καρδίας ὑμῶν καὶ ἐν νηστείᾳ καὶ ἐν κλαυθμῷ καὶ ἐν κοπετῷ,
Joe 2:13	καὶ διαρήξατε τὰς καρδίας ὑμῶν καὶ μὴ τὰ ἱμάτια ὑμῶν, καὶ ἐπιστράφητε πρὸς Κύριον τὸν θεὸν ὑμῶν, ὅτι ἐλεήμων καὶ οἰκτίρμων ἐστίν, μακρόθυμος καὶ πολυέλεος καὶ μετανοῶν ἐπὶ ταῖς κακίαις.
Joe 2:14	τίς οἶδεν εἰ ἐπιστρέψει καὶ μετανοήσει, καὶ ὑπολείψεται ὀπίσω αὐτοῦ εὐλογίαν, θυσίαν καὶ σπονδὴν Κυρίῳ τῷ θεῷ ἡμῶν;
Joe 2:15	Σαλπίσατε σάλπιγγι ἐν Σειών, ἁγιάσατε νηστίαν, κηρύξατε θεραπείαν,
Joe 2:16	συναγάγετε λαόν, ἁγιάσατε ἐκκλησίαν, ἐκλέξασθε πρεσβυτέρους, συναγάγετε νήπια θηλάζοντα μαστούς, ἐξελθάτω νυμφίος ἐκ τοῦ κοιτῶνος αὐτοῦ καὶ νύμφη ἐκ τοῦ παστοῦ αὐτῆς.
Joe 2:17	ἀνὰ μέσον τῆς κρηπῖδος τοῦ θυσιαστηρίου κλαύσονται οἱ ἱερεῖς οἱ λειτουργοῦντες Κυρίῳ καὶ ἐροῦσιν Φεῖσαι, Κύριε, τοῦ λαοῦ σου, καὶ μὴ δῷς τὴν κληρονομίαν σου εἰς ὄνειδος τοῦ κατάρξαι αὐτῶν ἔθνη, ὅπως μὴ εἴπωσιν ἐν τοῖς ἔθνεσιν Ποῦ ἐστιν ὁ θεὸς αὐτῶν;
Joe 2:18	Καὶ ἐζήλωσεν Κύριος τὴν γῆν αὐτοῦ, καὶ ἐφείσατο τοῦ λαοῦ αὐτοῦ.
