Jon 1:1	ΚΑΙ ἐγένετο λόγος κυρίου πρὸς Ἰωνᾶν τὸν τοῦ Ἀμαθεὶ λέγων,
Jon 1:2	Ἀνάστηθι καὶ πορεύθητι εἰς Νινευὴ τὴν πόλιν τὴν μεγάλην καὶ κήρυξον ἐν αὐτῇ, ὅτι ἀνέβη ἡ κραυγὴ τῆς κακίας αὐτῆς πρὸς μέ.
Jon 1:3	καὶ ἀνέστη Ἰωνᾶς τοῦ φυγεῖν εἰς Θαρσεὶς ἐκ προσώπου Κυρίου, καὶ κατέβη εἰς Ἰόππην· καὶ εὗρεν πλοῖον βαδίζον εἰς Θαρσείς, καὶ ἔδωκεν τὸ ναῦλον αὐτοῦ καὶ ἐνέβη εἰς αὐτὸ τοῦ πλεῦσαι μετ᾽ αὐτῶν εἰς Θαρσεὶς ἐκ προσώπου Κυρίου.
Jon 1:4	Καὶ Κύριος ἐξήγειρεν πνεῦμα ἐπὶ τὴν θάλασσαν, καὶ ἐγένετο κλύδων μέγας ἐν τῇ θαλάσσῃ, καὶ τὸ πλοῖον ἐκινδύνευεν συντριβῆναι.
Jon 1:5	καὶ ἐφοβήθησαν οἱ ναυτικοὶ καὶ ἀνεβόησαν ἕκαστος πρὸς τὸν θεὸν αὐτοῦ, καὶ ἐκβολὴν ἐποιήσαντο τῶν σκευῶν τῶν ἐν τῷ πλοίῳ εἰς τὴν θάλασσαν, τοῦ κουφισθῆναι ἀπ᾽ αὐτῶν· Ἰωνᾶς δὲ κατέβη εἰς τὴν κοίλην τοῦ πλοίου, καὶ ἐκάθευδεν καὶ ἔρεγχεν.
Jon 1:6	καὶ προσῆλθεν πρὸς αὐτὸν ὁ πρωρεὺς καὶ εἶπεν αὐτῷ Τί σὺ ῥέγχεις; ἀνάστα καὶ ἐπικαλοῦ τὸν θεόν σου, ὅπως διασώσῃ ὁ θεὸς ἡμᾶς καὶ μὴ ἀπολώμεθα.
Jon 1:7	καὶ εἶπεν ἕκαστος πρὸς τὸν πλησίον αὐτοῦ Δεῦτε βάλωμεν κλήρους καὶ ἐπιγνῶμεν τίνος ἕνεκεν ἡ κακία αὕτη ἐστὶν ἐν ἡμῖν. καὶ ἔβαλον κλήρους, καὶ ἔπεσεν ὁ κλῆρος ἐπὶ Ἰωνᾶν.
Jon 1:8	καὶ εἶπον πρὸς αὐτόν Ἀπάγγειλον ἡμῖν τίς σου ἡ ἐργασία ἐστίν, καὶ πόθεν ἔρχῃ, καὶ ἐκ ποίας χώρας καὶ ἐκ ποίου λαοῦ εἶ σύ;
Jon 1:9	καὶ εἶπεν πρὸς αὐτούς Δοῦλος Κυρίου ἐγώ εἰμι, καὶ τὸν κύριον θεὸν τοῦ οὐρανοῦ ἐγὼ σέβομαι, ὃς ἐποίησεν τὴν θάλασσαν καὶ τὴν ξηράν.
Jon 1:10	καὶ ἐφοβήθησαν οἱ ἄνδρες φόβον μέγαν καὶ εἶπαν πρὸς αὐτόν Τί τοῦτο ἐποίησας; διότι ἔγνωσαν οἱ ἄνδρες ὅτι ἐκ προσώπου Κυρίου ἦν φεύγων, ὅτι ἀπήγγειλεν αὐτοῖς.
Jon 1:11	καὶ εἶπαν πρὸς αὐτόν Τί σοι ποιήσομεν, καὶ κοπάσει ἡ θάλασσα ἀφ᾽ ἡμῶν; ὅτι ἡ θάλασσα ἐπορεύετο καὶ ἐξήγειρεν μᾶλλον κλύδωνα.
Jon 1:12	καὶ εἶπεν Ἰωνᾶς πρὸς αὐτούς Ἄρατέ με καὶ ἐμβάλετέ με εἰς τὴν θάλασσαν, καὶ κοπάσει ἡ θάλασσα ἀφ᾽ ὑμῶν· διότι ἔγνωκα ἐγὼ ὅτι δι᾽ ἐμὲ ὁ κλύδων ὁ μέγας οὗτος ἐφ᾽ ὑμᾶς ἐστίν.
Jon 1:13	καὶ παρεβιάζοντο οἱ ἄνδρες τοῦ ἐπιστρέψαι πρὸς τὴν γῆν, καὶ οὐκ ἠδύναντο, ὅτι ἡ θάλασσα ἐπορεύετο καὶ ἐξηγείρετο μᾶλλον ἐπ᾽ αὐτούς.
Jon 1:14	καὶ ἀνεβόησαν πρὸς Κύριον καὶ εἶπαν Μηδαμῶς, Κύριε· μὴ ἀπολώμεθα ἕνεκεν τῆς ψυχῆς τοῦ ἀνθρώπου τούτου, καὶ μὴ δῷς ἐφ᾽ ἡμᾶς αἷμα δίκαιον, διότι σύ, Κύριε, ὃν τρόπον ἐβούλου πεποίηκας.
Jon 1:15	καὶ ἔλαβον τὸν Ἰωνᾶν καὶ ἐξέβαλον αὐτὸν εἰς τὴν θάλασσαν, καὶ ἔστη ἡ θάλασσα ἐκ τοῦ σάλου αὐτῆς.
Jon 1:16	καὶ ἐφοβήθησαν οἱ ἄνδρες φόβῳ μεγάλῳ τὸν κύριον, καὶ ἔθυσαν θυσίας τῷ κυρίῳ καὶ εὔξαντο εὐχάς.
Jon 2:1	Καὶ προσέταξεν Κύριος κήτει μεγάλῳ καταπιεῖν τὸν Ἰωνᾶν· καὶ ἦν Ἰωνᾶς ἐν τῇ κοιλίᾳ τοῦ κήτους τρεῖς ἡμέρας καὶ τρεῖς νύκτας.
Jon 2:2	καὶ προσηύξατο Ἰωνᾶς πρὸς Κύριον τὸν θεὸν αὐτοῦ ἐκ τῆς κοιλίας τοῦ κήτους,
Jon 2:3	καὶ εἶπεν Ἐβόησα ἐν θλίψει μου πρὸς Κύριον τὸν θεόν μου, καὶ εἰσήκουσέν μου. ἐκ κοιλίας ᾅδου κραυγῆς μου ἤκουσας φωνῆς μου·
Jon 2:4	ἀπέρριψάς με εἰς βάθη καρδίας θαλάσσης, καὶ ποταμοί με ἐκύκλωσαν, πάντες οἱ μετεωρισμοί σου καὶ τὰ κύματά σου ἐπ᾽ ἐμὲ διῆλθον.
Jon 2:5	καὶ ἐγώ εἶπα Ἀπῶσμαι ἐξ ὀφθαλμῶν σου· ἄρα προσθήσω τοῦ ἐπιβλέψαι πρὸς τὸν ναὸν τὸν ἅγιόν σου·
Jon 2:6	περιεχύθη ὕδωρ μοι ἕως ψυχῆς, ἄβυσσος ἐκύκλωσέν με ἐσχάτη, ἔδυ ἡ κεφαλή μου εἰς σχισμὰς ὀρέων,
Jon 2:7	κατέβην εἰς γῆν ἧς οἱ μοχλοὶ αὐτῆς κάτοχοι αἰώνιοι· καὶ ἀναβήτω φθορὰ ζωῆς μου, Κύριε ὁ θεός μου,
Jon 2:8	ἐν τῷ ἐκλιπεῖν ἀπ᾽ ἐμοῦ τὴν ψυχήν μου τοῦ κυρίου ἐμνήσθην, καὶ ἔλθοι πρὸς σὲ ἡ εὐχή μου εἰς ναὸν ἅγιόν σου.
Jon 2:9	φυλασσόμενοι μάταια καὶ ψευδῆ ἔλεος αὐτῶν ἐγκατέλιπον.
Jon 2:10	ἐγὼ δὲ μετὰ φωνῆς αἰνέσεως καὶ ἐξομολογήσεως θύσω σοι, ὅσα ηὐξάμην ἀποδώσω σοι σωτηρίου τῷ κυρίῳ.
Jon 2:11	Καὶ προσετάγη τῷ κήτει, καὶ ἐξέβαλεν τὸν Ἰωνᾶν ἐπὶ τὴν ξηράν.
Jon 3:1	Καὶ ἐγένετο λόγος Κυρίου πρὸς Ἰωνᾶν ἐκ δευτέρου λέγων
Jon 3:2	Ἀνάστηθι πορεύθητι εἰς Νινευὴ τὴν πόλιν τὴν μεγάλην, καὶ κήρυξον ἐν αὐτῇ κατὰ τὸ κήρυγμα τὸ ἔμπροσθεν ὃ ἐγὼ ἐλάλησα πρὸς σὲ.
Jon 3:3	καὶ ἀνέστη Ἰωνᾶς καὶ ἐπορεύθη εἰς Νινευή, καθὰ ἐλάλησεν Κύριος· ἡ δὲ Νινευὴ ἦν πόλις μεγάλη τῷ θεῷ, ὡσεὶ πορείας ὁδοῦ ἡμερῶν τριῶν.
Jon 3:4	καὶ ἤρξατο Ἰωνᾶς τοῦ εἰσελθεῖν εἰς τὴν πόλιν ὡσεὶ πορείαν ἡμέρας μιᾶς, καὶ ἐκήρυξεν καὶ εἶπεν Ἔτι τρεῖς ἡμέραι καὶ Νινευὴ καταστραφήσεται.
Jon 3:5	καὶ ἐνεπίστευσαν οἱ ἄνδρες Νινευὴ τῷ θεῷ, καὶ ἐκήρυξαν νηστίαν, καὶ ἐνεδύσαντο σάκκους ἀπὸ μεγάλου αὐτῶν ἕως μικροῦ αὐτῶν.
Jon 3:6	καὶ ἤγγισεν ὁ λόγος πρὸς τὸν βασιλέα τῆς Νινευή· καὶ ἐξανέστη ἀπὸ τοῦ θρόνου αὐτοῦ, καὶ περιείλατο τὴν στολὴν αὐτοῦ ἀφ᾽ ἑαυτοῦ καὶ περιεβάλετο σάκκον, καὶ ἐκάθισεν ἐπὶ σποδοῦ.
