Sus 1:1	ΚΑΙ ἦν ἀνὴρ οἰκῶν ἐν Βαβυλῶνι, καὶ ὄνομα αὐτῷ Ἰωακείμ.
Sus 1:2	καὶ ἔλαβε γυναῖκα ᾗ ὄνομα Σουσάννα, θυγάτηρ Χελκίου, καλὴ σφόδρα καὶ φοβουμένη τὸν κύριον·
Sus 1:3	καὶ οἱ γονεῖς αὐτῆς δίκαιοι, καὶ ἐδίδαξαν τὴν θυγατέρα αὐτῶν κατὰ τὸν νόμον Μωυσῆ.
Sus 1:4	καὶ ἦν Ἰωακεὶμ πλούσιος σφόδρα, καὶ ἦν αὐτῷ παράδεισος γειτνιῶν τῷ οἴκῳ αὐτοῦ· καὶ πρὸς αὐτὸν προσήγοντο οἱ Ἰουδαῖοι διὰ τὸ εἶναι αὐτὸν ἐνδοξότερον πάντων.
Sus 1:5	Καὶ ἀπεδείχθησαν δύο πρεσβύτεροι ἐκ τοῦ λαοῦ κριταὶ ἐν τῷ ἐνιαυτῷ ἐκείνῳ, περὶ ὧν ἐλάλησεν ὁ δεσπότης ὅτι ἐξῆλθεν ἀνομία ἐκ Βαβυλῶνος ἐκ πρεσβυτέρων κριτῶν οἳ ἐδόκουν κυβερνᾷν τὸν λαόν.
Sus 1:6	καὶ ἤρχοντο κρίσεις ἐξ ἄλλων πόλεων πρὸς αὐτούς.
Sus 1:7	οὗτοι ἰδόντες γυναῖκα ἀστείαν τῷ εἴδει, γυναῖκα ἀδελφοῦ αὐτῶν ἐκ τῶν υἱῶν Ἰσραήλ, ὄνομα Σουσάνναν, θυγατέρα Χελκίου, γυναῖκα Ἰωακείμ, περιπατοῦσαν ἐν τῷ παραδείσῳ τοῦ ἀνδρὸς αὐτῆς τὸ δειλινὸν
Sus 1:8	καὶ ἐπιθυμήσαντες αὐτῆς,
Sus 1:9	διέστρεψαν τὸν νοῦν αὐτῶν καὶ ἐξέκλιναν τοὺς ὀφθαλμοὺς αὐτῶν τοῦ μὴ βλέπειν εἰς τὸν οὐρανὸν μηδὲ μνημονεύειν κριμάτων δικαίων.
Sus 1:10	καὶ ἀμφότεροι ἦσαν κατανενυγμένοι περὶ αὐτῆς, καὶ ἕτερος τῷ ἑτέρῳ οὐ προσεποιεῖτο τὸ κακὸν τὸ ἔχον αὐτοὺς περὶ αὐτῆς, οὐδὲ ἡ γυνὴ ἔγνω τὸ πρᾶγμα τοῦτο.
Sus 1:11	
Sus 1:12	καὶ ὡς ἐγίνετο ὄρθρος, ἐρχόμενοι ἔκλεπτον ἀλλήλους σπεύδοντες, τίς φανήσεται αὐτῇ πρότερος καὶ λαλήσει πρὸς αὐτήν.
Sus 1:13	καὶ ἰδοὺ αὕτη κατὰ τὸ εἰωθὸς περιεπάτει, καὶ ὁ εἷς τῶν πρεσβυτέρων ἐληλύθει, καὶ ἰδοὺ ὁ ἕτερος παρεγένετο, καὶ εἷς τὸν ἕτερον ἀνέκρινε λέγων Τί σὺ οὕτως ὄρθρου ἐξῆλθες οὐ παραλαβών με;
Sus 1:14	καὶ ἐξωμολογήσαντο πρὸς ἀλλήλους ἑκάτερος τὴν ὀδύνην αὐτοῦ.
Sus 1:15	
Sus 1:16	
Sus 1:17	
Sus 1:18	
Sus 1:19	καὶ εἶπεν εἷς τῷ ἑτέρῳ Πορευθῶμεν πρὸς αὐτήν· καὶ συνθέμενοι προσήλθοσαν αὐτῇ καὶ ἐξεβιάζοντο αὐτήν.
Sus 1:20	
Sus 1:21	
Sus 1:22	καὶ εἶπεν αὐτοῖς ἡ Ἰουδαία Οἶδα ὅτι ἐὰν πράξω τοῦτο θάνατός μοί ἐστι, καὶ ἐὰν μὴ πράξω οὐκ ἐκφεύξομαι τὰς χεῖρας ὑμῶν·
Sus 1:23	κάλλιον δέ με μὴ πράξασαν ἐμπεσεῖν εἰς τὰς χεῖρας ὑμῶν ἢ ἁμαρτεῖν ἐνώπιον Κυρίου.
Sus 1:24	
Sus 1:25	
Sus 1:26	
Sus 1:27	
Sus 1:28	οἱ δὲ παράνομοι ἄνδρες ἀπέστρεψαν ἀπειλοῦντες ἐν ἑαυτοῖς καὶ ἐνεδρεύοντες ἵνα θανατώσουσιν αὐτήν· καὶ ἐλθόντες ἐπὶ τὴν συναγωγὴν τῆς πόλεως οὗ παρῴκουσαν, καὶ συνήδρευσαν οἱ ὄντες ἐκεῖ πάντες οἱ υἱοὶ Ἰσραήλ·
Sus 1:29	καὶ ἀναστάντες οἱ δύο πρεσβύτεροι καὶ κριταὶ εἶπαν Ἀποστείλατε ἐπὶ Σουσάνναν, θυγατέρα Χελκίου, ἥτις ἐστὶ γυνὴ Ἰωακείμ. οἱ δὲ εὐθέως ἐκάλεσαν αὐτήν.
Sus 1:30	ὡς δὲ παρεγενήθη ἡ γυνὴ σὺν τῷ πατρὶ ἑαυτῆς καὶ τῇ μητρί, καὶ οἱ παῖδες καὶ αἱ παιδίσκαι αὐτῆς ὄντες τὸν ἀριθμὸν πεντακόσιοι παρεγένοντο, καὶ τὰ παιδία Σουσάννας τέσσαρα.
Sus 1:31	ἦν δὲ ἡ γυνὴ τρυφερὰ σφόδρα.
Sus 1:32	καὶ προσέταξαν οἱ παράνομοι ἀποκαλύψαι αὐτήν, ἵνα ἐμπλησθῶσιν κάλλους ἐπιθυμίας αὐτῆς.
Sus 1:33	καὶ ἐκλαίοσαν οἱ παρ᾽ αὐτῆς πάντες καὶ ὅσοι αὐτὴν ᾔδεισαν πάντες.
Sus 1:34	ἀναστάντες δὲ οἱ πρεσβύτεροι καὶ κριταὶ ἐπέθηκαν τάς χεῖρας αὐτῶν ἐπὶ τῆς κεφαλῆς αὐτῆς·
Sus 1:35	ἡ δὲ καρδία αὐτῆς ἐπεποίθει ἐπὶ Κυρίῳ τῷ θεῷ αὐτῆς, καὶ ἀνακύψασα ἔκλαυσεν ἐν αὐτῇ λέγουσα [1] Κύριε ὁ θεὸς ὁ αἰώνιος, ὁ εἰδὼς τὰ πάντα πρὶν γενέσεως αὐτῶν, σὺ οἶδας ὅτι οὐκ ἐποίησα ἃ πονηρεύονται οἱ ἄνομοι οὗτοι ἐπ᾽ ἐμοί. καὶ εἰσήκουσε Κύριος τῆς δεήσεως αὐτῆς.
Sus 1:36	οἱ δὲ δύο πρεσβύτεροι εἶπαν Ἡμεῖς περιεπατοῦμεν ἐν τῷ παραδείσῳ τοῦ ἀνδρὸς αὐτῆς,
Sus 1:37	καὶ κυκλοῦντες τὸ στάδιον εἴδομεν ταύτην ἀναπαυομένην μετὰ ἀνδρός, καὶ στάντες ἐθεωροῦμεν αὐτοὺς ὁμιλοῦντας ἀλλήλοις,
Sus 1:38	καὶ αὐτοὶ οὐκ ᾔδεισαν ὅτι εἱστήκειμεν. τότε συνειπάμεθα ἀλλήλοις λέγοντες Μάθωμεν τίνες εἰσὶν οὗτοι.
Sus 1:39	καὶ προσελθόντες ἐπέγνωμεν αὐτήν· ὁ δὲ νεανίσκος ἔφυγε συγκεκαλυμμένος.
Sus 1:40	ταύτης δὲ ἐπιλαβόμενοι ἐπηρωτῶμεν αὐτήν Τίς ὁ ἄνθρωπος;
Sus 1:41	καὶ οὐκ ἀπήγγειλεν ἡμῖν τίς ἦν. ταῦτα μαρτυροῦμεν. καὶ ἐπίστευσεν αὐτοῖς ἡ συναγωγὴ πᾶσα, ὡς πρεσβυτέρων ὄντων καὶ κριτῶν τοῦ λαοῦ.
Sus 1:42	
Sus 1:43	
Sus 1:44	Καὶ ἰδοὺ ἄγγελος Κυρίου, ἐκείνης ἐξαγομένης ἀπολέσθαι· καὶ ἔδωκεν ὁ ἄγγελος, καθὼς προσετάγη, πνεῦμα συνέσεως νεωτέρῳ ὄντι Δανιήλ.
Sus 1:45	
Sus 1:46	
Sus 1:47	
Sus 1:48	διαστείλας δὲ Δανιὴλ τὸν ὄχλον καὶ στὰς ἐν μέσῳ αὐτῶν εἶπεν Οὕτως μωροί, υἱοὶ Ἰσραήλ; οὐκ ἀνακρίναντες οὐδὲ τὸ σαφὲς ἐπιγνόντες ἀπεκτείνατε θυγατέρα Ἰσραήλ;
Sus 1:49	
Sus 1:50	
Sus 1:51	καὶ νῦν διαχωρίσατέ μοι αὐτοὺς ἀπ᾽ ἀλλήλων μακράν, ἵνα ἐτάσω αὐτούς. [1] ὡς δὲ διεχωρίσθησαν, εἶπεν Δανιὴλ τῇ συναγωγῇ Νῦν μὴ βλέψητε ὅτι οὗτοί εἰσι πρεσβύτεροι, λέγοντες Οὐ μὴ ψεύσωνται· ἀλλὰ ἀνακρινῶ αὐτοὺς κατὰ τὰ ὑποπίπτοντά μοι.
Sus 1:52	καὶ ἐκάλεσε τὸν ἕνα αὐτῶν, καὶ προσήγαγον τὸν πρεσβύτερον τῷ νεωτέρῳ· καὶ εἶπεν αὐτῷ Δανιήλ Ἄκουε ἄκουε, πεπαλαιωμένε ἡμερῶν κακῶν· νῦν ἥκασί σου αἱ ἁμαρτίαι ἃς ἐποίεις τὸ πρότερον,
Sus 1:53	πιστευθεὶς ἀκούειν καὶ κρίνειν κρίσεις θάνατον ἐπιφερούσας, καὶ τὸν μὲν ἀθῷον κατέκρινας, τοὺς δὲ ἐνόχους ἠφίεις, τοῦ κυρίου λέγοντος Ἀθῷον καὶ δίκαιον οὐκ ἀποκτενεῖς.
Sus 1:54	νῦν οὖν ὑπὸ τί δένδρον καὶ ποταπῷ τοῦ παραδείσου τόπῳ ἑώρακας αὐτοὺς ὄντας σὺν ἑαυτοῖς; καὶ εἶπεν ὁ ἀσεβής Ὑπὸ σχῖνον.
Sus 1:55	εἶπεν δὲ ὁ νεώτερος Ὀρθῶς ἔψευσαι εἰς τὴν σεαυτοῦ ψυχήν· ὁ γὰρ ἄγγελος Κυρίου σχίσει σου τὴν ψυχὴν σήμερον.
Sus 1:56	καὶ τοῦτον μεταστήσας εἶπεν προσαγαγεῖν αὐτῷ τὸν ἕτερον· καὶ τούτῳ δὲ εἶπεν Διὰ τί διεστραμμένον τὸ σπέρμα σου, ὡς Σιδῶνος καὶ οὐχ ὡς Ἰούδα; τὸ κάλλος σε ἠπάτησεν, ἡ μικρὰ ἐπιθυμία.
Sus 1:57	καὶ οὕτως ἐποιεῖτε θυγατράσιν Ἰσραήλ, καὶ ἐκεῖναι φοβούμεναι ὡμιλοῦσαν ὑμῖν· ἀλλ᾽ οὐ θυγάτηρ Ἰούδα ὑπέμεινε τὴν νόσον ὑμῶν ἐν ἀνομίᾳ ὑπενεγκεῖν.
Sus 1:58	νῦν οὖν λέγε μοι Ὑπὸ τί δένδρον καὶ ἐν ποίῳ τοῦ κήπου τόπῳ κατέλαβες αὐτοὺς ὁμιλοῦντας ἀλλήλοις; ὁ δὲ εἶπεν Ὑπὸ πρῖνον.
Sus 1:59	καὶ εἶπεν Δανιήλ Ἁμαρτωλέ, νῦν ὁ ἄγγελος Κυρίου τὴν ῥομφαίαν ἕστηκεν ἔχων, ἕως ὁ λαὸς ἑξολεθρεύσει ὑμᾶς, ἵνα καταπρίσῃ σε.
Sus 1:60	Καὶ πᾶσα ἡ συναγωγὴ ἀνεβόησεν ἐπὶ τῷ νεωτέρῳ, ὡς ἐκ τοῦ ἰδίου στόματος ὁμολόγους αὐτοὺς κατέστησεν ἀμφοτέρους ψευδομάρτυρας· καὶ ὡς ὁ νόμος διαγορεύει ἐποίησαν αὐτοῖς, καθὼς ἐπονηρεύσαντο κατὰ τῆς ἀδελφῆς. καὶ ἐφίμωσαν αὐτοὺς καὶ ἐξαγαγόντες ἔρριψαν εἰς φάραγγα· τότε ὁ ἄγγελος Κυρίου ἔρριψε πῦρ διὰ μέσου αὐτῶν. καὶ ἐσώθη αἷμα ἀναίτιον ἐν τῇ ἡμέρᾳ ἐκείνῃ. [1] Διὰ τοῦτο οἱ νεώτεροι ἀγαπητοὶ Ἰακὼβ ἐν τῇ ἁπλότητι αὐτῶν. [2] καὶ ἡμεῖς φυλασσώμεθα εἰς υἱοὺς δυνατοὺς νεωτέρους· εὐσεβήσουσι γὰρ νεώτεροι, καὶ ἔσται ἐν αὐτοῖς πνεῦμα ἐπιστήμης καὶ συνέσεως εἰς αἰῶνα αἰῶνος.
