Sut 1:1	ΚΑΙ ἦν ἀνὴρ οἰκῶν ἐν Βαβυλῶνι, καὶ ὄνομα αὐτῷ Ἰωακείμ.
Sut 1:2	καὶ ἔλαβεν γυναῖκα ᾗ ὄνομα Σουσάννα, θυγάτηρ Χελκείου, καλὴ σφόδρα καὶ φοβουμένη τὸν κύριον.
Sut 1:3	καὶ οἱ γονεῖς αὐτῆς δίκαιοι, καὶ ἐδίδαξαν τὴν θυγατέρα αὐτῶν κατὰ τὸν νόμον Μωυσῆ.
Sut 1:4	καὶ ἦν Ἰωακεὶμ πλούσιος σφόδρα, καὶ ἦν αὐτῷ παράδεισος γειτνιῶν τῷ οἴκῳ αὐτοῦ· καὶ πρὸς αὐτὸν προσήγοντο οἱ Ἰουδαῖοι, διὰ τὸ εἶναι αὐτὸν ἐνδοξότερον πάντων.
Sut 1:5	Καὶ ἀπεδείχθησαν δύο πρεσβύτεροι ἐκ τοῦ λαοῦ κριταὶ ἐν τῷ ἐνιαυτῷ ἐκείνῳ, περὶ ὧν ἐλάλησεν ὁ δεσπότης ὅτι ἐξῆλθεν ἀνομία ἐκ Βαβυλῶνος ἐκ πρεσβυτέρων κριτῶν οἳ ἐδόκουν κυβερνᾷν τὸν λαόν.
Sut 1:6	οὗτοι προσεκαρτέρουν ἐν τῇ οἰκίᾳ Ἰωακείμ, καὶ ἤρχοντο πρὸς αὐτοὺς πάντες οἱ κρινόμενοι.
Sut 1:7	καὶ ἐγένετο ἡνίκα ἀπέτρεχεν ὁ λαὸς μέσον ἡμέρας, εἰσεπορεύετο Σουσάννα καὶ περιεπάτει ἐν τῷ παραδείσῳ τοῦ ἀνδρὸς αὐτῆς.
Sut 1:8	καὶ ἐθεώρουν αὐτὴν οἱ δύο πρεσβύτεροι καθ᾽ ἡμέραν εἰσπορευομένην καὶ περιπατοῦσαν, καὶ ἐγένοντο ἐν ἐπιθυμίᾳ αὐτῆς.
Sut 1:9	καὶ διέστρεψαν τὸν ἑαυτῶν νοῦν, καὶ ἐξέκλιναν τοὺς ὀφθαλμοὺς αὐτῶν τοῦ μὴ βλέπειν εἰς τὸν οὐρανὸν μηδὲ μνημονεύειν κριμάτων δικαίων.
Sut 1:10	καὶ ἦσαν ἀμφότεροι κατανενυγμένοι περὶ αὐτῆς, καὶ οὐκ ἀνήγγειλαν ἀλλήλοις τὴν ὀδύνην ἑαυτῶν·
Sut 1:11	ὅτι ᾐσχύνοντο ἀναγγεῖλαι τὴν ἐπιθυμίαν αὐτῶν ὅτι ἤθελον συγγενέσθαι αὐτῇ.
Sut 1:12	καὶ παρετηροῦσαν φιλοτίμως καθ᾽ ἡμέραν ὁρᾷν αὐτήν.
Sut 1:13	καὶ εἶπαν ἕτερος τῷ ἑτέρῳ Πορευθῶμεν δὴ εἰς οἶκον, ὅτι ἀρίστου ὥρα ἐστίν· καὶ ἐξελθόντες διεχωρίσθησαν ἀπ᾽ ἀλλήλων.
Sut 1:14	καὶ ἀνακάμψαντες ἦλθον ἐπὶ τὸ αὐτό, καὶ ἀνετάζοντες ἀλλήλους τὴν αἰτίαν ὡμολόγησαν τὴν ἐπιθυμίαν αὐτῶν· καὶ τότε κοινῇ συνετάξαντο καιρὸν ὅτε αὐτὴν δυνήσονται εὑρεῖν μόνην.
Sut 1:15	καὶ ἐγένετο ἐν τῷ παρατηρεῖν αὐτοὺς ἡμέραν εὔθετον εἰσῆλθέν ποτε καθὼς ἐχθὲς καὶ τρίτης ἡμέρας μετὰ δύο μόνων κορασίων, καὶ ἐπεθύμησε λούσασθαι ἐν τῷ παραδείσῳ, ὅτι καῦμα ἦν.
Sut 1:16	καὶ οὐκ ἦν ἐκεῖ οὐδεὶς πλὴν οἱ δύο πρεσβύτεροι κεκρυμμένοι καὶ παρατηροῦντες αὐτήν.
Sut 1:17	καὶ εἶπεν τοῖς κορασίοις Ἐνέγκατε δή μοι ἔλαιον καὶ σμήγματα, καὶ τὰς θύρας τοῦ παραδείσου κλείσατε, ὅπως λούσωμαι.
Sut 1:18	καὶ ἐποίησαν καθὼς εἶπεν, καὶ ἀπέκλεισαν τὰς θύρας τοῦ παραδείσου, καὶ ἐξῆλθαν κατὰ τὰς πλαγίας θύρας ἐνέγκαι τὰ προστεταγμένα αὐταῖς, καὶ οὐκ εἴδοσαν τοὺς πρεσβυτέρους, ὅτι ἦσαν κεκρυμμένοι.
Sut 1:19	καὶ ἐγένετο ὡς ἐξήλθοσαν τὰ κοράσια, καὶ ἀνέστησαν οἱ δύο πρεσβῦται καὶ ἐπέδραμον αὐτῇ,
Sut 1:20	καὶ εἶπον Ἰδοὺ αἱ θύραι τοῦ παραδείσου κέκλεινται, καὶ οὐδεὶς θεωρεῖ ἡμᾶς, καὶ ἐν ἐπιθυμίᾳ σού ἐσμεν· διὸ συνκατάθου ἡμῖν, καὶ γενοῦ μεθ᾽ ἡμῶν.
Sut 1:21	εἰ δὲ μή, καταμαρτυρήσομέν σου ὅτι ἦν μετὰ σοῦ νεανίσκος, καὶ διὰ τοῦτο ἐξαπέστειλας τὰ κοράσια ἀπὸ σου.
Sut 1:22	καὶ ἀνεστέναξεν Σουσάννα καὶ εἶπεν Στενά μοι πάντοθεν· ἐάν τε γὰρ τοῦτο πράξω, θάνατός μοί ἐστιν· ἐάν τε μὴ πράξω, οὐκ ἐκφεύξομαι τὰς χεῖρας ὑμῶν.
Sut 1:23	αἱρετόν μοί ἐστιν μὴ πράξασαν ἐνπεσεῖν εἰς τὰς χεῖρας ὑμῶν ἢ ἁμαρτεῖν ἐνώπιον Κυρίου.
Sut 1:24	καὶ ἀνεβόησεν φωνῇ μεγάλῃ Σουσάννα· ἐβόησαν δὲ καὶ οἱ δύο πρεσβῦται κατέναντι αὐτῆς.
Sut 1:25	καὶ δραμὼν ὁ εἷς ἤνοιξεν τὰς θύρας τοῦ παραδείσου.
Sut 1:26	ὡς δὲ ἤκουσαν τὴν κραυγὴν ἐν τῷ παραδείσῳ οἱ ἐκ τῆς οἰκίας, εἰσεπήδησαν διὰ τῆς πλαγίας θύρας ἰδεῖν τὸ συμβεβηκὸς αὐτῇ.
Sut 1:27	ἡνίκα δὲ εἶπαν οἱ πρεσβῦται τοὺς λόγους αὐτῶν, κατῃσχύνθησαν οἱ δοῦλοι σφόδρα, ὅτι πώποτε οὐκ ἐρρέθη λόγος τοιοῦτος περὶ Σουσάννης.
Sut 1:28	καὶ ἐγένετο τῇ ἐπαύριον ὡς συνῆλθεν ὁ λαὸς πρὸς τὸν ἄνδρα αὐτῆς Ἰωακείμ, ἦλθον οἱ δύο πρεσβῦται πλήρεις τῆς ἀνόμου ἐννοίας κατὰ Σουσάννης τοῦ θανατῶσαι αὐτήν, καὶ εἶπαν ἔμπροσθεν τοῦ λαοῦ
Sut 1:29	Ἀποστείλατε ἐπὶ Σουσάνναν θυγατέρα Χελκίου ἥ ἐστιν γυνὴ Ἰωακείμ. οἱ δὲ ἀπέστειλαν.
Sut 1:30	καὶ ἦλθεν αὐτὴ καὶ οἱ γονεῖς αὐτῆς καὶ τὰ τέκνα αὐτῆς καὶ πάντες οἱ συγγενεῖς αὐτῆς.
Sut 1:31	ἡ δὲ Σουσάννα ἦν τρυφερὰ σφόδρα καὶ καλὴ τῷ εἴδει.
Sut 1:32	οἱ δὲ παράνομοι ἐκέλευσαν ἀποκαλυφθῆναι αὐτήν, ἦν γὰρ κατακεκαλυμμένη, ὅπως ἐμπλησθῶσιν τοῦ κάλλους αὐτῆς.
Sut 1:33	ἔκλαιον δὲ οἱ παρ᾽ αὐτῆς καὶ πάντες οἱ ἰδόντες αὐτήν.
Sut 1:34	ἀναστάντες δὲ οἱ δύο πρεσβῦται ἐν μέσῳ τῷ λαῷ ἔθηκαν τὰς χεῖρας ἐπὶ τὴν κεφαλὴν αὐτῆς·
Sut 1:35	ἡ δὲ κλαίουσα ἀνέβλεψεν εἰς τὸν οὐρανόν, ὅτι ἦν ἡ καρδία αὐτῆς πεποιθυῖα ἐπὶ Κυρίῳ.
Sut 1:36	εἶπαν δὲ οἱ πρεσβῦται Περιπατούντων ἡμῶν ἐν τῷ παραδείσῳ μόνων εἰσῆλθεν αὕτη μετὰ δύο παιδισκῶν, καὶ ἀπέκλεισεν τὰς θύρας τοῦ παραδείσου καὶ ἀπέλυσεν τὰς παιδίσκας.
Sut 1:37	καὶ ἦλθεν πρὸς αὐτὴν νεανίσκος, ὃς ἦν κεκρυμμένος, καὶ ἀνέπεσε μετ᾽ αὐτῆς.
Sut 1:38	ἡμεῖς δὲ ὄντες ἐν τῇ γωνίᾳ τοῦ παραδείσου ἰδόντες τὴν ἀνομίαν ἐδράμομεν ἐπ᾽ αὐτούς·
Sut 1:39	καὶ ἰδόντες συγγινομένους αὐτούς, ἐκείνου μὲν οὐκ ἠδυνήθημεν ἐγκρατεῖς γενέσθαι διὰ τὸ ἰσχύειν αὐτὸν ὑπὲρ ἡμᾶς καὶ ἀνοίξαντα τὰς θύρας ἐκπεπηδηκέναι,
Sut 1:40	ταύτης δὲ ἐπιλαβόμενοι ἐπηρωτῶμεν τίς ἦν ὁ νεανίσκος·
Sut 1:41	καὶ οὐκ ἠθέλησεν ἀναγγεῖλαι ἡμῖν. ταῦτα μαρτυροῦμεν. καὶ ἐπίστευσεν αὐτοῖς ἡ συναγωγὴ ὡς πρεσβυτέροις τοῦ λαοῦ καὶ κριταῖς, καὶ κατέκριναν αὐτὴν ἀποθανεῖν.
Sut 1:42	ἀνεβόησεν δὲ φωνῇ μεγάλῃ Σουσάννα καὶ εἶπεν Ὁ θεὸς ὁ αἰώνιος ὁ τῶν κρυπτῶν γνώστης, ὁ εἰδὼς τὰ πάντα πρὶν γενέσεως αὐτῶν,
Sut 1:43	σὺ ἐπίστασαι ὅτι ψευδῆ μου κατεμαρτύρησαν· καὶ ἰδοὺ ἀποθνήσκω, μὴ ποιήσασα μηδὲν ὧν οὗτοι ἐπονηρεύσαντο κατ᾽ ἐμοῦ.
Sut 1:44	Καὶ εἰσήκουσεν Κύριος τῆς φωνῆς αὐτῆς.
Sut 1:45	καὶ ἀπαγομένης αὐτῆς ἀπολέσθαι, ἐξήγειρεν ὁ θεὸς τὸ πνεῦμα τὸ ἅγιον παιδαρίου νεωτέρου ᾧ ὄνομα Δανιήλ.
Sut 1:46	καὶ ἐβόησεν φωνῇ μεγάλῃ Ἀθῷος ἐγὼ ἀπὸ τοῦ αἵματος ταύτης.
Sut 1:47	ἐπέστρεψεν δὲ πᾶς ὁ λαὸς πρὸς αὐτὸν καὶ εἶπαν Τίς ὁ λόγος οὗτος ὃν σὺ λελάληκας;
Sut 1:48	ὁ δὲ στὰς ἐν μέσῳ αὐτῶν εἶπεν Οὕτως μωροί, οἱ υἱοὶ Ἰσραήλ; οὐκ ἀνακρίναντες οὐδὲ τὸ σαφὲς ἐπιγνόντες κατεκρίνατε θυγατέρα Ἰσραήλ;
Sut 1:49	ἀναστρέψατε εἰς τὸ κριτήριον· ψευδῆ γὰρ οὗτοι κατεμαρτύρησαν αὐτῆς.
Sut 1:50	καὶ ἀνέστρεψεν πᾶς ὁ λαὸς μετὰ σπουδῆς. καὶ εἶπαν αὐτῷ οἱ πρεσβύτεροι Δεῦρο κάθισον ἐν μέσῳ ἡμῶν καὶ ἀνάγγειλον ἡμῖν, ⸂⸆⸃ ὅτι σοὶ δέδωκεν ὁ θεὸς τὸ πρεσβεῖον.
Sut 1:51	καὶ εἶπεν πρὸς αὐτοὺς Δανιήλ Διαχωρίσατε αὐτοὺς ἀπ᾽ ἀλλήλων μακράν, καὶ ἀνακρινῶ αὐτούς.
