Bel 1:1	Ἐκ προφητείας Ἁμβακοὺμ υἱοῦ Ἰησοῦ, ἐκ τῆς φυλῆς Λευί.
Bel 1:2	Ἄνθρωπός τις ἦν ἱερεύς, ᾧ ὄνομα Δανιήλ, υἱὸς Ἁβάλ, συμβιωτὴς τοῦ βασιλέως Βαβυλῶνος.
Bel 1:3	καὶ ἦν εἴδωλον, Βήλ, ὃ ἐσέβοντο οἱ Βαβυλώνιοι· ἀνηλίσκετο δὲ αὐτῷ καθ᾽ ἑκάστην ἡμέραν σεμιδάλεως ἀρτάβαι δέκα δύο καὶ πρόβατα τέσσαρα καὶ ἐλαίου μετρηταὶ ἕξ.
Bel 1:4	καὶ ὁ βασιλεὺς ἐσέβετο αὐτόν, καὶ ἐπορεύετο ὁ βασιλεὺς καθ᾽ ἑκάστην ἡμέραν καὶ προσεκύνει αὐτῷ, Δανιὴλ δὲ προσηύχετο πρὸς Κύριον· καὶ εἶπεν ὁ βασιλεὺς τῷ Δανιήλ Διὰ τί οὐ προσκυνεῖς τῷ Βήλ;
Bel 1:5	καὶ εἶπε Δανιὴλ πρὸς τὸν βασιλέα Οὐδένα σέβομαι ἐγὼ εἰ μὴ Κύριον τὸν θεὸν τὸν κτίσαντα τὸν οὐρανὸν καὶ τὴν γῆν καὶ ἔχοντα πάσης σαρκὸς κυρείαν.
Bel 1:6	εἶπεν δὲ ὁ βασιλεὺς αὐτῷ Οὗτος οὖν οὐκ ἔστι θεός; οὐχ ὁρᾷς ὅσα εἰς αὐτὸν δαπανᾶται καθ᾽ ἑκάστην ἡμέραν;
Bel 1:7	καὶ εἶπεν αὐτῷ Δανιήλ Μηδαμῶς, μηδείς σε παραλογιζέσθω· οὗτος γὰρ ἔσωθεν μὲν πήλινός ἐστιν, ἔξωθεν δὲ χαλκοῦς· ὀμνύω δέ σοι Κύριον τὸν θεὸν τῶν θεῶν, ὅτι οὐθὲν βέβρωκε πώποτε οὗτος.
Bel 1:8	καὶ θυμωθεὶς ὁ βασιλεὺς ἐκάλεσε τοὺς προεστηκότας τοῦ ἱεροῦ καὶ εἶπεν αὐτοῖς Παραδείξατε τὸν ἐσθίοντα τὰ παρασκευαζόμενα τῷ Βήλ· εἰ δὲ μή γε, ἀποθανεῖσθε,
Bel 1:9	ἢ Δανιὴλ ὁ φάσκων μὴ ἐσθίεσθαι αὐτὰ ὑπ᾽ αὐτοῦ. οἱ δὲ εἶπαν Αὐτὸς ὁ Βήλ ἐστιν ὁ κατεσθίων αὐτά· εἶπε δὲ Δανιὴλ πρὸς τὸν βασιλέα Γινέσθω οὕτως· ἐὰν μὴ παραδείξω ὅτι οὐκ ἔστιν ὁ Βὴλ ὁ κατεσθίων ταῦτα, ἀποθανοῦμαι καὶ πάντες οἱ παρ᾽ ἐμοῦ.
Bel 1:10	ἦσαν δὲ τῷ Βὴλ ἱερεῖς ἑβδομήκοντα χωρὶς γυναικῶν καὶ τέκνων. ἤγαγον δὲ τὸν βασιλέα εἰς τὸ εἰδώλιον·
Bel 1:11	καὶ παρετέθη τὰ βρώματα ἐνώπιον τοῦ βασιλέως καὶ τοῦ Δανιήλ, καὶ οἶνος κερασθεὶς εἰσηνέχθη καὶ παρετέθη τῷ Βήλ. καὶ εἶπεν Δανιήλ Σὺ αὐτὸς ὁρᾷς ὅτι κεῖται ταῦτα, βασιλεῦ· σὺ οὖν ἐπισφράγισαι τὰς κλεῖδας τοῦ ναοῦ, ἐπὰν κλεισθῇ. ἤρεσεν δὲ ὁ λόγος τῷ βασιλεῖ.
Bel 1:12	
Bel 1:13	
Bel 1:14	ὁ δὲ Δανιὴλ ἐκέλευσε τοὺς παρ᾽ αὐτοῦ ἐκβαλόντας πάντας ἐκ τοῦ ναοῦ κατασῆσαι ὅλον τὸν ναὸν σποδῷ, οὐθενὸς τῶν ἐκτὸς αὐτοῦ εἰδότος. καὶ τότε σφραγισάμενος τὸν ναὸν ἐκέλευσε σφραγίσαι τῷ τοῦ βασιλέως δακτυλίῳ καὶ τοῖς δακτυλίοις τινῶν ἐνδόξων ἱερέων· καὶ ἐγένετο οὕτως.
Bel 1:15	καὶ ἐγένετο τῇ ἐπαύριον παρεγένοντο ἐπὶ τὸν τόπον· οἱ δὲ ἱερεῖς τοῦ Βὴλ διὰ ψευδοθυρίδων εἰσελθόντες κατεφάγοσαν πάντα τὰ παρακείμενα τῷ Βὴλ καὶ ἐξέπιον τὸν οἶνον. καὶ εἶπεν Δανιήλ Ἐπίδετε τὰς σφραγῖδας ὑμῶν εἰ μένουσιν, ἄνδρες ἱερεῖς· καὶ σὺ δέ, βασιλεῦ, σκέψαι μή τί σοι ἀσύμφωνον γεγένηται. καὶ εὗρον ὡς ἦν ἡ σφραγίς, καὶ ἀπέβαλον τὴν σφραγῖδα.
Bel 1:16	
Bel 1:17	
Bel 1:18	καὶ ἀνοίξαντες τὰς θύρας εἴδοσαν δεδαπανημένα πάντα τὰ παρατεθέντα, καὶ τὰς τραπέζας κενάς· καὶ ἐχάρη ὁ βασιλεύς, καὶ εἶπεν πρὸς τὸν Δανιήλ Μέγας ἐστὶν ὁ Βήλ, καὶ οὐκ ἔστι παρ᾽ αὐτῷ δόλος.
Bel 1:19	καὶ ἐγέλασε Δανιὴλ σφόδρα καὶ εἶπεν τῷ βασιλεῖ Δεῦρο ἴδε τὸν δόλον τῶν ἱερέων. καὶ εἶπεν Δανιήλ Βασιλεῦ, ταῦτα τὰ ἴχνη τίνος ἐστί;
Bel 1:20	καὶ εἶπεν ὁ βασιλεύς Ἀνδρῶν καὶ γυναικῶν καὶ παιδίων.
Bel 1:21	καὶ ἐπῆλθεν ἐπὶ τὸν οἶκον ἐν ᾧ ἦσαν οἱ ἱερεῖς καταγινόμενοι, καὶ εὗρε τὰ βρώματα τοῦ Βὴλ καὶ τὸν οἶνον· καὶ ἐπέδειξε Δανιὴλ τῷ βασιλεῖ τὰ ψευδοθύρια, δι᾽ ὧν εἰσπορευόμενοι οἱ ἱερεῖς ἐδαπάνων τὰ παρατιθέμενα τῷ Βήλ.
Bel 1:22	καὶ ἐξήγαγεν αὐτοὺς ὁ βασιλεὺς ἐκ τοῦ Βηλίου, καὶ παρέδωκεν αὐτοὺς τῷ Δανιήλ· καὶ τὴν δαπάνην τὴν εἰς αὐτὸν ἔδωκε τῷ Δανιήλ, τὸν δὲ Βὴλ κατέστρεψε.
Bel 1:23	Καὶ ἦν δράκων ἐν τῷ αὐτῷ τόπῳ, καὶ ἐσέβοντο οἱ Βαβυλώνιοι.
Bel 1:24	καὶ εἷπεν ὁ βασιλεὺς τῷ Δανιήλ Μὴ καὶ τοῦτον ἐρεῖς ὅτι χαλκοῦς ἐστιν; ἰδοὺ ζῇ καὶ ἐσθίει καὶ πίνει, προσκύνησον αὐτῷ.
Bel 1:25	
Bel 1:26	καὶ εἶπεν Δανιήλ Βασιλεῦ, δός μοι τὴν ἐξουσίαν, καὶ ἀνελῶ τὸν δράκοντα ἄνευ σιδήρου καὶ ῥάβδου. καὶ συνεχώρησεν αὐτῷ ὁ βασιλεὺς καὶ εἶπεν αὐτῷ Δέδοταί σοι.
Bel 1:27	καὶ λαβὼν ὁ Δανιὴλ πίσσης μνᾶς τριάκοντα καὶ στέαρ καὶ τρίχας ἥψησεν ἐπὶ τὸ αὐτὸ καὶ ἐποίησεν μάζαν, καὶ ἐνέβαλεν εἰς τὸ στόμα τοῦ δράκοντος· καὶ φαγὼν διερράγη. καὶ ἔδειξεν αὐτὸν τῷ βασιλεῖ λέγων Οὐ ταῦτα σέβεσθε, βασιλεῦ;
Bel 1:28	καὶ συνήχθησαν οἱ ἀπὸ τῆς χώρας πάντες ἐπὶ τὸν Δανιὴλ καὶ εἶπαν Ἰουδαῖος γέγονεν ὁ βασιλεύς· τὸν Βὴλ κατέστρεψε καὶ τὸν δράκοντα ἀπέκτεινε.
Bel 1:29	
Bel 1:30	καὶ ἰδὼν ὁ βασιλεὺς ὅτι ἐπισυνήχθη ὁ ὄχλος τῆς χώρας ἐπ᾽ αὐτόν, ἐκάλεσε τοὺς συμβιωτὰς αὐτοῦ καὶ εἶπεν Δίδωμι τὸν Δανιὴλ εἰς ἀπώλειαν.
Bel 1:31	ἦν δὲ λάκκος ἐν ᾧ ἐτρέφοντο λέοντες ἑπτά, οἷς παρεδίδοντο οἱ ἐπίβουλοι τοῦ βασιλέως, καὶ ἐχορηγεῖτο αὐτοῖς καθ᾽ ἑκάστην ἡμέραν τῶν ἐπιθανατίων σώματα δύο. καὶ ἐνεβάλοσαν τὸν Δανιὴλ οἱ ὄχλοι εἰς ἐκεῖνον τὸν λάκκον, ἵνα καταβρωθῇ καὶ μηδὲ ταφῆς τύχῃ. καὶ ἦν ἐν τῷ λάκκῳ Δανιὴλ ἡμέρας ἕξ.
Bel 1:32	
Bel 1:33	καὶ ἐγένετο τῇ ἡμέρᾳ τῇ ἕκτῃ καὶ ἦν Ἁμβακοὺμ ἔχων ἄρτους ἐντεθρυμμένους ἐν σκάφῃ ἐν ἑψήματι καὶ στάμνον οἴνου κεκερασμένου, καὶ ἐπορεύετο εἰς τὸ πεδίον πρὸς τοὺς θεριστάς.
Bel 1:34	καὶ ἐλάλησεν ἄγγελος Κυρίου πρὸς Ἁμβακοὺμ λέγων Τάδε λέγει σοι Κύριος ὁ θεός Τὸ ἄριστον ὃ ἔχεις ἀπένεγκε Δανιὴλ εἰς τὸν λάκκον τῶν λεόντων ἐν Βαβυλῶνι.
Bel 1:35	καὶ εἶπεν Ἁμβακούμ Κύριε ὁ θεός, οὐχ ἑώρακα τὴν Βαβυλῶνα, καὶ τὸν λάκκον οὐ γινώσκω ποῦ ἐστι.
Bel 1:36	καὶ ἐπιλαβόμενος αὐτοῦ ὁ ἄγγελος Κυρίου τοῦ Ἁμβακοὺμ τῆς κόμης αὐτοῦ τῆς κεφαλῆς ἔθηκεν αὐτὸν ἐπάνω τοῦ λάκκου τοῦ ἐν Βαβυλῶνι.
Bel 1:37	καὶ εἶπεν Ἁμβακοὺμ πρὸς Δανιήλ Ἀναστὰς φάγε τὸ ἄριστον ὃ ἀπέστειλέ σοι Κύριος ὁ θεός.
Bel 1:38	καὶ εἶπεν Δανιήλ Ἐμνήσθη γάρ μου Κύριος ὁ θεὸς ὁ μὴ ἐγκαταλείπων τοὺς ἀγαπῶντας αὐτόν.
Bel 1:39	καὶ ἔφαγε Δανιήλ· ὁ δὲ ἄγγελος Κυρίου κατέστησε τὸν Ἁμβακοὺμ ὅθεν αὐτὸν ἔλαβε τῇ αὐτῇ ἡμέρᾳ. ὁ δὲ κύριος ὁ θεὸς ἐμνήσθη τοῦ Δανιήλ.
Bel 1:40	ἐξῆλθε δὲ ὁ βασιλεὺς μετὰ ταῦτα πενθῶν τὸν Δανιήλ, καὶ ἐγκύψας εἰς τὸν λάκκον ὁρᾷ αὐτὸν καθήμενον.
Bel 1:41	καὶ ἀναβοήσας εἶπεν ὁ βασιλεύς Μέγας ἐστὶ Κύριος ὁ θεός, καὶ οὐκ ἔστι πλὴν αὐτοῦ ἄλλος.
Bel 1:42	καὶ ἐξήγαγεν ὁ βασιλεὺς τὸν Δανιὴλ ἐκ τοῦ λάκκου, καὶ τοὺς αἰτίους τῆς ἀπωλείας αὐτοῦ ἐνέβαλεν εἰς τὸν λάκκον ἐνώπιον τοῦ Δανιήλ, καὶ κατεβρώθησαν.
