Pss 1:1	ΕΒΟΗΣΑ πρὸς Κύριον ἐν τῷ θλίβεσθαί με εἰς τέλος, πρὸς τὸν θεὸν ἐν τῷ ἐπιθέσθαι ἁμαρτωλούς.
Pss 1:2	ἐξάπινα ἠκούσθη κραυγὴ πολέμου ἐνώπιόν μου· ἐπακούσεταί μου, ὅτι ἐπλήσθην δικαιοσύνης.
Pss 1:3	ἐλογισάμην ἐν καρδίᾳ μου ὅτι ἐπλήσθην δικαιοσύνης, ἐν τῷ εὐθηνῆσαί με καὶ πολλὴν γενέσθαι ἐν τέκνοις.
Pss 1:4	ὁ πλοῦτος αὐτῶν διεδόθη εἰς πᾶσαν τὴν γῆν, καὶ ἡ δόξα αὐτῶν ἕως ἐσχάτου τῆς γῆς.
Pss 1:5	ὑψώθησαν ἕως τῶν ἄστρων, εἶπαν Οὐ μὴ πέσωσιν·
Pss 1:6	καὶ ἐξύβρισαν ἐν τοῖς ἀγαθοῖς αὐτῶν, καὶ οὐκ ἤνεγκαν.
Pss 1:7	αἱ ἁμαρτίαι αὐτῶν ἐν ἀποκρύφοις, καὶ ἐγὼ οὐκ ᾔδειν·
Pss 1:8	αἱ ἀνομίαι αὐτῶν ὑπὲρ τὰ πρὸ αὐτῶν ἔθνη, ἐβεβήλωσαν τὰ ἅγια Κυρίου ἐν βεβηλώσει.
Pss 2:1	Ψαλμὸς τῷ Σαλωμὼν περὶ Ἰερουσαλήμ. Ἐν τῷ ὑπερηφανεύεσθαι τὸν ἁμαρτωλὸν ἐν κριῷ κατέβαλλε τείχη ὀχυρά, καὶ οὐκ ἐκώλυσας.
Pss 2:2	ἀνέβησαν ἐπὶ τὸ θυσιαστήριόν σου ἔθνη ἀλλότρια, κατεπατοῦσαν ἐν ὑποδήμασιν αὐτῶν ἐν ὑπερηφανίᾳ.
Pss 2:3	ἀνθ᾽ ὧν οἱ υἱοὶ Ἰερουσαλὴμ ἐμίαναν τὰ ἅγια Κυρίου, ἐβεβηλοῦσαν τὰ δῶρα τοῦ θεοῦ ἐν ἀνομίαις·
Pss 2:4	ἕνεκεν τούτων εἶπεν Ἀπορίψατε αὐτὰ μακρὰν ἀπ᾽ ἐμοῦ, οὐκ εὐόδωκεν αὐτοῖς τὸ κάλλος τῆς δόξης αὐτοῦ·
Pss 2:5	ἐξουθενώθη ἐνώπιον τοῦ θεοῦ, ἠτιμώθη ἕως εἰς τέλος.
Pss 2:6	υἱοὶ καὶ θυγατέρες ἐν αἰχμαλωσίᾳ πονηρᾷ, ἐν σφραγῖδι ὁ τράχηλος αὐτῶν, ἐν ἐπισήμῳ ἐν τοῖς ἔθνεσιν·
Pss 2:7	κατὰ τὰς ἁμαρτίας αὐτῶν ἐποίησεν αὐτοῖς, ὅτι ἐγκατέλειπεν αὐτοὺς εἰς χεῖρας κατισχυόντων·
Pss 2:8	ἀπέστρεψεν γὰρ τὸ πρόσωπον αὐτοῦ ἀπὸ ἐλέους αὐτῶν, νέον καὶ πρεσβύτην καὶ τέκνα αὐτῶν εἰς ἅπαξ·
Pss 2:9	ὅτι πονηρὰ ἐποίησαν εἰς ἅπαξ, τοῦ μὴ ἀκούειν.
Pss 2:10	καὶ ὁ οὐρανὸς ἐβαρυθύμησε, καὶ ἡ γῆ ἐβδελύξατο αὐτούς,
Pss 2:11	ὅτι οὐκ ἐποίησεν πᾶς ἄνθρωπος ἐπ᾽ αὐτῆς ὅσα ἐποίησαν.
Pss 2:12	καὶ γνώσεται ἡ γῆ τὰ κρίματά σου πάντα τὰ δίκαια, ὁ θεός.
Pss 2:13	ἔστησαν τοὺς υἱοὺς Ἰερουσαλὴμ εἰς ἐμπαιγμόν, ἀντὶ πορνῶν ἐν αὐτῇ· πᾶς ὁ πορευομενος εἰσεπορεύετο κατέναντι τοῦ ἡλίου· ἐνέπαιζον ταῖς ἀνομίαις αὐτῶν·
Pss 2:14	καθὰ ἐποίουν αὐτοί, ἀπέναντι τοῦ ἡλίου παρεδειγμάτισαν ἀδικίας αὐτῶν. καὶ θυγατέρες Ἰερουσαλὴμ βέβηλοι κατὰ τὸ κρίμα σου,
Pss 2:15	ἀνθ᾽ ὧν αὐταὶ ἐμιαίωσαν αὑτὰς ἐν φυρμῷ ἀναμίξεως. τὴν κοιλίαν μου καὶ τὰ σπλάγχνα μου πονῶ ἐπὶ τούτοις.
Pss 2:16	ἐγὼ δικαιώσω σε, ὁ θεός, ἐν εὐθύτητι καρδίας· ὅτι ἐν τοῖς κρίμασίν σου ἡ δικαιοσύνη σου, ὁ θεός.
Pss 2:17	ὅτι ἀπέδωκας τοῖς ἁμαρτωλοῖς κατὰ τὰ ἔργα αὐτῶν, καὶ κατὰ τὰς ἁμαρτίας αὐτῶν τὰς πονηρὰς σφόδρα.
Pss 2:18	ἀνέκαλυψας τὰς ἁμαρτίας αὐτῶν, ἵνα φανῇ τὸ κρίμα σου·
Pss 2:19	ἐξήλειψας τὸ μνημόσυνον αὐτῶν ἀπὸ τῆς γῆς. ὁ θεὸς κριτὴς δίκαιος, καὶ οὐ θαυμάσει πρόσωπον.
Pss 2:20	ὠνείδισαν γὰρ ἔθνη Ἰερουσαλὴμ ἐν καταπατήσει· κατέσπασεν τὸ κάλλος αὐτῆς ἀπὸ θρόνου δόξης.
Pss 2:21	περιεζώσατο σάκκον ἀντὶ ἐνδύματος εὐπρεπείας, σχοινίον περὶ τὴν κεφαλὴν αὐτῆς ἀντὶ στεφάνου.
Pss 2:22	περιείλατο μίτραν δόξης ἣν περιέθηκεν αὐτῇ ὁ θεός·
Pss 2:23	ἐν ἀτιμίᾳ τὸ κάλλος αὐτῆς ἀπερρίφη ἐπὶ τὴν γῆν.
Pss 2:24	καὶ ἐγὼ εἶδον, καὶ ἐδεήθην τοῦ προσώπου Κυρίου καὶ εἶπον Ἱκάνωσον, Κύριε, τοῦ βαρύνεσθαι χεῖράς σου ἐπὶ Ἰσραὴλ ἐν ἐπαγωγῇ ἐθνῶν.
Pss 2:25	ὅτι ἐνέπαιξαν καὶ οὐκ ἐφείσαντο, ἐν ὀργῇ καὶ θυμῷ μετὰ μηνίσεως·
Pss 2:26	καὶ συντελεσθήσονται, ἐὰν μὴ σύ, Κύριε, ἐπιτιμήσεις αὐτοῖς ἐν ὀργῇ σου.
Pss 2:27	ὅτι οὐκ ἐν ζήλει ἐποίησαν, ἀλλ᾽ ἐν ἐπιθυμίᾳ ψυχῆς,
Pss 2:28	ἐκχέαι τὴν ὀργὴν αὐτῶν εἰς ἡμᾶς ἐν ἁρπάγματι. καὶ μὴ χρονίσῃς, ὁ θεός, τοῦ ἀποδοῦναι αὐτοῖς εἰς κεφαλάς,
Pss 2:29	τοῦ εἰπεῖν τὴν ὑπερηφανίαν τοῦ δράκοντος ἐν ἀτιμίᾳ.
Pss 2:30	καὶ οὐκ ἐχρόνισα ἕως ἔδειξέν μοι ὁ θεὸς τὴν ὕβριν αὐτοῦ, ἐκκεκεντημένον ἐπὶ τῶν ὀρέων Αἰγύπτου, ὑπὲρ ἐλαχίστου ἐξουδενωμένον ἐπὶ γῆς καὶ θαλάσσης·
Pss 2:31	τὸ σῶμα αὐτοῦ διαφερόμενον ἐπὶ κυμάτων ἐν ὕβρει πολλῇ, καὶ οὐκ ἦν ⸂⸆⸃ ὁ θάπτων·
Pss 2:32	ὅτι ἐξουθένωσεν αὐτὸν ἐν ἀτιμίᾳ· οὐκ ἐλογίσατο ὅτι ἄνθρωπός ἐστιν, καὶ τὸ ὕστερον οὐκ ἐλογίσατο.
Pss 2:33	εἶπεν Ἐγὼ κύριος γῆς καὶ θαλάσσης ἔσομαι· καὶ οὐκ ἐπέγνω ὅτι ὁ θεὸς μέγας, κραταιὸς ἐν ἰσχύι αὐτοῦ τῇ μεγάλῃ.
Pss 2:34	αὐτὸς βασιλεὺς ἐπὶ τῶν οὐρανῶν καὶ κρίνων βασιλεῖς καὶ ἀρχάς·
Pss 2:35	ὁ ἀνιστῶν ἐμὲ εἰς δόξαν, καὶ κοιμίζων ὑπερηφάνους εἰς ἀπωλίαν αἰῶνος ἐν ἀτιμίᾳ, ὅτι οὐκ ἔγνωσαν αὐτόν.
Pss 2:36	καὶ νῦν ἴδετε, οἱ μεγιστᾶνες τῆς γῆς, τὸ κρίμα τοῦ κυρίου· ὅτι μέγας βασιλεὺς καὶ δίκαιος, κρίνων τὴν ὑπ᾽ οὐρανόν.
Pss 2:37	εὐλογεῖτε τὸν θεόν, οἱ φοβούμενοι τὸν κύριον ἐν ἐπιστήμῃ, ὅτι τὸ ἔλεος Κυρίου ἐπὶ τοὺς φοβουμένους αὐτόν, μετὰ κρίματος,
Pss 2:38	τοῦ διαστεῖλαι ἀνὰ μέσον δικαίου καὶ ἁμαρτωλοῦ, ἀποδοῦναι ἁμαρτωλοῖς εἰς τὸν αἰῶνα κατὰ τὰ ἔργα αὐτῶν·
Pss 2:39	καὶ ἐλεῆσαι δίκαιον ἀπὸ ταπεινώσεως ἁμαρτωλοῦ, καὶ ἀποδοῦναι ἁμαρτωλῷ ἀνθ᾽ ὧν ἐποίησεν δικαίῳ.
Pss 2:40	ὅτι χρηστὸς ὁ κύριος τοῖς ἐπικαλουμένοις αὐτὸν ἐν ὑπομονῇ, ποιῆσαι κατὰ τὸ ἔλεος αὐτοῦ τοῖς ὁσίοις αὐτοῦ, παρεστάναι διὰ παντὸς ἐνώπιον αὐτοῦ ἐν ἰσχύι.
Pss 2:41	εὐλογητὸς Κύριος εἰς τὸν αἰῶνα ἐνώπιον δούλων αὐτοῦ.
Pss 3:1	Ψαλμὸς τῷ Σαλωμὼν περὶ δικαίων. Ἵνα τί ὑπνοῖς, ψυχή, καὶ οὐκ εὐλογεῖς τὸν κύριον;
Pss 3:2	ὕμνον καὶ αἶνον ψάλλετε τῷ θεῷ τῷ αἰνετῷ. ψάλλε καὶ γρηγόρησον ἐπὶ τὴν γρηγόρησιν αὐτοῦ· ὅτι ἀγαθὸς ψαλμὸς τῷ θεῷ ἐξ ἀγαθῆς καρδίας.
Pss 3:3	δίκαιοι μνημονεύουσιν διὰ παντὸς τοῦ κυρίου, ἐν ἐξομολογήσει καὶ δικαιώσει τὰ κρίματα τοῦ κυρίου.
Pss 3:4	οὐκ ὀλιγωρήσει δίκαιος παιδευόμενος ὑπὸ τοῦ κυρίου· ἡ εὐδοκία αὐτοῦ διὰ παντὸς ἔναντι Κυρίου.
Pss 3:5	προσέκοψεν ὁ δίκαιος καὶ ἐδικαίωσεν τὸν κύριον· ἔπεσεν, καὶ ἀποβλέπει τί ποιήσει αὐτῷ ὁ θεός·
Pss 3:6	ἀποσκοπεύει ὅθεν ἥξει σωτηρία αὐτῷ.
Pss 3:7	ἀλήθεια τῶν δικαίων παρὰ θεοῦ σωτῆρος αὐτῶν· οὐκ αὐλίζεται ἐν οἴκῳ δικαίου ἁμαρτία ἐφ᾽ ἁμαρτίαν.
Pss 3:8	ἐπισκέπτεται διὰ παντὸς τὸν οἶκον αὐτοῦ ὁ δίκαιος, τοῦ ἐξᾶραι ἀδικίαν ἐν παραπτώματι αὐτοῦ.
Pss 3:9	ἐξιλάσατο περὶ ἀγνοίας ἐν νηστείᾳ καὶ ταπεινώσει ψυχὴν αὐτοῦ·
Pss 3:10	καὶ ὁ κύριος καθαρίζει πᾶν ἄνδρα ὅσιον καὶ τὸν οἶκον αὐτοῦ.
Pss 3:11	προσέκοψεν ἁμαρτωλός, καὶ καταρᾶται ζωὴν αὐτοῦ, τὴν ἡμέραν γενέσεως αὐτοῦ καὶ ὠδῖνας μητρός·
