ref	word	lemma	pos	parse
Matt 1:1	Βίβλος	βίβλος	N-	----NSF-
Matt 1:1	γενέσεως	γένεσις	N-	----GSF-
Matt 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Matt 1:1	χριστοῦ	Χριστός	N-	----GSM-
Matt 1:1	υἱοῦ	υἱός	N-	----GSM-
Matt 1:1	Δαυὶδ	Δαυίδ	N-	----GSM-
Matt 1:1	υἱοῦ	υἱός	N-	----GSM-
Matt 1:1	Ἀβραάμ	Ἀβραάμ	N-	----GSM-
Matt 1:2	Ἀβραὰμ	Ἀβραάμ	N-	----NSM-
Matt 1:2	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:2	τὸν	ὁ	RA	----ASM-
Matt 1:2	Ἰσαάκ	Ἰσαάκ	N-	----ASM-
Matt 1:2	Ἰσαὰκ	Ἰσαάκ	N-	----NSM-
Matt 1:2	δὲ	δέ	C-	--------
Matt 1:2	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:2	τὸν	ὁ	RA	----ASM-
Matt 1:2	Ἰακώβ	Ἰακώβ	N-	----ASM-
Matt 1:2	Ἰακὼβ	Ἰακώβ	N-	----NSM-
Matt 1:2	δὲ	δέ	C-	--------
Matt 1:2	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:2	τὸν	ὁ	RA	----ASM-
Matt 1:2	Ἰούδαν	Ἰούδας	N-	----ASM-
Matt 1:2	καὶ	καί	C-	--------
Matt 1:2	τοὺς	ὁ	RA	----APM-
Matt 1:2	ἀδελφοὺς	ἀδελφός	N-	----APM-
Matt 1:2	αὐτοῦ	αὐτός	RP	----GSM-
Matt 1:3	Ἰούδας	Ἰούδας	N-	----NSM-
Matt 1:3	δὲ	δέ	C-	--------
Matt 1:3	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:3	τὸν	ὁ	RA	----ASM-
Matt 1:3	Φαρὲς	Φαρές	N-	----ASM-
Matt 1:3	καὶ	καί	C-	--------
Matt 1:3	τὸν	ὁ	RA	----ASM-
Matt 1:3	Ζάρα	Ζάρα	N-	----ASM-
Matt 1:3	ἐκ	ἐκ	P-	--------
Matt 1:3	τῆς	ὁ	RA	----GSF-
Matt 1:3	Θαμάρ	Θαμάρ	N-	----GSF-
Matt 1:3	Φαρὲς	Φαρές	N-	----NSM-
Matt 1:3	δὲ	δέ	C-	--------
Matt 1:3	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:3	τὸν	ὁ	RA	----ASM-
Matt 1:3	Ἑσρώμ	Ἑσρώμ	N-	----ASM-
Matt 1:3	Ἑσρὼμ	Ἑσρώμ	N-	----NSM-
Matt 1:3	δὲ	δέ	C-	--------
Matt 1:3	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:3	τὸν	ὁ	RA	----ASM-
Matt 1:3	Ἀράμ	Ἀράμ	N-	----ASM-
Matt 1:4	Ἀρὰμ	Ἀράμ	N-	----NSM-
Matt 1:4	δὲ	δέ	C-	--------
Matt 1:4	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:4	τὸν	ὁ	RA	----ASM-
Matt 1:4	Ἀμιναδάβ	Ἀμιναδάβ	N-	----ASM-
Matt 1:4	Ἀμιναδὰβ	Ἀμιναδάβ	N-	----NSM-
Matt 1:4	δὲ	δέ	C-	--------
Matt 1:4	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:4	τὸν	ὁ	RA	----ASM-
Matt 1:4	Ναασσών	Ναασσών	N-	----ASM-
Matt 1:4	Ναασσὼν	Ναασσών	N-	----NSM-
Matt 1:4	δὲ	δέ	C-	--------
Matt 1:4	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:4	τὸν	ὁ	RA	----ASM-
Matt 1:4	Σαλμών	Σαλμών	N-	----ASM-
Matt 1:5	Σαλμὼν	Σαλμών	N-	----NSM-
Matt 1:5	δὲ	δέ	C-	--------
Matt 1:5	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:5	τὸν	ὁ	RA	----ASM-
Matt 1:5	Βόες	Βόες	N-	----ASM-
Matt 1:5	ἐκ	ἐκ	P-	--------
Matt 1:5	τῆς	ὁ	RA	----GSF-
Matt 1:5	Ῥαχάβ	Ῥαχάβ	N-	----GSF-
Matt 1:5	Βόες	Βόες	N-	----NSM-
Matt 1:5	δὲ	δέ	C-	--------
Matt 1:5	ἐγέννησεν	γεννάω	V-	3AAI-S--
Matt 1:5	τὸν	ὁ	RA	----ASM-
