ref	word	lemma	pos	parse
Mark 1:1	Ἀρχὴ	ἀρχή	N-	----NSF-
Mark 1:1	τοῦ	ὁ	RA	----GSN-
Mark 1:1	εὐαγγελίου	εὐαγγέλιον	N-	----GSN-
Mark 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Mark 1:1	χριστοῦ	Χριστός	N-	----GSM-
Mark 1:2	Καθὼς	καθώς	C-	--------
Mark 1:2	γέγραπται	γράφω	V-	3XPI-S--
Mark 1:2	ἐν	ἐν	P-	--------
Mark 1:2	τῷ	ὁ	RA	----DSM-
Mark 1:2	Ἠσαΐᾳ	Ἠσαΐας	N-	----DSM-
Mark 1:2	τῷ	ὁ	RA	----DSM-
Mark 1:2	προφήτῃ	προφήτης	N-	----DSM-
Mark 1:2	Ἰδοὺ	ἰδού	X-	--------
Mark 1:2	ἀποστέλλω	ἀποστέλλω	V-	1PAI-S--
Mark 1:2	τὸν	ὁ	RA	----ASM-
Mark 1:2	ἄγγελόν	ἄγγελος	N-	----ASM-
Mark 1:2	μου	ἐγώ	RP	----GS--
Mark 1:2	πρὸ	πρό	P-	--------
Mark 1:2	προσώπου	πρόσωπον	N-	----GSN-
Mark 1:2	σου	σύ	RP	----GS--
Mark 1:2	ὃς	ὅς	RR	----NSM-
Mark 1:2	κατασκευάσει	κατασκευάζω	V-	3FAI-S--
Mark 1:2	τὴν	ὁ	RA	----ASF-
Mark 1:2	ὁδόν	ὁδός	N-	----ASF-
Mark 1:2	σου	σύ	RP	----GS--
Mark 1:3	φωνὴ	φωνή	N-	----NSF-
Mark 1:3	βοῶντος	βοάω	V-	-PAPGSM-
Mark 1:3	ἐν	ἐν	P-	--------
Mark 1:3	τῇ	ὁ	RA	----DSF-
Mark 1:3	ἐρήμῳ	ἔρημος	A-	----DSF-
Mark 1:3	Ἑτοιμάσατε	ἑτοιμάζω	V-	2AAD-P--
Mark 1:3	τὴν	ὁ	RA	----ASF-
Mark 1:3	ὁδὸν	ὁδός	N-	----ASF-
Mark 1:3	κυρίου	κύριος	N-	----GSM-
Mark 1:3	εὐθείας	εὐθύς	A-	----APF-
Mark 1:3	ποιεῖτε	ποιέω	V-	2PAD-P--
Mark 1:3	τὰς	ὁ	RA	----APF-
Mark 1:3	τρίβους	τρίβος	N-	----APF-
Mark 1:3	αὐτοῦ	αὐτός	RP	----GSM-
Mark 1:4	ἐγένετο	γίνομαι	V-	3AMI-S--
Mark 1:4	Ἰωάννης	Ἰωάννης	N-	----NSM-
Mark 1:4	ὁ	ὁ	RA	----NSM-
Mark 1:4	βαπτίζων	βαπτίζω	V-	-PAPNSM-
Mark 1:4	ἐν	ἐν	P-	--------
Mark 1:4	τῇ	ὁ	RA	----DSF-
Mark 1:4	ἐρήμῳ	ἔρημος	A-	----DSF-
Mark 1:4	κηρύσσων	κηρύσσω	V-	-PAPNSM-
Mark 1:4	βάπτισμα	βάπτισμα	N-	----ASN-
Mark 1:4	μετανοίας	μετάνοια	N-	----GSF-
Mark 1:4	εἰς	εἰς	P-	--------
Mark 1:4	ἄφεσιν	ἄφεσις	N-	----ASF-
Mark 1:4	ἁμαρτιῶν	ἁμαρτία	N-	----GPF-
Mark 1:5	καὶ	καί	C-	--------
Mark 1:5	ἐξεπορεύετο	ἐκπορεύομαι	V-	3IMI-S--
Mark 1:5	πρὸς	πρός	P-	--------
Mark 1:5	αὐτὸν	αὐτός	RP	----ASM-
Mark 1:5	πᾶσα	πᾶς	A-	----NSF-
Mark 1:5	ἡ	ὁ	RA	----NSF-
Mark 1:5	Ἰουδαία	Ἰουδαία	A-	----NSF-
Mark 1:5	χώρα	χώρα	N-	----NSF-
Mark 1:5	καὶ	καί	C-	--------
Mark 1:5	οἱ	ὁ	RA	----NPM-
Mark 1:5	Ἱεροσολυμῖται	Ἱεροσολυμίτης	N-	----NPM-
Mark 1:5	πάντες	πᾶς	A-	----NPM-
Mark 1:5	καὶ	καί	C-	--------
Mark 1:5	ἐβαπτίζοντο	βαπτίζω	V-	3IPI-P--
Mark 1:5	ὑπ’	ὑπό	P-	--------
Mark 1:5	αὐτοῦ	αὐτός	RP	----GSM-
Mark 1:5	ἐν	ἐν	P-	--------
Mark 1:5	τῷ	ὁ	RA	----DSM-
Mark 1:5	Ἰορδάνῃ	Ἰορδάνης	N-	----DSM-
Mark 1:5	ποταμῷ	ποταμός	N-	----DSM-
Mark 1:5	ἐξομολογούμενοι	ἐξομολογέω	V-	-PMPNPM-
Mark 1:5	τὰς	ὁ	RA	----APF-
Mark 1:5	ἁμαρτίας	ἁμαρτία	N-	----APF-
Mark 1:5	αὐτῶν	αὐτός	RP	----GPM-
Mark 1:6	καὶ	καί	C-	--------
Mark 1:6	ἦν	εἰμί	V-	3IAI-S--
Mark 1:6	ὁ	ὁ	RA	----NSM-
Mark 1:6	Ἰωάννης	Ἰωάννης	N-	----NSM-
Mark 1:6	ἐνδεδυμένος	ἐνδύω	V-	-XMPNSM-
Mark 1:6	τρίχας	θρίξ	N-	----APF-
Mark 1:6	καμήλου	κάμηλος	N-	----GSF-
Mark 1:6	καὶ	καί	C-	--------
Mark 1:6	ζώνην	ζώνη	N-	----ASF-
Mark 1:6	δερματίνην	δερμάτινος	A-	----ASF-
Mark 1:6	περὶ	περί	P-	--------
Mark 1:6	τὴν	ὁ	RA	----ASF-
Mark 1:6	ὀσφὺν	ὀσφύς	N-	----ASF-
Mark 1:6	αὐτοῦ	αὐτός	RP	----GSM-
Mark 1:6	καὶ	καί	C-	--------
Mark 1:6	ἔσθων	ἔσθω	V-	-PAPNSM-
Mark 1:6	ἀκρίδας	ἀκρίς	N-	----APF-
Mark 1:6	καὶ	καί	C-	--------
Mark 1:6	μέλι	μέλι	N-	----ASN-
Mark 1:6	ἄγριον	ἄγριος	A-	----ASN-
Mark 1:7	καὶ	καί	C-	--------
Mark 1:7	ἐκήρυσσεν	κηρύσσω	V-	3IAI-S--
Mark 1:7	λέγων	λέγω	V-	-PAPNSM-
Mark 1:7	Ἔρχεται	ἔρχομαι	V-	3PMI-S--
Mark 1:7	ὁ	ὁ	RA	----NSM-
Mark 1:7	ἰσχυρότερός	ἰσχυρός	A-	----NSMC
Mark 1:7	μου	ἐγώ	RP	----GS--
Mark 1:7	ὀπίσω	ὀπίσω	P-	--------
Mark 1:7	μου	ἐγώ	RP	----GS--
Mark 1:7	οὗ	ὅς	RR	----GSM-
Mark 1:7	οὐκ	οὐ	D-	--------
