ref	word	lemma	pos	parse
Luke 1:1	Ἐπειδήπερ	ἐπειδήπερ	C-	--------
Luke 1:1	πολλοὶ	πολύς	A-	----NPM-
Luke 1:1	ἐπεχείρησαν	ἐπιχειρέω	V-	3AAI-P--
Luke 1:1	ἀνατάξασθαι	ἀνατάσσομαι	V-	-AMN----
Luke 1:1	διήγησιν	διήγησις	N-	----ASF-
Luke 1:1	περὶ	περί	P-	--------
Luke 1:1	τῶν	ὁ	RA	----GPN-
Luke 1:1	πεπληροφορημένων	πληροφορέω	V-	-XPPGPN-
Luke 1:1	ἐν	ἐν	P-	--------
Luke 1:1	ἡμῖν	ἐγώ	RP	----DP--
Luke 1:1	πραγμάτων	πρᾶγμα	N-	----GPN-
Luke 1:2	καθὼς	καθώς	C-	--------
Luke 1:2	παρέδοσαν	παραδίδωμι	V-	3AAI-P--
Luke 1:2	ἡμῖν	ἐγώ	RP	----DP--
Luke 1:2	οἱ	ὁ	RA	----NPM-
Luke 1:2	ἀπ’	ἀπό	P-	--------
Luke 1:2	ἀρχῆς	ἀρχή	N-	----GSF-
Luke 1:2	αὐτόπται	αὐτόπτης	N-	----NPM-
Luke 1:2	καὶ	καί	C-	--------
Luke 1:2	ὑπηρέται	ὑπηρέτης	N-	----NPM-
Luke 1:2	γενόμενοι	γίνομαι	V-	-AMPNPM-
Luke 1:2	τοῦ	ὁ	RA	----GSM-
Luke 1:2	λόγου	λόγος	N-	----GSM-
Luke 1:3	ἔδοξε	δοκέω	V-	3AAI-S--
Luke 1:3	κἀμοὶ	κἀγώ	RP	----DS--
Luke 1:3	παρηκολουθηκότι	παρακολουθέω	V-	-XAPDSM-
Luke 1:3	ἄνωθεν	ἄνωθεν	D-	--------
Luke 1:3	πᾶσιν	πᾶς	A-	----DPN-
Luke 1:3	ἀκριβῶς	ἀκριβῶς	D-	--------
Luke 1:3	καθεξῆς	καθεξῆς	D-	--------
Luke 1:3	σοι	σύ	RP	----DS--
Luke 1:3	γράψαι	γράφω	V-	-AAN----
