ref	word	lemma	pos	parse
Acts 1:1	Τὸν	ὁ	RA	----ASM-
Acts 1:1	μὲν	μέν	X-	--------
Acts 1:1	πρῶτον	πρῶτος	A-	----ASM-
Acts 1:1	λόγον	λόγος	N-	----ASM-
Acts 1:1	ἐποιησάμην	ποιέω	V-	1AMI-S--
Acts 1:1	περὶ	περί	P-	--------
Acts 1:1	πάντων	πᾶς	A-	----GPN-
Acts 1:1	ὦ	ὦ	I-	--------
Acts 1:1	Θεόφιλε	Θεόφιλος	N-	----VSM-
Acts 1:1	ὧν	ὅς	RR	----GPN-
Acts 1:1	ἤρξατο	ἄρχω	V-	3AMI-S--
Acts 1:1	ὁ	ὁ	RA	----NSM-
Acts 1:1	Ἰησοῦς	Ἰησοῦς	N-	----NSM-
Acts 1:1	ποιεῖν	ποιέω	V-	-PAN----
Acts 1:1	τε	τέ	C-	--------
Acts 1:1	καὶ	καί	C-	--------
Acts 1:1	διδάσκειν	διδάσκω	V-	-PAN----
Acts 1:2	ἄχρι	ἄχρι	P-	--------
Acts 1:2	ἧς	ὅς	RR	----GSF-
Acts 1:2	ἡμέρας	ἡμέρα	N-	----GSF-
Acts 1:2	ἐντειλάμενος	ἐντέλλομαι	V-	-AMPNSM-
Acts 1:2	τοῖς	ὁ	RA	----DPM-
Acts 1:2	ἀποστόλοις	ἀπόστολος	N-	----DPM-
Acts 1:2	διὰ	διά	P-	--------
Acts 1:2	πνεύματος	πνεῦμα	N-	----GSN-
Acts 1:2	ἁγίου	ἅγιος	A-	----GSN-
Acts 1:2	οὓς	ὅς	RR	----APM-
Acts 1:2	ἐξελέξατο	ἐκλέγομαι	V-	3AMI-S--
Acts 1:2	ἀνελήμφθη	ἀναλαμβάνω	V-	3API-S--
Acts 1:3	οἷς	ὅς	RR	----DPM-
Acts 1:3	καὶ	καί	D-	--------
Acts 1:3	παρέστησεν	παρίστημι	V-	3AAI-S--
Acts 1:3	ἑαυτὸν	ἑαυτοῦ	RP	----ASM-
Acts 1:3	ζῶντα	ζάω	V-	-PAPASM-
Acts 1:3	μετὰ	μετά	P-	--------
Acts 1:3	τὸ	ὁ	RA	----ASN-
Acts 1:3	παθεῖν	πάσχω	V-	-AAN----
Acts 1:3	αὐτὸν	αὐτός	RP	----ASM-
Acts 1:3	ἐν	ἐν	P-	--------
Acts 1:3	πολλοῖς	πολύς	A-	----DPN-
Acts 1:3	τεκμηρίοις	τεκμήριον	N-	----DPN-
Acts 1:3	δι’	διά	P-	--------
Acts 1:3	ἡμερῶν	ἡμέρα	N-	----GPF-
Acts 1:3	τεσσεράκοντα	τεσσεράκοντα	A-	----GPF-
Acts 1:3	ὀπτανόμενος	ὀπτάνομαι	V-	-PMPNSM-
Acts 1:3	αὐτοῖς	αὐτός	RP	----DPM-
Acts 1:3	καὶ	καί	C-	--------
Acts 1:3	λέγων	λέγω	V-	-PAPNSM-
Acts 1:3	τὰ	ὁ	RA	----APN-
Acts 1:3	περὶ	περί	P-	--------
Acts 1:3	τῆς	ὁ	RA	----GSF-
Acts 1:3	βασιλείας	βασιλεία	N-	----GSF-
Acts 1:3	τοῦ	ὁ	RA	----GSM-
Acts 1:3	θεοῦ	θεός	N-	----GSM-
Acts 1:4	καὶ	καί	C-	--------
Acts 1:4	συναλιζόμενος	συναλίζομαι	V-	-PMPNSM-
Acts 1:4	παρήγγειλεν	παραγγέλλω	V-	3AAI-S--
Acts 1:4	αὐτοῖς	αὐτός	RP	----DPM-
Acts 1:4	ἀπὸ	ἀπό	P-	--------
Acts 1:4	Ἱεροσολύμων	Ἱεροσόλυμα	N-	----GPN-
Acts 1:4	μὴ	μή	D-	--------
Acts 1:4	χωρίζεσθαι	χωρίζω	V-	-PPN----
Acts 1:4	ἀλλὰ	ἀλλά	C-	--------
Acts 1:4	περιμένειν	περιμένω	V-	-PAN----
Acts 1:4	τὴν	ὁ	RA	----ASF-
Acts 1:4	ἐπαγγελίαν	ἐπαγγελία	N-	----ASF-
Acts 1:4	τοῦ	ὁ	RA	----GSM-
Acts 1:4	πατρὸς	πατήρ	N-	----GSM-
Acts 1:4	ἣν	ὅς	RR	----ASF-
Acts 1:4	ἠκούσατέ	ἀκούω	V-	2AAI-P--
Acts 1:4	μου	ἐγώ	RP	----GS--
Acts 1:5	ὅτι	ὅτι	C-	--------
Acts 1:5	Ἰωάννης	Ἰωάννης	N-	----NSM-
Acts 1:5	μὲν	μέν	C-	--------
Acts 1:5	ἐβάπτισεν	βαπτίζω	V-	3AAI-S--
Acts 1:5	ὕδατι	ὕδωρ	N-	----DSN-
Acts 1:5	ὑμεῖς	σύ	RP	----NP--
Acts 1:5	δὲ	δέ	C-	--------
Acts 1:5	ἐν	ἐν	P-	--------
Acts 1:5	πνεύματι	πνεῦμα	N-	----DSN-
Acts 1:5	βαπτισθήσεσθε	βαπτίζω	V-	2FPI-P--
Acts 1:5	ἁγίῳ	ἅγιος	A-	----DSN-
Acts 1:5	οὐ	οὐ	D-	--------
Acts 1:5	μετὰ	μετά	P-	--------
Acts 1:5	πολλὰς	πολύς	A-	----APF-
Acts 1:5	ταύτας	οὗτος	RD	----APF-
Acts 1:5	ἡμέρας	ἡμέρα	N-	----APF-
Acts 1:6	Οἱ	ὁ	RA	----NPM-
Acts 1:6	μὲν	μέν	C-	--------
Acts 1:6	οὖν	οὖν	C-	--------
Acts 1:6	συνελθόντες	συνέρχομαι	V-	-AAPNPM-
Acts 1:6	ἠρώτων	ἐρωτάω	V-	3IAI-P--
Acts 1:6	αὐτὸν	αὐτός	RP	----ASM-
Acts 1:6	λέγοντες	λέγω	V-	-PAPNPM-
Acts 1:6	Κύριε	κύριος	N-	----VSM-
Acts 1:6	εἰ	εἰ	X-	--------
Acts 1:6	ἐν	ἐν	P-	--------
Acts 1:6	τῷ	ὁ	RA	----DSM-
Acts 1:6	χρόνῳ	χρόνος	N-	----DSM-
Acts 1:6	τούτῳ	οὗτος	RD	----DSM-
Acts 1:6	ἀποκαθιστάνεις	ἀποκαθίστημι	V-	2PAI-S--
Acts 1:6	τὴν	ὁ	RA	----ASF-
Acts 1:6	βασιλείαν	βασιλεία	N-	----ASF-
Acts 1:6	τῷ	ὁ	RA	----DSM-
Acts 1:6	Ἰσραήλ	Ἰσραήλ	N-	----DSM-
Acts 1:7	εἶπεν	λέγω	V-	3AAI-S--
Acts 1:7	δὲ	δέ	C-	--------
Acts 1:7	πρὸς	πρός	P-	--------
