ref	word	lemma	pos	parse
2Cor 1:1	Παῦλος	Παῦλος	N-	----NSM-
2Cor 1:1	ἀπόστολος	ἀπόστολος	N-	----NSM-
2Cor 1:1	Χριστοῦ	Χριστός	N-	----GSM-
2Cor 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
2Cor 1:1	διὰ	διά	P-	--------
2Cor 1:1	θελήματος	θέλημα	N-	----GSN-
2Cor 1:1	θεοῦ	θεός	N-	----GSM-
2Cor 1:1	καὶ	καί	C-	--------
2Cor 1:1	Τιμόθεος	Τιμόθεος	N-	----NSM-
2Cor 1:1	ὁ	ὁ	RA	----NSM-
2Cor 1:1	ἀδελφὸς	ἀδελφός	N-	----NSM-
2Cor 1:1	τῇ	ὁ	RA	----DSF-
2Cor 1:1	ἐκκλησίᾳ	ἐκκλησία	N-	----DSF-
2Cor 1:1	τοῦ	ὁ	RA	----GSM-
2Cor 1:1	θεοῦ	θεός	N-	----GSM-
2Cor 1:1	τῇ	ὁ	RA	----DSF-
2Cor 1:1	οὔσῃ	εἰμί	V-	-PAPDSF-
2Cor 1:1	ἐν	ἐν	P-	--------
2Cor 1:1	Κορίνθῳ	Κόρινθος	N-	----DSF-
2Cor 1:1	σὺν	σύν	P-	--------
2Cor 1:1	τοῖς	ὁ	RA	----DPM-
2Cor 1:1	ἁγίοις	ἅγιος	A-	----DPM-
2Cor 1:1	πᾶσιν	πᾶς	A-	----DPM-
2Cor 1:1	τοῖς	ὁ	RA	----DPM-
2Cor 1:1	οὖσιν	εἰμί	V-	-PAPDPM-
2Cor 1:1	ἐν	ἐν	P-	--------
2Cor 1:1	ὅλῃ	ὅλος	A-	----DSF-
2Cor 1:1	τῇ	ὁ	RA	----DSF-
2Cor 1:1	Ἀχαΐᾳ	Ἀχαΐα	N-	----DSF-
2Cor 1:2	χάρις	χάρις	N-	----NSF-
2Cor 1:2	ὑμῖν	σύ	RP	----DP--
2Cor 1:2	καὶ	καί	C-	--------
2Cor 1:2	εἰρήνη	εἰρήνη	N-	----NSF-
2Cor 1:2	ἀπὸ	ἀπό	P-	--------
2Cor 1:2	θεοῦ	θεός	N-	----GSM-
2Cor 1:2	πατρὸς	πατήρ	N-	----GSM-
2Cor 1:2	ἡμῶν	ἐγώ	RP	----GP--
2Cor 1:2	καὶ	καί	C-	--------
2Cor 1:2	κυρίου	κύριος	N-	----GSM-
2Cor 1:2	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
2Cor 1:2	Χριστοῦ	Χριστός	N-	----GSM-
2Cor 1:3	Εὐλογητὸς	εὐλογητός	A-	----NSM-
2Cor 1:3	ὁ	ὁ	RA	----NSM-
2Cor 1:3	θεὸς	θεός	N-	----NSM-
2Cor 1:3	καὶ	καί	C-	--------
2Cor 1:3	πατὴρ	πατήρ	N-	----NSM-
2Cor 1:3	τοῦ	ὁ	RA	----GSM-
2Cor 1:3	κυρίου	κύριος	N-	----GSM-
2Cor 1:3	ἡμῶν	ἐγώ	RP	----GP--
2Cor 1:3	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
2Cor 1:3	Χριστοῦ	Χριστός	N-	----GSM-
2Cor 1:3	ὁ	ὁ	RA	----NSM-
2Cor 1:3	πατὴρ	πατήρ	N-	----NSM-
2Cor 1:3	τῶν	ὁ	RA	----GPM-
2Cor 1:3	οἰκτιρμῶν	οἰκτιρμός	N-	----GPM-
2Cor 1:3	καὶ	καί	C-	--------
2Cor 1:3	θεὸς	θεός	N-	----NSM-
2Cor 1:3	πάσης	πᾶς	A-	----GSF-
2Cor 1:3	παρακλήσεως	παράκλησις	N-	----GSF-
2Cor 1:4	ὁ	ὁ	RA	----NSM-
2Cor 1:4	παρακαλῶν	παρακαλέω	V-	-PAPNSM-
2Cor 1:4	ἡμᾶς	ἐγώ	RP	----AP--
2Cor 1:4	ἐπὶ	ἐπί	P-	--------
2Cor 1:4	πάσῃ	πᾶς	A-	----DSF-
2Cor 1:4	τῇ	ὁ	RA	----DSF-
2Cor 1:4	θλίψει	θλῖψις	N-	----DSF-
2Cor 1:4	ἡμῶν	ἐγώ	RP	----GP--
2Cor 1:4	εἰς	εἰς	P-	--------
2Cor 1:4	τὸ	ὁ	RA	----ASN-
2Cor 1:4	δύνασθαι	δύναμαι	V-	-PMN----
2Cor 1:4	ἡμᾶς	ἐγώ	RP	----AP--
2Cor 1:4	παρακαλεῖν	παρακαλέω	V-	-PAN----
2Cor 1:4	τοὺς	ὁ	RA	----APM-
