ref	word	lemma	pos	parse
Gal 1:1	Παῦλος	Παῦλος	N-	----NSM-
Gal 1:1	ἀπόστολος	ἀπόστολος	N-	----NSM-
Gal 1:1	οὐκ	οὐ	D-	--------
Gal 1:1	ἀπ’	ἀπό	P-	--------
Gal 1:1	ἀνθρώπων	ἄνθρωπος	N-	----GPM-
Gal 1:1	οὐδὲ	οὐδέ	C-	--------
Gal 1:1	δι’	διά	P-	--------
Gal 1:1	ἀνθρώπου	ἄνθρωπος	N-	----GSM-
Gal 1:1	ἀλλὰ	ἀλλά	C-	--------
Gal 1:1	διὰ	διά	P-	--------
Gal 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Gal 1:1	Χριστοῦ	Χριστός	N-	----GSM-
Gal 1:1	καὶ	καί	C-	--------
Gal 1:1	θεοῦ	θεός	N-	----GSM-
Gal 1:1	πατρὸς	πατήρ	N-	----GSM-
Gal 1:1	τοῦ	ὁ	RA	----GSM-
Gal 1:1	ἐγείραντος	ἐγείρω	V-	-AAPGSM-
Gal 1:1	αὐτὸν	αὐτός	RP	----ASM-
Gal 1:1	ἐκ	ἐκ	P-	--------
Gal 1:1	νεκρῶν	νεκρός	A-	----GPM-
Gal 1:2	καὶ	καί	C-	--------
Gal 1:2	οἱ	ὁ	RA	----NPM-
Gal 1:2	σὺν	σύν	P-	--------
Gal 1:2	ἐμοὶ	ἐγώ	RP	----DS--
Gal 1:2	πάντες	πᾶς	A-	----NPM-
Gal 1:2	ἀδελφοί	ἀδελφός	N-	----NPM-
Gal 1:2	ταῖς	ὁ	RA	----DPF-
Gal 1:2	ἐκκλησίαις	ἐκκλησία	N-	----DPF-
Gal 1:2	τῆς	ὁ	RA	----GSF-
Gal 1:2	Γαλατίας	Γαλατία	N-	----GSF-
Gal 1:3	χάρις	χάρις	N-	----NSF-
Gal 1:3	ὑμῖν	σύ	RP	----DP--
Gal 1:3	καὶ	καί	C-	--------
Gal 1:3	εἰρήνη	εἰρήνη	N-	----NSF-
Gal 1:3	ἀπὸ	ἀπό	P-	--------
Gal 1:3	θεοῦ	θεός	N-	----GSM-
Gal 1:3	πατρὸς	πατήρ	N-	----GSM-
Gal 1:3	καὶ	καί	C-	--------
Gal 1:3	κυρίου	κύριος	N-	----GSM-
Gal 1:3	ἡμῶν	ἐγώ	RP	----GP--
Gal 1:3	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Gal 1:3	Χριστοῦ	Χριστός	N-	----GSM-
Gal 1:4	τοῦ	ὁ	RA	----GSM-
Gal 1:4	δόντος	δίδωμι	V-	-AAPGSM-
