ref	word	lemma	pos	parse
Eph 1:1	Παῦλος	Παῦλος	N-	----NSM-
Eph 1:1	ἀπόστολος	ἀπόστολος	N-	----NSM-
Eph 1:1	Χριστοῦ	Χριστός	N-	----GSM-
Eph 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Eph 1:1	διὰ	διά	P-	--------
Eph 1:1	θελήματος	θέλημα	N-	----GSN-
Eph 1:1	θεοῦ	θεός	N-	----GSM-
Eph 1:1	τοῖς	ὁ	RA	----DPM-
Eph 1:1	ἁγίοις	ἅγιος	A-	----DPM-
Eph 1:1	τοῖς	ὁ	RA	----DPM-
Eph 1:1	οὖσιν	εἰμί	V-	-PAPDPM-
Eph 1:1	ἐν	ἐν	P-	--------
Eph 1:1	Ἐφέσῳ	Ἔφεσος	N-	----DSF-
Eph 1:1	καὶ	καί	C-	--------
Eph 1:1	πιστοῖς	πιστός	A-	----DPM-
Eph 1:1	ἐν	ἐν	P-	--------
Eph 1:1	Χριστῷ	Χριστός	N-	----DSM-
Eph 1:1	Ἰησοῦ	Ἰησοῦς	N-	----DSM-
Eph 1:2	χάρις	χάρις	N-	----NSF-
Eph 1:2	ὑμῖν	σύ	RP	----DP--
Eph 1:2	καὶ	καί	C-	--------
Eph 1:2	εἰρήνη	εἰρήνη	N-	----NSF-
Eph 1:2	ἀπὸ	ἀπό	P-	--------
Eph 1:2	θεοῦ	θεός	N-	----GSM-
Eph 1:2	πατρὸς	πατήρ	N-	----GSM-
Eph 1:2	ἡμῶν	ἐγώ	RP	----GP--
Eph 1:2	καὶ	καί	C-	--------
Eph 1:2	κυρίου	κύριος	N-	----GSM-
Eph 1:2	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Eph 1:2	Χριστοῦ	Χριστός	N-	----GSM-
Eph 1:3	Εὐλογητὸς	εὐλογητός	A-	----NSM-
Eph 1:3	ὁ	ὁ	RA	----NSM-
Eph 1:3	θεὸς	θεός	N-	----NSM-
Eph 1:3	καὶ	καί	C-	--------
Eph 1:3	πατὴρ	πατήρ	N-	----NSM-
Eph 1:3	τοῦ	ὁ	RA	----GSM-
Eph 1:3	κυρίου	κύριος	N-	----GSM-
Eph 1:3	ἡμῶν	ἐγώ	RP	----GP--
Eph 1:3	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Eph 1:3	Χριστοῦ	Χριστός	N-	----GSM-
Eph 1:3	ὁ	ὁ	RA	----NSM-
Eph 1:3	εὐλογήσας	εὐλογέω	V-	-AAPNSM-
Eph 1:3	ἡμᾶς	ἐγώ	RP	----AP--
Eph 1:3	ἐν	ἐν	P-	--------
Eph 1:3	πάσῃ	πᾶς	A-	----DSF-
Eph 1:3	εὐλογίᾳ	εὐλογία	N-	----DSF-
Eph 1:3	πνευματικῇ	πνευματικός	A-	----DSF-
Eph 1:3	ἐν	ἐν	P-	--------
Eph 1:3	τοῖς	ὁ	RA	----DPN-
Eph 1:3	ἐπουρανίοις	ἐπουράνιος	A-	----DPN-
Eph 1:3	ἐν	ἐν	P-	--------
Eph 1:3	Χριστῷ	Χριστός	N-	----DSM-
Eph 1:4	καθὼς	καθώς	C-	--------
Eph 1:4	ἐξελέξατο	ἐκλέγομαι	V-	3AMI-S--
Eph 1:4	ἡμᾶς	ἐγώ	RP	----AP--
Eph 1:4	ἐν	ἐν	P-	--------
Eph 1:4	αὐτῷ	αὐτός	RP	----DSM-
Eph 1:4	πρὸ	πρό	P-	--------
Eph 1:4	καταβολῆς	καταβολή	N-	----GSF-
Eph 1:4	κόσμου	κόσμος	N-	----GSM-
Eph 1:4	εἶναι	εἰμί	V-	-PAN----
Eph 1:4	ἡμᾶς	ἐγώ	RP	----AP--
Eph 1:4	ἁγίους	ἅγιος	A-	----APM-
Eph 1:4	καὶ	καί	C-	--------
Eph 1:4	ἀμώμους	ἄμωμος	A-	----APM-
Eph 1:4	κατενώπιον	κατενώπιον	P-	--------
Eph 1:4	αὐτοῦ	αὐτός	RP	----GSM-
Eph 1:4	ἐν	ἐν	P-	--------
Eph 1:4	ἀγάπῃ	ἀγάπη	N-	----DSF-
Eph 1:5	προορίσας	προορίζω	V-	-AAPNSM-
Eph 1:5	ἡμᾶς	ἐγώ	RP	----AP--
Eph 1:5	εἰς	εἰς	P-	--------
Eph 1:5	υἱοθεσίαν	υἱοθεσία	N-	----ASF-
Eph 1:5	διὰ	διά	P-	--------
Eph 1:5	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Eph 1:5	Χριστοῦ	Χριστός	N-	----GSM-
Eph 1:5	εἰς	εἰς	P-	--------
Eph 1:5	αὐτόν	αὐτός	RP	----ASM-
Eph 1:5	κατὰ	κατά	P-	--------
Eph 1:5	τὴν	ὁ	RA	----ASF-
Eph 1:5	εὐδοκίαν	εὐδοκία	N-	----ASF-
Eph 1:5	τοῦ	ὁ	RA	----GSN-
Eph 1:5	θελήματος	θέλημα	N-	----GSN-
Eph 1:5	αὐτοῦ	αὐτός	RP	----GSM-
Eph 1:6	εἰς	εἰς	P-	--------
Eph 1:6	ἔπαινον	ἔπαινος	N-	----ASM-
Eph 1:6	δόξης	δόξα	N-	----GSF-
Eph 1:6	τῆς	ὁ	RA	----GSF-
Eph 1:6	χάριτος	χάρις	N-	----GSF-
Eph 1:6	αὐτοῦ	αὐτός	RP	----GSM-
Eph 1:6	ἧς	ὅς	RR	----GSF-
Eph 1:6	ἐχαρίτωσεν	χαριτόω	V-	3AAI-S--
Eph 1:6	ἡμᾶς	ἐγώ	RP	----AP--
Eph 1:6	ἐν	ἐν	P-	--------
Eph 1:6	τῷ	ὁ	RA	----DSM-
Eph 1:6	ἠγαπημένῳ	ἀγαπάω	V-	-XPPDSM-
Eph 1:7	ἐν	ἐν	P-	--------
Eph 1:7	ᾧ	ὅς	RR	----DSM-
Eph 1:7	ἔχομεν	ἔχω	V-	1PAI-P--
Eph 1:7	τὴν	ὁ	RA	----ASF-
Eph 1:7	ἀπολύτρωσιν	ἀπολύτρωσις	N-	----ASF-
Eph 1:7	διὰ	διά	P-	--------
Eph 1:7	τοῦ	ὁ	RA	----GSN-
Eph 1:7	αἵματος	αἷμα	N-	----GSN-
Eph 1:7	αὐτοῦ	αὐτός	RP	----GSM-
Eph 1:7	τὴν	ὁ	RA	----ASF-
Eph 1:7	ἄφεσιν	ἄφεσις	N-	----ASF-
Eph 1:7	τῶν	ὁ	RA	----GPN-
Eph 1:7	παραπτωμάτων	παράπτωμα	N-	----GPN-
Eph 1:7	κατὰ	κατά	P-	--------
Eph 1:7	τὸ	ὁ	RA	----ASN-
Eph 1:7	πλοῦτος	πλοῦτος	N-	----ASN-
Eph 1:7	τῆς	ὁ	RA	----GSF-
Eph 1:7	χάριτος	χάρις	N-	----GSF-
Eph 1:7	αὐτοῦ	αὐτός	RP	----GSM-
Eph 1:8	ἧς	ὅς	RR	----GSF-
Eph 1:8	ἐπερίσσευσεν	περισσεύω	V-	3AAI-S--
Eph 1:8	εἰς	εἰς	P-	--------
Eph 1:8	ἡμᾶς	ἐγώ	RP	----AP--
Eph 1:8	ἐν	ἐν	P-	--------
Eph 1:8	πάσῃ	πᾶς	A-	----DSF-
Eph 1:8	σοφίᾳ	σοφία	N-	----DSF-
Eph 1:8	καὶ	καί	C-	--------
Eph 1:8	φρονήσει	φρόνησις	N-	----DSF-
Eph 1:9	γνωρίσας	γνωρίζω	V-	-AAPNSM-
Eph 1:9	ἡμῖν	ἐγώ	RP	----DP--
Eph 1:9	τὸ	ὁ	RA	----ASN-
Eph 1:9	μυστήριον	μυστήριον	N-	----ASN-
Eph 1:9	τοῦ	ὁ	RA	----GSN-
Eph 1:9	θελήματος	θέλημα	N-	----GSN-
Eph 1:9	αὐτοῦ	αὐτός	RP	----GSM-
Eph 1:9	κατὰ	κατά	P-	--------
Eph 1:9	τὴν	ὁ	RA	----ASF-
Eph 1:9	εὐδοκίαν	εὐδοκία	N-	----ASF-
Eph 1:9	αὐτοῦ	αὐτός	RP	----GSM-
Eph 1:9	ἣν	ὅς	RR	----ASF-
Eph 1:9	προέθετο	προτίθεμαι	V-	3AMI-S--
Eph 1:9	ἐν	ἐν	P-	--------
Eph 1:9	αὐτῷ	αὐτός	RP	----DSM-
Eph 1:10	εἰς	εἰς	P-	--------
Eph 1:10	οἰκονομίαν	οἰκονομία	N-	----ASF-
Eph 1:10	τοῦ	ὁ	RA	----GSN-
Eph 1:10	πληρώματος	πλήρωμα	N-	----GSN-
Eph 1:10	τῶν	ὁ	RA	----GPM-
Eph 1:10	καιρῶν	καιρός	N-	----GPM-
Eph 1:10	ἀνακεφαλαιώσασθαι	ἀνακεφαλαιόω	V-	-AMN----
Eph 1:10	τὰ	ὁ	RA	----APN-
Eph 1:10	πάντα	πᾶς	A-	----APN-
Eph 1:10	ἐν	ἐν	P-	--------
Eph 1:10	τῷ	ὁ	RA	----DSM-
Eph 1:10	Χριστῷ	Χριστός	N-	----DSM-
Eph 1:10	τὰ	ὁ	RA	----APN-
Eph 1:10	ἐπὶ	ἐπί	P-	--------
Eph 1:10	τοῖς	ὁ	RA	----DPM-
Eph 1:10	οὐρανοῖς	οὐρανός	N-	----DPM-
Eph 1:10	καὶ	καί	C-	--------
Eph 1:10	τὰ	ὁ	RA	----APN-
Eph 1:10	ἐπὶ	ἐπί	P-	--------
Eph 1:10	τῆς	ὁ	RA	----GSF-
Eph 1:10	γῆς	γῆ	N-	----GSF-
Eph 1:10	ἐν	ἐν	P-	--------
Eph 1:10	αὐτῷ	αὐτός	RP	----DSM-
Eph 1:11	ἐν	ἐν	P-	--------
Eph 1:11	ᾧ	ὅς	RR	----DSM-
Eph 1:11	καὶ	καί	D-	--------
Eph 1:11	ἐκληρώθημεν	κληρόω	V-	1API-P--
Eph 1:11	προορισθέντες	προορίζω	V-	-APPNPM-
Eph 1:11	κατὰ	κατά	P-	--------
Eph 1:11	πρόθεσιν	πρόθεσις	N-	----ASF-
Eph 1:11	τοῦ	ὁ	RA	----GSM-
Eph 1:11	τὰ	ὁ	RA	----APN-
Eph 1:11	πάντα	πᾶς	A-	----APN-
Eph 1:11	ἐνεργοῦντος	ἐνεργέω	V-	-PAPGSM-
Eph 1:11	κατὰ	κατά	P-	--------
Eph 1:11	τὴν	ὁ	RA	----ASF-
Eph 1:11	βουλὴν	βουλή	N-	----ASF-
Eph 1:11	τοῦ	ὁ	RA	----GSN-
Eph 1:11	θελήματος	θέλημα	N-	----GSN-
Eph 1:11	αὐτοῦ	αὐτός	RP	----GSM-
Eph 1:12	εἰς	εἰς	P-	--------
Eph 1:12	τὸ	ὁ	RA	----ASN-
Eph 1:12	εἶναι	εἰμί	V-	-PAN----
Eph 1:12	ἡμᾶς	ἐγώ	RP	----AP--
Eph 1:12	εἰς	εἰς	P-	--------
Eph 1:12	ἔπαινον	ἔπαινος	N-	----ASM-
Eph 1:12	δόξης	δόξα	N-	----GSF-
Eph 1:12	αὐτοῦ	αὐτός	RP	----GSM-
Eph 1:12	τοὺς	ὁ	RA	----APM-
Eph 1:12	προηλπικότας	προελπίζω	V-	-XAPAPM-
Eph 1:12	ἐν	ἐν	P-	--------
Eph 1:12	τῷ	ὁ	RA	----DSM-
Eph 1:12	Χριστῷ	Χριστός	N-	----DSM-
Eph 1:13	ἐν	ἐν	P-	--------
Eph 1:13	ᾧ	ὅς	RR	----DSM-
Eph 1:13	καὶ	καί	D-	--------
Eph 1:13	ὑμεῖς	σύ	RP	----NP--
Eph 1:13	ἀκούσαντες	ἀκούω	V-	-AAPNPM-
Eph 1:13	τὸν	ὁ	RA	----ASM-
Eph 1:13	λόγον	λόγος	N-	----ASM-
Eph 1:13	τῆς	ὁ	RA	----GSF-
Eph 1:13	ἀληθείας	ἀλήθεια	N-	----GSF-
Eph 1:13	τὸ	ὁ	RA	----ASN-
Eph 1:13	εὐαγγέλιον	εὐαγγέλιον	N-	----ASN-
Eph 1:13	τῆς	ὁ	RA	----GSF-
Eph 1:13	σωτηρίας	σωτηρία	N-	----GSF-
Eph 1:13	ὑμῶν	σύ	RP	----GP--
Eph 1:13	ἐν	ἐν	P-	--------
Eph 1:13	ᾧ	ὅς	RR	----DSM-
Eph 1:13	καὶ	καί	D-	--------
Eph 1:13	πιστεύσαντες	πιστεύω	V-	-AAPNPM-
Eph 1:13	ἐσφραγίσθητε	σφραγίζω	V-	2API-P--
