ref	word	lemma	pos	parse
Phil 1:1	Παῦλος	Παῦλος	N-	----NSM-
Phil 1:1	καὶ	καί	C-	--------
Phil 1:1	Τιμόθεος	Τιμόθεος	N-	----NSM-
Phil 1:1	δοῦλοι	δοῦλος	N-	----NPM-
Phil 1:1	Χριστοῦ	Χριστός	N-	----GSM-
Phil 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Phil 1:1	πᾶσιν	πᾶς	A-	----DPM-
Phil 1:1	τοῖς	ὁ	RA	----DPM-
Phil 1:1	ἁγίοις	ἅγιος	A-	----DPM-
Phil 1:1	ἐν	ἐν	P-	--------
Phil 1:1	Χριστῷ	Χριστός	N-	----DSM-
Phil 1:1	Ἰησοῦ	Ἰησοῦς	N-	----DSM-
Phil 1:1	τοῖς	ὁ	RA	----DPM-
Phil 1:1	οὖσιν	εἰμί	V-	-PAPDPM-
Phil 1:1	ἐν	ἐν	P-	--------
Phil 1:1	Φιλίπποις	Φίλιπποι	N-	----DPM-
Phil 1:1	σὺν	σύν	P-	--------
Phil 1:1	ἐπισκόποις	ἐπίσκοπος	N-	----DPM-
Phil 1:1	καὶ	καί	C-	--------
Phil 1:1	διακόνοις	διάκονος	N-	----DPM-
Phil 1:2	χάρις	χάρις	N-	----NSF-
Phil 1:2	ὑμῖν	σύ	RP	----DP--
Phil 1:2	καὶ	καί	C-	--------
Phil 1:2	εἰρήνη	εἰρήνη	N-	----NSF-
Phil 1:2	ἀπὸ	ἀπό	P-	--------
Phil 1:2	θεοῦ	θεός	N-	----GSM-
Phil 1:2	πατρὸς	πατήρ	N-	----GSM-
Phil 1:2	ἡμῶν	ἐγώ	RP	----GP--
Phil 1:2	καὶ	καί	C-	--------
Phil 1:2	κυρίου	κύριος	N-	----GSM-
Phil 1:2	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Phil 1:2	Χριστοῦ	Χριστός	N-	----GSM-
Phil 1:3	Εὐχαριστῶ	εὐχαριστέω	V-	1PAI-S--
Phil 1:3	τῷ	ὁ	RA	----DSM-
Phil 1:3	θεῷ	θεός	N-	----DSM-
Phil 1:3	μου	ἐγώ	RP	----GS--
Phil 1:3	ἐπὶ	ἐπί	P-	--------
Phil 1:3	πάσῃ	πᾶς	A-	----DSF-
Phil 1:3	τῇ	ὁ	RA	----DSF-
Phil 1:3	μνείᾳ	μνεία	N-	----DSF-
Phil 1:3	ὑμῶν	σύ	RP	----GP--
Phil 1:4	πάντοτε	πάντοτε	D-	--------
Phil 1:4	ἐν	ἐν	P-	--------
Phil 1:4	πάσῃ	πᾶς	A-	----DSF-
Phil 1:4	δεήσει	δέησις	N-	----DSF-
Phil 1:4	μου	ἐγώ	RP	----GS--
Phil 1:4	ὑπὲρ	ὑπέρ	P-	--------
Phil 1:4	πάντων	πᾶς	A-	----GPM-
Phil 1:4	ὑμῶν	σύ	RP	----GP--
Phil 1:4	μετὰ	μετά	P-	--------
Phil 1:4	χαρᾶς	χαρά	N-	----GSF-
Phil 1:4	τὴν	ὁ	RA	----ASF-
Phil 1:4	δέησιν	δέησις	N-	----ASF-
Phil 1:4	ποιούμενος	ποιέω	V-	-PMPNSM-
Phil 1:5	ἐπὶ	ἐπί	P-	--------
Phil 1:5	τῇ	ὁ	RA	----DSF-
Phil 1:5	κοινωνίᾳ	κοινωνία	N-	----DSF-
Phil 1:5	ὑμῶν	σύ	RP	----GP--
Phil 1:5	εἰς	εἰς	P-	--------
Phil 1:5	τὸ	ὁ	RA	----ASN-
Phil 1:5	εὐαγγέλιον	εὐαγγέλιον	N-	----ASN-
Phil 1:5	ἀπὸ	ἀπό	P-	--------
Phil 1:5	τῆς	ὁ	RA	----GSF-
Phil 1:5	πρώτης	πρῶτος	A-	----GSF-
Phil 1:5	ἡμέρας	ἡμέρα	N-	----GSF-
Phil 1:5	ἄχρι	ἄχρι	P-	--------
Phil 1:5	τοῦ	ὁ	RA	----GSM-
Phil 1:5	νῦν	νῦν	D-	--------
Phil 1:6	πεποιθὼς	πείθω	V-	-XAPNSM-
Phil 1:6	αὐτὸ	αὐτός	A-	----ASN-
Phil 1:6	τοῦτο	οὗτος	RD	----ASN-
Phil 1:6	ὅτι	ὅτι	D-	--------
Phil 1:6	ὁ	ὁ	RA	----NSM-
Phil 1:6	ἐναρξάμενος	ἐνάρχομαι	V-	-AMPNSM-
Phil 1:6	ἐν	ἐν	P-	--------
Phil 1:6	ὑμῖν	σύ	RP	----DP--
Phil 1:6	ἔργον	ἔργον	N-	----ASN-
Phil 1:6	ἀγαθὸν	ἀγαθός	A-	----ASN-
Phil 1:6	ἐπιτελέσει	ἐπιτελέω	V-	3FAI-S--
Phil 1:6	ἄχρι	ἄχρι	P-	--------
Phil 1:6	ἡμέρας	ἡμέρα	N-	----GSF-
Phil 1:6	Χριστοῦ	Χριστός	N-	----GSM-
Phil 1:6	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Phil 1:7	καθώς	καθώς	C-	--------
Phil 1:7	ἐστιν	εἰμί	V-	3PAI-S--
Phil 1:7	δίκαιον	δίκαιος	A-	----NSN-
Phil 1:7	ἐμοὶ	ἐγώ	RP	----DS--
Phil 1:7	τοῦτο	οὗτος	RD	----ASN-
Phil 1:7	φρονεῖν	φρονέω	V-	-PAN----
Phil 1:7	ὑπὲρ	ὑπέρ	P-	--------
Phil 1:7	πάντων	πᾶς	A-	----GPM-
Phil 1:7	ὑμῶν	σύ	RP	----GP--
Phil 1:7	διὰ	διά	P-	--------
Phil 1:7	τὸ	ὁ	RA	----ASN-
Phil 1:7	ἔχειν	ἔχω	V-	-PAN----
Phil 1:7	με	ἐγώ	RP	----AS--
Phil 1:7	ἐν	ἐν	P-	--------
Phil 1:7	τῇ	ὁ	RA	----DSF-
Phil 1:7	καρδίᾳ	καρδία	N-	----DSF-
Phil 1:7	ὑμᾶς	σύ	RP	----AP--
Phil 1:7	ἔν	ἐν	P-	--------
