ref	word	lemma	pos	parse
Col 1:1	Παῦλος	Παῦλος	N-	----NSM-
Col 1:1	ἀπόστολος	ἀπόστολος	N-	----NSM-
Col 1:1	Χριστοῦ	Χριστός	N-	----GSM-
Col 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Col 1:1	διὰ	διά	P-	--------
Col 1:1	θελήματος	θέλημα	N-	----GSN-
Col 1:1	θεοῦ	θεός	N-	----GSM-
Col 1:1	καὶ	καί	C-	--------
Col 1:1	Τιμόθεος	Τιμόθεος	N-	----NSM-
Col 1:1	ὁ	ὁ	RA	----NSM-
Col 1:1	ἀδελφὸς	ἀδελφός	N-	----NSM-
Col 1:2	τοῖς	ὁ	RA	----DPM-
Col 1:2	ἐν	ἐν	P-	--------
Col 1:2	Κολοσσαῖς	Κολοσσαί	N-	----DPF-
Col 1:2	ἁγίοις	ἅγιος	A-	----DPM-
Col 1:2	καὶ	καί	C-	--------
Col 1:2	πιστοῖς	πιστός	A-	----DPM-
Col 1:2	ἀδελφοῖς	ἀδελφός	N-	----DPM-
Col 1:2	ἐν	ἐν	P-	--------
Col 1:2	Χριστῷ	Χριστός	N-	----DSM-
Col 1:2	χάρις	χάρις	N-	----NSF-
Col 1:2	ὑμῖν	σύ	RP	----DP--
Col 1:2	καὶ	καί	C-	--------
Col 1:2	εἰρήνη	εἰρήνη	N-	----NSF-
Col 1:2	ἀπὸ	ἀπό	P-	--------
Col 1:2	θεοῦ	θεός	N-	----GSM-
Col 1:2	πατρὸς	πατήρ	N-	----GSM-
Col 1:2	ἡμῶν	ἐγώ	RP	----GP--
Col 1:3	Εὐχαριστοῦμεν	εὐχαριστέω	V-	1PAI-P--
Col 1:3	τῷ	ὁ	RA	----DSM-
Col 1:3	θεῷ	θεός	N-	----DSM-
Col 1:3	πατρὶ	πατήρ	N-	----DSM-
Col 1:3	τοῦ	ὁ	RA	----GSM-
Col 1:3	κυρίου	κύριος	N-	----GSM-
Col 1:3	ἡμῶν	ἐγώ	RP	----GP--
Col 1:3	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Col 1:3	Χριστοῦ	Χριστός	N-	----GSM-
Col 1:3	πάντοτε	πάντοτε	D-	--------
Col 1:3	περὶ	περί	P-	--------
Col 1:3	ὑμῶν	σύ	RP	----GP--
Col 1:3	προσευχόμενοι	προσεύχομαι	V-	-PMPNPM-
Col 1:4	ἀκούσαντες	ἀκούω	V-	-AAPNPM-
Col 1:4	τὴν	ὁ	RA	----ASF-
Col 1:4	πίστιν	πίστις	N-	----ASF-
