ref	word	lemma	pos	parse
2Thess 1:1	Παῦλος	Παῦλος	N-	----NSM-
2Thess 1:1	καὶ	καί	C-	--------
2Thess 1:1	Σιλουανὸς	Σιλουανός	N-	----NSM-
2Thess 1:1	καὶ	καί	C-	--------
2Thess 1:1	Τιμόθεος	Τιμόθεος	N-	----NSM-
2Thess 1:1	τῇ	ὁ	RA	----DSF-
2Thess 1:1	ἐκκλησίᾳ	ἐκκλησία	N-	----DSF-
2Thess 1:1	Θεσσαλονικέων	Θεσσαλονικεύς	N-	----GPM-
2Thess 1:1	ἐν	ἐν	P-	--------
2Thess 1:1	θεῷ	θεός	N-	----DSM-
2Thess 1:1	πατρὶ	πατήρ	N-	----DSM-
2Thess 1:1	ἡμῶν	ἐγώ	RP	----GP--
2Thess 1:1	καὶ	καί	C-	--------
2Thess 1:1	κυρίῳ	κύριος	N-	----DSM-
2Thess 1:1	Ἰησοῦ	Ἰησοῦς	N-	----DSM-
2Thess 1:1	Χριστῷ	Χριστός	N-	----DSM-
2Thess 1:2	χάρις	χάρις	N-	----NSF-
2Thess 1:2	ὑμῖν	σύ	RP	----DP--
2Thess 1:2	καὶ	καί	C-	--------
2Thess 1:2	εἰρήνη	εἰρήνη	N-	----NSF-
2Thess 1:2	ἀπὸ	ἀπό	P-	--------
2Thess 1:2	θεοῦ	θεός	N-	----GSM-
2Thess 1:2	πατρὸς	πατήρ	N-	----GSM-
2Thess 1:2	καὶ	καί	C-	--------
2Thess 1:2	κυρίου	κύριος	N-	----GSM-
2Thess 1:2	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
2Thess 1:2	Χριστοῦ	Χριστός	N-	----GSM-
2Thess 1:3	Εὐχαριστεῖν	εὐχαριστέω	V-	-PAN----
2Thess 1:3	ὀφείλομεν	ὀφείλω	V-	1PAI-P--
2Thess 1:3	τῷ	ὁ	RA	----DSM-
2Thess 1:3	θεῷ	θεός	N-	----DSM-
2Thess 1:3	πάντοτε	πάντοτε	D-	--------
2Thess 1:3	περὶ	περί	P-	--------
2Thess 1:3	ὑμῶν	σύ	RP	----GP--
2Thess 1:3	ἀδελφοί	ἀδελφός	N-	----VPM-
2Thess 1:3	καθὼς	καθώς	C-	--------
2Thess 1:3	ἄξιόν	ἄξιος	A-	----NSN-
2Thess 1:3	ἐστιν	εἰμί	V-	3PAI-S--
2Thess 1:3	ὅτι	ὅτι	C-	--------
2Thess 1:3	ὑπεραυξάνει	ὑπεραυξάνω	V-	3PAI-S--
2Thess 1:3	ἡ	ὁ	RA	----NSF-
2Thess 1:3	πίστις	πίστις	N-	----NSF-
2Thess 1:3	ὑμῶν	σύ	RP	----GP--
2Thess 1:3	καὶ	καί	C-	--------
2Thess 1:3	πλεονάζει	πλεονάζω	V-	3PAI-S--
2Thess 1:3	ἡ	ὁ	RA	----NSF-
2Thess 1:3	ἀγάπη	ἀγάπη	N-	----NSF-
2Thess 1:3	ἑνὸς	εἷς	A-	----GSM-
2Thess 1:3	ἑκάστου	ἕκαστος	A-	----GSM-
2Thess 1:3	πάντων	πᾶς	A-	----GPM-
2Thess 1:3	ὑμῶν	σύ	RP	----GP--
2Thess 1:3	εἰς	εἰς	P-	--------
2Thess 1:3	ἀλλήλους	ἀλλήλων	RP	----APM-
2Thess 1:4	ὥστε	ὥστε	C-	--------
2Thess 1:4	αὐτοὺς	αὐτός	RP	----APM-
2Thess 1:4	ἡμᾶς	ἐγώ	RP	----AP--
2Thess 1:4	ἐν	ἐν	P-	--------
2Thess 1:4	ὑμῖν	σύ	RP	----DP--
2Thess 1:4	ἐγκαυχᾶσθαι	ἐγκαυχάομαι	V-	-PMN----
2Thess 1:4	ἐν	ἐν	P-	--------
2Thess 1:4	ταῖς	ὁ	RA	----DPF-
2Thess 1:4	ἐκκλησίαις	ἐκκλησία	N-	----DPF-
2Thess 1:4	τοῦ	ὁ	RA	----GSM-
2Thess 1:4	θεοῦ	θεός	N-	----GSM-
2Thess 1:4	ὑπὲρ	ὑπέρ	P-	--------
2Thess 1:4	τῆς	ὁ	RA	----GSF-
2Thess 1:4	ὑπομονῆς	ὑπομονή	N-	----GSF-
2Thess 1:4	ὑμῶν	σύ	RP	----GP--
2Thess 1:4	καὶ	καί	C-	--------
2Thess 1:4	πίστεως	πίστις	N-	----GSF-
2Thess 1:4	ἐν	ἐν	P-	--------
2Thess 1:4	πᾶσιν	πᾶς	A-	----DPM-
2Thess 1:4	τοῖς	ὁ	RA	----DPM-
2Thess 1:4	διωγμοῖς	διωγμός	N-	----DPM-
2Thess 1:4	ὑμῶν	σύ	RP	----GP--
2Thess 1:4	καὶ	καί	C-	--------
2Thess 1:4	ταῖς	ὁ	RA	----DPF-
2Thess 1:4	θλίψεσιν	θλῖψις	N-	----DPF-
2Thess 1:4	αἷς	ὅς	RR	----DPF-
2Thess 1:4	ἀνέχεσθε	ἀνέχομαι	V-	2PMI-P--
2Thess 1:5	ἔνδειγμα	ἔνδειγμα	N-	----NSN-
2Thess 1:5	τῆς	ὁ	RA	----GSF-
2Thess 1:5	δικαίας	δίκαιος	A-	----GSF-
2Thess 1:5	κρίσεως	κρίσις	N-	----GSF-
2Thess 1:5	τοῦ	ὁ	RA	----GSM-
2Thess 1:5	θεοῦ	θεός	N-	----GSM-
2Thess 1:5	εἰς	εἰς	P-	--------
2Thess 1:5	τὸ	ὁ	RA	----ASN-
2Thess 1:5	καταξιωθῆναι	καταξιόω	V-	-APN----
2Thess 1:5	ὑμᾶς	σύ	RP	----AP--
2Thess 1:5	τῆς	ὁ	RA	----GSF-
2Thess 1:5	βασιλείας	βασιλεία	N-	----GSF-
2Thess 1:5	τοῦ	ὁ	RA	----GSM-
2Thess 1:5	θεοῦ	θεός	N-	----GSM-
2Thess 1:5	ὑπὲρ	ὑπέρ	P-	--------
2Thess 1:5	ἧς	ὅς	RR	----GSF-
2Thess 1:5	καὶ	καί	D-	--------
2Thess 1:5	πάσχετε	πάσχω	V-	2PAI-P--
2Thess 1:6	εἴπερ	εἴπερ	C-	--------
2Thess 1:6	δίκαιον	δίκαιος	A-	----NSN-
2Thess 1:6	παρὰ	παρά	P-	--------
2Thess 1:6	θεῷ	θεός	N-	----DSM-
2Thess 1:6	ἀνταποδοῦναι	ἀνταποδίδωμι	V-	-AAN----
2Thess 1:6	τοῖς	ὁ	RA	----DPM-
2Thess 1:6	θλίβουσιν	θλίβω	V-	-PAPDPM-
2Thess 1:6	ὑμᾶς	σύ	RP	----AP--
2Thess 1:6	θλῖψιν	θλῖψις	N-	----ASF-
2Thess 1:7	καὶ	καί	C-	--------
2Thess 1:7	ὑμῖν	σύ	RP	----DP--
2Thess 1:7	τοῖς	ὁ	RA	----DPM-
2Thess 1:7	θλιβομένοις	θλίβω	V-	-PPPDPM-
2Thess 1:7	ἄνεσιν	ἄνεσις	N-	----ASF-
2Thess 1:7	μεθ’	μετά	P-	--------
2Thess 1:7	ἡμῶν	ἐγώ	RP	----GP--
2Thess 1:7	ἐν	ἐν	P-	--------
2Thess 1:7	τῇ	ὁ	RA	----DSF-
2Thess 1:7	ἀποκαλύψει	ἀποκάλυψις	N-	----DSF-
2Thess 1:7	τοῦ	ὁ	RA	----GSM-
2Thess 1:7	κυρίου	κύριος	N-	----GSM-
2Thess 1:7	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
2Thess 1:7	ἀπ’	ἀπό	P-	--------
2Thess 1:7	οὐρανοῦ	οὐρανός	N-	----GSM-
2Thess 1:7	μετ’	μετά	P-	--------
2Thess 1:7	ἀγγέλων	ἄγγελος	N-	----GPM-
2Thess 1:7	δυνάμεως	δύναμις	N-	----GSF-
2Thess 1:7	αὐτοῦ	αὐτός	RP	----GSM-
2Thess 1:8	ἐν	ἐν	P-	--------
2Thess 1:8	φλογὶ	φλόξ	N-	----DSF-
2Thess 1:8	πυρός	πῦρ	N-	----GSN-
2Thess 1:8	διδόντος	δίδωμι	V-	-PAPGSM-
2Thess 1:8	ἐκδίκησιν	ἐκδίκησις	N-	----ASF-
2Thess 1:8	τοῖς	ὁ	RA	----DPM-
2Thess 1:8	μὴ	μή	D-	--------
2Thess 1:8	εἰδόσι	οἶδα	V-	-XAPDPM-
2Thess 1:8	θεὸν	θεός	N-	----ASM-
2Thess 1:8	καὶ	καί	C-	--------
2Thess 1:8	τοῖς	ὁ	RA	----DPM-
2Thess 1:8	μὴ	μή	D-	--------
2Thess 1:8	ὑπακούουσιν	ὑπακούω	V-	-PAPDPM-
2Thess 1:8	τῷ	ὁ	RA	----DSN-
2Thess 1:8	εὐαγγελίῳ	εὐαγγέλιον	N-	----DSN-
2Thess 1:8	τοῦ	ὁ	RA	----GSM-
2Thess 1:8	κυρίου	κύριος	N-	----GSM-
2Thess 1:8	ἡμῶν	ἐγώ	RP	----GP--
2Thess 1:8	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
2Thess 1:9	οἵτινες	ὅστις	RR	----NPM-
2Thess 1:9	δίκην	δίκη	N-	----ASF-
2Thess 1:9	τίσουσιν	τίνω	V-	3FAI-P--
2Thess 1:9	ὄλεθρον	ὄλεθρος	N-	----ASM-
2Thess 1:9	αἰώνιον	αἰώνιος	A-	----ASM-
2Thess 1:9	ἀπὸ	ἀπό	P-	--------
2Thess 1:9	προσώπου	πρόσωπον	N-	----GSN-
2Thess 1:9	τοῦ	ὁ	RA	----GSM-
2Thess 1:9	κυρίου	κύριος	N-	----GSM-
2Thess 1:9	καὶ	καί	C-	--------
2Thess 1:9	ἀπὸ	ἀπό	P-	--------
2Thess 1:9	τῆς	ὁ	RA	----GSF-
2Thess 1:9	δόξης	δόξα	N-	----GSF-
2Thess 1:9	τῆς	ὁ	RA	----GSF-
2Thess 1:9	ἰσχύος	ἰσχύς	N-	----GSF-
2Thess 1:9	αὐτοῦ	αὐτός	RP	----GSM-
2Thess 1:10	ὅταν	ὅταν	C-	--------
2Thess 1:10	ἔλθῃ	ἔρχομαι	V-	3AAS-S--
2Thess 1:10	ἐνδοξασθῆναι	ἐνδοξάζομαι	V-	-APN----
2Thess 1:10	ἐν	ἐν	P-	--------
2Thess 1:10	τοῖς	ὁ	RA	----DPM-
2Thess 1:10	ἁγίοις	ἅγιος	A-	----DPM-
2Thess 1:10	αὐτοῦ	αὐτός	RP	----GSM-
2Thess 1:10	καὶ	καί	C-	--------
2Thess 1:10	θαυμασθῆναι	θαυμάζω	V-	-APN----
2Thess 1:10	ἐν	ἐν	P-	--------
2Thess 1:10	πᾶσιν	πᾶς	A-	----DPM-
2Thess 1:10	τοῖς	ὁ	RA	----DPM-
2Thess 1:10	πιστεύσασιν	πιστεύω	V-	-AAPDPM-
2Thess 1:10	ὅτι	ὅτι	C-	--------
2Thess 1:10	ἐπιστεύθη	πιστεύω	V-	3API-S--
2Thess 1:10	τὸ	ὁ	RA	----NSN-
2Thess 1:10	μαρτύριον	μαρτύριον	N-	----NSN-
2Thess 1:10	ἡμῶν	ἐγώ	RP	----GP--
2Thess 1:10	ἐφ’	ἐπί	P-	--------
2Thess 1:10	ὑμᾶς	σύ	RP	----AP--
