ref	word	lemma	pos	parse
2Tim 1:1	Παῦλος	Παῦλος	N-	----NSM-
2Tim 1:1	ἀπόστολος	ἀπόστολος	N-	----NSM-
2Tim 1:1	Χριστοῦ	Χριστός	N-	----GSM-
2Tim 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
2Tim 1:1	διὰ	διά	P-	--------
2Tim 1:1	θελήματος	θέλημα	N-	----GSN-
2Tim 1:1	θεοῦ	θεός	N-	----GSM-
2Tim 1:1	κατ’	κατά	P-	--------
2Tim 1:1	ἐπαγγελίαν	ἐπαγγελία	N-	----ASF-
2Tim 1:1	ζωῆς	ζωή	N-	----GSF-
2Tim 1:1	τῆς	ὁ	RA	----GSF-
2Tim 1:1	ἐν	ἐν	P-	--------
2Tim 1:1	Χριστῷ	Χριστός	N-	----DSM-
2Tim 1:1	Ἰησοῦ	Ἰησοῦς	N-	----DSM-
2Tim 1:2	Τιμοθέῳ	Τιμόθεος	N-	----DSM-
2Tim 1:2	ἀγαπητῷ	ἀγαπητός	A-	----DSN-
2Tim 1:2	τέκνῳ	τέκνον	N-	----DSN-
2Tim 1:2	χάρις	χάρις	N-	----NSF-
2Tim 1:2	ἔλεος	ἔλεος	N-	----NSN-
2Tim 1:2	εἰρήνη	εἰρήνη	N-	----NSF-
2Tim 1:2	ἀπὸ	ἀπό	P-	--------
2Tim 1:2	θεοῦ	θεός	N-	----GSM-
2Tim 1:2	πατρὸς	πατήρ	N-	----GSM-
2Tim 1:2	καὶ	καί	C-	--------
2Tim 1:2	Χριστοῦ	Χριστός	N-	----GSM-
2Tim 1:2	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
2Tim 1:2	τοῦ	ὁ	RA	----GSM-
2Tim 1:2	κυρίου	κύριος	N-	----GSM-
2Tim 1:2	ἡμῶν	ἐγώ	RP	----GP--
2Tim 1:3	Χάριν	χάρις	N-	----ASF-
2Tim 1:3	ἔχω	ἔχω	V-	1PAI-S--
2Tim 1:3	τῷ	ὁ	RA	----DSM-
2Tim 1:3	θεῷ	θεός	N-	----DSM-
2Tim 1:3	ᾧ	ὅς	RR	----DSM-
2Tim 1:3	λατρεύω	λατρεύω	V-	1PAI-S--
2Tim 1:3	ἀπὸ	ἀπό	P-	--------
2Tim 1:3	προγόνων	πρόγονος	A-	----GPM-
2Tim 1:3	ἐν	ἐν	P-	--------
2Tim 1:3	καθαρᾷ	καθαρός	A-	----DSF-
2Tim 1:3	συνειδήσει	συνείδησις	N-	----DSF-
2Tim 1:3	ὡς	ὡς	D-	--------
2Tim 1:3	ἀδιάλειπτον	ἀδιάλειπτος	A-	----ASF-
2Tim 1:3	ἔχω	ἔχω	V-	1PAI-S--
2Tim 1:3	τὴν	ὁ	RA	----ASF-
2Tim 1:3	περὶ	περί	P-	--------
2Tim 1:3	σοῦ	σύ	RP	----GS--
2Tim 1:3	μνείαν	μνεία	N-	----ASF-
2Tim 1:3	ἐν	ἐν	P-	--------
2Tim 1:3	ταῖς	ὁ	RA	----DPF-
2Tim 1:3	δεήσεσίν	δέησις	N-	----DPF-
2Tim 1:3	μου	ἐγώ	RP	----GS--
2Tim 1:3	νυκτὸς	νύξ	N-	----GSF-
2Tim 1:3	καὶ	καί	C-	--------
2Tim 1:3	ἡμέρας	ἡμέρα	N-	----GSF-
2Tim 1:4	ἐπιποθῶν	ἐπιποθέω	V-	-PAPNSM-
2Tim 1:4	σε	σύ	RP	----AS--
2Tim 1:4	ἰδεῖν	ὁράω	V-	-AAN----
2Tim 1:4	μεμνημένος	μιμνῄσκομαι	V-	-XMPNSM-
2Tim 1:4	σου	σύ	RP	----GS--
2Tim 1:4	τῶν	ὁ	RA	----GPN-
2Tim 1:4	δακρύων	δάκρυον	N-	----GPN-
2Tim 1:4	ἵνα	ἵνα	C-	--------
2Tim 1:4	χαρᾶς	χαρά	N-	----GSF-
2Tim 1:4	πληρωθῶ	πληρόω	V-	1APS-S--
2Tim 1:5	ὑπόμνησιν	ὑπόμνησις	N-	----ASF-
2Tim 1:5	λαβὼν	λαμβάνω	V-	-AAPNSM-
2Tim 1:5	τῆς	ὁ	RA	----GSF-
2Tim 1:5	ἐν	ἐν	P-	--------
2Tim 1:5	σοὶ	σύ	RP	----DS--
2Tim 1:5	ἀνυποκρίτου	ἀνυπόκριτος	A-	----GSF-
2Tim 1:5	πίστεως	πίστις	N-	----GSF-
2Tim 1:5	ἥτις	ὅστις	RR	----NSF-
2Tim 1:5	ἐνῴκησεν	ἐνοικέω	V-	3AAI-S--
2Tim 1:5	πρῶτον	πρῶτος	A-	----ASN-
2Tim 1:5	ἐν	ἐν	P-	--------
2Tim 1:5	τῇ	ὁ	RA	----DSF-
2Tim 1:5	μάμμῃ	μάμμη	N-	----DSF-
2Tim 1:5	σου	σύ	RP	----GS--
2Tim 1:5	Λωΐδι	Λωΐς	N-	----DSF-
2Tim 1:5	καὶ	καί	C-	--------
2Tim 1:5	τῇ	ὁ	RA	----DSF-
2Tim 1:5	μητρί	μήτηρ	N-	----DSF-
2Tim 1:5	σου	σύ	RP	----GS--
2Tim 1:5	Εὐνίκῃ	Εὐνίκη	N-	----DSF-
2Tim 1:5	πέπεισμαι	πείθω	V-	1XPI-S--
2Tim 1:5	δὲ	δέ	C-	--------
2Tim 1:5	ὅτι	ὅτι	C-	--------
2Tim 1:5	καὶ	καί	D-	--------
2Tim 1:5	ἐν	ἐν	P-	--------
2Tim 1:5	σοί	σύ	RP	----DS--
2Tim 1:6	δι’	διά	P-	--------
2Tim 1:6	ἣν	ὅς	RR	----ASF-
2Tim 1:6	αἰτίαν	αἰτία	N-	----ASF-
2Tim 1:6	ἀναμιμνῄσκω	ἀναμιμνῄσκω	V-	1PAI-S--
2Tim 1:6	σε	σύ	RP	----AS--
2Tim 1:6	ἀναζωπυρεῖν	ἀναζωπυρέω	V-	-PAN----
2Tim 1:6	τὸ	ὁ	RA	----ASN-
2Tim 1:6	χάρισμα	χάρισμα	N-	----ASN-
2Tim 1:6	τοῦ	ὁ	RA	----GSM-
2Tim 1:6	θεοῦ	θεός	N-	----GSM-
2Tim 1:6	ὅ	ὅς	RR	----NSN-
2Tim 1:6	ἐστιν	εἰμί	V-	3PAI-S--
2Tim 1:6	ἐν	ἐν	P-	--------
2Tim 1:6	σοὶ	σύ	RP	----DS--
2Tim 1:6	διὰ	διά	P-	--------
2Tim 1:6	τῆς	ὁ	RA	----GSF-
2Tim 1:6	ἐπιθέσεως	ἐπίθεσις	N-	----GSF-
2Tim 1:6	τῶν	ὁ	RA	----GPF-
2Tim 1:6	χειρῶν	χείρ	N-	----GPF-
2Tim 1:6	μου	ἐγώ	RP	----GS--
2Tim 1:7	οὐ	οὐ	D-	--------
2Tim 1:7	γὰρ	γάρ	C-	--------
2Tim 1:7	ἔδωκεν	δίδωμι	V-	3AAI-S--
2Tim 1:7	ἡμῖν	ἐγώ	RP	----DP--
2Tim 1:7	ὁ	ὁ	RA	----NSM-
2Tim 1:7	θεὸς	θεός	N-	----NSM-
2Tim 1:7	πνεῦμα	πνεῦμα	N-	----ASN-
2Tim 1:7	δειλίας	δειλία	N-	----GSF-
2Tim 1:7	ἀλλὰ	ἀλλά	C-	--------
2Tim 1:7	δυνάμεως	δύναμις	N-	----GSF-
2Tim 1:7	καὶ	καί	C-	--------
2Tim 1:7	ἀγάπης	ἀγάπη	N-	----GSF-
2Tim 1:7	καὶ	καί	C-	--------
