ref	word	lemma	pos	parse
Phlm 1:1	Παῦλος	Παῦλος	N-	----NSM-
Phlm 1:1	δέσμιος	δέσμιος	N-	----NSM-
Phlm 1:1	Χριστοῦ	Χριστός	N-	----GSM-
Phlm 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Phlm 1:1	καὶ	καί	C-	--------
Phlm 1:1	Τιμόθεος	Τιμόθεος	N-	----NSM-
Phlm 1:1	ὁ	ὁ	RA	----NSM-
Phlm 1:1	ἀδελφὸς	ἀδελφός	N-	----NSM-
Phlm 1:1	Φιλήμονι	Φιλήμων	N-	----DSM-
Phlm 1:1	τῷ	ὁ	RA	----DSM-
Phlm 1:1	ἀγαπητῷ	ἀγαπητός	A-	----DSM-
Phlm 1:1	καὶ	καί	C-	--------
Phlm 1:1	συνεργῷ	συνεργός	A-	----DSM-
Phlm 1:1	ἡμῶν	ἐγώ	RP	----GP--
Phlm 1:2	καὶ	καί	C-	--------
Phlm 1:2	Ἀπφίᾳ	Ἀπφία	N-	----DSF-
Phlm 1:2	τῇ	ὁ	RA	----DSF-
Phlm 1:2	ἀδελφῇ	ἀδελφή	N-	----DSF-
Phlm 1:2	καὶ	καί	C-	--------
Phlm 1:2	Ἀρχίππῳ	Ἄρχιππος	N-	----DSM-
Phlm 1:2	τῷ	ὁ	RA	----DSM-
Phlm 1:2	συστρατιώτῃ	συστρατιώτης	N-	----DSM-
Phlm 1:2	ἡμῶν	ἐγώ	RP	----GP--
Phlm 1:2	καὶ	καί	C-	--------
Phlm 1:2	τῇ	ὁ	RA	----DSF-
Phlm 1:2	κατ’	κατά	P-	--------
Phlm 1:2	οἶκόν	οἶκος	N-	----ASM-
Phlm 1:2	σου	σύ	RP	----GS--
Phlm 1:2	ἐκκλησίᾳ	ἐκκλησία	N-	----DSF-
Phlm 1:3	χάρις	χάρις	N-	----NSF-
Phlm 1:3	ὑμῖν	σύ	RP	----DP--
Phlm 1:3	καὶ	καί	C-	--------
Phlm 1:3	εἰρήνη	εἰρήνη	N-	----NSF-
Phlm 1:3	ἀπὸ	ἀπό	P-	--------
Phlm 1:3	θεοῦ	θεός	N-	----GSM-
Phlm 1:3	πατρὸς	πατήρ	N-	----GSM-
Phlm 1:3	ἡμῶν	ἐγώ	RP	----GP--
Phlm 1:3	καὶ	καί	C-	--------
Phlm 1:3	κυρίου	κύριος	N-	----GSM-
Phlm 1:3	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Phlm 1:3	Χριστοῦ	Χριστός	N-	----GSM-
Phlm 1:4	Εὐχαριστῶ	εὐχαριστέω	V-	1PAI-S--
Phlm 1:4	τῷ	ὁ	RA	----DSM-
Phlm 1:4	θεῷ	θεός	N-	----DSM-
Phlm 1:4	μου	ἐγώ	RP	----GS--
Phlm 1:4	πάντοτε	πάντοτε	D-	--------
Phlm 1:4	μνείαν	μνεία	N-	----ASF-
Phlm 1:4	σου	σύ	RP	----GS--
Phlm 1:4	ποιούμενος	ποιέω	V-	-PMPNSM-
Phlm 1:4	ἐπὶ	ἐπί	P-	--------
Phlm 1:4	τῶν	ὁ	RA	----GPF-
Phlm 1:4	προσευχῶν	προσευχή	N-	----GPF-
Phlm 1:4	μου	ἐγώ	RP	----GS--
Phlm 1:5	ἀκούων	ἀκούω	V-	-PAPNSM-
Phlm 1:5	σου	σύ	RP	----GS--
Phlm 1:5	τὴν	ὁ	RA	----ASF-
Phlm 1:5	ἀγάπην	ἀγάπη	N-	----ASF-
Phlm 1:5	καὶ	καί	C-	--------
Phlm 1:5	τὴν	ὁ	RA	----ASF-
Phlm 1:5	πίστιν	πίστις	N-	----ASF-
Phlm 1:5	ἣν	ὅς	RR	----ASF-
Phlm 1:5	ἔχεις	ἔχω	V-	2PAI-S--
Phlm 1:5	πρὸς	πρός	P-	--------
Phlm 1:5	τὸν	ὁ	RA	----ASM-
Phlm 1:5	κύριον	κύριος	N-	----ASM-
Phlm 1:5	Ἰησοῦν	Ἰησοῦς	N-	----ASM-
Phlm 1:5	καὶ	καί	C-	--------
Phlm 1:5	εἰς	εἰς	P-	--------
Phlm 1:5	πάντας	πᾶς	A-	----APM-
Phlm 1:5	τοὺς	ὁ	RA	----APM-
Phlm 1:5	ἁγίους	ἅγιος	A-	----APM-
Phlm 1:6	ὅπως	ὅπως	C-	--------
Phlm 1:6	ἡ	ὁ	RA	----NSF-
Phlm 1:6	κοινωνία	κοινωνία	N-	----NSF-
Phlm 1:6	τῆς	ὁ	RA	----GSF-
Phlm 1:6	πίστεώς	πίστις	N-	----GSF-
Phlm 1:6	σου	σύ	RP	----GS--
Phlm 1:6	ἐνεργὴς	ἐνεργής	A-	----NSF-
Phlm 1:6	γένηται	γίνομαι	V-	3AMS-S--
Phlm 1:6	ἐν	ἐν	P-	--------
Phlm 1:6	ἐπιγνώσει	ἐπίγνωσις	N-	----DSF-
Phlm 1:6	παντὸς	πᾶς	A-	----GSN-
Phlm 1:6	ἀγαθοῦ	ἀγαθός	A-	----GSN-
Phlm 1:6	τοῦ	ὁ	RA	----GSN-
Phlm 1:6	ἐν	ἐν	P-	--------
Phlm 1:6	ἡμῖν	ἐγώ	RP	----DP--
Phlm 1:6	εἰς	εἰς	P-	--------
Phlm 1:6	Χριστόν	Χριστός	N-	----ASM-
Phlm 1:7	χαρὰν	χαρά	N-	----ASF-
Phlm 1:7	γὰρ	γάρ	C-	--------
Phlm 1:7	πολλὴν	πολύς	A-	----ASF-
Phlm 1:7	ἔσχον	ἔχω	V-	1AAI-S--
Phlm 1:7	καὶ	καί	C-	--------
Phlm 1:7	παράκλησιν	παράκλησις	N-	----ASF-
Phlm 1:7	ἐπὶ	ἐπί	P-	--------
Phlm 1:7	τῇ	ὁ	RA	----DSF-
Phlm 1:7	ἀγάπῃ	ἀγάπη	N-	----DSF-
Phlm 1:7	σου	σύ	RP	----GS--
Phlm 1:7	ὅτι	ὅτι	C-	--------
Phlm 1:7	τὰ	ὁ	RA	----NPN-
Phlm 1:7	σπλάγχνα	σπλάγχνον	N-	----NPN-
Phlm 1:7	τῶν	ὁ	RA	----GPM-
Phlm 1:7	ἁγίων	ἅγιος	A-	----GPM-
Phlm 1:7	ἀναπέπαυται	ἀναπαύω	V-	3XPI-S--
Phlm 1:7	διὰ	διά	P-	--------
Phlm 1:7	σοῦ	σύ	RP	----GS--
Phlm 1:7	ἀδελφέ	ἀδελφός	N-	----VSM-
Phlm 1:8	Διό	διό	C-	--------
Phlm 1:8	πολλὴν	πολύς	A-	----ASF-
Phlm 1:8	ἐν	ἐν	P-	--------
Phlm 1:8	Χριστῷ	Χριστός	N-	----DSM-
Phlm 1:8	παρρησίαν	παρρησία	N-	----ASF-
Phlm 1:8	ἔχων	ἔχω	V-	-PAPNSM-
Phlm 1:8	ἐπιτάσσειν	ἐπιτάσσω	V-	-PAN----
Phlm 1:8	σοι	σύ	RP	----DS--
Phlm 1:8	τὸ	ὁ	RA	----ASN-
Phlm 1:8	ἀνῆκον	ἀνήκω	V-	-PAPASN-
Phlm 1:9	διὰ	διά	P-	--------
Phlm 1:9	τὴν	ὁ	RA	----ASF-
Phlm 1:9	ἀγάπην	ἀγάπη	N-	----ASF-
Phlm 1:9	μᾶλλον	μᾶλλον	D-	--------
Phlm 1:9	παρακαλῶ	παρακαλέω	V-	1PAI-S--
Phlm 1:9	τοιοῦτος	τοιοῦτος	RD	----NSM-
Phlm 1:9	ὢν	εἰμί	V-	-PAPNSM-
Phlm 1:9	ὡς	ὡς	C-	--------
Phlm 1:9	Παῦλος	Παῦλος	N-	----NSM-
Phlm 1:9	πρεσβύτης	πρεσβύτης	N-	----NSM-
Phlm 1:9	νυνὶ	νυνί	D-	--------
Phlm 1:9	δὲ	δέ	C-	--------
Phlm 1:9	καὶ	καί	D-	--------
Phlm 1:9	δέσμιος	δέσμιος	N-	----NSM-
Phlm 1:9	Χριστοῦ	Χριστός	N-	----GSM-
Phlm 1:9	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Phlm 1:10	παρακαλῶ	παρακαλέω	V-	1PAI-S--
Phlm 1:10	σε	σύ	RP	----AS--
Phlm 1:10	περὶ	περί	P-	--------
Phlm 1:10	τοῦ	ὁ	RA	----GSN-
Phlm 1:10	ἐμοῦ	ἐμός	A-	----GSN-
Phlm 1:10	τέκνου	τέκνον	N-	----GSN-
Phlm 1:10	ὃν	ὅς	RR	----ASM-
Phlm 1:10	ἐγέννησα	γεννάω	V-	1AAI-S--
Phlm 1:10	ἐν	ἐν	P-	--------
Phlm 1:10	τοῖς	ὁ	RA	----DPM-
Phlm 1:10	δεσμοῖς	δεσμός	N-	----DPM-
Phlm 1:10	Ὀνήσιμον	Ὀνήσιμος	N-	----ASM-
Phlm 1:11	τόν	ὁ	RA	----ASM-
Phlm 1:11	ποτέ	ποτέ	X-	--------
Phlm 1:11	σοι	σύ	RP	----DS--
Phlm 1:11	ἄχρηστον	ἄχρηστος	A-	----ASM-
Phlm 1:11	νυνὶ	νυνί	D-	--------
Phlm 1:11	δὲ	δέ	C-	--------
Phlm 1:11	σοὶ	σύ	RP	----DS--
Phlm 1:11	καὶ	καί	C-	--------
Phlm 1:11	ἐμοὶ	ἐγώ	RP	----DS--
Phlm 1:11	εὔχρηστον	εὔχρηστος	A-	----ASM-
Phlm 1:12	ὃν	ὅς	RR	----ASM-
Phlm 1:12	ἀνέπεμψά	ἀναπέμπω	V-	1AAI-S--
Phlm 1:12	σοι	σύ	RP	----DS--
Phlm 1:12	αὐτόν	αὐτός	RP	----ASM-
Phlm 1:12	τοῦτ’	οὗτος	RD	----NSN-
Phlm 1:12	ἔστιν	εἰμί	V-	3PAI-S--
