ref	word	lemma	pos	parse
Heb 1:1	Πολυμερῶς	πολυμερῶς	D-	--------
Heb 1:1	καὶ	καί	C-	--------
Heb 1:1	πολυτρόπως	πολυτρόπως	D-	--------
Heb 1:1	πάλαι	πάλαι	D-	--------
Heb 1:1	ὁ	ὁ	RA	----NSM-
Heb 1:1	θεὸς	θεός	N-	----NSM-
Heb 1:1	λαλήσας	λαλέω	V-	-AAPNSM-
Heb 1:1	τοῖς	ὁ	RA	----DPM-
Heb 1:1	πατράσιν	πατήρ	N-	----DPM-
Heb 1:1	ἐν	ἐν	P-	--------
Heb 1:1	τοῖς	ὁ	RA	----DPM-
Heb 1:1	προφήταις	προφήτης	N-	----DPM-
Heb 1:2	ἐπ’	ἐπί	P-	--------
Heb 1:2	ἐσχάτου	ἔσχατος	A-	----GSN-
Heb 1:2	τῶν	ὁ	RA	----GPF-
Heb 1:2	ἡμερῶν	ἡμέρα	N-	----GPF-
Heb 1:2	τούτων	οὗτος	RD	----GPF-
Heb 1:2	ἐλάλησεν	λαλέω	V-	3AAI-S--
Heb 1:2	ἡμῖν	ἐγώ	RP	----DP--
Heb 1:2	ἐν	ἐν	P-	--------
Heb 1:2	υἱῷ	υἱός	N-	----DSM-
Heb 1:2	ὃν	ὅς	RR	----ASM-
Heb 1:2	ἔθηκεν	τίθημι	V-	3AAI-S--
Heb 1:2	κληρονόμον	κληρονόμος	N-	----ASM-
Heb 1:2	πάντων	πᾶς	A-	----GPN-
Heb 1:2	δι’	διά	P-	--------
Heb 1:2	οὗ	ὅς	RR	----GSM-
Heb 1:2	καὶ	καί	D-	--------
Heb 1:2	ἐποίησεν	ποιέω	V-	3AAI-S--
Heb 1:2	τοὺς	ὁ	RA	----APM-
Heb 1:2	αἰῶνας	αἰών	N-	----APM-
Heb 1:3	ὃς	ὅς	RR	----NSM-
Heb 1:3	ὢν	εἰμί	V-	-PAPNSM-
Heb 1:3	ἀπαύγασμα	ἀπαύγασμα	N-	----NSN-
Heb 1:3	τῆς	ὁ	RA	----GSF-
Heb 1:3	δόξης	δόξα	N-	----GSF-
Heb 1:3	καὶ	καί	C-	--------
Heb 1:3	χαρακτὴρ	χαρακτήρ	N-	----NSM-
Heb 1:3	τῆς	ὁ	RA	----GSF-
Heb 1:3	ὑποστάσεως	ὑπόστασις	N-	----GSF-
Heb 1:3	αὐτοῦ	αὐτός	RP	----GSM-
Heb 1:3	φέρων	φέρω	V-	-PAPNSM-
Heb 1:3	τε	τέ	C-	--------
Heb 1:3	τὰ	ὁ	RA	----APN-
Heb 1:3	πάντα	πᾶς	A-	----APN-
Heb 1:3	τῷ	ὁ	RA	----DSN-
Heb 1:3	ῥήματι	ῥῆμα	N-	----DSN-
Heb 1:3	τῆς	ὁ	RA	----GSF-
Heb 1:3	δυνάμεως	δύναμις	N-	----GSF-
Heb 1:3	δι’	διά	P-	--------
Heb 1:3	αὑτοῦ	ἑαυτοῦ	RP	----GSM-
Heb 1:3	καθαρισμὸν	καθαρισμός	N-	----ASM-
Heb 1:3	τῶν	ὁ	RA	----GPF-
Heb 1:3	ἁμαρτιῶν	ἁμαρτία	N-	----GPF-
Heb 1:3	ποιησάμενος	ποιέω	V-	-AMPNSM-
Heb 1:3	ἐκάθισεν	καθίζω	V-	3AAI-S--
Heb 1:3	ἐν	ἐν	P-	--------
Heb 1:3	δεξιᾷ	δεξιός	A-	----DSF-
Heb 1:3	τῆς	ὁ	RA	----GSF-
Heb 1:3	μεγαλωσύνης	μεγαλωσύνη	N-	----GSF-
Heb 1:3	ἐν	ἐν	P-	--------
Heb 1:3	ὑψηλοῖς	ὑψηλός	A-	----DPM-
Heb 1:4	τοσούτῳ	τοσοῦτος	RD	----DSN-
Heb 1:4	κρείττων	κρείττων	A-	----NSMC
Heb 1:4	γενόμενος	γίνομαι	V-	-AMPNSM-
Heb 1:4	τῶν	ὁ	RA	----GPM-
Heb 1:4	ἀγγέλων	ἄγγελος	N-	----GPM-
Heb 1:4	ὅσῳ	ὅσος	RR	----DSN-
Heb 1:4	διαφορώτερον	διάφορος	A-	----ASNC
Heb 1:4	παρ’	παρά	P-	--------
Heb 1:4	αὐτοὺς	αὐτός	RP	----APM-
Heb 1:4	κεκληρονόμηκεν	κληρονομέω	V-	3XAI-S--
Heb 1:4	ὄνομα	ὄνομα	N-	----ASN-
Heb 1:5	Τίνι	τίς	RI	----DSM-
Heb 1:5	γὰρ	γάρ	C-	--------
Heb 1:5	εἶπέν	λέγω	V-	3AAI-S--
Heb 1:5	ποτε	ποτέ	D-	--------
Heb 1:5	τῶν	ὁ	RA	----GPM-
Heb 1:5	ἀγγέλων	ἄγγελος	N-	----GPM-
Heb 1:5	Υἱός	υἱός	N-	----NSM-
Heb 1:5	μου	ἐγώ	RP	----GS--
Heb 1:5	εἶ	εἰμί	V-	2PAI-S--
Heb 1:5	σύ	σύ	RP	----NS--
Heb 1:5	ἐγὼ	ἐγώ	RP	----NS--
Heb 1:5	σήμερον	σήμερον	D-	--------
Heb 1:5	γεγέννηκά	γεννάω	V-	1XAI-S--
Heb 1:5	σε	σύ	RP	----AS--
Heb 1:5	καὶ	καί	C-	--------
Heb 1:5	πάλιν	πάλιν	D-	--------
Heb 1:5	Ἐγὼ	ἐγώ	RP	----NS--
Heb 1:5	ἔσομαι	εἰμί	V-	1FMI-S--
Heb 1:5	αὐτῷ	αὐτός	RP	----DSM-
Heb 1:5	εἰς	εἰς	P-	--------
Heb 1:5	πατέρα	πατήρ	N-	----ASM-
Heb 1:5	καὶ	καί	C-	--------
Heb 1:5	αὐτὸς	αὐτός	RP	----NSM-
Heb 1:5	ἔσται	εἰμί	V-	3FMI-S--
Heb 1:5	μοι	ἐγώ	RP	----DS--
Heb 1:5	εἰς	εἰς	P-	--------
Heb 1:5	υἱόν	υἱός	N-	----ASM-
Heb 1:6	ὅταν	ὅταν	C-	--------
Heb 1:6	δὲ	δέ	C-	--------
Heb 1:6	πάλιν	πάλιν	D-	--------
