ref	word	lemma	pos	parse
1Pet 1:1	Πέτρος	Πέτρος	N-	----NSM-
1Pet 1:1	ἀπόστολος	ἀπόστολος	N-	----NSM-
1Pet 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
1Pet 1:1	Χριστοῦ	Χριστός	N-	----GSM-
1Pet 1:1	ἐκλεκτοῖς	ἐκλεκτός	A-	----DPM-
1Pet 1:1	παρεπιδήμοις	παρεπίδημος	A-	----DPM-
1Pet 1:1	διασπορᾶς	διασπορά	N-	----GSF-
1Pet 1:1	Πόντου	Πόντος	N-	----GSM-
1Pet 1:1	Γαλατίας	Γαλατία	N-	----GSF-
1Pet 1:1	Καππαδοκίας	Καππαδοκία	N-	----GSF-
1Pet 1:1	Ἀσίας	Ἀσία	N-	----GSF-
1Pet 1:1	καὶ	καί	C-	--------
1Pet 1:1	Βιθυνίας	Βιθυνία	N-	----GSF-
1Pet 1:2	κατὰ	κατά	P-	--------
1Pet 1:2	πρόγνωσιν	πρόγνωσις	N-	----ASF-
1Pet 1:2	θεοῦ	θεός	N-	----GSM-
1Pet 1:2	πατρός	πατήρ	N-	----GSM-
1Pet 1:2	ἐν	ἐν	P-	--------
1Pet 1:2	ἁγιασμῷ	ἁγιασμός	N-	----DSM-
1Pet 1:2	πνεύματος	πνεῦμα	N-	----GSN-
1Pet 1:2	εἰς	εἰς	P-	--------
1Pet 1:2	ὑπακοὴν	ὑπακοή	N-	----ASF-
1Pet 1:2	καὶ	καί	C-	--------
1Pet 1:2	ῥαντισμὸν	ῥαντισμός	N-	----ASM-
1Pet 1:2	αἵματος	αἷμα	N-	----GSN-
1Pet 1:2	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
1Pet 1:2	Χριστοῦ	Χριστός	N-	----GSM-
1Pet 1:2	χάρις	χάρις	N-	----NSF-
1Pet 1:2	ὑμῖν	σύ	RP	----DP--
1Pet 1:2	καὶ	καί	C-	--------
1Pet 1:2	εἰρήνη	εἰρήνη	N-	----NSF-
1Pet 1:2	πληθυνθείη	πληθύνω	V-	3APO-S--
1Pet 1:3	Εὐλογητὸς	εὐλογητός	A-	----NSM-
1Pet 1:3	ὁ	ὁ	RA	----NSM-
1Pet 1:3	θεὸς	θεός	N-	----NSM-
1Pet 1:3	καὶ	καί	C-	--------
1Pet 1:3	πατὴρ	πατήρ	N-	----NSM-
1Pet 1:3	τοῦ	ὁ	RA	----GSM-
1Pet 1:3	κυρίου	κύριος	N-	----GSM-
1Pet 1:3	ἡμῶν	ἐγώ	RP	----GP--
1Pet 1:3	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
1Pet 1:3	Χριστοῦ	Χριστός	N-	----GSM-
