ref	word	lemma	pos	parse
3John 1:1	Ὁ	ὁ	RA	----NSM-
3John 1:1	πρεσβύτερος	πρεσβύτερος	A-	----NSM-
3John 1:1	Γαΐῳ	Γάϊος	N-	----DSM-
3John 1:1	τῷ	ὁ	RA	----DSM-
3John 1:1	ἀγαπητῷ	ἀγαπητός	A-	----DSM-
3John 1:1	ὃν	ὅς	RR	----ASM-
3John 1:1	ἐγὼ	ἐγώ	RP	----NS--
3John 1:1	ἀγαπῶ	ἀγαπάω	V-	1PAI-S--
3John 1:1	ἐν	ἐν	P-	--------
3John 1:1	ἀληθείᾳ	ἀλήθεια	N-	----DSF-
3John 1:2	Ἀγαπητέ	ἀγαπητός	A-	----VSM-
3John 1:2	περὶ	περί	P-	--------
3John 1:2	πάντων	πᾶς	A-	----GPN-
3John 1:2	εὔχομαί	εὔχομαι	V-	1PMI-S--
3John 1:2	σε	σύ	RP	----AS--
3John 1:2	εὐοδοῦσθαι	εὐοδόομαι	V-	-PPN----
3John 1:2	καὶ	καί	C-	--------
3John 1:2	ὑγιαίνειν	ὑγιαίνω	V-	-PAN----
3John 1:2	καθὼς	καθώς	C-	--------
3John 1:2	εὐοδοῦταί	εὐοδόομαι	V-	3PPI-S--
3John 1:2	σου	σύ	RP	----GS--
3John 1:2	ἡ	ὁ	RA	----NSF-
3John 1:2	ψυχή	ψυχή	N-	----NSF-
3John 1:3	ἐχάρην	χαίρω	V-	1API-S--
3John 1:3	γὰρ	γάρ	C-	--------
3John 1:3	λίαν	λίαν	D-	--------
3John 1:3	ἐρχομένων	ἔρχομαι	V-	-PMPGPM-
3John 1:3	ἀδελφῶν	ἀδελφός	N-	----GPM-
3John 1:3	καὶ	καί	C-	--------
3John 1:3	μαρτυρούντων	μαρτυρέω	V-	-PAPGPM-
3John 1:3	σου	σύ	RP	----GS--
3John 1:3	τῇ	ὁ	RA	----DSF-
3John 1:3	ἀληθείᾳ	ἀλήθεια	N-	----DSF-
3John 1:3	καθὼς	καθώς	C-	--------
3John 1:3	σὺ	σύ	RP	----NS--
3John 1:3	ἐν	ἐν	P-	--------
3John 1:3	ἀληθείᾳ	ἀλήθεια	N-	----DSF-
3John 1:3	περιπατεῖς	περιπατέω	V-	2PAI-S--
3John 1:4	μειζοτέραν	μειζότερος	A-	----ASFC
3John 1:4	τούτων	οὗτος	RD	----GPN-
3John 1:4	οὐκ	οὐ	D-	--------
3John 1:4	ἔχω	ἔχω	V-	1PAI-S--
3John 1:4	χαράν	χαρά	N-	----ASF-
3John 1:4	ἵνα	ἵνα	D-	--------
3John 1:4	ἀκούω	ἀκούω	V-	1PAS-S--
3John 1:4	τὰ	ὁ	RA	----APN-
3John 1:4	ἐμὰ	ἐμός	A-	----APN-
3John 1:4	τέκνα	τέκνον	N-	----APN-
3John 1:4	ἐν	ἐν	P-	--------
3John 1:4	τῇ	ὁ	RA	----DSF-
3John 1:4	ἀληθείᾳ	ἀλήθεια	N-	----DSF-
3John 1:4	περιπατοῦντα	περιπατέω	V-	-PAPAPN-
3John 1:5	Ἀγαπητέ	ἀγαπητός	A-	----VSM-
3John 1:5	πιστὸν	πιστός	A-	----ASN-
3John 1:5	ποιεῖς	ποιέω	V-	2PAI-S--
3John 1:5	ὃ	ὅς	RR	----ASN-
3John 1:5	ἐὰν	ἐάν	X-	--------
3John 1:5	ἐργάσῃ	ἐργάζομαι	V-	2AMS-S--
3John 1:5	εἰς	εἰς	P-	--------
3John 1:5	τοὺς	ὁ	RA	----APM-
3John 1:5	ἀδελφοὺς	ἀδελφός	N-	----APM-
3John 1:5	καὶ	καί	C-	--------
3John 1:5	τοῦτο	οὗτος	RD	----ASN-
3John 1:5	ξένους	ξένος	A-	----APM-
3John 1:6	οἳ	ὅς	RR	----NPM-
3John 1:6	ἐμαρτύρησάν	μαρτυρέω	V-	3AAI-P--
3John 1:6	σου	σύ	RP	----GS--
3John 1:6	τῇ	ὁ	RA	----DSF-
3John 1:6	ἀγάπῃ	ἀγάπη	N-	----DSF-
3John 1:6	ἐνώπιον	ἐνώπιον	P-	--------
3John 1:6	ἐκκλησίας	ἐκκλησία	N-	----GSF-
3John 1:6	οὓς	ὅς	RR	----APM-
3John 1:6	καλῶς	καλῶς	D-	--------
3John 1:6	ποιήσεις	ποιέω	V-	2FAI-S--
3John 1:6	προπέμψας	προπέμπω	V-	-AAPNSM-
3John 1:6	ἀξίως	ἀξίως	D-	--------
3John 1:6	τοῦ	ὁ	RA	----GSM-
3John 1:6	θεοῦ	θεός	N-	----GSM-
3John 1:7	ὑπὲρ	ὑπέρ	P-	--------
3John 1:7	γὰρ	γάρ	C-	--------
3John 1:7	τοῦ	ὁ	RA	----GSN-
3John 1:7	ὀνόματος	ὄνομα	N-	----GSN-
3John 1:7	ἐξῆλθον	ἐξέρχομαι	V-	3AAI-P--
3John 1:7	μηδὲν	μηδείς	A-	----ASN-
3John 1:7	λαμβάνοντες	λαμβάνω	V-	-PAPNPM-
3John 1:7	ἀπὸ	ἀπό	P-	--------
3John 1:7	τῶν	ὁ	RA	----GPM-
3John 1:7	ἐθνικῶν	ἐθνικός	A-	----GPM-
3John 1:8	ἡμεῖς	ἐγώ	RP	----NP--
3John 1:8	οὖν	οὖν	C-	--------
3John 1:8	ὀφείλομεν	ὀφείλω	V-	1PAI-P--
3John 1:8	ὑπολαμβάνειν	ὑπολαμβάνω	V-	-PAN----
3John 1:8	τοὺς	ὁ	RA	----APM-
3John 1:8	τοιούτους	τοιοῦτος	RD	----APM-
3John 1:8	ἵνα	ἵνα	C-	--------
3John 1:8	συνεργοὶ	συνεργός	A-	----NPM-
3John 1:8	γινώμεθα	γίνομαι	V-	1PMS-P--
3John 1:8	τῇ	ὁ	RA	----DSF-
3John 1:8	ἀληθείᾳ	ἀλήθεια	N-	----DSF-
3John 1:9	Ἔγραψά	γράφω	V-	1AAI-S--
3John 1:9	τι	τις	RI	----ASN-
3John 1:9	τῇ	ὁ	RA	----DSF-
3John 1:9	ἐκκλησίᾳ	ἐκκλησία	N-	----DSF-
3John 1:9	ἀλλ’	ἀλλά	C-	--------
3John 1:9	ὁ	ὁ	RA	----NSM-
3John 1:9	φιλοπρωτεύων	φιλοπρωτεύω	V-	-PAPNSM-
3John 1:9	αὐτῶν	αὐτός	RP	----GPM-
3John 1:9	Διοτρέφης	Διοτρέφης	N-	----NSM-
3John 1:9	οὐκ	οὐ	D-	--------
3John 1:9	ἐπιδέχεται	ἐπιδέχομαι	V-	3PMI-S--
3John 1:9	ἡμᾶς	ἐγώ	RP	----AP--
3John 1:10	διὰ	διά	P-	--------
3John 1:10	τοῦτο	οὗτος	RD	----ASN-
3John 1:10	ἐὰν	ἐάν	C-	--------
3John 1:10	ἔλθω	ἔρχομαι	V-	1AAS-S--
3John 1:10	ὑπομνήσω	ὑπομιμνῄσκω	V-	1FAI-S--
3John 1:10	αὐτοῦ	αὐτός	RP	----GSM-
3John 1:10	τὰ	ὁ	RA	----APN-
3John 1:10	ἔργα	ἔργον	N-	----APN-
3John 1:10	ἃ	ὅς	RR	----APN-
3John 1:10	ποιεῖ	ποιέω	V-	3PAI-S--
3John 1:10	λόγοις	λόγος	N-	----DPM-
3John 1:10	πονηροῖς	πονηρός	A-	----DPM-
3John 1:10	φλυαρῶν	φλυαρέω	V-	-PAPNSM-
3John 1:10	ἡμᾶς	ἐγώ	RP	----AP--
3John 1:10	καὶ	καί	C-	--------
3John 1:10	μὴ	μή	D-	--------
3John 1:10	ἀρκούμενος	ἀρκέω	V-	-PPPNSM-
3John 1:10	ἐπὶ	ἐπί	P-	--------
3John 1:10	τούτοις	οὗτος	RD	----DPN-
3John 1:10	οὔτε	οὔτε	C-	--------
3John 1:10	αὐτὸς	αὐτός	RP	----NSM-
3John 1:10	ἐπιδέχεται	ἐπιδέχομαι	V-	3PMI-S--
3John 1:10	τοὺς	ὁ	RA	----APM-
3John 1:10	ἀδελφοὺς	ἀδελφός	N-	----APM-
3John 1:10	καὶ	καί	C-	--------
3John 1:10	τοὺς	ὁ	RA	----APM-
3John 1:10	βουλομένους	βούλομαι	V-	-PMPAPM-
3John 1:10	κωλύει	κωλύω	V-	3PAI-S--
3John 1:10	καὶ	καί	C-	--------
3John 1:10	ἐκ	ἐκ	P-	--------
3John 1:10	τῆς	ὁ	RA	----GSF-
3John 1:10	ἐκκλησίας	ἐκκλησία	N-	----GSF-
3John 1:10	ἐκβάλλει	ἐκβάλλω	V-	3PAI-S--
3John 1:11	Ἀγαπητέ	ἀγαπητός	A-	----VSM-
3John 1:11	μὴ	μή	D-	--------
3John 1:11	μιμοῦ	μιμέομαι	V-	2PMD-S--
3John 1:11	τὸ	ὁ	RA	----ASN-
3John 1:11	κακὸν	κακός	A-	----ASN-
3John 1:11	ἀλλὰ	ἀλλά	C-	--------
3John 1:11	τὸ	ὁ	RA	----ASN-
3John 1:11	ἀγαθόν	ἀγαθός	A-	----ASN-
3John 1:11	ὁ	ὁ	RA	----NSM-
3John 1:11	ἀγαθοποιῶν	ἀγαθοποιέω	V-	-PAPNSM-
3John 1:11	ἐκ	ἐκ	P-	--------
3John 1:11	τοῦ	ὁ	RA	----GSM-
3John 1:11	θεοῦ	θεός	N-	----GSM-
3John 1:11	ἐστιν	εἰμί	V-	3PAI-S--
3John 1:11	ὁ	ὁ	RA	----NSM-
3John 1:11	κακοποιῶν	κακοποιέω	V-	-PAPNSM-
3John 1:11	οὐχ	οὐ	D-	--------
3John 1:11	ἑώρακεν	ὁράω	V-	3XAI-S--
3John 1:11	τὸν	ὁ	RA	----ASM-
3John 1:11	θεόν	θεός	N-	----ASM-
3John 1:12	Δημητρίῳ	Δημήτριος	N-	----DSM-
3John 1:12	μεμαρτύρηται	μαρτυρέω	V-	3XPI-S--
3John 1:12	ὑπὸ	ὑπό	P-	--------
3John 1:12	πάντων	πᾶς	A-	----GPM-
3John 1:12	καὶ	καί	C-	--------
3John 1:12	ὑπὸ	ὑπό	P-	--------
3John 1:12	αὐτῆς	αὐτός	RP	----GSF-
3John 1:12	τῆς	ὁ	RA	----GSF-
3John 1:12	ἀληθείας	ἀλήθεια	N-	----GSF-
3John 1:12	καὶ	καί	D-	--------
3John 1:12	ἡμεῖς	ἐγώ	RP	----NP--
3John 1:12	δὲ	δέ	C-	--------
3John 1:12	μαρτυροῦμεν	μαρτυρέω	V-	1PAI-P--
3John 1:12	καὶ	καί	C-	--------
3John 1:12	οἶδας	οἶδα	V-	2XAI-S--
3John 1:12	ὅτι	ὅτι	C-	--------
3John 1:12	ἡ	ὁ	RA	----NSF-
3John 1:12	μαρτυρία	μαρτυρία	N-	----NSF-
3John 1:12	ἡμῶν	ἐγώ	RP	----GP--
3John 1:12	ἀληθής	ἀληθής	A-	----NSF-
3John 1:12	ἐστιν	εἰμί	V-	3PAI-S--
3John 1:13	Πολλὰ	πολύς	A-	----APN-
3John 1:13	εἶχον	ἔχω	V-	1IAI-S--
3John 1:13	γράψαι	γράφω	V-	-AAN----
3John 1:13	σοι	σύ	RP	----DS--
3John 1:13	ἀλλ’	ἀλλά	C-	--------
3John 1:13	οὐ	οὐ	D-	--------
3John 1:13	θέλω	θέλω	V-	1PAI-S--
3John 1:13	διὰ	διά	P-	--------
3John 1:13	μέλανος	μέλαν	N-	----GSN-
3John 1:13	καὶ	καί	C-	--------
3John 1:13	καλάμου	κάλαμος	N-	----GSM-
3John 1:13	σοι	σύ	RP	----DS--
3John 1:13	γράφειν	γράφω	V-	-PAN----
3John 1:14	ἐλπίζω	ἐλπίζω	V-	1PAI-S--
3John 1:14	δὲ	δέ	C-	--------
3John 1:14	εὐθέως	εὐθέως	D-	--------
3John 1:14	σε	σύ	RP	----AS--
3John 1:14	ἰδεῖν	ὁράω	V-	-AAN----
3John 1:14	καὶ	καί	C-	--------
3John 1:14	στόμα	στόμα	N-	----ASN-
3John 1:14	πρὸς	πρός	P-	--------
3John 1:14	στόμα	στόμα	N-	----ASN-
3John 1:14	λαλήσομεν	λαλέω	V-	1FAI-P--
3John 1:15	Εἰρήνη	εἰρήνη	N-	----NSF-
3John 1:15	σοι	σύ	RP	----DS--
3John 1:15	ἀσπάζονταί	ἀσπάζομαι	V-	3PMI-P--
3John 1:15	σε	σύ	RP	----AS--
3John 1:15	οἱ	ὁ	RA	----NPM-
3John 1:15	φίλοι	φίλος	A-	----NPM-
3John 1:15	ἀσπάζου	ἀσπάζομαι	V-	2PMD-S--
3John 1:15	τοὺς	ὁ	RA	----APM-
3John 1:15	φίλους	φίλος	A-	----APM-
3John 1:15	κατ’	κατά	P-	--------
3John 1:15	ὄνομα	ὄνομα	N-	----ASN-
