ref	word	lemma	pos	parse
Jude 1:1	Ἰούδας	Ἰούδας	N-	----NSM-
Jude 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Jude 1:1	Χριστοῦ	Χριστός	N-	----GSM-
Jude 1:1	δοῦλος	δοῦλος	N-	----NSM-
Jude 1:1	ἀδελφὸς	ἀδελφός	N-	----NSM-
Jude 1:1	δὲ	δέ	C-	--------
Jude 1:1	Ἰακώβου	Ἰάκωβος	N-	----GSM-
Jude 1:1	τοῖς	ὁ	RA	----DPM-
Jude 1:1	ἐν	ἐν	P-	--------
Jude 1:1	θεῷ	θεός	N-	----DSM-
Jude 1:1	πατρὶ	πατήρ	N-	----DSM-
Jude 1:1	ἠγαπημένοις	ἀγαπάω	V-	-XPPDPM-
Jude 1:1	καὶ	καί	C-	--------
Jude 1:1	Ἰησοῦ	Ἰησοῦς	N-	----DSM-
Jude 1:1	Χριστῷ	Χριστός	N-	----DSM-
Jude 1:1	τετηρημένοις	τηρέω	V-	-XPPDPM-
Jude 1:1	κλητοῖς	κλητός	A-	----DPM-
Jude 1:2	ἔλεος	ἔλεος	N-	----NSN-
Jude 1:2	ὑμῖν	σύ	RP	----DP--
Jude 1:2	καὶ	καί	C-	--------
Jude 1:2	εἰρήνη	εἰρήνη	N-	----NSF-
Jude 1:2	καὶ	καί	C-	--------
Jude 1:2	ἀγάπη	ἀγάπη	N-	----NSF-
Jude 1:2	πληθυνθείη	πληθύνω	V-	3APO-S--
Jude 1:3	Ἀγαπητοί	ἀγαπητός	A-	----VPM-
Jude 1:3	πᾶσαν	πᾶς	A-	----ASF-
Jude 1:3	σπουδὴν	σπουδή	N-	----ASF-
Jude 1:3	ποιούμενος	ποιέω	V-	-PMPNSM-
Jude 1:3	γράφειν	γράφω	V-	-PAN----
Jude 1:3	ὑμῖν	σύ	RP	----DP--
Jude 1:3	περὶ	περί	P-	--------
Jude 1:3	τῆς	ὁ	RA	----GSF-
Jude 1:3	κοινῆς	κοινός	A-	----GSF-
Jude 1:3	ἡμῶν	ἐγώ	RP	----GP--
Jude 1:3	σωτηρίας	σωτηρία	N-	----GSF-
Jude 1:3	ἀνάγκην	ἀνάγκη	N-	----ASF-
Jude 1:3	ἔσχον	ἔχω	V-	1AAI-S--
Jude 1:3	γράψαι	γράφω	V-	-AAN----
Jude 1:3	ὑμῖν	σύ	RP	----DP--
Jude 1:3	παρακαλῶν	παρακαλέω	V-	-PAPNSM-
Jude 1:3	ἐπαγωνίζεσθαι	ἐπαγωνίζομαι	V-	-PMN----
Jude 1:3	τῇ	ὁ	RA	----DSF-
Jude 1:3	ἅπαξ	ἅπαξ	D-	--------
Jude 1:3	παραδοθείσῃ	παραδίδωμι	V-	-APPDSF-
Jude 1:3	τοῖς	ὁ	RA	----DPM-
Jude 1:3	ἁγίοις	ἅγιος	A-	----DPM-
Jude 1:3	πίστει	πίστις	N-	----DSF-
Jude 1:4	παρεισέδυσαν	παρεισδύω	V-	3AAI-P--
Jude 1:4	γάρ	γάρ	C-	--------
Jude 1:4	τινες	τις	RI	----NPM-
Jude 1:4	ἄνθρωποι	ἄνθρωπος	N-	----NPM-
Jude 1:4	οἱ	ὁ	RA	----NPM-
Jude 1:4	πάλαι	πάλαι	D-	--------
Jude 1:4	προγεγραμμένοι	προγράφω	V-	-XPPNPM-
Jude 1:4	εἰς	εἰς	P-	--------
Jude 1:4	τοῦτο	οὗτος	RD	----ASN-
Jude 1:4	τὸ	ὁ	RA	----ASN-
Jude 1:4	κρίμα	κρίμα	N-	----ASN-
Jude 1:4	ἀσεβεῖς	ἀσεβής	A-	----NPM-
Jude 1:4	τὴν	ὁ	RA	----ASF-
Jude 1:4	τοῦ	ὁ	RA	----GSM-
Jude 1:4	θεοῦ	θεός	N-	----GSM-
Jude 1:4	ἡμῶν	ἐγώ	RP	----GP--
Jude 1:4	χάριτα	χάρις	N-	----ASF-
Jude 1:4	μετατιθέντες	μετατίθημι	V-	-PAPNPM-
