ref	word	lemma	pos	parse
Rev 1:1	Ἀποκάλυψις	ἀποκάλυψις	N-	----NSF-
Rev 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Rev 1:1	Χριστοῦ	Χριστός	N-	----GSM-
Rev 1:1	ἣν	ὅς	RR	----ASF-
Rev 1:1	ἔδωκεν	δίδωμι	V-	3AAI-S--
Rev 1:1	αὐτῷ	αὐτός	RP	----DSM-
Rev 1:1	ὁ	ὁ	RA	----NSM-
Rev 1:1	θεὸς	θεός	N-	----NSM-
Rev 1:1	δεῖξαι	δείκνυμι	V-	-AAN----
Rev 1:1	τοῖς	ὁ	RA	----DPM-
Rev 1:1	δούλοις	δοῦλος	N-	----DPM-
Rev 1:1	αὐτοῦ	αὐτός	RP	----GSM-
Rev 1:1	ἃ	ὅς	RR	----APN-
Rev 1:1	δεῖ	δέω	V-	3PAI-S--
Rev 1:1	γενέσθαι	γίνομαι	V-	-AMN----
Rev 1:1	ἐν	ἐν	P-	--------
Rev 1:1	τάχει	τάχος	N-	----DSN-
Rev 1:1	καὶ	καί	C-	--------
Rev 1:1	ἐσήμανεν	σημαίνω	V-	3AAI-S--
Rev 1:1	ἀποστείλας	ἀποστέλλω	V-	-AAPNSM-
Rev 1:1	διὰ	διά	P-	--------
Rev 1:1	τοῦ	ὁ	RA	----GSM-
Rev 1:1	ἀγγέλου	ἄγγελος	N-	----GSM-
Rev 1:1	αὐτοῦ	αὐτός	RP	----GSM-
Rev 1:1	τῷ	ὁ	RA	----DSM-
Rev 1:1	δούλῳ	δοῦλος	N-	----DSM-
Rev 1:1	αὐτοῦ	αὐτός	RP	----GSM-
Rev 1:1	Ἰωάννῃ	Ἰωάννης	N-	----DSM-
Rev 1:2	ὃς	ὅς	RR	----NSM-
Rev 1:2	ἐμαρτύρησεν	μαρτυρέω	V-	3AAI-S--
Rev 1:2	τὸν	ὁ	RA	----ASM-
Rev 1:2	λόγον	λόγος	N-	----ASM-
Rev 1:2	τοῦ	ὁ	RA	----GSM-
Rev 1:2	θεοῦ	θεός	N-	----GSM-
Rev 1:2	καὶ	καί	C-	--------
Rev 1:2	τὴν	ὁ	RA	----ASF-
Rev 1:2	μαρτυρίαν	μαρτυρία	N-	----ASF-
Rev 1:2	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Rev 1:2	Χριστοῦ	Χριστός	N-	----GSM-
Rev 1:2	ὅσα	ὅσος	RR	----APN-
Rev 1:2	εἶδεν	ὁράω	V-	3AAI-S--
Rev 1:3	μακάριος	μακάριος	A-	----NSM-
Rev 1:3	ὁ	ὁ	RA	----NSM-
Rev 1:3	ἀναγινώσκων	ἀναγινώσκω	V-	-PAPNSM-
Rev 1:3	καὶ	καί	C-	--------
Rev 1:3	οἱ	ὁ	RA	----NPM-
Rev 1:3	ἀκούοντες	ἀκούω	V-	-PAPNPM-
Rev 1:3	τοὺς	ὁ	RA	----APM-
Rev 1:3	λόγους	λόγος	N-	----APM-
Rev 1:3	τῆς	ὁ	RA	----GSF-
Rev 1:3	προφητείας	προφητεία	N-	----GSF-
Rev 1:3	καὶ	καί	C-	--------
Rev 1:3	τηροῦντες	τηρέω	V-	-PAPNPM-
Rev 1:3	τὰ	ὁ	RA	----APN-
Rev 1:3	ἐν	ἐν	P-	--------
Rev 1:3	αὐτῇ	αὐτός	RP	----DSF-
Rev 1:3	γεγραμμένα	γράφω	V-	-XPPAPN-
Rev 1:3	ὁ	ὁ	RA	----NSM-
Rev 1:3	γὰρ	γάρ	C-	--------
Rev 1:3	καιρὸς	καιρός	N-	----NSM-
Rev 1:3	ἐγγύς	ἐγγύς	D-	--------
Rev 1:4	Ἰωάννης	Ἰωάννης	N-	----NSM-
Rev 1:4	ταῖς	ὁ	RA	----DPF-
Rev 1:4	ἑπτὰ	ἑπτά	A-	----DPF-
Rev 1:4	ἐκκλησίαις	ἐκκλησία	N-	----DPF-
Rev 1:4	ταῖς	ὁ	RA	----DPF-
Rev 1:4	ἐν	ἐν	P-	--------
Rev 1:4	τῇ	ὁ	RA	----DSF-
Rev 1:4	Ἀσίᾳ	Ἀσία	N-	----DSF-
Rev 1:4	χάρις	χάρις	N-	----NSF-
Rev 1:4	ὑμῖν	σύ	RP	----DP--
Rev 1:4	καὶ	καί	C-	--------
Rev 1:4	εἰρήνη	εἰρήνη	N-	----NSF-
Rev 1:4	ἀπὸ	ἀπό	P-	--------
Rev 1:4	ὁ	ὁ	RA	----NSM-
Rev 1:4	ὢν	εἰμί	V-	-PAPNSM-
Rev 1:4	καὶ	καί	C-	--------
Rev 1:4	ὁ	ὁ	RA	----NSM-
Rev 1:4	ἦν	εἰμί	V-	3IAI-S--
Rev 1:4	καὶ	καί	C-	--------
Rev 1:4	ὁ	ὁ	RA	----NSM-
Rev 1:4	ἐρχόμενος	ἔρχομαι	V-	-PMPNSM-
Rev 1:4	καὶ	καί	C-	--------
Rev 1:4	ἀπὸ	ἀπό	P-	--------
Rev 1:4	τῶν	ὁ	RA	----GPN-
Rev 1:4	ἑπτὰ	ἑπτά	A-	----GPN-
Rev 1:4	πνευμάτων	πνεῦμα	N-	----GPN-
Rev 1:4	ἃ	ὅς	RR	----NPN-
Rev 1:4	ἐνώπιον	ἐνώπιον	P-	--------
Rev 1:4	τοῦ	ὁ	RA	----GSM-
Rev 1:4	θρόνου	θρόνος	N-	----GSM-
Rev 1:4	αὐτοῦ	αὐτός	RP	----GSM-
Rev 1:5	καὶ	καί	C-	--------
Rev 1:5	ἀπὸ	ἀπό	P-	--------
Rev 1:5	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Rev 1:5	Χριστοῦ	Χριστός	N-	----GSM-
Rev 1:5	ὁ	ὁ	RA	----NSM-
Rev 1:5	μάρτυς	μάρτυς	N-	----NSM-
Rev 1:5	ὁ	ὁ	RA	----NSM-
Rev 1:5	πιστός	πιστός	A-	----NSM-
Rev 1:5	ὁ	ὁ	RA	----NSM-
Rev 1:5	πρωτότοκος	πρωτότοκος	A-	----NSM-
Rev 1:5	τῶν	ὁ	RA	----GPM-
Rev 1:5	νεκρῶν	νεκρός	A-	----GPM-
Rev 1:5	καὶ	καί	C-	--------
Rev 1:5	ὁ	ὁ	RA	----NSM-
Rev 1:5	ἄρχων	ἄρχων	N-	----NSM-
Rev 1:5	τῶν	ὁ	RA	----GPM-
Rev 1:5	βασιλέων	βασιλεύς	N-	----GPM-
Rev 1:5	τῆς	ὁ	RA	----GSF-
Rev 1:5	γῆς	γῆ	N-	----GSF-
Rev 1:5	Τῷ	ὁ	RA	----DSM-
Rev 1:5	ἀγαπῶντι	ἀγαπάω	V-	-PAPDSM-
Rev 1:5	ἡμᾶς	ἐγώ	RP	----AP--
Rev 1:5	καὶ	καί	C-	--------
Rev 1:5	λύσαντι	λύω	V-	-AAPDSM-
Rev 1:5	ἡμᾶς	ἐγώ	RP	----AP--
Rev 1:5	ἐκ	ἐκ	P-	--------
Rev 1:5	τῶν	ὁ	RA	----GPF-
Rev 1:5	ἁμαρτιῶν	ἁμαρτία	N-	----GPF-
Rev 1:5	ἡμῶν	ἐγώ	RP	----GP--
Rev 1:5	ἐν	ἐν	P-	--------
Rev 1:5	τῷ	ὁ	RA	----DSN-
Rev 1:5	αἵματι	αἷμα	N-	----DSN-
Rev 1:5	αὐτοῦ	αὐτός	RP	----GSM-
Rev 1:6	καὶ	καί	C-	--------
Rev 1:6	ἐποίησεν	ποιέω	V-	3AAI-S--
Rev 1:6	ἡμᾶς	ἐγώ	RP	----AP--
Rev 1:6	βασιλείαν	βασιλεία	N-	----ASF-
Rev 1:6	ἱερεῖς	ἱερεύς	N-	----APM-
Rev 1:6	τῷ	ὁ	RA	----DSM-
Rev 1:6	θεῷ	θεός	N-	----DSM-
Rev 1:6	καὶ	καί	C-	--------
Rev 1:6	πατρὶ	πατήρ	N-	----DSM-
Rev 1:6	αὐτοῦ	αὐτός	RP	----GSM-
Rev 1:6	αὐτῷ	αὐτός	RP	----DSM-
Rev 1:6	ἡ	ὁ	RA	----NSF-
Rev 1:6	δόξα	δόξα	N-	----NSF-
Rev 1:6	καὶ	καί	C-	--------
Rev 1:6	τὸ	ὁ	RA	----NSN-
Rev 1:6	κράτος	κράτος	N-	----NSN-
Rev 1:6	εἰς	εἰς	P-	--------
Rev 1:6	τοὺς	ὁ	RA	----APM-
Rev 1:6	αἰῶνας	αἰών	N-	----APM-
Rev 1:6	τῶν	ὁ	RA	----GPM-
Rev 1:6	αἰώνων	αἰών	N-	----GPM-
Rev 1:6	ἀμήν	ἀμήν	X-	--------
Rev 1:7	Ἰδοὺ	ἰδού	X-	--------
Rev 1:7	ἔρχεται	ἔρχομαι	V-	3PMI-S--
Rev 1:7	μετὰ	μετά	P-	--------
Rev 1:7	τῶν	ὁ	RA	----GPF-
Rev 1:7	νεφελῶν	νεφέλη	N-	----GPF-
Rev 1:7	καὶ	καί	C-	--------
Rev 1:7	ὄψεται	ὁράω	V-	3FMI-S--
Rev 1:7	αὐτὸν	αὐτός	RP	----ASM-
Rev 1:7	πᾶς	πᾶς	A-	----NSM-
Rev 1:7	ὀφθαλμὸς	ὀφθαλμός	N-	----NSM-
Rev 1:7	καὶ	καί	C-	--------
Rev 1:7	οἵτινες	ὅστις	RR	----NPM-
Rev 1:7	αὐτὸν	αὐτός	RP	----ASM-
Rev 1:7	ἐξεκέντησαν	ἐκκεντέω	V-	3AAI-P--
Rev 1:7	καὶ	καί	C-	--------
Rev 1:7	κόψονται	κόπτω	V-	3FMI-P--
