ref	word	lemma	morph
Gen 1:1	בְּ/רֵאשִׁ֖ית	b/7225	HR/Ncfsa
Gen 1:1	בָּרָ֣א	1254 a	HVqp3ms
Gen 1:1	אֱלֹהִ֑ים	430	HNcmpa
Gen 1:1	אֵ֥ת	853	HTo
Gen 1:1	הַ/שָּׁמַ֖יִם	d/8064	HTd/Ncmpa
Gen 1:1	וְ/אֵ֥ת	c/853	HC/To
Gen 1:1	הָ/אָֽרֶץ	d/776	HTd/Ncbsa
Gen 1:2	וְ/הָ/אָ֗רֶץ	c/d/776	HC/Td/Ncbsa
Gen 1:2	הָיְתָ֥ה	1961	HVqp3fs
Gen 1:2	תֹ֨הוּ֙	8414	HNcmsa
Gen 1:2	וָ/בֹ֔הוּ	c/922	HC/Ncmsa
Gen 1:2	וְ/חֹ֖שֶׁךְ	c/2822	HC/Ncmsa
Gen 1:2	עַל	5921 a	HR
Gen 1:2	פְּנֵ֣י	6440	HNcbpc
Gen 1:2	תְה֑וֹם	8415	HNcbsa
Gen 1:2	וְ/ר֣וּחַ	c/7307	HC/Ncbsc
Gen 1:2	אֱלֹהִ֔ים	430	HNcmpa
Gen 1:2	מְרַחֶ֖פֶת	7363 b	HVprfsa
Gen 1:2	עַל	5921 a	HR
Gen 1:2	פְּנֵ֥י	6440	HNcbpc
Gen 1:2	הַ/מָּֽיִם	d/4325	HTd/Ncmpa
Gen 1:3	וַ/יֹּ֥אמֶר	c/559	HC/Vqw3ms
Gen 1:3	אֱלֹהִ֖ים	430	HNcmpa
Gen 1:3	יְהִ֣י	1961	HVqj3ms
Gen 1:3	א֑וֹר	216	HNcbsa
Gen 1:3	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:3	אֽוֹר	216	HNcbsa
Gen 1:4	וַ/יַּ֧רְא	c/7200	HC/Vqw3ms
Gen 1:4	אֱלֹהִ֛ים	430	HNcmpa
Gen 1:4	אֶת	853	HTo
Gen 1:4	הָ/א֖וֹר	d/216	HTd/Ncbsa
Gen 1:4	כִּי	3588 a	HC
Gen 1:4	ט֑וֹב	2896 a	HAamsa
Gen 1:4	וַ/יַּבְדֵּ֣ל	c/914	HC/Vhw3ms
Gen 1:4	אֱלֹהִ֔ים	430	HNcmpa
Gen 1:4	בֵּ֥ין	996	HR
Gen 1:4	הָ/א֖וֹר	d/216	HTd/Ncbsa
Gen 1:4	וּ/בֵ֥ין	c/996	HC/R
Gen 1:4	הַ/חֹֽשֶׁךְ	d/2822	HTd/Ncmsa
Gen 1:5	וַ/יִּקְרָ֨א	c/7121	HC/Vqw3ms
Gen 1:5	אֱלֹהִ֤ים	430	HNcmpa
Gen 1:5	לָ/אוֹר֙	l/216	HRd/Ncbsa
Gen 1:5	י֔וֹם	3117	HNcmsa
Gen 1:5	וְ/לַ/חֹ֖שֶׁךְ	c/l/2822	HC/Rd/Ncmsa
Gen 1:5	קָ֣רָא	7121	HVqp3ms
Gen 1:5	לָ֑יְלָה	3915	HNcmsa
Gen 1:5	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:5	עֶ֥רֶב	6153	HNcmsa
Gen 1:5	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:5	בֹ֖קֶר	1242	HNcmsa
Gen 1:5	י֥וֹם	3117	HNcmsa
Gen 1:5	אֶחָֽד	259	HAcmsa
Gen 1:6	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
Gen 1:6	אֱלֹהִ֔ים	430	HNcmpa
Gen 1:6	יְהִ֥י	1961	HVqj3ms
Gen 1:6	רָקִ֖יעַ	7549	HNcmsa
Gen 1:6	בְּ/ת֣וֹךְ	b/8432	HR/Ncmsc
Gen 1:6	הַ/מָּ֑יִם	d/4325	HTd/Ncmpa
Gen 1:6	וִ/יהִ֣י	c/1961	HC/Vqi3ms
Gen 1:6	מַבְדִּ֔יל	914	HVhrmsa
Gen 1:6	בֵּ֥ין	996	HR
Gen 1:6	מַ֖יִם	4325	HNcmpa
Gen 1:6	לָ/מָֽיִם	l/4325	HR/Ncmpa
Gen 1:7	וַ/יַּ֣עַשׂ	c/6213 a	HC/Vqw3ms
Gen 1:7	אֱלֹהִים֮	430	HNcmpa
Gen 1:7	אֶת	853	HTo
Gen 1:7	הָ/רָקִיעַ֒	d/7549	HTd/Ncmsa
Gen 1:7	וַ/יַּבְדֵּ֗ל	c/914	HC/Vhw3ms
Gen 1:7	בֵּ֤ין	996	HR
Gen 1:7	הַ/מַּ֨יִם֙	d/4325	HTd/Ncmpa
Gen 1:7	אֲשֶׁר֙	834 a	HTr
Gen 1:7	מִ/תַּ֣חַת	m/8478	HR/R
Gen 1:7	לָ/רָקִ֔יעַ	l/7549	HRd/Ncmsa
Gen 1:7	וּ/בֵ֣ין	c/996	HC/R
Gen 1:7	הַ/מַּ֔יִם	d/4325	HTd/Ncmpa
Gen 1:7	אֲשֶׁ֖ר	834 a	HTr
Gen 1:7	מֵ/עַ֣ל	m/5921 a	HR/R
Gen 1:7	לָ/רָקִ֑יעַ	l/7549	HRd/Ncmsa
Gen 1:7	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:7	כֵֽן	3651 c	HD
Gen 1:8	וַ/יִּקְרָ֧א	c/7121	HC/Vqw3ms
Gen 1:8	אֱלֹהִ֛ים	430	HNcmpa
Gen 1:8	לָֽ/רָקִ֖יעַ	l/7549	HRd/Ncmsa
Gen 1:8	שָׁמָ֑יִם	8064	HNcmpa
Gen 1:8	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:8	עֶ֥רֶב	6153	HNcmsa
Gen 1:8	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:8	בֹ֖קֶר	1242	HNcmsa
Gen 1:8	י֥וֹם	3117	HNcmsa
Gen 1:8	שֵׁנִֽי	8145	HAomsa
Gen 1:9	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
Gen 1:9	אֱלֹהִ֗ים	430	HNcmpa
Gen 1:9	יִקָּו֨וּ	6960 b	HVNj3mp
Gen 1:9	הַ/מַּ֜יִם	d/4325	HTd/Ncmpa
Gen 1:9	מִ/תַּ֤חַת	m/8478	HR/R
Gen 1:9	הַ/שָּׁמַ֨יִם֙	d/8064	HTd/Ncmpa
Gen 1:9	אֶל	413	HR
Gen 1:9	מָק֣וֹם	4725	HNcmsa
Gen 1:9	אֶחָ֔ד	259	HAcmsa
Gen 1:9	וְ/תֵרָאֶ֖ה	c/7200	HC/VNi3fs
Gen 1:9	הַ/יַּבָּשָׁ֑ה	d/3004	HTd/Ncfsa
Gen 1:9	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:9	כֵֽן	3651 c	HD
Gen 1:10	וַ/יִּקְרָ֨א	c/7121	HC/Vqw3ms
Gen 1:10	אֱלֹהִ֤ים	430	HNcmpa
Gen 1:10	לַ/יַּבָּשָׁה֙	l/3004	HRd/Ncfsa
Gen 1:10	אֶ֔רֶץ	776	HNcbsa
Gen 1:10	וּ/לְ/מִקְוֵ֥ה	c/l/4723 c	HC/R/Ncmsc
Gen 1:10	הַ/מַּ֖יִם	d/4325	HTd/Ncmpa
Gen 1:10	קָרָ֣א	7121	HVqp3ms
Gen 1:10	יַמִּ֑ים	3220	HNcmpa
Gen 1:10	וַ/יַּ֥רְא	c/7200	HC/Vqw3ms
Gen 1:10	אֱלֹהִ֖ים	430	HNcmpa
Gen 1:10	כִּי	3588 a	HC
Gen 1:10	טֽוֹב	2896 a	HAamsa
Gen 1:11	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
Gen 1:11	אֱלֹהִ֗ים	430	HNcmpa
Gen 1:11	תַּֽדְשֵׁ֤א	1876	HVhj3fs
Gen 1:11	הָ/אָ֨רֶץ֙	d/776	HTd/Ncbsa
Gen 1:11	דֶּ֔שֶׁא	1877	HNcmsa
Gen 1:11	עֵ֚שֶׂב	6212	HNcmsa
Gen 1:11	מַזְרִ֣יעַ	2232	HVhrmsa
Gen 1:11	זֶ֔רַע	2233	HNcmsa
Gen 1:11	עֵ֣ץ	6086	HNcmsc
Gen 1:11	פְּרִ֞י	6529	HNcmsa
Gen 1:11	עֹ֤שֶׂה	6213 a	HVqrmsa
Gen 1:11	פְּרִי֙	6529	HNcmsa
Gen 1:11	לְ/מִינ֔/וֹ	l/4327	HR/Ncmsc/Sp3ms
Gen 1:11	אֲשֶׁ֥ר	834 a	HTr
Gen 1:11	זַרְע/וֹ	2233	HNcmsc/Sp3ms
Gen 1:11	ב֖/וֹ	b	HR/Sp3ms
Gen 1:11	עַל	5921 a	HR
Gen 1:11	הָ/אָ֑רֶץ	d/776	HTd/Ncbsa
Gen 1:11	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:11	כֵֽן	3651 c	HD
Gen 1:12	וַ/תּוֹצֵ֨א	c/3318	HC/Vhw3fs
Gen 1:12	הָ/אָ֜רֶץ	d/776	HTd/Ncbsa
Gen 1:12	דֶּ֠שֶׁא	1877	HNcmsa
Gen 1:12	עֵ֣שֶׂב	6212	HNcmsa
Gen 1:12	מַזְרִ֤יעַ	2232	HVhrmsa
Gen 1:12	זֶ֨רַע֙	2233	HNcmsa
Gen 1:12	לְ/מִינֵ֔/הוּ	l/4327	HR/Ncmsc/Sp3ms
Gen 1:12	וְ/עֵ֧ץ	c/6086	HC/Ncmsa
Gen 1:12	עֹֽשֶׂה	6213 a	HVqrmsa
Gen 1:12	פְּרִ֛י	6529	HNcmsa
Gen 1:12	אֲשֶׁ֥ר	834 a	HTr
Gen 1:12	זַרְע/וֹ	2233	HNcmsc/Sp3ms
Gen 1:12	ב֖/וֹ	b	HR/Sp3ms
Gen 1:12	לְ/מִינֵ֑/הוּ	l/4327	HR/Ncmsc/Sp3ms
Gen 1:12	וַ/יַּ֥רְא	c/7200	HC/Vqw3ms
Gen 1:12	אֱלֹהִ֖ים	430	HNcmpa
Gen 1:12	כִּי	3588 a	HC
Gen 1:12	טֽוֹב	2896 a	HAamsa
Gen 1:13	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:13	עֶ֥רֶב	6153	HNcmsa
Gen 1:13	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:13	בֹ֖קֶר	1242	HNcmsa
Gen 1:13	י֥וֹם	3117	HNcmsa
Gen 1:13	שְׁלִישִֽׁי	7992	HAomsa
Gen 1:14	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
Gen 1:14	אֱלֹהִ֗ים	430	HNcmpa
Gen 1:14	יְהִ֤י	1961	HVqj3ms
Gen 1:14	מְאֹרֹת֙	3974	HNcmpa
Gen 1:14	בִּ/רְקִ֣יעַ	b/7549	HR/Ncmsc
Gen 1:14	הַ/שָּׁמַ֔יִם	d/8064	HTd/Ncmpa
Gen 1:14	לְ/הַבְדִּ֕יל	l/914	HR/Vhc
Gen 1:14	בֵּ֥ין	996	HR
Gen 1:14	הַ/יּ֖וֹם	d/3117	HTd/Ncmsa
Gen 1:14	וּ/בֵ֣ין	c/996	HC/R
Gen 1:14	הַ/לָּ֑יְלָה	d/3915	HTd/Ncmsa
Gen 1:14	וְ/הָי֤וּ	c/1961	HC/Vqq3cp
Gen 1:14	לְ/אֹתֹת֙	l/226	HR/Ncbpa
Gen 1:14	וּ/לְ/מ֣וֹעֲדִ֔ים	c/l/4150	HC/R/Ncmpa
Gen 1:14	וּ/לְ/יָמִ֖ים	c/l/3117	HC/R/Ncmpa
Gen 1:14	וְ/שָׁנִֽים	c/8141	HC/Ncfpa
Gen 1:15	וְ/הָי֤וּ	c/1961	HC/Vqq3cp
Gen 1:15	לִ/מְאוֹרֹת֙	l/3974	HR/Ncmpa
Gen 1:15	בִּ/רְקִ֣יעַ	b/7549	HR/Ncmsc
Gen 1:15	הַ/שָּׁמַ֔יִם	d/8064	HTd/Ncmpa
Gen 1:15	לְ/הָאִ֖יר	l/215	HR/Vhc
Gen 1:15	עַל	5921 a	HR
Gen 1:15	הָ/אָ֑רֶץ	d/776	HTd/Ncbsa
Gen 1:15	וַֽ/יְהִי	c/1961	HC/Vqw3ms
Gen 1:15	כֵֽן	3651 c	HD
Gen 1:16	וַ/יַּ֣עַשׂ	c/6213 a	HC/Vqw3ms
Gen 1:16	אֱלֹהִ֔ים	430	HNcmpa
Gen 1:16	אֶת	853	HTo
Gen 1:16	שְׁנֵ֥י	8147	HAcmdc
Gen 1:16	הַ/מְּאֹרֹ֖ת	d/3974	HTd/Ncmpa
Gen 1:16	הַ/גְּדֹלִ֑ים	d/1419 a	HTd/Aampa
Gen 1:16	אֶת	853	HTo
Gen 1:16	הַ/מָּא֤וֹר	d/3974	HTd/Ncmsa
Gen 1:16	הַ/גָּדֹל֙	d/1419 a	HTd/Aamsa
Gen 1:16	לְ/מֶמְשֶׁ֣לֶת	l/4475	HR/Ncbsc
Gen 1:16	הַ/יּ֔וֹם	d/3117	HTd/Ncmsa
Gen 1:16	וְ/אֶת	c/853	HC/To
Gen 1:16	הַ/מָּא֤וֹר	d/3974	HTd/Ncmsa
Gen 1:16	הַ/קָּטֹן֙	d/6996 b	HTd/Aamsa
Gen 1:16	לְ/מֶמְשֶׁ֣לֶת	l/4475	HR/Ncbsc
