ref	word	lemma	morph
Exod 1:1	וְ/אֵ֗לֶּה	c/428	HC/Pdxcp
Exod 1:1	שְׁמוֹת֙	8034	HNcmpc
Exod 1:1	בְּנֵ֣י	1121 a	HNcmpc
Exod 1:1	יִשְׂרָאֵ֔ל	3478	HNp
Exod 1:1	הַ/בָּאִ֖ים	d/935	HTd/Vqrmpa
Exod 1:1	מִצְרָ֑יְמָ/ה	4714	HNp/Sd
Exod 1:1	אֵ֣ת	854	HR
Exod 1:1	יַעֲקֹ֔ב	3290	HNp
Exod 1:1	אִ֥ישׁ	376	HNcmsa
Exod 1:1	וּ/בֵית֖/וֹ	c/1004 b	HC/Ncmsc/Sp3ms
Exod 1:1	בָּֽאוּ	935	HVqp3cp
Exod 1:2	רְאוּבֵ֣ן	7205	HNp
Exod 1:2	שִׁמְע֔וֹן	8095	HNp
Exod 1:2	לֵוִ֖י	3878	HNp
Exod 1:2	וִ/יהוּדָֽה	c/3063	HC/Np
Exod 1:3	יִשָּׂשכָ֥ר	3485	HNp
Exod 1:3	זְבוּלֻ֖ן	2074	HNp
Exod 1:3	וּ/בְנְיָמִֽן	c/1144	HC/Np
Exod 1:4	דָּ֥ן	1835	HNp
Exod 1:4	וְ/נַפְתָּלִ֖י	c/5321	HC/Np
Exod 1:4	גָּ֥ד	1410	HNp
Exod 1:4	וְ/אָשֵֽׁר	c/836	HC/Np
Exod 1:5	וַֽ/יְהִ֗י	c/1961	HC/Vqw3ms
Exod 1:5	כָּל	3605	HNcmsc
Exod 1:5	נֶ֛פֶשׁ	5315	HNcbsc
Exod 1:5	יֹצְאֵ֥י	3318	HVqrmpc
Exod 1:5	יֶֽרֶךְ	3409	HNcfsc
Exod 1:5	יַעֲקֹ֖ב	3290	HNp
Exod 1:5	שִׁבְעִ֣ים	7657	HAcbpa
Exod 1:5	נָ֑פֶשׁ	5315	HNcbsa
Exod 1:5	וְ/יוֹסֵ֖ף	c/3130	HC/Np
Exod 1:5	הָיָ֥ה	1961	HVqp3ms
Exod 1:5	בְ/מִצְרָֽיִם	b/4714	HR/Np
Exod 1:6	וַ/יָּ֤מָת	c/4191	HC/Vqw3ms
Exod 1:6	יוֹסֵף֙	3130	HNp
Exod 1:6	וְ/כָל	c/3605	HC/Ncmsc
Exod 1:6	אֶחָ֔י/ו	251	HNcmpc/Sp3ms
Exod 1:6	וְ/כֹ֖ל	c/3605	HC/Ncmsc
Exod 1:6	הַ/דּ֥וֹר	d/1755	HTd/Ncmsa
Exod 1:6	הַ/הֽוּא	d/1931	HTd/Pp3ms
Exod 1:7	וּ/בְנֵ֣י	c/1121 a	HC/Ncmpc
Exod 1:7	יִשְׂרָאֵ֗ל	3478	HNp
Exod 1:7	פָּר֧וּ	6509	HVqp3cp
Exod 1:7	וַֽ/יִּשְׁרְצ֛וּ	c/8317	HC/Vqw3mp
Exod 1:7	וַ/יִּרְבּ֥וּ	c/7235 a	HC/Vqw3mp
