ref	word	lemma	morph
Lev 1:1	וַ/יִּקְרָ֖א	c/7121	HC/Vqw3ms
Lev 1:1	אֶל	413	HR
Lev 1:1	מֹשֶׁ֑ה	4872	HNp
Lev 1:1	וַ/יְדַבֵּ֤ר	c/1696	HC/Vpw3ms
Lev 1:1	יְהוָה֙	3068	HNp
Lev 1:1	אֵלָ֔י/ו	413	HR/Sp3ms
Lev 1:1	מֵ/אֹ֥הֶל	m/168	HR/Ncmsc
Lev 1:1	מוֹעֵ֖ד	4150	HNcmsa
Lev 1:1	לֵ/אמֹֽר	l/559	HR/Vqc
Lev 1:2	דַּבֵּ֞ר	1696	HVpv2ms
Lev 1:2	אֶל	413	HR
Lev 1:2	בְּנֵ֤י	1121 a	HNcmpc
Lev 1:2	יִשְׂרָאֵל֙	3478	HNp
Lev 1:2	וְ/אָמַרְתָּ֣	c/559	HC/Vqq2ms
Lev 1:2	אֲלֵ/הֶ֔ם	413	HR/Sp3mp
Lev 1:2	אָדָ֗ם	120	HNcmsa
Lev 1:2	כִּֽי	3588 a	HC
Lev 1:2	יַקְרִ֥יב	7126	HVhi3ms
Lev 1:2	מִ/כֶּ֛ם	m/4480 a	HR/Sp2mp
Lev 1:2	קָרְבָּ֖ן	7133 a	HNcmsa
Lev 1:2	לַֽ/יהוָ֑ה	l/3068	HR/Np
Lev 1:2	מִן	4480 a	HR
Lev 1:2	הַ/בְּהֵמָ֗ה	d/929	HTd/Ncfsa
Lev 1:2	מִן	4480 a	HR
Lev 1:2	הַ/בָּקָר֙	d/1241	HTd/Ncbsa
Lev 1:2	וּ/מִן	c/4480 a	HC/R
Lev 1:2	הַ/צֹּ֔אן	d/6629	HTd/Ncbsa
Lev 1:2	תַּקְרִ֖יבוּ	7126	HVhi2mp
Lev 1:2	אֶת	853	HTo
Lev 1:2	קָרְבַּנְ/כֶֽם	7133 a	HNcmsc/Sp2mp
Lev 1:3	אִם	518 a	HC
Lev 1:3	עֹלָ֤ה	5930 a	HNcfsa
Lev 1:3	קָרְבָּנ/וֹ֙	7133 a	HNcmsc/Sp3ms
Lev 1:3	מִן	4480 a	HR
Lev 1:3	הַ/בָּקָ֔ר	d/1241	HTd/Ncbsa
Lev 1:3	זָכָ֥ר	2145	HAamsa
Lev 1:3	תָּמִ֖ים	8549	HAamsa
Lev 1:3	יַקְרִיבֶ֑/נּוּ	7126	HVhi3ms/Sp3ms
Lev 1:3	אֶל	413	HR
Lev 1:3	פֶּ֝תַח	6607	HNcmsc
Lev 1:3	אֹ֤הֶל	168	HNcmsc
Lev 1:3	מוֹעֵד֙	4150	HNcmsa
Lev 1:3	יַקְרִ֣יב	7126	HVhi3ms
Lev 1:3	אֹת֔/וֹ	853	HTo/Sp3ms
Lev 1:3	לִ/רְצֹנ֖/וֹ	l/7522	HR/Ncmsc/Sp3ms
Lev 1:3	לִ/פְנֵ֥י	l/6440	HR/Ncbpc
Lev 1:3	יְהוָֽה	3068	HNp
Lev 1:4	וְ/סָמַ֣ךְ	c/5564	HC/Vqq3ms
Lev 1:4	יָד֔/וֹ	3027	HNcbsc/Sp3ms
Lev 1:4	עַ֖ל	5921 a	HR
Lev 1:4	רֹ֣אשׁ	7218 a	HNcmsc
Lev 1:4	הָ/עֹלָ֑ה	d/5930 a	HTd/Ncfsa
Lev 1:4	וְ/נִרְצָ֥ה	c/7521	HC/VNq3ms
Lev 1:4	ל֖/וֹ	l	HR/Sp3ms
Lev 1:4	לְ/כַפֵּ֥ר	l/3722 a	HR/Vpc
Lev 1:4	עָלָֽי/ו	5921 a	HR/Sp3ms
Lev 1:5	וְ/שָׁחַ֛ט	c/7819 a	HC/Vqq3ms
Lev 1:5	אֶת	853	HTo
Lev 1:5	בֶּ֥ן	1121 a	HNcmsc
Lev 1:5	הַ/בָּקָ֖ר	d/1241	HTd/Ncbsa
Lev 1:5	לִ/פְנֵ֣י	l/6440	HR/Ncbpc
Lev 1:5	יְהוָ֑ה	3068	HNp
Lev 1:5	וְ֠/הִקְרִיבוּ	c/7126	HC/Vhq3cp
Lev 1:5	בְּנֵ֨י	1121 a	HNcmpc
Lev 1:5	אַהֲרֹ֤ן	175	HNp
Lev 1:5	הַֽ/כֹּֽהֲנִים֙	d/3548	HTd/Ncmpa
Lev 1:5	אֶת	853	HTo
Lev 1:5	הַ/דָּ֔ם	d/1818	HTd/Ncmsa
Lev 1:5	וְ/זָרְק֨וּ	c/2236	HC/Vqq3cp
Lev 1:5	אֶת	853	HTo
Lev 1:5	הַ/דָּ֤ם	d/1818	HTd/Ncmsa
Lev 1:5	עַל	5921 a	HR
Lev 1:5	הַ/מִּזְבֵּ֨חַ֙	d/4196	HTd/Ncmsa
Lev 1:5	סָבִ֔יב	5439	HNcbsa
Lev 1:5	אֲשֶׁר	834 a	HTr
Lev 1:5	פֶּ֖תַח	6607	HNcmsc
Lev 1:5	אֹ֥הֶל	168	HNcmsc
Lev 1:5	מוֹעֵֽד	4150	HNcmsa
Lev 1:6	וְ/הִפְשִׁ֖יט	c/6584	HC/Vhq3ms
Lev 1:6	אֶת	853	HTo
Lev 1:6	הָ/עֹלָ֑ה	d/5930 a	HTd/Ncfsa
Lev 1:6	וְ/נִתַּ֥ח	c/5408	HC/Vpq3ms
Lev 1:6	אֹתָ֖/הּ	853	HTo/Sp3fs
Lev 1:6	לִ/נְתָחֶֽי/הָ	l/5409	HR/Ncmpc/Sp3fs
Lev 1:7	וְ֠/נָתְנוּ	c/5414	HC/Vqq3cp
Lev 1:7	בְּנֵ֨י	1121 a	HNcmpc
Lev 1:7	אַהֲרֹ֧ן	175	HNp
Lev 1:7	הַ/כֹּהֵ֛ן	d/3548	HTd/Ncmsa
Lev 1:7	אֵ֖שׁ	784	HNcbsa
Lev 1:7	עַל	5921 a	HR
Lev 1:7	הַ/מִּזְבֵּ֑חַ	d/4196	HTd/Ncmsa
Lev 1:7	וְ/עָרְכ֥וּ	c/6186 a	HC/Vqq3cp
Lev 1:7	עֵצִ֖ים	6086	HNcmpa
Lev 1:7	עַל	5921 a	HR
Lev 1:7	הָ/אֵֽשׁ	d/784	HTd/Ncbsa
Lev 1:8	וְ/עָרְכ֗וּ	c/6186 a	HC/Vqq3cp
Lev 1:8	בְּנֵ֤י	1121 a	HNcmpc
Lev 1:8	אַהֲרֹן֙	175	HNp
Lev 1:8	הַ/כֹּ֣הֲנִ֔ים	d/3548	HTd/Ncmpa
Lev 1:8	אֵ֚ת	853	HTo
Lev 1:8	הַ/נְּתָחִ֔ים	d/5409	HTd/Ncmpa
Lev 1:8	אֶת	853	HTo
Lev 1:8	הָ/רֹ֖אשׁ	d/7218 a	HTd/Ncmsa
Lev 1:8	וְ/אֶת	c/853	HC/To
Lev 1:8	הַ/פָּ֑דֶר	d/6309	HTd/Ncmsa
Lev 1:8	עַל	5921 a	HR
Lev 1:8	הָ/עֵצִים֙	d/6086	HTd/Ncmpa
Lev 1:8	אֲשֶׁ֣ר	834 a	HTr
Lev 1:8	עַל	5921 a	HR
Lev 1:8	הָ/אֵ֔שׁ	d/784	HTd/Ncbsa
Lev 1:8	אֲשֶׁ֖ר	834 a	HTr
Lev 1:8	עַל	5921 a	HR
Lev 1:8	הַ/מִּזְבֵּֽחַ	d/4196	HTd/Ncmsa
Lev 1:9	וְ/קִרְבּ֥/וֹ	c/7130	HC/Ncmsc/Sp3ms
Lev 1:9	וּ/כְרָעָ֖י/ו	c/3767	HC/Ncbdc/Sp3ms
Lev 1:9	יִרְחַ֣ץ	7364	HVqi3ms
Lev 1:9	בַּ/מָּ֑יִם	b/4325	HRd/Ncmpa
Lev 1:9	וְ/הִקְטִ֨יר	c/6999 a	HC/Vhq3ms
Lev 1:9	הַ/כֹּהֵ֤ן	d/3548	HTd/Ncmsa
Lev 1:9	אֶת	853	HTo
Lev 1:9	הַ/כֹּל֙	d/3605	HTd/Ncmsa
Lev 1:9	הַ/מִּזְבֵּ֔חָ/ה	d/4196	HTd/Ncmsa/Sd
Lev 1:9	עֹלָ֛ה	5930 a	HNcfsa
Lev 1:9	אִשֵּׁ֥ה	801	HNcmsc
Lev 1:9	רֵֽיחַ	7381	HNcmsc
Lev 1:9	נִיח֖וֹחַ	5207	HNcmsa
Lev 1:9	לַֽ/יהוָֽה	l/3068	HR/Np
Lev 1:10	וְ/אִם	c/518 a	HC/C
Lev 1:10	מִן	4480 a	HR
Lev 1:10	הַ/צֹּ֨אן	d/6629	HTd/Ncbsa
Lev 1:10	קָרְבָּנ֧/וֹ	7133 a	HNcmsc/Sp3ms
Lev 1:10	מִן	4480 a	HR
Lev 1:10	הַ/כְּשָׂבִ֛ים	d/3775	HTd/Ncmpa
Lev 1:10	א֥וֹ	176 a	HC
Lev 1:10	מִן	4480 a	HR
Lev 1:10	הָ/עִזִּ֖ים	d/5795	HTd/Ncfpa
Lev 1:10	לְ/עֹלָ֑ה	l/5930 a	HR/Ncfsa
Lev 1:10	זָכָ֥ר	2145	HAamsa
Lev 1:10	תָּמִ֖ים	8549	HAamsa
Lev 1:10	יַקְרִיבֶֽ/נּוּ	7126	HVhi3ms/Sp3ms
Lev 1:11	וְ/שָׁחַ֨ט	c/7819 a	HC/Vqq3ms
Lev 1:11	אֹת֜/וֹ	853	HTo/Sp3ms
Lev 1:11	עַ֣ל	5921 a	HR
