ref	word	lemma	morph
Num 1:1	וַ/יְדַבֵּ֨ר	c/1696	HC/Vpw3ms
Num 1:1	יְהוָ֧ה	3068	HNp
Num 1:1	אֶל	413	HR
Num 1:1	מֹשֶׁ֛ה	4872	HNp
Num 1:1	בְּ/מִדְבַּ֥ר	b/4057 b	HR/Ncmsc
Num 1:1	סִינַ֖י	5514	HNp
Num 1:1	בְּ/אֹ֣הֶל	b/168	HR/Ncmsc
Num 1:1	מוֹעֵ֑ד	4150	HNcmsa
Num 1:1	בְּ/אֶחָד֩	b/259	HR/Acmsa
Num 1:1	לַ/חֹ֨דֶשׁ	l/2320	HRd/Ncmsa
Num 1:1	הַ/שֵּׁנִ֜י	d/8145	HTd/Aomsa
Num 1:1	בַּ/שָּׁנָ֣ה	b/8141	HRd/Ncfsa
Num 1:1	הַ/שֵּׁנִ֗ית	d/8145	HTd/Aofsa
Num 1:1	לְ/צֵאתָ֛/ם	l/3318	HR/Vqc/Sp3mp
Num 1:1	מֵ/אֶ֥רֶץ	m/776	HR/Ncbsc
Num 1:1	מִצְרַ֖יִם	4714	HNp
Num 1:1	לֵ/אמֹֽר	l/559	HR/Vqc
Num 1:2	שְׂא֗וּ	5375	HVqv2mp
Num 1:2	אֶת	853	HTo
Num 1:2	רֹאשׁ֙	7218 a	HNcmsc
Num 1:2	כָּל	3605	HNcmsc
Num 1:2	עֲדַ֣ת	5712	HNcfsc
Num 1:2	בְּנֵֽי	1121 a	HNcmpc
Num 1:2	יִשְׂרָאֵ֔ל	3478	HNp
Num 1:2	לְ/מִשְׁפְּחֹתָ֖/ם	l/4940	HR/Ncfpc/Sp3mp
Num 1:2	לְ/בֵ֣ית	l/1004 b	HR/Ncmsc
Num 1:2	אֲבֹתָ֑/ם	1	HNcmpc/Sp3mp
Num 1:2	בְּ/מִסְפַּ֣ר	b/4557	HR/Ncmsc
Num 1:2	שֵׁמ֔וֹת	8034	HNcmpa
Num 1:2	כָּל	3605	HNcmsc
Num 1:2	זָכָ֖ר	2145	HAamsa
Num 1:2	לְ/גֻלְגְּלֹתָֽ/ם	l/1538	HR/Ncfpc/Sp3mp
Num 1:3	מִ/בֶּ֨ן	m/1121 a	HR/Ncmsc
Num 1:3	עֶשְׂרִ֤ים	6242	HAcbpa
Num 1:3	שָׁנָה֙	8141	HNcfsa
Num 1:3	וָ/מַ֔עְלָ/ה	c/4605	HC/D/Sd
Num 1:3	כָּל	3605	HNcmsc
Num 1:3	יֹצֵ֥א	3318	HVqrmsa
Num 1:3	צָבָ֖א	6635 a	HNcbsa
Num 1:3	בְּ/יִשְׂרָאֵ֑ל	b/3478	HR/Np
Num 1:3	תִּפְקְד֥וּ	6485 a	HVqi2mp
Num 1:3	אֹתָ֛/ם	853	HTo/Sp3mp
Num 1:3	לְ/צִבְאֹתָ֖/ם	l/6635 a	HR/Ncbpc/Sp3mp
Num 1:3	אַתָּ֥ה	859 a	HPp2ms
Num 1:3	וְ/אַהֲרֹֽן	c/175	HC/Np
Num 1:4	וְ/אִתְּ/כֶ֣ם	c/854	HC/R/Sp2mp
Num 1:4	יִהְי֔וּ	1961	HVqi3mp
Num 1:4	אִ֥ישׁ	376	HNcmsa
Num 1:4	אִ֖ישׁ	376	HNcmsa
Num 1:4	לַ/מַּטֶּ֑ה	l/4294	HRd/Ncmsa
Num 1:4	אִ֛ישׁ	376	HNcmsa
Num 1:4	רֹ֥אשׁ	7218 a	HNcmsa
Num 1:4	לְ/בֵית	l/1004 b	HR/Ncmsc
Num 1:4	אֲבֹתָ֖י/ו	1	HNcmpc/Sp3ms
Num 1:4	הֽוּא	1931	HPp3ms
Num 1:5	וְ/אֵ֨לֶּה֙	c/428	HC/Pdxcp
Num 1:5	שְׁמ֣וֹת	8034	HNcmpc
Num 1:5	הָֽ/אֲנָשִׁ֔ים	d/376	HTd/Ncmpa
Num 1:5	אֲשֶׁ֥ר	834 a	HTr
Num 1:5	יַֽעַמְד֖וּ	5975	HVqi3mp
Num 1:5	אִתְּ/כֶ֑ם	854	HR/Sp2mp
Num 1:5	לִ/רְאוּבֵ֕ן	l/7205	HR/Np
Num 1:5	אֱלִיצ֖וּר	468	HNp
Num 1:5	בֶּן	1121 a	HNcmsc
Num 1:5	שְׁדֵיאֽוּר	7707	HNp
Num 1:6	לְ/שִׁמְע֕וֹן	l/8095	HR/Np
Num 1:6	שְׁלֻמִיאֵ֖ל	8017	HNp
Num 1:6	בֶּן	1121 a	HNcmsc
Num 1:6	צוּרִֽישַׁדָּֽי	6701	HNp
Num 1:7	לִֽ/יהוּדָ֕ה	l/3063	HR/Np
Num 1:7	נַחְשׁ֖וֹן	5177	HNp
Num 1:7	בֶּן	1121 a	HNcmsc
Num 1:7	עַמִּינָדָֽב	5992	HNp
Num 1:8	לְ/יִ֨שָּׂשכָ֔ר	l/3485	HR/Np
Num 1:8	נְתַנְאֵ֖ל	5417	HNp
Num 1:8	בֶּן	1121 a	HNcmsc
Num 1:8	צוּעָֽר	6686	HNp
Num 1:9	לִ/זְבוּלֻ֕ן	l/2074	HR/Np
Num 1:9	אֱלִיאָ֖ב	446	HNp
Num 1:9	בֶּן	1121 a	HNcmsc
Num 1:9	חֵלֹֽן	2497	HNp
Num 1:10	לִ/בְנֵ֣י	l/1121 a	HR/Ncmpc
Num 1:10	יוֹסֵ֔ף	3130	HNp
Num 1:10	לְ/אֶפְרַ֕יִם	l/669	HR/Np
Num 1:10	אֱלִישָׁמָ֖ע	476	HNp
Num 1:10	בֶּן	1121 a	HNcmsc
