ref	word	lemma	morph
Deut 1:1	אֵ֣לֶּה	428	HPdxcp
Deut 1:1	הַ/דְּבָרִ֗ים	d/1697	HTd/Ncmpa
Deut 1:1	אֲשֶׁ֨ר	834 a	HTr
Deut 1:1	דִּבֶּ֤ר	1696	HVpp3ms
Deut 1:1	מֹשֶׁה֙	4872	HNp
Deut 1:1	אֶל	413	HR
Deut 1:1	כָּל	3605	HNcmsc
Deut 1:1	יִשְׂרָאֵ֔ל	3478	HNp
Deut 1:1	בְּ/עֵ֖בֶר	b/5676	HR/Ncmsc
Deut 1:1	הַ/יַּרְדֵּ֑ן	d/3383	HTd/Np
Deut 1:1	בַּ/מִּדְבָּ֡ר	b/4057 b	HRd/Ncmsa
Deut 1:1	בָּֽ/עֲרָבָה֩	b/6160	HRd/Ncfsa
Deut 1:1	מ֨וֹל	4136	HR
Deut 1:1	ס֜וּף	5489	HNp
Deut 1:1	בֵּֽין	996	HR
Deut 1:1	פָּארָ֧ן	6290	HNp
Deut 1:1	וּ/בֵֽין	c/996	HC/R
Deut 1:1	תֹּ֛פֶל	8603	HNp
Deut 1:1	וְ/לָבָ֥ן	c/3837 b	HC/Np
Deut 1:1	וַ/חֲצֵרֹ֖ת	c/2698	HC/Np
Deut 1:1	וְ/דִ֥י	c/1774+	HC/Np
Deut 1:1	זָהָֽב	1774	HNp
Deut 1:2	אַחַ֨ד	259	HAcmsa
Deut 1:2	עָשָׂ֥ר	6240	HAcmsa
Deut 1:2	יוֹם֙	3117	HNcmsa
Deut 1:2	מֵֽ/חֹרֵ֔ב	m/2722	HR/Np
Deut 1:2	דֶּ֖רֶךְ	1870	HNcbsc
Deut 1:2	הַר	2022	HNcmsc
Deut 1:2	שֵׂעִ֑יר	8165 a	HNp
Deut 1:2	עַ֖ד	5704	HR
Deut 1:2	קָדֵ֥שׁ	6947+	HNp
Deut 1:2	בַּרְנֵֽעַ	6947	HNp
Deut 1:3	וַ/יְהִי֙	c/1961	HC/Vqw3ms
Deut 1:3	בְּ/אַרְבָּעִ֣ים	b/705	HR/Acbpa
Deut 1:3	שָׁנָ֔ה	8141	HNcfsa
Deut 1:3	בְּ/עַשְׁתֵּֽי	b/6249	HR/Acbsc
Deut 1:3	עָשָׂ֥ר	6240	HAcmsa
Deut 1:3	חֹ֖דֶשׁ	2320	HNcmsa
Deut 1:3	בְּ/אֶחָ֣ד	b/259	HR/Acmsa
Deut 1:3	לַ/חֹ֑דֶשׁ	l/2320	HRd/Ncmsa
Deut 1:3	דִּבֶּ֤ר	1696	HVpp3ms
Deut 1:3	מֹשֶׁה֙	4872	HNp
Deut 1:3	אֶל	413	HR
Deut 1:3	בְּנֵ֣י	1121 a	HNcmpc
Deut 1:3	יִשְׂרָאֵ֔ל	3478	HNp
Deut 1:3	כְּ֠/כֹל	k/3605	HR/Ncmsa
Deut 1:3	אֲשֶׁ֨ר	834 a	HTr
Deut 1:3	צִוָּ֧ה	6680	HVpp3ms
Deut 1:3	יְהוָ֛ה	3068	HNp
Deut 1:3	אֹת֖/וֹ	853	HTo/Sp3ms
Deut 1:3	אֲלֵ/הֶֽם	413	HR/Sp3mp
Deut 1:4	אַחֲרֵ֣י	310 a	HR
Deut 1:4	הַכֹּת֗/וֹ	5221	HVhc/Sp3ms
Deut 1:4	אֵ֚ת	853	HTo
Deut 1:4	סִיחֹן֙	5511	HNp
Deut 1:4	מֶ֣לֶךְ	4428	HNcmsc
Deut 1:4	הָֽ/אֱמֹרִ֔י	d/567	HTd/Ngmsa
Deut 1:4	אֲשֶׁ֥ר	834 a	HTr
Deut 1:4	יוֹשֵׁ֖ב	3427	HVqrmsa
Deut 1:4	בְּ/חֶשְׁבּ֑וֹן	b/2809	HR/Np
Deut 1:4	וְ/אֵ֗ת	c/853	HC/To
Deut 1:4	ע֚וֹג	5747	HNp
Deut 1:4	מֶ֣לֶךְ	4428	HNcmsc
Deut 1:4	הַ/בָּשָׁ֔ן	d/1316	HTd/Np
Deut 1:4	אֲשֶׁר	834 a	HTr
Deut 1:4	יוֹשֵׁ֥ב	3427	HVqrmsa
Deut 1:4	בְּ/עַשְׁתָּרֹ֖ת	b/6252	HR/Np
Deut 1:4	בְּ/אֶדְרֶֽעִי	b/154	HR/Np
Deut 1:5	בְּ/עֵ֥בֶר	b/5676	HR/Ncmsc
Deut 1:5	הַ/יַּרְדֵּ֖ן	d/3383	HTd/Np
Deut 1:5	בְּ/אֶ֣רֶץ	b/776	HR/Ncbsc
Deut 1:5	מוֹאָ֑ב	4124	HNp
Deut 1:5	הוֹאִ֣יל	2974	HVhp3ms
Deut 1:5	מֹשֶׁ֔ה	4872	HNp
Deut 1:5	בֵּאֵ֛ר	874	HVpp3ms
Deut 1:5	אֶת	853	HTo
Deut 1:5	הַ/תּוֹרָ֥ה	d/8451	HTd/Ncfsa
Deut 1:5	הַ/זֹּ֖את	d/2063	HTd/Pdxfs
Deut 1:5	לֵ/אמֹֽר	l/559	HR/Vqc
Deut 1:6	יְהוָ֧ה	3068	HNp
Deut 1:6	אֱלֹהֵ֛י/נוּ	430	HNcmpc/Sp1cp
Deut 1:6	דִּבֶּ֥ר	1696	HVpp3ms
Deut 1:6	אֵלֵ֖י/נוּ	413	HR/Sp1cp
Deut 1:6	בְּ/חֹרֵ֣ב	b/2722	HR/Np
Deut 1:6	לֵ/אמֹ֑ר	l/559	HR/Vqc
Deut 1:6	רַב	7227 a	HAamsc
Deut 1:6	לָ/כֶ֥ם	l	HR/Sp2mp
Deut 1:6	שֶׁ֖בֶת	3427	HVqc
Deut 1:6	בָּ/הָ֥ר	b/2022	HRd/Ncmsa
Deut 1:6	הַ/זֶּֽה	d/2088	HTd/Pdxms
Deut 1:7	פְּנ֣וּ	6437	HVqv2mp
