ref	word	lemma	morph
Josh 1:1	וַ/יְהִ֗י	c/1961	HC/Vqw3ms
Josh 1:1	אַחֲרֵ֛י	310 a	HR
Josh 1:1	מ֥וֹת	4194	HNcmsc
Josh 1:1	מֹשֶׁ֖ה	4872	HNp
Josh 1:1	עֶ֣בֶד	5650	HNcmsc
Josh 1:1	יְהוָ֑ה	3068	HNp
Josh 1:1	וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms
Josh 1:1	יְהוָה֙	3068	HNp
Josh 1:1	אֶל	413	HR
Josh 1:1	יְהוֹשֻׁ֣עַ	3091	HNp
Josh 1:1	בִּן	1121 a	HNcmsc
Josh 1:1	נ֔וּן	5126	HNp
Josh 1:1	מְשָׁרֵ֥ת	8334	HVprmsc
Josh 1:1	מֹשֶׁ֖ה	4872	HNp
Josh 1:1	לֵ/אמֹֽר	l/559	HR/Vqc
Josh 1:2	מֹשֶׁ֥ה	4872	HNp
Josh 1:2	עַבְדִּ֖/י	5650	HNcmsc/Sp1cs
Josh 1:2	מֵ֑ת	4191	HVqp3ms
Josh 1:2	וְ/עַתָּה֩	c/6258	HC/D
Josh 1:2	ק֨וּם	6965 b	HVqv2ms
Josh 1:2	עֲבֹ֜ר	5674 a	HVqv2ms
Josh 1:2	אֶת	853	HTo
Josh 1:2	הַ/יַּרְדֵּ֣ן	d/3383	HTd/Np
Josh 1:2	הַ/זֶּ֗ה	d/2088	HTd/Pdxms
Josh 1:2	אַתָּה֙	859 a	HPp2ms
Josh 1:2	וְ/כָל	c/3605	HC/Ncmsc
Josh 1:2	הָ/עָ֣ם	d/5971 a	HTd/Ncmsa
Josh 1:2	הַ/זֶּ֔ה	d/2088	HTd/Pdxms
Josh 1:2	אֶל	413	HR
Josh 1:2	הָ/אָ֕רֶץ	d/776	HTd/Ncbsa
Josh 1:2	אֲשֶׁ֧ר	834 a	HTr
Josh 1:2	אָנֹכִ֛י	595	HPp1cs
Josh 1:2	נֹתֵ֥ן	5414	HVqrmsa
Josh 1:2	לָ/הֶ֖ם	l	HR/Sp3mp
Josh 1:2	לִ/בְנֵ֥י	l/1121 a	HR/Ncmpc
Josh 1:2	יִשְׂרָאֵֽל	3478	HNp
Josh 1:3	כָּל	3605	HNcmsc
Josh 1:3	מָק֗וֹם	4725	HNcmsa
Josh 1:3	אֲשֶׁ֨ר	834 a	HTr
Josh 1:3	תִּדְרֹ֧ךְ	1869	HVqi3fs
Josh 1:3	כַּֽף	3709	HNcfsc
Josh 1:3	רַגְלְ/כֶ֛ם	7272	HNcfsc/Sp2mp
Josh 1:3	בּ֖/וֹ	b	HR/Sp3ms
Josh 1:3	לָ/כֶ֣ם	l	HR/Sp2mp
Josh 1:3	נְתַתִּ֑י/ו	5414	HVqp1cs/Sp3ms
Josh 1:3	כַּ/אֲשֶׁ֥ר	k/834 d	HR/Tr
Josh 1:3	דִּבַּ֖רְתִּי	1696	HVpp1cs
Josh 1:3	אֶל	413	HR
Josh 1:3	מֹשֶֽׁה	4872	HNp
Josh 1:4	מֵ/הַ/מִּדְבָּר֩	m/d/4057 b	HR/Td/Ncmsa
Josh 1:4	וְ/הַ/לְּבָנ֨וֹן	c/d/3844	HC/Td/Np
Josh 1:4	הַ/זֶּ֜ה	d/2088	HTd/Pdxms
Josh 1:4	וְֽ/עַד	c/5704	HC/R
Josh 1:4	הַ/נָּהָ֧ר	d/5104	HTd/Ncmsa
Josh 1:4	הַ/גָּד֣וֹל	d/1419 a	HTd/Aamsa
Josh 1:4	נְהַר	5104	HNcmsc
Josh 1:4	פְּרָ֗ת	6578	HNp
Josh 1:4	כֹּ֚ל	3605	HNcmsc
Josh 1:4	אֶ֣רֶץ	776	HNcbsc
Josh 1:4	הַֽ/חִתִּ֔ים	d/2850	HTd/Ngmpa
Josh 1:4	וְ/עַד	c/5704	HC/R
Josh 1:4	הַ/יָּ֥ם	d/3220	HTd/Ncmsa
Josh 1:4	הַ/גָּד֖וֹל	d/1419 a	HTd/Aamsa
Josh 1:4	מְב֣וֹא	3996	HNcmsc
Josh 1:4	הַ/שָּׁ֑מֶשׁ	d/8121	HTd/Ncbsa
Josh 1:4	יִֽהְיֶ֖ה	1961	HVqi3ms
Josh 1:4	גְּבוּלְ/כֶֽם	1366	HNcmsc/Sp2mp
Josh 1:5	לֹֽא	3808	HTn
Josh 1:5	יִתְיַצֵּ֥ב	3320	HVti3ms
Josh 1:5	אִישׁ֙	376	HNcmsa
Josh 1:5	לְ/פָנֶ֔י/ךָ	l/6440	HR/Ncbpc/Sp2ms
Josh 1:5	כֹּ֖ל	3605	HNcmsc
Josh 1:5	יְמֵ֣י	3117	HNcmpc
Josh 1:5	חַיֶּ֑י/ךָ	2416 e	HNcmpc/Sp2ms
Josh 1:5	כַּֽ/אֲשֶׁ֨ר	k/834 d	HR/Tr
Josh 1:5	הָיִ֤יתִי	1961	HVqp1cs
Josh 1:5	עִם	5973 a	HR
Josh 1:5	מֹשֶׁה֙	4872	HNp
Josh 1:5	אֶהְיֶ֣ה	1961	HVqi1cs
Josh 1:5	עִמָּ֔/ךְ	5973 a	HR/Sp2fs
Josh 1:5	לֹ֥א	3808	HTn
Josh 1:5	אַרְפְּ/ךָ֖	7503	HVhi1cs/Sp2ms
Josh 1:5	וְ/לֹ֥א	c/3808	HC/Tn
Josh 1:5	אֶעֶזְבֶֽ/ךָּ	5800 a	HVqi1cs/Sp2ms
Josh 1:6	חֲזַ֖ק	2388	HVqv2ms
Josh 1:6	וֶ/אֱמָ֑ץ	c/553	HC/Vqv2ms
Josh 1:6	כִּ֣י	3588 a	HC
Josh 1:6	אַתָּ֗ה	859 a	HPp2ms
Josh 1:6	תַּנְחִיל֙	5157	HVhi2ms
Josh 1:6	אֶת	853	HTo
Josh 1:6	הָ/עָ֣ם	d/5971 a	HTd/Ncmsa
Josh 1:6	הַ/זֶּ֔ה	d/2088	HTd/Pdxms
Josh 1:6	אֶת	853	HTo
Josh 1:6	הָ/אָ֕רֶץ	d/776	HTd/Ncbsa
Josh 1:6	אֲשֶׁר	834 a	HTr
