ref	word	lemma	morph
Judg 1:1	וַ/יְהִ֗י	c/1961	HC/Vqw3ms
Judg 1:1	אַחֲרֵי֙	310 a	HR
Judg 1:1	מ֣וֹת	4194	HNcmsc
Judg 1:1	יְהוֹשֻׁ֔עַ	3091	HNp
Judg 1:1	וַֽ/יִּשְׁאֲלוּ֙	c/7592	HC/Vqw3mp
Judg 1:1	בְּנֵ֣י	1121 a	HNcmpc
Judg 1:1	יִשְׂרָאֵ֔ל	3478	HNp
Judg 1:1	בַּ/יהוָ֖ה	b/3068	HR/Np
Judg 1:1	לֵ/אמֹ֑ר	l/559	HR/Vqc
Judg 1:1	מִ֣י	4310	HTi
Judg 1:1	יַעֲלֶה	5927	HVqi3ms
Judg 1:1	לָּ֧/נוּ	l	HR/Sp1cp
Judg 1:1	אֶל	413	HR
Judg 1:1	הַֽ/כְּנַעֲנִ֛י	d/3669 a	HTd/Ngmsa
Judg 1:1	בַּ/תְּחִלָּ֖ה	b/8462	HRd/Ncfsa
Judg 1:1	לְ/הִלָּ֥חֶם	l/3898 a	HR/VNc
Judg 1:1	בּֽ/וֹ	b	HR/Sp3ms
Judg 1:2	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
Judg 1:2	יְהוָ֖ה	3068	HNp
Judg 1:2	יְהוּדָ֣ה	3063	HNp
Judg 1:2	יַעֲלֶ֑ה	5927	HVqi3ms
Judg 1:2	הִנֵּ֛ה	2009	HTm
Judg 1:2	נָתַ֥תִּי	5414	HVqp1cs
Judg 1:2	אֶת	853	HTo
Judg 1:2	הָ/אָ֖רֶץ	d/776	HTd/Ncbsa
Judg 1:2	בְּ/יָדֽ/וֹ	b/3027	HR/Ncbsc/Sp3ms
Judg 1:3	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
Judg 1:3	יְהוּדָה֩	3063	HNp
Judg 1:3	לְ/שִׁמְע֨וֹן	l/8095	HR/Np
Judg 1:3	אָחִ֜י/ו	251	HNcmsc/Sp3ms
Judg 1:3	עֲלֵ֧ה	5927	HVqv2ms
Judg 1:3	אִתִּ֣/י	854	HR/Sp1cs
Judg 1:3	בְ/גוֹרָלִ֗/י	b/1486	HR/Ncmsc/Sp1cs
Judg 1:3	וְ/נִֽלָּחֲמָה֙	c/3898 a	HC/VNh1cp
Judg 1:3	בַּֽ/כְּנַעֲנִ֔י	b/3669 a	HRd/Ngmsa
Judg 1:3	וְ/הָלַכְתִּ֧י	c/1980	HC/Vqq1cs
Judg 1:3	גַם	1571	HD
Judg 1:3	אֲנִ֛י	589	HPp1cs
Judg 1:3	אִתְּ/ךָ֖	854	HR/Sp2ms
Judg 1:3	בְּ/גוֹרָלֶ֑/ךָ	b/1486	HR/Ncmsc/Sp2ms
Judg 1:3	וַ/יֵּ֥לֶךְ	c/3212	HC/Vqw3ms
Judg 1:3	אִתּ֖/וֹ	854	HR/Sp3ms
Judg 1:3	שִׁמְעֽוֹן	8095	HNp
Judg 1:4	וַ/יַּ֣עַל	c/5927	HC/Vqw3ms
Judg 1:4	יְהוּדָ֔ה	3063	HNp
Judg 1:4	וַ/יִּתֵּ֧ן	c/5414	HC/Vqw3ms
Judg 1:4	יְהוָ֛ה	3068	HNp
Judg 1:4	אֶת	853	HTo
Judg 1:4	הַ/כְּנַעֲנִ֥י	d/3669 a	HTd/Ngmsa
Judg 1:4	וְ/הַ/פְּרִזִּ֖י	c/d/6522	HC/Td/Ngmsa
Judg 1:4	בְּ/יָדָ֑/ם	b/3027	HR/Ncbsc/Sp3mp
Judg 1:4	וַ/יַּכּ֣וּ/ם	c/5221	HC/Vhw3mp/Sp3mp
Judg 1:4	בְּ/בֶ֔זֶק	b/966	HR/Np
Judg 1:4	עֲשֶׂ֥רֶת	6235	HAcmsc
Judg 1:4	אֲלָפִ֖ים	505	HAcbpa
Judg 1:4	אִֽישׁ	376	HNcmsa
Judg 1:5	וַֽ֠/יִּמְצְאוּ	c/4672	HC/Vqw3mp
Judg 1:5	אֶת	853	HTo
Judg 1:5	אֲדֹנִ֥י	137+	HNp
Judg 1:5	בֶ֨זֶק֙	137	HNp
Judg 1:5	בְּ/בֶ֔זֶק	b/966	HR/Np
Judg 1:5	וַ/יִּֽלָּחֲמ֖וּ	c/3898 a	HC/VNw3mp
Judg 1:5	בּ֑/וֹ	b	HR/Sp3ms
Judg 1:5	וַ/יַּכּ֕וּ	c/5221	HC/Vhw3mp
Judg 1:5	אֶת	853	HTo
Judg 1:5	הַֽ/כְּנַעֲנִ֖י	d/3669 a	HTd/Ngmsa
Judg 1:5	וְ/אֶת	c/853	HC/To
Judg 1:5	הַ/פְּרִזִּֽי	d/6522	HTd/Ngmsa
Judg 1:6	וַ/יָּ֨נָס֙	c/5127	HC/Vqw3ms
Judg 1:6	אֲדֹ֣נִי	137+	HNp
Judg 1:6	בֶ֔זֶק	137	HNp
Judg 1:6	וַֽ/יִּרְדְּפ֖וּ	c/7291	HC/Vqw3mp
Judg 1:6	אַחֲרָ֑י/ו	310 a	HR/Sp3ms
Judg 1:6	וַ/יֹּאחֲז֣וּ	c/270	HC/Vqw3mp
Judg 1:6	אֹת֔/וֹ	853	HTo/Sp3ms
Judg 1:6	וַֽ/יְקַצְּצ֔וּ	c/7112	HC/Vpw3mp
Judg 1:6	אֶת	853	HTo
Judg 1:6	בְּהֹנ֥וֹת	931	HNcfpc
Judg 1:6	יָדָ֖י/ו	3027	HNcbdc/Sp3ms
Judg 1:6	וְ/רַגְלָֽי/ו	c/7272	HC/Ncfdc/Sp3ms
Judg 1:7	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
Judg 1:7	אֲדֹֽנִי	137+	HNp
Judg 1:7	בֶ֗זֶק	137	HNp
Judg 1:7	שִׁבְעִ֣ים	7657	HAcbpa
Judg 1:7	מְלָכִ֡ים	4428	HNcmpa
Judg 1:7	בְּֽהֹנוֹת֩	931	HNcfpc
Judg 1:7	יְדֵי/הֶ֨ם	3027	HNcbdc/Sp3mp
Judg 1:7	וְ/רַגְלֵי/הֶ֜ם	c/7272	HC/Ncfdc/Sp3mp
Judg 1:7	מְקֻצָּצִ֗ים	7112	HVPsmpa
Judg 1:7	הָי֤וּ	1961	HVqp3cp
Judg 1:7	מְלַקְּטִים֙	3950	HVprmpa
Judg 1:7	תַּ֣חַת	8478	HR
Judg 1:7	שֻׁלְחָנִ֔/י	7979	HNcmsc/Sp1cs
Judg 1:7	כַּ/אֲשֶׁ֣ר	k/834 d	HR/Tr
Judg 1:7	עָשִׂ֔יתִי	6213 a	HVqp1cs
Judg 1:7	כֵּ֥ן	3651 c	HTm
Judg 1:7	שִׁלַּם	7999 a	HVpp3ms
Judg 1:7	לִ֖/י	l	HR/Sp1cs
Judg 1:7	אֱלֹהִ֑ים	430	HNcmpa
Judg 1:7	וַ/יְבִיאֻ֥/הוּ	c/935	HC/Vhw3mp/Sp3ms
Judg 1:7	יְרוּשָׁלִַ֖ם	3389	HNp
Judg 1:7	וַ/יָּ֥מָת	c/4191	HC/Vqw3ms
Judg 1:7	שָֽׁם	8033	HD
Judg 1:8	וַ/יִּלָּחֲמ֤וּ	c/3898 a	HC/VNw3mp
Judg 1:8	בְנֵֽי	1121 a	HNcmpc
Judg 1:8	יְהוּדָה֙	3063	HNp
Judg 1:8	בִּ/יר֣וּשָׁלִַ֔ם	b/3389	HR/Np
Judg 1:8	וַ/יִּלְכְּד֣וּ	c/3920	HC/Vqw3mp
