ref	word	lemma	morph
1Sam 1:1	וַ/יְהִי֩	c/1961	HC/Vqw3ms
1Sam 1:1	אִ֨ישׁ	376	HNcmsa
1Sam 1:1	אֶחָ֜ד	259	HAcmsa
1Sam 1:1	מִן	4480 a	HR
1Sam 1:1	הָ/רָמָתַ֛יִם	d/7436+	HTd/Np
1Sam 1:1	צוֹפִ֖ים	7436	HNp
1Sam 1:1	מֵ/הַ֣ר	m/2022	HR/Ncmsc
1Sam 1:1	אֶפְרָ֑יִם	669	HNp
1Sam 1:1	וּ/שְׁמ֡/וֹ	c/8034	HC/Ncmsc/Sp3ms
1Sam 1:1	אֶ֠לְקָנָה	511	HNp
1Sam 1:1	בֶּן	1121 a	HNcmsc
1Sam 1:1	יְרֹחָ֧ם	3395	HNp
1Sam 1:1	בֶּן	1121 a	HNcmsc
1Sam 1:1	אֱלִיה֛וּא	453	HNp
1Sam 1:1	בֶּן	1121 a	HNcmsc
1Sam 1:1	תֹּ֥חוּ	8459	HNp
1Sam 1:1	בֶן	1121 a	HNcmsc
1Sam 1:1	צ֖וּף	6689	HNp
1Sam 1:1	אֶפְרָתִֽי	673	HNgmsa
1Sam 1:2	וְ/ל/וֹ֙	c/l	HC/R/Sp3ms
1Sam 1:2	שְׁתֵּ֣י	8147	HAcfdc
1Sam 1:2	נָשִׁ֔ים	802	HNcfpa
1Sam 1:2	שֵׁ֤ם	8034	HNcmsc
1Sam 1:2	אַחַת֙	259	HAcfsa
1Sam 1:2	חַנָּ֔ה	2584	HNp
1Sam 1:2	וְ/שֵׁ֥ם	c/8034	HC/Ncmsc
1Sam 1:2	הַ/שֵּׁנִ֖ית	d/8145	HTd/Aofsa
1Sam 1:2	פְּנִנָּ֑ה	6444	HNp
1Sam 1:2	וַ/יְהִ֤י	c/1961	HC/Vqw3ms
1Sam 1:2	לִ/פְנִנָּה֙	l/6444	HR/Np
1Sam 1:2	יְלָדִ֔ים	3206	HNcmpa
1Sam 1:2	וּ/לְ/חַנָּ֖ה	c/l/2584	HC/R/Np
1Sam 1:2	אֵ֥ין	369	HTn
1Sam 1:2	יְלָדִֽים	3206	HNcmpa
1Sam 1:3	וְ/עָלָה֩	c/5927	HC/Vqp3ms
1Sam 1:3	הָ/אִ֨ישׁ	d/376	HTd/Ncmsa
1Sam 1:3	הַ/ה֤וּא	d/1931	HTd/Pp3ms
1Sam 1:3	מֵֽ/עִיר/וֹ֙	m/5892 b	HR/Ncfsc/Sp3ms
1Sam 1:3	מִ/יָּמִ֣ים	m/3117	HR/Ncmpa
1Sam 1:3	יָמִ֔ימָ/ה	3117	HNcmpa/Sd
1Sam 1:3	לְ/הִֽשְׁתַּחֲוֺ֧ת	l/7812	HR/Vtc
1Sam 1:3	וְ/לִ/זְבֹּ֛חַ	c/l/2076	HC/R/Vqc
1Sam 1:3	לַ/יהוָ֥ה	l/3068	HR/Np
1Sam 1:3	צְבָא֖וֹת	6635 b	HNcbpa
1Sam 1:3	בְּ/שִׁלֹ֑ה	b/7887	HR/Np
1Sam 1:3	וְ/שָׁ֞ם	c/8033	HC/D
1Sam 1:3	שְׁנֵ֣י	8147	HAcmdc
1Sam 1:3	בְנֵֽי	1121 a	HNcmpc
1Sam 1:3	עֵלִ֗י	5941	HNp
1Sam 1:3	חָפְנִי֙	2652	HNp
1Sam 1:3	וּ/פִ֣נְחָ֔ס	c/6372	HC/Np
1Sam 1:3	כֹּהֲנִ֖ים	3548	HNcmpa
1Sam 1:3	לַ/יהוָֽה	l/3068	HR/Np
1Sam 1:4	וַ/יְהִ֣י	c/1961	HC/Vqw3ms
1Sam 1:4	הַ/יּ֔וֹם	d/3117	HTd/Ncmsa
1Sam 1:4	וַ/יִּזְבַּ֖ח	c/2076	HC/Vqw3ms
1Sam 1:4	אֶלְקָנָ֑ה	511	HNp
1Sam 1:4	וְ/נָתַ֞ן	c/5414	HC/Vqp3ms
1Sam 1:4	לִ/פְנִנָּ֣ה	l/6444	HR/Np
1Sam 1:4	אִשְׁתּ֗/וֹ	802	HNcfsc/Sp3ms
1Sam 1:4	וּֽ/לְ/כָל	c/l/3605	HC/R/Ncmsc
1Sam 1:4	בָּנֶ֛י/הָ	1121 a	HNcmpc/Sp3fs
1Sam 1:4	וּ/בְנוֹתֶ֖י/הָ	c/1323	HC/Ncfpc/Sp3fs
1Sam 1:4	מָנֽוֹת	4490	HNcfpa
1Sam 1:5	וּ/לְ/חַנָּ֕ה	c/l/2584	HC/R/Np
