ref	word	lemma	morph
2Sam 1:1	וַ/יְהִ֗י	c/1961	HC/Vqw3ms
2Sam 1:1	אַֽחֲרֵי֙	310 a	HR
2Sam 1:1	מ֣וֹת	4194	HNcmsc
2Sam 1:1	שָׁא֔וּל	7586	HNp
2Sam 1:1	וְ/דָוִ֣ד	c/1732	HC/Np
2Sam 1:1	שָׁ֔ב	7725	HVqp3ms
2Sam 1:1	מֵ/הַכּ֖וֹת	m/5221	HR/Vhc
2Sam 1:1	אֶת	853	HTo
2Sam 1:1	הָ/עֲמָלֵ֑ק	d/6002	HTd/Np
2Sam 1:1	וַ/יֵּ֧שֶׁב	c/3427	HC/Vqw3ms
2Sam 1:1	דָּוִ֛ד	1732	HNp
2Sam 1:1	בְּ/צִקְלָ֖ג	b/6860	HR/Np
2Sam 1:1	יָמִ֥ים	3117	HNcmpa
2Sam 1:1	שְׁנָֽיִם	8147	HAcmda
2Sam 1:2	וַ/יְהִ֣י	c/1961	HC/Vqw3ms
2Sam 1:2	בַּ/יּ֣וֹם	b/3117	HRd/Ncmsa
2Sam 1:2	הַ/שְּׁלִישִׁ֗י	d/7992	HTd/Aomsa
2Sam 1:2	וְ/הִנֵּה֩	c/2009	HC/Tm
2Sam 1:2	אִ֨ישׁ	376	HNcmsa
2Sam 1:2	בָּ֤א	935	HVqp3ms
2Sam 1:2	מִן	4480 a	HR
2Sam 1:2	הַֽ/מַּחֲנֶה֙	d/4264	HTd/Ncbsa
2Sam 1:2	מֵ/עִ֣ם	m/5973 b	HR/R
2Sam 1:2	שָׁא֔וּל	7586	HNp
2Sam 1:2	וּ/בְגָדָ֣י/ו	c/899 b	HC/Ncmpc/Sp3ms
2Sam 1:2	קְרֻעִ֔ים	7167	HVqsmpa
2Sam 1:2	וַ/אֲדָמָ֖ה	c/127	HC/Ncfsa
2Sam 1:2	עַל	5921 a	HR
2Sam 1:2	רֹאשׁ֑/וֹ	7218 a	HNcmsc/Sp3ms
2Sam 1:2	וַ/יְהִי֙	c/1961	HC/Vqw3ms
2Sam 1:2	בְּ/בֹא֣/וֹ	b/935	HR/Vqc/Sp3ms
2Sam 1:2	אֶל	413	HR
2Sam 1:2	דָּוִ֔ד	1732	HNp
2Sam 1:2	וַ/יִּפֹּ֥ל	c/5307	HC/Vqw3ms
2Sam 1:2	אַ֖רְצָ/ה	776	HNcbsa/Sd
2Sam 1:2	וַ/יִּשְׁתָּֽחוּ	c/7812	HC/Vtw3ms
2Sam 1:3	וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms
2Sam 1:3	ל/וֹ֙	l	HR/Sp3ms
2Sam 1:3	דָּוִ֔ד	1732	HNp
2Sam 1:3	אֵ֥י	335	HTi
2Sam 1:3	מִ/זֶּ֖ה	m/2088	HR/Pdxms
2Sam 1:3	תָּב֑וֹא	935	HVqi2ms
2Sam 1:3	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
2Sam 1:3	אֵלָ֔י/ו	413	HR/Sp3ms
2Sam 1:3	מִ/מַּחֲנֵ֥ה	m/4264	HR/Ncbsc
2Sam 1:3	יִשְׂרָאֵ֖ל	3478	HNp
2Sam 1:3	נִמְלָֽטְתִּי	4422	HVNp1cs
2Sam 1:4	וַ/יֹּ֨אמֶר	c/559	HC/Vqw3ms
2Sam 1:4	אֵלָ֥י/ו	413	HR/Sp3ms
2Sam 1:4	דָּוִ֛ד	1732	HNp
2Sam 1:4	מֶה	4100	HTi
2Sam 1:4	הָיָ֥ה	1961	HVqp3ms
2Sam 1:4	הַ/דָּבָ֖ר	d/1697	HTd/Ncmsa
2Sam 1:4	הַגֶּד	5046	HVhv2ms
2Sam 1:4	נָ֣א	4994	HTe
2Sam 1:4	לִ֑/י	l	HR/Sp1cs
2Sam 1:4	וַ֠/יֹּאמֶר	c/559	HC/Vqw3ms
2Sam 1:4	אֲשֶׁר	834 a	HTr
2Sam 1:4	נָ֨ס	5127	HVqp3ms
2Sam 1:4	הָ/עָ֜ם	d/5971 a	HTd/Ncmsa
2Sam 1:4	מִן	4480 a	HR
2Sam 1:4	הַ/מִּלְחָמָ֗ה	d/4421	HTd/Ncfsa
2Sam 1:4	וְ/גַם	c/1571	HC/Ta
2Sam 1:4	הַרְבֵּ֞ה	7235 a	HVha
2Sam 1:4	נָפַ֤ל	5307	HVqp3ms
2Sam 1:4	מִן	4480 a	HR
2Sam 1:4	הָ/עָם֙	d/5971 a	HTd/Ncmsa
2Sam 1:4	וַ/יָּמֻ֔תוּ	c/4191	HC/Vqw3mp
2Sam 1:4	וְ/גַ֗ם	c/1571	HC/Ta
2Sam 1:4	שָׁא֛וּל	7586	HNp
2Sam 1:4	וִ/יהוֹנָתָ֥ן	c/3083	HC/Np
2Sam 1:4	בְּנ֖/וֹ	1121 a	HNcmsc/Sp3ms
2Sam 1:4	מֵֽתוּ	4191	HVqp3cp
2Sam 1:5	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
2Sam 1:5	דָּוִ֔ד	1732	HNp
2Sam 1:5	אֶל	413	HR
2Sam 1:5	הַ/נַּ֖עַר	d/5288	HTd/Ncmsa
2Sam 1:5	הַ/מַּגִּ֣יד	d/5046	HTd/Vhrmsa
2Sam 1:5	ל֑/וֹ	l	HR/Sp3ms
2Sam 1:5	אֵ֣יךְ	349 a	HTi
2Sam 1:5	יָדַ֔עְתָּ	3045	HVqp2ms
2Sam 1:5	כִּי	3588 a	HC
2Sam 1:5	מֵ֥ת	4191	HVqp3ms
2Sam 1:5	שָׁא֖וּל	7586	HNp
2Sam 1:5	וִ/יהֽוֹנָתָ֥ן	c/3083	HC/Np
2Sam 1:5	בְּנֽ/וֹ	1121 a	HNcmsc/Sp3ms
2Sam 1:6	וַ/יֹּ֜אמֶר	c/559	HC/Vqw3ms
2Sam 1:6	הַ/נַּ֣עַר	d/5288	HTd/Ncmsa
2Sam 1:6	הַ/מַּגִּ֣יד	d/5046	HTd/Vhrmsa
2Sam 1:6	ל֗/וֹ	l	HR/Sp3ms
2Sam 1:6	נִקְרֹ֤א	7122	HVNa
2Sam 1:6	נִקְרֵ֨יתִי֙	7136 a	HVNp1cs
2Sam 1:6	בְּ/הַ֣ר	b/2022	HR/Ncmsc
2Sam 1:6	הַ/גִּלְבֹּ֔עַ	d/1533	HTd/Np
