ref	word	lemma	morph
1Kgs 1:1	וְ/הַ/מֶּ֤לֶךְ	c/d/4428	HC/Td/Ncmsa
1Kgs 1:1	דָּוִד֙	1732	HNp
1Kgs 1:1	זָקֵ֔ן	2204	HVqp3ms
1Kgs 1:1	בָּ֖א	935	HVqp3ms
1Kgs 1:1	בַּ/יָּמִ֑ים	b/3117	HRd/Ncmpa
1Kgs 1:1	וַ/יְכַסֻּ֨/הוּ֙	c/3680	HC/Vpw3mp/Sp3ms
1Kgs 1:1	בַּ/בְּגָדִ֔ים	b/899 b	HRd/Ncmpa
1Kgs 1:1	וְ/לֹ֥א	c/3808	HC/Tn
1Kgs 1:1	יִחַ֖ם	3179	HVqi3ms
1Kgs 1:1	לֽ/וֹ	l	HR/Sp3ms
1Kgs 1:2	וַ/יֹּ֧אמְרוּ	c/559	HC/Vqw3mp
1Kgs 1:2	ל֣/וֹ	l	HR/Sp3ms
1Kgs 1:2	עֲבָדָ֗י/ו	5650	HNcmpc/Sp3ms
1Kgs 1:2	יְבַקְשׁ֞וּ	1245	HVpi3mp
1Kgs 1:2	לַ/אדֹנִ֤/י	l/113	HR/Ncmsc/Sp1cs
1Kgs 1:2	הַ/מֶּ֨לֶךְ֙	d/4428	HTd/Ncmsa
1Kgs 1:2	נַעֲרָ֣ה	5291	HNcfsa
1Kgs 1:2	בְתוּלָ֔ה	1330	HNcfsa
1Kgs 1:2	וְ/עָֽמְדָה֙	c/5975	HC/Vqq3fs
1Kgs 1:2	לִ/פְנֵ֣י	l/6440	HR/Ncbpc
1Kgs 1:2	הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa
1Kgs 1:2	וּ/תְהִי	c/1961	HC/Vqj3fs
1Kgs 1:2	ל֖/וֹ	l	HR/Sp3ms
1Kgs 1:2	סֹכֶ֑נֶת	5532	HVqrfsa
1Kgs 1:2	וְ/שָׁכְבָ֣ה	c/7901	HC/Vqq3fs
1Kgs 1:2	בְ/חֵיקֶ֔/ךָ	b/2436	HR/Ncmsc/Sp2ms
1Kgs 1:2	וְ/חַ֖ם	c/2552	HC/Vqq3ms
1Kgs 1:2	לַ/אדֹנִ֥/י	l/113	HR/Ncmsc/Sp1cs
1Kgs 1:2	הַ/מֶּֽלֶךְ	d/4428	HTd/Ncmsa
1Kgs 1:3	וַ/יְבַקְשׁוּ֙	c/1245	HC/Vpw3mp
1Kgs 1:3	נַעֲרָ֣ה	5291	HNcfsa
1Kgs 1:3	יָפָ֔ה	3303	HAafsa
1Kgs 1:3	בְּ/כֹ֖ל	b/3605	HR/Ncmsc
1Kgs 1:3	גְּב֣וּל	1366	HNcmsc
1Kgs 1:3	יִשְׂרָאֵ֑ל	3478	HNp
1Kgs 1:3	וַֽ/יִּמְצְא֗וּ	c/4672	HC/Vqw3mp
1Kgs 1:3	אֶת	853	HTo
1Kgs 1:3	אֲבִישַׁג֙	49	HNp
1Kgs 1:3	הַ/שּׁ֣וּנַמִּ֔ית	d/7767	HTd/Ngfsa
1Kgs 1:3	וַ/יָּבִ֥אוּ	c/935	HC/Vhw3mp
1Kgs 1:3	אֹתָ֖/הּ	853	HTo/Sp3fs
