ref	word	lemma	morph
2Kgs 1:1	וַ/יִּפְשַׁ֤ע	c/6586	HC/Vqw3ms
2Kgs 1:1	מוֹאָב֙	4124	HNp
2Kgs 1:1	בְּ/יִשְׂרָאֵ֔ל	b/3478	HR/Np
2Kgs 1:1	אַחֲרֵ֖י	310 a	HR
2Kgs 1:1	מ֥וֹת	4194	HNcmsc
2Kgs 1:1	אַחְאָֽב	256	HNp
2Kgs 1:2	וַ/יִּפֹּ֨ל	c/5307	HC/Vqw3ms
2Kgs 1:2	אֲחַזְיָ֜ה	274	HNp
2Kgs 1:2	בְּעַ֣ד	1157	HR
2Kgs 1:2	הַ/שְּׂבָכָ֗ה	d/7639	HTd/Ncfsa
2Kgs 1:2	בַּ/עֲלִיָּת֛/וֹ	b/5944	HR/Ncfsc/Sp3ms
2Kgs 1:2	אֲשֶׁ֥ר	834 a	HTr
2Kgs 1:2	בְּ/שֹׁמְר֖וֹן	b/8111	HR/Np
2Kgs 1:2	וַ/יָּ֑חַל	c/2470 a	HC/Vqw3ms
2Kgs 1:2	וַ/יִּשְׁלַ֣ח	c/7971	HC/Vqw3ms
2Kgs 1:2	מַלְאָכִ֔ים	4397	HNcmpa
2Kgs 1:2	וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms
2Kgs 1:2	אֲלֵ/הֶם֙	413	HR/Sp3mp
2Kgs 1:2	לְכ֣וּ	3212	HVqv2mp
2Kgs 1:2	דִרְשׁ֗וּ	1875	HVqv2mp
2Kgs 1:2	בְּ/בַ֤עַל	b/1176+	HR/Np
2Kgs 1:2	זְבוּב֙	1176	HNp
2Kgs 1:2	אֱלֹהֵ֣י	430	HNcmpc
2Kgs 1:2	עֶקְר֔וֹן	6138	HNp
2Kgs 1:2	אִם	518 a	HC
2Kgs 1:2	אֶחְיֶ֖ה	2421	HVqi1cs
2Kgs 1:2	מֵ/חֳלִ֥י	m/2483	HR/Ncmsa
2Kgs 1:2	זֶֽה	2088	HPdxms
2Kgs 1:3	וּ/מַלְאַ֣ךְ	c/4397	HC/Ncmsc
2Kgs 1:3	יְהוָ֗ה	3068	HNp
2Kgs 1:3	דִּבֶּר֙	1696	HVpp3ms
2Kgs 1:3	אֶל	413	HR
2Kgs 1:3	אֵלִיָּ֣ה	452	HNp
2Kgs 1:3	הַ/תִּשְׁבִּ֔י	d/8664	HTd/Ngmsa
2Kgs 1:3	ק֣וּם	6965 b	HVqv2ms
2Kgs 1:3	עֲלֵ֔ה	5927	HVqv2ms
2Kgs 1:3	לִ/קְרַ֖את	l/7125	HR/Vqc
2Kgs 1:3	מַלְאֲכֵ֣י	4397	HNcmpc
2Kgs 1:3	מֶֽלֶךְ	4428	HNcmsc
2Kgs 1:3	שֹׁמְר֑וֹן	8111	HNp
2Kgs 1:3	וְ/דַבֵּ֣ר	c/1696	HC/Vpv2ms
2Kgs 1:3	אֲלֵ/הֶ֔ם	413	HR/Sp3mp
2Kgs 1:3	הַֽ/מִ/בְּלִ֤י	d/m/1097	HTi/R/D
2Kgs 1:3	אֵין	369	HTn
2Kgs 1:3	אֱלֹהִים֙	430	HNcmpa
2Kgs 1:3	בְּ/יִשְׂרָאֵ֔ל	b/3478	HR/Np
2Kgs 1:3	אַתֶּם֙	859 d	HPp2mp
2Kgs 1:3	הֹֽלְכִ֔ים	1980	HVqrmpa
2Kgs 1:3	לִ/דְרֹ֕שׁ	l/1875	HR/Vqc
2Kgs 1:3	בְּ/בַ֥עַל	b/1176+	HR/Np
2Kgs 1:3	זְב֖וּב	1176	HNp
2Kgs 1:3	אֱלֹהֵ֥י	430	HNcmpc
2Kgs 1:3	עֶקְרֽוֹן	6138	HNp
2Kgs 1:4	וְ/לָ/כֵן֙	c/l/3651 c	HC/R/D
2Kgs 1:4	כֹּֽה	3541	HD
2Kgs 1:4	אָמַ֣ר	559	HVqp3ms
2Kgs 1:4	יְהוָ֔ה	3068	HNp
2Kgs 1:4	הַ/מִּטָּ֞ה	d/4296	HTd/Ncfsa
2Kgs 1:4	אֲשֶׁר	834 a	HTr
2Kgs 1:4	עָלִ֥יתָ	5927	HVqp2ms
2Kgs 1:4	שָּׁ֛ם	8033	HD
2Kgs 1:4	לֹֽא	3808	HTn
2Kgs 1:4	תֵרֵ֥ד	3381	HVqi2ms
2Kgs 1:4	מִמֶּ֖/נָּה	4480 a	HR/Sp3fs
2Kgs 1:4	כִּ֣י	3588 a	HC
2Kgs 1:4	מ֣וֹת	4191	HVqa
2Kgs 1:4	תָּמ֑וּת	4191	HVqi2ms
2Kgs 1:4	וַ/יֵּ֖לֶךְ	c/3212	HC/Vqw3ms
2Kgs 1:4	אֵלִיָּֽה	452	HNp
2Kgs 1:5	וַ/יָּשׁ֥וּבוּ	c/7725	HC/Vqw3mp
2Kgs 1:5	הַ/מַּלְאָכִ֖ים	d/4397	HTd/Ncmpa
2Kgs 1:5	אֵלָ֑י/ו	413	HR/Sp3ms
2Kgs 1:5	וַ/יֹּ֥אמֶר	c/559	HC/Vqw3ms
2Kgs 1:5	אֲלֵי/הֶ֖ם	413	HR/Sp3mp
2Kgs 1:5	מַה	4100	HTi
2Kgs 1:5	זֶּ֥ה	2088	HPdxms
2Kgs 1:5	שַׁבְתֶּֽם	7725	HVqp2mp
2Kgs 1:6	וַ/יֹּאמְר֨וּ	c/559	HC/Vqw3mp
2Kgs 1:6	אֵלָ֜י/ו	413	HR/Sp3ms
2Kgs 1:6	אִ֣ישׁ	376	HNcmsa
2Kgs 1:6	עָלָ֣ה	5927	HVqp3ms
2Kgs 1:6	לִ/קְרָאתֵ֗/נוּ	l/7125	HR/Vqc/Sp1cp
2Kgs 1:6	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
2Kgs 1:6	אֵלֵי/נוּ֮	413	HR/Sp1cp
2Kgs 1:6	לְכ֣וּ	3212	HVqv2mp
2Kgs 1:6	שׁוּבוּ֮	7725	HVqv2mp
2Kgs 1:6	אֶל	413	HR
2Kgs 1:6	הַ/מֶּ֣לֶךְ	d/4428	HTd/Ncmsa
2Kgs 1:6	אֲשֶׁר	834 a	HTr
2Kgs 1:6	שָׁלַ֣ח	7971	HVqp3ms
2Kgs 1:6	אֶתְ/כֶם֒	853	HTo/Sp2mp
2Kgs 1:6	וְ/דִבַּרְתֶּ֣ם	c/1696	HC/Vpq2mp
2Kgs 1:6	אֵלָ֗י/ו	413	HR/Sp3ms
2Kgs 1:6	כֹּ֚ה	3541	HD
2Kgs 1:6	אָמַ֣ר	559	HVqp3ms
2Kgs 1:6	יְהוָ֔ה	3068	HNp
2Kgs 1:6	הַֽ/מִ/בְּלִ֤י	d/m/1097	HTi/R/D
2Kgs 1:6	אֵין	369	HTn
2Kgs 1:6	אֱלֹהִים֙	430	HNcmpa
2Kgs 1:6	בְּ/יִשְׂרָאֵ֔ל	b/3478	HR/Np
2Kgs 1:6	אַתָּ֣ה	859 a	HPp2ms
2Kgs 1:6	שֹׁלֵ֔חַ	7971	HVqrmsa
2Kgs 1:6	לִ/דְרֹ֕שׁ	l/1875	HR/Vqc
2Kgs 1:6	בְּ/בַ֥עַל	b/1176+	HR/Np
2Kgs 1:6	זְב֖וּב	1176	HNp
2Kgs 1:6	אֱלֹהֵ֣י	430	HNcmpc
2Kgs 1:6	עֶקְר֑וֹן	6138	HNp
2Kgs 1:6	לָ֠/כֵן	l/3651 c	HR/D
2Kgs 1:6	הַ/מִּטָּ֞ה	d/4296	HTd/Ncfsa
2Kgs 1:6	אֲשֶׁר	834 a	HTr
2Kgs 1:6	עָלִ֥יתָ	5927	HVqp2ms
2Kgs 1:6	שָּׁ֛ם	8033	HD
2Kgs 1:6	לֹֽא	3808	HTn
2Kgs 1:6	תֵרֵ֥ד	3381	HVqi2ms
2Kgs 1:6	מִמֶּ֖/נָּה	4480 a	HR/Sp3fs
2Kgs 1:6	כִּֽי	3588 a	HC
2Kgs 1:6	מ֥וֹת	4191	HVqa
2Kgs 1:6	תָּמֽוּת	4191	HVqi2ms
2Kgs 1:7	וַ/יְדַבֵּ֣ר	c/1696	HC/Vpw3ms
2Kgs 1:7	אֲלֵ/הֶ֔ם	413	HR/Sp3mp
2Kgs 1:7	מֶ֚ה	4100	HTi
2Kgs 1:7	מִשְׁפַּ֣ט	4941	HNcmsc
2Kgs 1:7	הָ/אִ֔ישׁ	d/376	HTd/Ncmsa
2Kgs 1:7	אֲשֶׁ֥ר	834 a	HTr
2Kgs 1:7	עָלָ֖ה	5927	HVqp3ms
2Kgs 1:7	לִ/קְרַאתְ/כֶ֑ם	l/7125	HR/Vqc/Sp2mp
2Kgs 1:7	וַ/יְדַבֵּ֣ר	c/1696	HC/Vpw3ms
2Kgs 1:7	אֲלֵי/כֶ֔ם	413	HR/Sp2mp
2Kgs 1:7	אֶת	853	HTo
2Kgs 1:7	הַ/דְּבָרִ֖ים	d/1697	HTd/Ncmpa
2Kgs 1:7	הָ/אֵֽלֶּה	d/428	HTd/Pdxcp
2Kgs 1:8	וַ/יֹּאמְר֣וּ	c/559	HC/Vqw3mp
2Kgs 1:8	אֵלָ֗י/ו	413	HR/Sp3ms
2Kgs 1:8	אִ֚ישׁ	376	HNcmsc
2Kgs 1:8	בַּ֣עַל	1167	HNcmsc
2Kgs 1:8	שֵׂעָ֔ר	8181	HNcmsa
2Kgs 1:8	וְ/אֵז֥וֹר	c/232	HC/Ncmsc
2Kgs 1:8	ע֖וֹר	5785	HNcmsa
2Kgs 1:8	אָז֣וּר	247	HVqsmsa
2Kgs 1:8	בְּ/מָתְנָ֑י/ו	b/4975	HR/Ncmdc/Sp3ms
2Kgs 1:8	וַ/יֹּאמַ֕ר	c/559	HC/Vqw3ms
2Kgs 1:8	אֵלִיָּ֥ה	452	HNp
2Kgs 1:8	הַ/תִּשְׁבִּ֖י	d/8664	HTd/Ngmsa
2Kgs 1:8	הֽוּא	1931	HPp3ms
2Kgs 1:9	וַ/יִּשְׁלַ֥ח	c/7971	HC/Vqw3ms
2Kgs 1:9	אֵלָ֛י/ו	413	HR/Sp3ms
2Kgs 1:9	שַׂר	8269	HNcmsc
2Kgs 1:9	חֲמִשִּׁ֖ים	2572	HAcbpa
2Kgs 1:9	וַ/חֲמִשָּׁ֑י/ו	c/2572	HC/Acbpc/Sp3ms
2Kgs 1:9	וַ/יַּ֣עַל	c/5927	HC/Vqw3ms
2Kgs 1:9	אֵלָ֗י/ו	413	HR/Sp3ms
2Kgs 1:9	וְ/הִנֵּה֙	c/2009	HC/Tm
2Kgs 1:9	יֹשֵׁב֙	3427	HVqrmsa
2Kgs 1:9	עַל	5921 a	HR
2Kgs 1:9	רֹ֣אשׁ	7218 a	HNcmsc
2Kgs 1:9	הָ/הָ֔ר	d/2022	HTd/Ncmsa
2Kgs 1:9	וַ/יְדַבֵּ֣ר	c/1696	HC/Vpw3ms
2Kgs 1:9	אֵלָ֔י/ו	413	HR/Sp3ms
2Kgs 1:9	אִ֚ישׁ	376	HNcmsc
2Kgs 1:9	הָֽ/אֱלֹהִ֔ים	d/430	HTd/Ncmpa
2Kgs 1:9	הַ/מֶּ֥לֶךְ	d/4428	HTd/Ncmsa
2Kgs 1:9	דִּבֶּ֖ר	1696	HVpp3ms
2Kgs 1:9	רֵֽדָ/ה	3381	HVqv2ms/Sh
2Kgs 1:10	וַ/יַּעֲנֶ֣ה	c/6030 b	HC/Vqw3ms
2Kgs 1:10	אֵלִיָּ֗הוּ	452	HNp
2Kgs 1:10	וַ/יְדַבֵּר֮	c/1696	HC/Vpw3ms
2Kgs 1:10	אֶל	413	HR
2Kgs 1:10	שַׂ֣ר	8269	HNcmsc
2Kgs 1:10	הַ/חֲמִשִּׁים֒	d/2572	HTd/Acbpa
2Kgs 1:10	וְ/אִם	c/518 a	HC/C
2Kgs 1:10	אִ֤ישׁ	376	HNcmsc
2Kgs 1:10	אֱלֹהִים֙	430	HNcmpa
2Kgs 1:10	אָ֔נִי	589	HPp1cs
2Kgs 1:10	תֵּ֤רֶד	3381	HVqj3fs
2Kgs 1:10	אֵשׁ֙	784	HNcbsa
2Kgs 1:10	מִן	4480 a	HR
2Kgs 1:10	הַ/שָּׁמַ֔יִם	d/8064	HTd/Ncmpa
2Kgs 1:10	וְ/תֹאכַ֥ל	c/398	HC/Vqi3fs
2Kgs 1:10	אֹתְ/ךָ֖	853	HTo/Sp2ms
2Kgs 1:10	וְ/אֶת	c/853	HC/To
2Kgs 1:10	חֲמִשֶּׁ֑י/ךָ	2572	HAcbpc/Sp2ms
2Kgs 1:10	וַ/תֵּ֤רֶד	c/3381	HC/Vqw3fs
2Kgs 1:10	אֵשׁ֙	784	HNcbsa
2Kgs 1:10	מִן	4480 a	HR
2Kgs 1:10	הַ/שָּׁמַ֔יִם	d/8064	HTd/Ncmpa
2Kgs 1:10	וַ/תֹּ֥אכַל	c/398	HC/Vqw3fs
2Kgs 1:10	אֹת֖/וֹ	853	HTo/Sp3ms
2Kgs 1:10	וְ/אֶת	c/853	HC/To
2Kgs 1:10	חֲמִשָּֽׁי/ו	2572	HAcbpc/Sp3ms
2Kgs 1:11	וַ/יָּ֜שָׁב	c/7725	HC/Vqw3ms
2Kgs 1:11	וַ/יִּשְׁלַ֥ח	c/7971	HC/Vqw3ms
2Kgs 1:11	אֵלָ֛י/ו	413	HR/Sp3ms
2Kgs 1:11	שַׂר	8269	HNcmsc
2Kgs 1:11	חֲמִשִּׁ֥ים	2572	HAcbpa
2Kgs 1:11	אַחֵ֖ר	312	HAamsa
2Kgs 1:11	וַ/חֲמִשָּׁ֑י/ו	c/2572	HC/Acbpc/Sp3ms
2Kgs 1:11	וַ/יַּ֨עַן֙	c/6030 b	HC/Vqw3ms
2Kgs 1:11	וַ/יְדַבֵּ֣ר	c/1696	HC/Vpw3ms
2Kgs 1:11	אֵלָ֔י/ו	413	HR/Sp3ms
2Kgs 1:11	אִ֚ישׁ	376	HNcmsc
2Kgs 1:11	הָ/אֱלֹהִ֔ים	d/430	HTd/Ncmpa
2Kgs 1:11	כֹּֽה	3541	HD
2Kgs 1:11	אָמַ֥ר	559	HVqp3ms
2Kgs 1:11	הַ/מֶּ֖לֶךְ	d/4428	HTd/Ncmsa
2Kgs 1:11	מְהֵרָ֥ה	4120	HNcfsa
2Kgs 1:11	רֵֽדָ/ה	3381	HVqv2ms/Sh
2Kgs 1:12	וַ/יַּ֣עַן	c/6030 b	HC/Vqw3ms
2Kgs 1:12	אֵלִיָּה֮	452	HNp
2Kgs 1:12	וַ/יְדַבֵּ֣ר	c/1696	HC/Vpw3ms
2Kgs 1:12	אֲלֵי/הֶם֒	413	HR/Sp3mp
2Kgs 1:12	אִם	518 a	HC
2Kgs 1:12	אִ֤ישׁ	376	HNcmsc
2Kgs 1:12	הָֽ/אֱלֹהִים֙	d/430	HTd/Ncmpa
2Kgs 1:12	אָ֔נִי	589	HPp1cs
2Kgs 1:12	תֵּ֤רֶד	3381	HVqj3fs
2Kgs 1:12	אֵשׁ֙	784	HNcbsa
2Kgs 1:12	מִן	4480 a	HR
2Kgs 1:12	הַ/שָּׁמַ֔יִם	d/8064	HTd/Ncmpa
2Kgs 1:12	וְ/תֹאכַ֥ל	c/398	HC/Vqi3fs
2Kgs 1:12	אֹתְ/ךָ֖	853	HTo/Sp2ms
2Kgs 1:12	וְ/אֶת	c/853	HC/To
2Kgs 1:12	חֲמִשֶּׁ֑י/ךָ	2572	HAcbpc/Sp2ms
2Kgs 1:12	וַ/תֵּ֤רֶד	c/3381	HC/Vqw3fs
2Kgs 1:12	אֵשׁ	784	HNcbsc
2Kgs 1:12	אֱלֹהִים֙	430	HNcmpa
2Kgs 1:12	מִן	4480 a	HR
2Kgs 1:12	הַ/שָּׁמַ֔יִם	d/8064	HTd/Ncmpa
2Kgs 1:12	וַ/תֹּ֥אכַל	c/398	HC/Vqw3fs
2Kgs 1:12	אֹת֖/וֹ	853	HTo/Sp3ms
2Kgs 1:12	וְ/אֶת	c/853	HC/To
2Kgs 1:12	חֲמִשָּֽׁי/ו	2572	HAcbpc/Sp3ms
2Kgs 1:13	וַ/יָּ֗שָׁב	c/7725	HC/Vqw3ms
2Kgs 1:13	וַ/יִּשְׁלַ֛ח	c/7971	HC/Vqw3ms
2Kgs 1:13	שַׂר	8269	HNcmsc
2Kgs 1:13	חֲמִשִּׁ֥ים	2572	HAcbpa
2Kgs 1:13	שְׁלִשִׁ֖ים	7992	HAompa
2Kgs 1:13	וַ/חֲמִשָּׁ֑י/ו	c/2572	HC/Acbpc/Sp3ms
2Kgs 1:13	וַ/יַּ֡עַל	c/5927	HC/Vqw3ms
2Kgs 1:13	וַ/יָּבֹא֩	c/935	HC/Vqw3ms
2Kgs 1:13	שַׂר	8269	HNcmsc
2Kgs 1:13	הַ/חֲמִשִּׁ֨ים	d/2572	HTd/Acbpa
2Kgs 1:13	הַ/שְּׁלִישִׁ֜י	d/7992	HTd/Aomsa
2Kgs 1:13	וַ/יִּכְרַ֥ע	c/3766	HC/Vqw3ms
2Kgs 1:13	עַל	5921 a	HR
