ref	word	lemma	morph
Isa 1:1	חֲזוֹן֙	2377	HNcmsc
Isa 1:1	יְשַֽׁעְיָ֣הוּ	3470 a	HNp
Isa 1:1	בֶן	1121 a	HNcmsc
Isa 1:1	אָמ֔וֹץ	531	HNp
Isa 1:1	אֲשֶׁ֣ר	834 a	HTr
Isa 1:1	חָזָ֔ה	2372	HVqp3ms
Isa 1:1	עַל	5921 a	HR
Isa 1:1	יְהוּדָ֖ה	3063	HNp
Isa 1:1	וִ/ירוּשָׁלִָ֑ם	c/3389	HC/Np
Isa 1:1	בִּ/ימֵ֨י	b/3117	HR/Ncmpc
Isa 1:1	עֻזִּיָּ֧הוּ	5818	HNp
Isa 1:1	יוֹתָ֛ם	3147	HNp
Isa 1:1	אָחָ֥ז	271	HNp
Isa 1:1	יְחִזְקִיָּ֖הוּ	2396	HNp
Isa 1:1	מַלְכֵ֥י	4428	HNcmpc
Isa 1:1	יְהוּדָֽה	3063	HNp
Isa 1:2	שִׁמְע֤וּ	8085	HVqv2mp
Isa 1:2	שָׁמַ֨יִם֙	8064	HNcmpa
Isa 1:2	וְ/הַאֲזִ֣ינִי	c/238	HC/Vhv2fs
Isa 1:2	אֶ֔רֶץ	776	HNcbsa
Isa 1:2	כִּ֥י	3588 a	HC
Isa 1:2	יְהוָ֖ה	3068	HNp
Isa 1:2	דִּבֵּ֑ר	1696	HVpp3ms
Isa 1:2	בָּנִים֙	1121 a	HNcmpa
Isa 1:2	גִּדַּ֣לְתִּי	1431	HVpp1cs
Isa 1:2	וְ/רוֹמַ֔מְתִּי	c/7311 a	HC/Vop1cs
Isa 1:2	וְ/הֵ֖ם	c/1992	HC/Pp3mp
Isa 1:2	פָּ֥שְׁעוּ	6586	HVqp3cp
Isa 1:2	בִֽ/י	b	HR/Sp1cs
Isa 1:3	יָדַ֥ע	3045	HVqp3ms
Isa 1:3	שׁוֹר֙	7794	HNcmsa
Isa 1:3	קֹנֵ֔/הוּ	7069	HVqrmsc/Sp3ms
Isa 1:3	וַ/חֲמ֖וֹר	c/2543	HC/Ncbsa
Isa 1:3	אֵב֣וּס	18	HNcmsc
Isa 1:3	בְּעָלָ֑י/ו	1167	HNcmpc/Sp3ms
Isa 1:3	יִשְׂרָאֵל֙	3478	HNp
Isa 1:3	לֹ֣א	3808	HTn
Isa 1:3	יָדַ֔ע	3045	HVqp3ms
Isa 1:3	עַמִּ֖/י	5971 a	HNcmsc/Sp1cs
Isa 1:3	לֹ֥א	3808	HTn
Isa 1:3	הִתְבּוֹנָֽן	995	HVrp3ms
Isa 1:4	ה֣וֹי	1945	HTj
Isa 1:4	גּ֣וֹי	1471 a	HNcmsa
Isa 1:4	חֹטֵ֗א	2398	HVqrmsa
Isa 1:4	עַ֚ם	5971 a	HNcmsa
Isa 1:4	כֶּ֣בֶד	3515	HAamsc
Isa 1:4	עָוֺ֔ן	5771	HNcbsa
Isa 1:4	זֶ֣רַע	2233	HNcmsc
Isa 1:4	מְרֵעִ֔ים	7489 a	HVhrmpa
Isa 1:4	בָּנִ֖ים	1121 a	HNcmpa
Isa 1:4	מַשְׁחִיתִ֑ים	7843	HVhrmpa
Isa 1:4	עָזְב֣וּ	5800 a	HVqp3cp
Isa 1:4	אֶת	853	HTo
Isa 1:4	יְהוָ֗ה	3068	HNp
Isa 1:4	נִֽאֲצ֛וּ	5006	HVpp3cp
Isa 1:4	אֶת	853	HTo
Isa 1:4	קְד֥וֹשׁ	6918	HAamsc
Isa 1:4	יִשְׂרָאֵ֖ל	3478	HNp
Isa 1:4	נָזֹ֥רוּ	2114 a	HVNp3cp
Isa 1:4	אָחֽוֹר	268	HNcmsa
Isa 1:5	עַ֣ל	5921 a	HR
Isa 1:5	מֶ֥ה	4100	HTi
Isa 1:5	תֻכּ֛וּ	5221	HVHi2mp
Isa 1:5	ע֖וֹד	5750	HD
Isa 1:5	תּוֹסִ֣יפוּ	3254	HVhi2mp
Isa 1:5	סָרָ֑ה	5627	HNcfsa
Isa 1:5	כָּל	3605	HNcmsc
Isa 1:5	רֹ֣אשׁ	7218 a	HNcmsa
Isa 1:5	לָ/חֳלִ֔י	l/2483	HR/Ncmsa
Isa 1:5	וְ/כָל	c/3605	HR/Ncmsc
Isa 1:5	לֵבָ֖ב	3824	HNcmsa
Isa 1:5	דַּוָּֽי	1742	HAamsa
Isa 1:6	מִ/כַּף	m/3709	HR/Ncfsc
Isa 1:6	רֶ֤גֶל	7272	HNcfsa
Isa 1:6	וְ/עַד	c/5704	HC/R
Isa 1:6	רֹאשׁ֙	7218 a	HNcmsa
Isa 1:6	אֵֽין	369	HTn
Isa 1:6	בּ֣/וֹ	b	HR/Sp3ms
Isa 1:6	מְתֹ֔ם	4974	HNcmsa
Isa 1:6	פֶּ֥צַע	6482	HNcmsa
Isa 1:6	וְ/חַבּוּרָ֖ה	c/2250	HC/Ncfsa
Isa 1:6	וּ/מַכָּ֣ה	c/4347	HC/Ncfsa
Isa 1:6	טְרִיָּ֑ה	2961	HAafsa
Isa 1:6	לֹא	3808	HTn
Isa 1:6	זֹ֨רוּ֙	2115	HVQp3cp
Isa 1:6	וְ/לֹ֣א	c/3808	HC/Tn
Isa 1:6	חֻבָּ֔שׁוּ	2280	HVPp3cp
Isa 1:6	וְ/לֹ֥א	c/3808	HC/Tn
Isa 1:6	רֻכְּכָ֖ה	7401	HVPp3fs
Isa 1:6	בַּ/שָּֽׁמֶן	b/8081	HRd/Ncmsa
Isa 1:7	אַרְצְ/כֶ֣ם	776	HNcbsc/Sp2mp
Isa 1:7	שְׁמָמָ֔ה	8077 a	HNcfsa
Isa 1:7	עָרֵי/כֶ֖ם	5892 b	HNcfpc/Sp2mp
Isa 1:7	שְׂרֻפ֣וֹת	8313	HVqsfpa
Isa 1:7	אֵ֑שׁ	784	HNcbsa
Isa 1:7	אַדְמַתְ/כֶ֗ם	127	HNcfsc/Sp2mp
Isa 1:7	לְ/נֶגְדְּ/כֶם֙	l/5048	HR/R/Sp2mp
Isa 1:7	זָרִים֙	2114 a	HAampa
Isa 1:7	אֹכְלִ֣ים	398	HVqrmpa
Isa 1:7	אֹתָ֔/הּ	853	HTo/Sp3fs
Isa 1:7	וּ/שְׁמָמָ֖ה	c/8077 a	HC/Ncfsa
Isa 1:7	כְּ/מַהְפֵּכַ֥ת	k/4114	HR/Ncfsc
Isa 1:7	זָרִֽים	2114 a	HAampa
Isa 1:8	וְ/נוֹתְרָ֥ה	c/3498	HC/VNp3fs
Isa 1:8	בַת	1323	HNcfsc
Isa 1:8	צִיּ֖וֹן	6726	HNp
Isa 1:8	כְּ/סֻכָּ֣ה	k/5521	HR/Ncfsa
Isa 1:8	בְ/כָ֑רֶם	b/3754	HR/Ncbsa
Isa 1:8	כִּ/מְלוּנָ֥ה	k/4412	HR/Ncfsa
Isa 1:8	בְ/מִקְשָׁ֖ה	b/4750	HR/Ncfsa
Isa 1:8	כְּ/עִ֥יר	k/5892 b	HR/Ncfsa
Isa 1:8	נְצוּרָֽה	5341	HVqsfsa
Isa 1:9	לוּלֵי֙	3884	HC
Isa 1:9	יְהוָ֣ה	3068	HNp
Isa 1:9	צְבָא֔וֹת	6635 b	HNcbpa
Isa 1:9	הוֹתִ֥יר	3498	HVhp3ms
Isa 1:9	לָ֛/נוּ	l	HR/Sp1cp
Isa 1:9	שָׂרִ֖יד	8300	HNcmsa
Isa 1:9	כִּ/מְעָ֑ט	k/4592	HR/Ncmsa
Isa 1:9	כִּ/סְדֹ֣ם	k/5467	HR/Np
Isa 1:9	הָיִ֔ינוּ	1961	HVqp1cp
Isa 1:9	לַ/עֲמֹרָ֖ה	l/6017	HR/Np
Isa 1:9	דָּמִֽינוּ	1819	HVqp1cp
Isa 1:10	שִׁמְע֥וּ	8085	HVqv2mp
Isa 1:10	דְבַר	1697	HNcmsc
Isa 1:10	יְהוָ֖ה	3068	HNp
