ref	word	lemma	morph
Jer 1:1	דִּבְרֵ֥י	1697	HNcmpc
Jer 1:1	יִרְמְיָ֖הוּ	3414	HNp
Jer 1:1	בֶּן	1121 a	HNcmsc
Jer 1:1	חִלְקִיָּ֑הוּ	2518	HNp
Jer 1:1	מִן	4480 a	HR
Jer 1:1	הַ/כֹּֽהֲנִים֙	d/3548	HTd/Ncmpa
Jer 1:1	אֲשֶׁ֣ר	834 a	HTr
Jer 1:1	בַּ/עֲנָת֔וֹת	b/6068	HR/Np
Jer 1:1	בְּ/אֶ֖רֶץ	b/776	HR/Ncbsc
Jer 1:1	בִּנְיָמִֽן	1144	HNp
Jer 1:2	אֲשֶׁ֨ר	834 a	HTr
Jer 1:2	הָיָ֤ה	1961	HVqp3ms
Jer 1:2	דְבַר	1697	HNcmsc
Jer 1:2	יְהוָה֙	3068	HNp
Jer 1:2	אֵלָ֔י/ו	413	HR/Sp3ms
Jer 1:2	בִּ/ימֵ֛י	b/3117	HR/Ncmpc
Jer 1:2	יֹאשִׁיָּ֥הוּ	2977	HNp
Jer 1:2	בֶן	1121 a	HNcmsc
Jer 1:2	אָמ֖וֹן	526	HNp
Jer 1:2	מֶ֣לֶךְ	4428	HNcmsc
Jer 1:2	יְהוּדָ֑ה	3063	HNp
Jer 1:2	בִּ/שְׁלֹשׁ	b/7969	HR/Acfsa
Jer 1:2	עֶשְׂרֵ֥ה	6240	HAcfsa
Jer 1:2	שָׁנָ֖ה	8141	HNcfsa
Jer 1:2	לְ/מָלְכֽ/וֹ	l/4427 a	HR/Vqc/Sp3ms
Jer 1:3	וַ/יְהִ֗י	c/1961	HC/Vqw3ms
Jer 1:3	בִּ/ימֵ֨י	b/3117	HR/Ncmpc
Jer 1:3	יְהוֹיָקִ֤ים	3079	HNp
Jer 1:3	בֶּן	1121 a	HNcmsc
Jer 1:3	יֹאשִׁיָּ֨הוּ֙	2977	HNp
Jer 1:3	מֶ֣לֶךְ	4428	HNcmsc
Jer 1:3	יְהוּדָ֔ה	3063	HNp
Jer 1:3	עַד	5704	HR
Jer 1:3	תֹּם֙	8552	HVqc
Jer 1:3	עַשְׁתֵּ֣י	6249	HAobpc
Jer 1:3	עֶשְׂרֵ֣ה	6240	HAcfsa
Jer 1:3	שָׁנָ֔ה	8141	HNcfsa
Jer 1:3	לְ/צִדְקִיָּ֥הוּ	l/6667	HR/Np
Jer 1:3	בֶן	1121 a	HNcmsc
Jer 1:3	יֹאשִׁיָּ֖הוּ	2977	HNp
Jer 1:3	מֶ֣לֶךְ	4428	HNcmsc
Jer 1:3	יְהוּדָ֑ה	3063	HNp
Jer 1:3	עַד	5704	HR
Jer 1:3	גְּל֥וֹת	1540	HVqc
Jer 1:3	יְרוּשָׁלִַ֖ם	3389	HNp
Jer 1:3	בַּ/חֹ֥דֶשׁ	b/2320	HRd/Ncmsa
Jer 1:3	הַ/חֲמִישִֽׁי	d/2549	HTd/Aomsa
Jer 1:4	וַ/יְהִ֥י	c/1961	HC/Vqw3ms
Jer 1:4	דְבַר	1697	HNcmsc
Jer 1:4	יְהוָ֖ה	3068	HNp
Jer 1:4	אֵלַ֥/י	413	HR/Sp1cs
