ref	word	lemma	morph
Ezek 1:1	וַ/יְהִ֣י	c/1961	HC/Vqw3ms
Ezek 1:1	בִּ/שְׁלֹשִׁ֣ים	b/7970	HR/Acbpa
Ezek 1:1	שָׁנָ֗ה	8141	HNcfsa
Ezek 1:1	בָּֽ/רְבִיעִי֙	b/7243	HRd/Aomsa
Ezek 1:1	בַּ/חֲמִשָּׁ֣ה	b/2568	HR/Acmsa
Ezek 1:1	לַ/חֹ֔דֶשׁ	l/2320	HRd/Ncmsa
Ezek 1:1	וַ/אֲנִ֥י	c/589	HC/Pp1cs
Ezek 1:1	בְ/תֽוֹךְ	b/8432	HR/Ncmsc
Ezek 1:1	הַ/גּוֹלָ֖ה	d/1473	HTd/Ncfsa
Ezek 1:1	עַל	5921 a	HR
Ezek 1:1	נְהַר	5104	HNcmsc
Ezek 1:1	כְּבָ֑ר	3529	HNp
Ezek 1:1	נִפְתְּחוּ֙	6605 a	HVNp3cp
Ezek 1:1	הַ/שָּׁמַ֔יִם	d/8064	HTd/Ncmpa
Ezek 1:1	וָ/אֶרְאֶ֖ה	c/7200	HC/Vqw1cs
Ezek 1:1	מַרְא֥וֹת	4759 a	HNcfpc
Ezek 1:1	אֱלֹהִֽים	430	HNcmpa
Ezek 1:2	בַּ/חֲמִשָּׁ֖ה	b/2568	HR/Acmsa
Ezek 1:2	לַ/חֹ֑דֶשׁ	l/2320	HRd/Ncmsa
Ezek 1:2	הִ֚יא	1931	HPp3fs
Ezek 1:2	הַ/שָּׁנָ֣ה	d/8141	HTd/Ncfsa
Ezek 1:2	הַ/חֲמִישִׁ֔ית	d/2549	HTd/Aofsa
Ezek 1:2	לְ/גָל֖וּת	l/1546	HR/Ncfsc
Ezek 1:2	הַ/מֶּ֥לֶךְ	d/4428	HTd/Ncmsa
Ezek 1:2	יוֹיָכִֽין	3112	HNp
Ezek 1:3	הָיֹ֣ה	1961	HVqa
Ezek 1:3	הָיָ֣ה	1961	HVqp3ms
Ezek 1:3	דְבַר	1697	HNcmsc
Ezek 1:3	יְ֠הוָה	3068	HNp
Ezek 1:3	אֶל	413	HR
Ezek 1:3	יְחֶזְקֵ֨אל	3168	HNp
Ezek 1:3	בֶּן	1121 a	HNcmsc
Ezek 1:3	בּוּזִ֧י	941	HNp
Ezek 1:3	הַ/כֹּהֵ֛ן	d/3548	HTd/Ncmsa
Ezek 1:3	בְּ/אֶ֥רֶץ	b/776	HR/Ncbsc
Ezek 1:3	כַּשְׂדִּ֖ים	3778	HNp
Ezek 1:3	עַל	5921 a	HR
Ezek 1:3	נְהַר	5104	HNcmsc
Ezek 1:3	כְּבָ֑ר	3529	HNp
Ezek 1:3	וַ/תְּהִ֥י	c/1961	HC/Vqw3fs
Ezek 1:3	עָלָ֛י/ו	5921 a	HR/Sp3ms
Ezek 1:3	שָׁ֖ם	8033	HD
Ezek 1:3	יַד	3027	HNcbsc
Ezek 1:3	יְהוָֽה	3068	HNp
Ezek 1:4	וָ/אֵ֡רֶא	c/7200	HC/Vqw1cs
Ezek 1:4	וְ/הִנֵּה֩	c/2009	HC/Tm
Ezek 1:4	ר֨וּחַ	7307	HNcbsc
Ezek 1:4	סְעָרָ֜ה	5591 b	HNcfsa
Ezek 1:4	בָּאָ֣ה	935	HVqrfsa
Ezek 1:4	מִן	4480 a	HR
Ezek 1:4	הַ/צָּפ֗וֹן	d/6828	HTd/Ncfsa
Ezek 1:4	עָנָ֤ן	6051	HNcmsa
Ezek 1:4	גָּדוֹל֙	1419 a	HAamsa
Ezek 1:4	וְ/אֵ֣שׁ	c/784	HC/Ncbsa
Ezek 1:4	מִתְלַקַּ֔חַת	3947	HVtrfsa
Ezek 1:4	וְ/נֹ֥גַֽהּ	c/5051	HC/Ncfsa
Ezek 1:4	ל֖/וֹ	l	HR/Sp3ms
Ezek 1:4	סָבִ֑יב	5439	HNcbsa
