ref	word	lemma	morph
Hos 1:1	דְּבַר	1697	HNcmsc
Hos 1:1	יְהוָ֣ה	3068	HNp
Hos 1:1	אֲשֶׁ֣ר	834 a	HTr
Hos 1:1	הָיָ֗ה	1961	HVqp3ms
Hos 1:1	אֶל	413	HR
Hos 1:1	הוֹשֵׁ֨עַ֙	1954	HNp
Hos 1:1	בֶּן	1121 a	HNcmsc
Hos 1:1	בְּאֵרִ֔י	882	HNp
Hos 1:1	בִּ/ימֵ֨י	b/3117	HR/Ncmpc
Hos 1:1	עֻזִּיָּ֥ה	5818	HNp
Hos 1:1	יוֹתָ֛ם	3147	HNp
Hos 1:1	אָחָ֥ז	271	HNp
Hos 1:1	יְחִזְקִיָּ֖ה	2396	HNp
Hos 1:1	מַלְכֵ֣י	4428	HNcmpc
Hos 1:1	יְהוּדָ֑ה	3063	HNp
Hos 1:1	וּ/בִ/ימֵ֛י	c/b/3117	HC/R/Ncmpc
Hos 1:1	יָרָבְעָ֥ם	3379	HNp
Hos 1:1	בֶּן	1121 a	HNcmsc
Hos 1:1	יוֹאָ֖שׁ	3101	HNp
Hos 1:1	מֶ֥לֶךְ	4428	HNcmsc
Hos 1:1	יִשְׂרָאֵֽל	3478	HNp
Hos 1:2	תְּחִלַּ֥ת	8462	HNcfsc
Hos 1:2	דִּבֶּר	1696	HVpp3ms
Hos 1:2	יְהוָ֖ה	3068	HNp
Hos 1:2	בְּ/הוֹשֵׁ֑עַ	b/1954	HR/Np
Hos 1:2	וַ/יֹּ֨אמֶר	c/559	HC/Vqw3ms
Hos 1:2	יְהוָ֜ה	3068	HNp
Hos 1:2	אֶל	413	HR
Hos 1:2	הוֹשֵׁ֗עַ	1954	HNp
Hos 1:2	לֵ֣ךְ	3212	HVqv2ms
Hos 1:2	קַח	3947	HVqv2ms
Hos 1:2	לְ/ךָ֞	l	HR/Sp2ms
Hos 1:2	אֵ֤שֶׁת	802	HNcfsc
Hos 1:2	זְנוּנִים֙	2183	HNcmpa
Hos 1:2	וְ/יַלְדֵ֣י	c/3206	HC/Ncmpc
Hos 1:2	זְנוּנִ֔ים	2183	HNcmpa
Hos 1:2	כִּֽי	3588 a	HC
Hos 1:2	זָנֹ֤ה	2181	HVqa
Hos 1:2	תִזְנֶה֙	2181	HVqi3fs
Hos 1:2	הָ/אָ֔רֶץ	d/776	HTd/Ncbsa
Hos 1:2	מֵֽ/אַחֲרֵ֖י	m/310 a	HR/R
Hos 1:2	יְהוָֽה	3068	HNp
Hos 1:3	וַ/יֵּ֨לֶךְ֙	c/3212	HC/Vqw3ms
Hos 1:3	וַ/יִּקַּ֔ח	c/3947	HC/Vqw3ms
Hos 1:3	אֶת	853	HTo
Hos 1:3	גֹּ֖מֶר	1586	HNp
Hos 1:3	בַּת	1323	HNcfsc
Hos 1:3	דִּבְלָ֑יִם	1691	HNp
Hos 1:3	וַ/תַּ֥הַר	c/2029	HC/Vqw3fs
Hos 1:3	וַ/תֵּֽלֶד	c/3205	HC/Vqw3fs
Hos 1:3	ל֖/וֹ	l	HR/Sp3ms
