ref	word	lemma	morph
Joel 1:1	דְּבַר	1697	HNcmsc
Joel 1:1	יְהוָה֙	3068	HNp
Joel 1:1	אֲשֶׁ֣ר	834 a	HTr
Joel 1:1	הָיָ֔ה	1961	HVqp3ms
Joel 1:1	אֶל	413	HR
Joel 1:1	יוֹאֵ֖ל	3100	HNp
Joel 1:1	בֶּן	1121 a	HNcmsc
Joel 1:1	פְּתוּאֵֽל	6602	HNp
Joel 1:2	שִׁמְעוּ	8085	HVqv2mp
Joel 1:2	זֹאת֙	2063	HPdxfs
Joel 1:2	הַ/זְּקֵנִ֔ים	d/2205	HTd/Aampa
Joel 1:2	וְ/הַֽאֲזִ֔ינוּ	c/238	HC/Vhv2mp
Joel 1:2	כֹּ֖ל	3605	HNcmsc
Joel 1:2	יוֹשְׁבֵ֣י	3427	HVqrmpc
Joel 1:2	הָ/אָ֑רֶץ	d/776	HTd/Ncbsa
Joel 1:2	הֶ/הָ֤יְתָה	d/1961	HTi/Vqp3fs
Joel 1:2	זֹּאת֙	2063	HPdxfs
Joel 1:2	בִּֽ/ימֵי/כֶ֔ם	b/3117	HR/Ncmpc/Sp2mp
Joel 1:2	וְ/אִ֖ם	c/518 a	HC/C
Joel 1:2	בִּ/ימֵ֥י	b/3117	HR/Ncmpc
Joel 1:2	אֲבֹֽתֵי/כֶֽם	1	HNcmpc/Sp2mp
Joel 1:3	עָלֶ֖/יהָ	5921 a	HR/Sp3fs
Joel 1:3	לִ/בְנֵי/כֶ֣ם	l/1121 a	HR/Ncmpc/Sp2mp
Joel 1:3	סַפֵּ֑רוּ	5608 a	HVpv2mp
Joel 1:3	וּ/בְנֵי/כֶם֙	c/1121 a	HC/Ncmpc/Sp2mp
Joel 1:3	לִ/בְנֵי/הֶ֔ם	l/1121 a	HR/Ncmpc/Sp3mp
Joel 1:3	וּ/בְנֵי/הֶ֖ם	c/1121 a	HC/Ncmpc/Sp3mp
Joel 1:3	לְ/ד֥וֹר	l/1755	HR/Ncmsa
Joel 1:3	אַחֵֽר	312	HAamsa
Joel 1:4	יֶ֤תֶר	3499 a	HNcmsc
Joel 1:4	הַ/גָּזָם֙	d/1501	HTd/Ncmsa
Joel 1:4	אָכַ֣ל	398	HVqp3ms
Joel 1:4	הָֽ/אַרְבֶּ֔ה	d/697	HTd/Ncmsa
Joel 1:4	וְ/יֶ֥תֶר	c/3499 a	HC/Ncmsc
Joel 1:4	הָ/אַרְבֶּ֖ה	d/697	HTd/Ncmsa
Joel 1:4	אָכַ֣ל	398	HVqp3ms
Joel 1:4	הַ/יָּ֑לֶק	d/3218	HTd/Ncmsa
Joel 1:4	וְ/יֶ֣תֶר	c/3499 a	HC/Ncmsc
Joel 1:4	הַ/יֶּ֔לֶק	d/3218	HTd/Ncmsa
Joel 1:4	אָכַ֖ל	398	HVqp3ms
Joel 1:4	הֶ/חָסִֽיל	d/2625	HTd/Ncmsa
Joel 1:5	הָקִ֤יצוּ	6974	HVhv2mp
Joel 1:5	שִׁכּוֹרִים֙	7910	HAampa
Joel 1:5	וּ/בְכ֔וּ	c/1058	HC/Vqv2mp
Joel 1:5	וְ/הֵילִ֖לוּ	c/3213	HC/Vhv2mp
Joel 1:5	כָּל	3605	HNcmsc
Joel 1:5	שֹׁ֣תֵי	8354	HVqrmpc
Joel 1:5	יָ֑יִן	3196	HNcmsa
Joel 1:5	עַל	5921 a	HR
Joel 1:5	עָסִ֕יס	6071	HNcmsa
Joel 1:5	כִּ֥י	3588 a	HC
Joel 1:5	נִכְרַ֖ת	3772	HVNp3ms
Joel 1:5	מִ/פִּי/כֶֽם	m/6310	HR/Ncmsc/Sp2mp
Joel 1:6	כִּֽי	3588 a	HC
Joel 1:6	גוֹי֙	1471 a	HNcmsa
Joel 1:6	עָלָ֣ה	5927	HVqp3ms
Joel 1:6	עַל	5921 a	HR
Joel 1:6	אַרְצִ֔/י	776	HNcbsc/Sp1cs
Joel 1:6	עָצ֖וּם	6099	HAamsa
Joel 1:6	וְ/אֵ֣ין	c/369	HC/Tn
Joel 1:6	מִסְפָּ֑ר	4557	HNcmsa
Joel 1:6	שִׁנָּי/ו֙	8127	HNcbdc/Sp3ms
Joel 1:6	שִׁנֵּ֣י	8127	HNcbdc
Joel 1:6	אַרְיֵ֔ה	738 b	HNcmsa
Joel 1:6	וּֽ/מְתַלְּע֥וֹת	c/4973	HC/Ncfpc
Joel 1:6	לָבִ֖יא	3833 c	HNcbsa
Joel 1:6	לֽ/וֹ	l	HR/Sp3ms
Joel 1:7	שָׂ֤ם	7760 a	HVqp3ms
Joel 1:7	גַּפְנִ/י֙	1612	HNcbsc/Sp1cs
Joel 1:7	לְ/שַׁמָּ֔ה	l/8047	HR/Ncfsa
Joel 1:7	וּ/תְאֵנָתִ֖/י	c/8384	HC/Ncfsc/Sp1cs
Joel 1:7	לִ/קְצָפָ֑ה	l/7111	HR/Ncfsa
Joel 1:7	חָשֹׂ֤ף	2834	HVqa
Joel 1:7	חֲשָׂפָ/הּ֙	2834	HVqp3ms/Sp3fs
Joel 1:7	וְ/הִשְׁלִ֔יךְ	c/7993	HC/Vhp3ms
Joel 1:7	הִלְבִּ֖ינוּ	3835 a	HVhp3cp
Joel 1:7	שָׂרִיגֶֽי/הָ	8299	HNcmpc/Sp3fs
Joel 1:8	אֱלִ֕י	421	HVqv2fs
Joel 1:8	כִּ/בְתוּלָ֥ה	k/1330	HR/Ncfsa
Joel 1:8	חֲגֻֽרַת	2296	HVqsfsc
Joel 1:8	שַׂ֖ק	8242	HNcmsa
Joel 1:8	עַל	5921 a	HR
Joel 1:8	בַּ֥עַל	1167	HNcmsc
Joel 1:8	נְעוּרֶֽי/הָ	5271 a	HNcbpc/Sp3fs
Joel 1:9	הָכְרַ֥ת	3772	HVHp3ms
Joel 1:9	מִנְחָ֛ה	4503	HNcfsa
Joel 1:9	וָ/נֶ֖סֶךְ	c/5262	HC/Ncmsa
Joel 1:9	מִ/בֵּ֣ית	m/1004 b	HR/Ncmsc
Joel 1:9	יְהוָ֑ה	3068	HNp
Joel 1:9	אָֽבְלוּ֙	56	HVqp3cp
Joel 1:9	הַ/כֹּ֣הֲנִ֔ים	d/3548	HTd/Ncmpa
Joel 1:9	מְשָׁרְתֵ֖י	8334	HVprmpc
Joel 1:9	יְהוָֽה	3068	HNp
Joel 1:10	שֻׁדַּ֣ד	7703	HVPp3ms
Joel 1:10	שָׂדֶ֔ה	7704 b	HNcmsa
Joel 1:10	אָבְלָ֖ה	56	HVqp3fs
Joel 1:10	אֲדָמָ֑ה	127	HNcfsa
Joel 1:10	כִּ֚י	3588 a	HC
Joel 1:10	שֻׁדַּ֣ד	7703	HVPp3ms
Joel 1:10	דָּגָ֔ן	1715	HNcmsa
Joel 1:10	הוֹבִ֥ישׁ	3001	HVhp3ms
Joel 1:10	תִּיר֖וֹשׁ	8492	HNcmsa
Joel 1:10	אֻמְלַ֥ל	535	HVKp3ms
Joel 1:10	יִצְהָֽר	3323	HNcmsa
Joel 1:11	הֹבִ֣ישׁוּ	954	HVhv2mp
Joel 1:11	אִכָּרִ֗ים	406	HNcmpa
Joel 1:11	הֵילִ֨ילוּ֙	3213	HVhv2mp
Joel 1:11	כֹּֽרְמִ֔ים	3755	HNcmpa
Joel 1:11	עַל	5921 a	HR
Joel 1:11	חִטָּ֖ה	2406	HNcfsa
Joel 1:11	וְ/עַל	c/5921 a	HC/R
Joel 1:11	שְׂעֹרָ֑ה	8184	HNcfsa
Joel 1:11	כִּ֥י	3588 a	HC
Joel 1:11	אָבַ֖ד	6	HVqp3ms
Joel 1:11	קְצִ֥יר	7105 a	HNcmsc
Joel 1:11	שָׂדֶֽה	7704 b	HNcmsa
Joel 1:12	הַ/גֶּ֣פֶן	d/1612	HTd/Ncbsa
Joel 1:12	הוֹבִ֔ישָׁה	3001	HVhp3fs
Joel 1:12	וְ/הַ/תְּאֵנָ֖ה	c/d/8384	HC/Td/Ncfsa
Joel 1:12	אֻמְלָ֑לָה	535	HVKp3fs
Joel 1:12	רִמּ֞וֹן	7416	HNcmsa
Joel 1:12	גַּם	1571	HTa
Joel 1:12	תָּמָ֣ר	8558	HNcmsa
Joel 1:12	וְ/תַפּ֗וּחַ	c/8598	HC/Ncmsa
Joel 1:12	כָּל	3605	HNcmsc
Joel 1:12	עֲצֵ֤י	6086	HNcmpc
Joel 1:12	הַ/שָּׂדֶה֙	d/7704 b	HTd/Ncmsa
Joel 1:12	יָבֵ֔שׁוּ	3001	HVqp3cp
Joel 1:12	כִּֽי	3588 a	HC
Joel 1:12	הֹבִ֥ישׁ	3001	HVhp3ms
Joel 1:12	שָׂשׂ֖וֹן	8342	HNcmsa
Joel 1:12	מִן	4480 a	HR
Joel 1:12	בְּנֵ֥י	1121 a	HNcmpc
Joel 1:12	אָדָֽם	120	HNcmsa
Joel 1:13	חִגְר֨וּ	2296	HVqv2mp
Joel 1:13	וְ/סִפְד֜וּ	c/5594	HC/Vqv2mp
Joel 1:13	הַ/כֹּהֲנִ֗ים	d/3548	HTd/Ncmpa
Joel 1:13	הֵילִ֨ילוּ֙	3213	HVhv2mp
Joel 1:13	מְשָׁרְתֵ֣י	8334	HVprmpc
Joel 1:13	מִזְבֵּ֔חַ	4196	HNcmsa
Joel 1:13	בֹּ֚אוּ	935	HVqv2mp
Joel 1:13	לִ֣ינוּ	3885 a	HVqv2mp
Joel 1:13	בַ/שַּׂקִּ֔ים	b/8242	HRd/Ncmpa
Joel 1:13	מְשָׁרְתֵ֖י	8334	HVprmpc
Joel 1:13	אֱלֹהָ֑/י	430	HNcmpc/Sp1cs
Joel 1:13	כִּ֥י	3588 a	HC
Joel 1:13	נִמְנַ֛ע	4513	HVNp3ms
Joel 1:13	מִ/בֵּ֥ית	m/1004 b	HR/Ncmsc
Joel 1:13	אֱלֹהֵי/כֶ֖ם	430	HNcmpc/Sp2mp
Joel 1:13	מִנְחָ֥ה	4503	HNcfsa
Joel 1:13	וָ/נָֽסֶךְ	c/5262	HC/Ncmsa
Joel 1:14	קַדְּשׁוּ	6942	HVpv2mp
Joel 1:14	צוֹם֙	6685	HNcmsa
Joel 1:14	קִרְא֣וּ	7121	HVqv2mp
Joel 1:14	עֲצָרָ֔ה	6116	HNcfsa
Joel 1:14	אִסְפ֣וּ	622	HVqv2mp
Joel 1:14	זְקֵנִ֗ים	2205	HAampa
Joel 1:14	כֹּ֚ל	3605	HNcmsc
Joel 1:14	יֹשְׁבֵ֣י	3427	HVqrmpc
Joel 1:14	הָ/אָ֔רֶץ	d/776	HTd/Ncbsa
Joel 1:14	בֵּ֖ית	1004 b	HNcmsc
Joel 1:14	יְהוָ֣ה	3068	HNp
Joel 1:14	אֱלֹהֵי/כֶ֑ם	430	HNcmpc/Sp2mp
Joel 1:14	וְ/זַעֲק֖וּ	c/2199	HC/Vqv2mp
Joel 1:14	אֶל	413	HR
Joel 1:14	יְהוָֽה	3068	HNp
Joel 1:15	אֲהָ֖הּ	162	HTj
Joel 1:15	לַ/יּ֑וֹם	l/3117	HRd/Ncmsa
Joel 1:15	כִּ֤י	3588 a	HC
Joel 1:15	קָרוֹב֙	7138	HAamsa
Joel 1:15	י֣וֹם	3117	HNcmsc
Joel 1:15	יְהוָ֔ה	3068	HNp
Joel 1:15	וּ/כְ/שֹׁ֖ד	c/k/7701	HC/R/Ncmsa
Joel 1:15	מִ/שַׁדַּ֥י	m/7706	HR/Np
Joel 1:15	יָבֽוֹא	935	HVqi3ms
Joel 1:16	הֲ/ל֛וֹא	i/3808	HTi/Tn
Joel 1:16	נֶ֥גֶד	5048	HR
Joel 1:16	עֵינֵ֖י/נוּ	5869 a	HNcbdc/Sp1cp
Joel 1:16	אֹ֣כֶל	400	HNcmsa
Joel 1:16	נִכְרָ֑ת	3772	HVNp3ms
Joel 1:16	מִ/בֵּ֥ית	m/1004 b	HR/Ncmsc
Joel 1:16	אֱלֹהֵ֖י/נוּ	430	HNcmpc/Sp1cp
Joel 1:16	שִׂמְחָ֥ה	8057	HNcfsa
Joel 1:16	וָ/גִֽיל	c/1524 a	HC/Ncmsa
Joel 1:17	עָבְשׁ֣וּ	5685	HVqp3cp
Joel 1:17	פְרֻד֗וֹת	6507	HNcfpa
Joel 1:17	תַּ֚חַת	8478	HR
Joel 1:17	מֶגְרְפֹ֣תֵי/הֶ֔ם	4053	HNcfpc/Sp3mp
Joel 1:17	נָשַׁ֨מּוּ֙	8074	HVNp3cp
Joel 1:17	אֹֽצָר֔וֹת	214	HNcmpa
Joel 1:17	נֶהֶרְס֖וּ	2040	HVNp3cp
Joel 1:17	מַמְּגֻר֑וֹת	4460	HNcfpa
Joel 1:17	כִּ֥י	3588 a	HC
Joel 1:17	הֹבִ֖ישׁ	3001	HVhp3ms
Joel 1:17	דָּגָֽן	1715	HNcmsa
Joel 1:18	מַה	4100	HTi
Joel 1:18	נֶּאֶנְחָ֣ה	584	HVNp3fs
Joel 1:18	בְהֵמָ֗ה	929	HNcfsa
Joel 1:18	נָבֹ֨כוּ֙	943	HVNp3cp
Joel 1:18	עֶדְרֵ֣י	5739	HNcmpc
Joel 1:18	בָקָ֔ר	1241	HNcbsa
Joel 1:18	כִּ֛י	3588 a	HC
Joel 1:18	אֵ֥ין	369	HTn
Joel 1:18	מִרְעֶ֖ה	4829	HNcmsa
Joel 1:18	לָ/הֶ֑ם	l	HR/Sp3mp
Joel 1:18	גַּם	1571	HTa
Joel 1:18	עֶדְרֵ֥י	5739	HNcmpc
Joel 1:18	הַ/צֹּ֖אן	d/6629	HTd/Ncbsa
Joel 1:18	נֶאְשָֽׁמוּ	816	HVNp3cp
Joel 1:19	אֵלֶ֥י/ךָ	413	HR/Sp2ms
Joel 1:19	יְהוָ֖ה	3068	HNp
Joel 1:19	אֶקְרָ֑א	7121	HVqi1cs
Joel 1:19	כִּ֣י	3588 a	HC
Joel 1:19	אֵ֗שׁ	784	HNcbsa
Joel 1:19	אָֽכְלָה֙	398	HVqp3fs
Joel 1:19	נְא֣וֹת	4999	HNcfpc
Joel 1:19	מִדְבָּ֔ר	4057 b	HNcmsa
Joel 1:19	וְ/לֶ֣הָבָ֔ה	c/3852	HC/Ncfsa
Joel 1:19	לִהֲטָ֖ה	3857	HVpp3fs
Joel 1:19	כָּל	3605	HNcmsc
Joel 1:19	עֲצֵ֥י	6086	HNcmpc
Joel 1:19	הַ/שָּׂדֶֽה	d/7704 b	HTd/Ncmsa
Joel 1:20	גַּם	1571	HTa
Joel 1:20	בַּהֲמ֥וֹת	929	HNcfpc
Joel 1:20	שָׂדֶ֖ה	7704 b	HNcmsa
Joel 1:20	תַּעֲר֣וֹג	6165	HVqi3fs
Joel 1:20	אֵלֶ֑י/ךָ	413	HR/Sp2ms
Joel 1:20	כִּ֤י	3588 a	HC
Joel 1:20	יָֽבְשׁוּ֙	3001	HVqp3cp
Joel 1:20	אֲפִ֣יקֵי	650	HNcmpc
Joel 1:20	מָ֔יִם	4325	HNcmpa
Joel 1:20	וְ/אֵ֕שׁ	c/784	HC/Ncbsa
Joel 1:20	אָכְלָ֖ה	398	HVqp3fs
Joel 1:20	נְא֥וֹת	4999	HNcfpc
Joel 1:20	הַ/מִּדְבָּֽר	d/4057 b	HTd/Ncmsa
Joel 2:1	תִּקְע֨וּ	8628	HVqv2mp
Joel 2:1	שׁוֹפָ֜ר	7782	HNcmsa
Joel 2:1	בְּ/צִיּ֗וֹן	b/6726	HR/Np
Joel 2:1	וְ/הָרִ֨יעוּ֙	c/7321	HC/Vhv2mp
Joel 2:1	בְּ/הַ֣ר	b/2022	HR/Ncmsc
Joel 2:1	קָדְשִׁ֔/י	6944	HNcmsc/Sp1cs
Joel 2:1	יִרְגְּז֕וּ	7264	HVqj3mp
Joel 2:1	כֹּ֖ל	3605	HNcmsc
Joel 2:1	יֹשְׁבֵ֣י	3427	HVqrmpc
Joel 2:1	הָ/אָ֑רֶץ	d/776	HTd/Ncbsa
