ref	word	lemma	morph
Amos 1:1	דִּבְרֵ֣י	1697	HNcmpc
Amos 1:1	עָמ֔וֹס	5986	HNp
Amos 1:1	אֲשֶׁר	834 a	HTr
Amos 1:1	הָיָ֥ה	1961	HVqp3ms
Amos 1:1	בַ/נֹּקְדִ֖ים	b/5349	HRd/Ncmpa
Amos 1:1	מִ/תְּק֑וֹעַ	m/8620	HR/Np
Amos 1:1	אֲשֶׁר֩	834 a	HTr
Amos 1:1	חָזָ֨ה	2372	HVqp3ms
Amos 1:1	עַל	5921 a	HR
Amos 1:1	יִשְׂרָאֵ֜ל	3478	HNp
Amos 1:1	בִּ/ימֵ֣י	b/3117	HR/Ncmpc
Amos 1:1	עֻזִיָּ֣ה	5818	HNp
Amos 1:1	מֶֽלֶךְ	4428	HNcmsc
Amos 1:1	יְהוּדָ֗ה	3063	HNp
Amos 1:1	וּ/בִ/ימֵ֞י	c/b/3117	HC/R/Ncmpc
Amos 1:1	יָרָבְעָ֤ם	3379	HNp
Amos 1:1	בֶּן	1121 a	HNcmsc
Amos 1:1	יוֹאָשׁ֙	3101	HNp
Amos 1:1	מֶ֣לֶךְ	4428	HNcmsc
Amos 1:1	יִשְׂרָאֵ֔ל	3478	HNp
Amos 1:1	שְׁנָתַ֖יִם	8141	HNcfda
Amos 1:1	לִ/פְנֵ֥י	l/6440	HR/Ncbpc
Amos 1:1	הָ/רָֽעַשׁ	d/7494	HTd/Ncmsa
Amos 1:2	וַ/יֹּאמַ֓ר	c/559	HC/Vqw3ms
Amos 1:2	יְהוָה֙	3068	HNp
Amos 1:2	מִ/צִיּ֣וֹן	m/6726	HR/Np
Amos 1:2	יִשְׁאָ֔ג	7580	HVqi3ms
Amos 1:2	וּ/מִ/ירוּשָׁלִַ֖ם	c/m/3389	HC/R/Np
Amos 1:2	יִתֵּ֣ן	5414	HVqi3ms
Amos 1:2	קוֹל֑/וֹ	6963 a	HNcmsc/Sp3ms
Amos 1:2	וְ/אָֽבְלוּ֙	c/56	HC/Vqp3cp
Amos 1:2	נְא֣וֹת	4999	HNcfpc
Amos 1:2	הָ/רֹעִ֔ים	d/7462 b	HTd/Vqrmpa
Amos 1:2	וְ/יָבֵ֖שׁ	c/3001	HC/Vqp3ms
Amos 1:2	רֹ֥אשׁ	7218 a	HNcmsc
Amos 1:2	הַ/כַּרְמֶֽל	d/3760	HTd/Np
Amos 1:3	כֹּ֚ה	3541	HD
Amos 1:3	אָמַ֣ר	559	HVqp3ms
Amos 1:3	יְהוָ֔ה	3068	HNp
Amos 1:3	עַל	5921 a	HR
Amos 1:3	שְׁלֹשָׁה֙	7969	HAcmsa
Amos 1:3	פִּשְׁעֵ֣י	6588	HNcmpc
Amos 1:3	דַמֶּ֔שֶׂק	1834	HNp
Amos 1:3	וְ/עַל	c/5921 a	HC/R
Amos 1:3	אַרְבָּעָ֖ה	702	HAcmsa
Amos 1:3	לֹ֣א	3808	HTn
Amos 1:3	אֲשִׁיבֶ֑/נּוּ	7725	HVhi1cs/Sp3ms
Amos 1:3	עַל	5921 a	HR
Amos 1:3	דּוּשָׁ֛/ם	1758	HVqc/Sp3mp
Amos 1:3	בַּ/חֲרֻצ֥וֹת	b/2742 a	HR/Ncmpc
Amos 1:3	הַ/בַּרְזֶ֖ל	d/1270	HTd/Ncmsa
Amos 1:3	אֶת	853	HTo
Amos 1:3	הַ/גִּלְעָֽד	d/1568	HTd/Np
Amos 1:4	וְ/שִׁלַּ֥חְתִּי	c/7971	HC/Vpq1cs
Amos 1:4	אֵ֖שׁ	784	HNcbsa
Amos 1:4	בְּ/בֵ֣ית	b/1004 b	HR/Ncmsc
Amos 1:4	חֲזָאֵ֑ל	2371	HNp
Amos 1:4	וְ/אָכְלָ֖ה	c/398	HC/Vqq3fs
Amos 1:4	אַרְמְנ֥וֹת	759	HNcmpc
Amos 1:4	בֶּן	1130+	HNp
Amos 1:4	הֲדָֽד	1130	HNp
Amos 1:5	וְ/שָֽׁבַרְתִּי֙	c/7665	HC/Vqq1cs
Amos 1:5	בְּרִ֣יחַ	1280	HNcmsc
Amos 1:5	דַּמֶּ֔שֶׂק	1834	HNp
Amos 1:5	וְ/הִכְרַתִּ֤י	c/3772	HC/Vhq1cs
Amos 1:5	יוֹשֵׁב֙	3427	HVqrmsa
Amos 1:5	מִ/בִּקְעַת	m/1237	HR/Np
Amos 1:5	אָ֔וֶן	206	HNp
Amos 1:5	וְ/תוֹמֵ֥ךְ	c/8551	HC/Vqrmsc
Amos 1:5	שֵׁ֖בֶט	7626	HNcmsa
Amos 1:5	מִ/בֵּ֣ית	m/1004 b	HR/Np
Amos 1:5	עֶ֑דֶן	5730 b	HNp
Amos 1:5	וְ/גָל֧וּ	c/1540	HC/Vqq3cp
Amos 1:5	עַם	5971 a	HNcmsc
Amos 1:5	אֲרָ֛ם	758	HNp
Amos 1:5	קִ֖ירָ/ה	7024 b	HNp/Sd
Amos 1:5	אָמַ֥ר	559	HVqp3ms
Amos 1:5	יְהוָֽה	3068	HNp
Amos 1:6	כֹּ֚ה	3541	HD
Amos 1:6	אָמַ֣ר	559	HVqp3ms
Amos 1:6	יְהוָ֔ה	3068	HNp
Amos 1:6	עַל	5921 a	HR
Amos 1:6	שְׁלֹשָׁה֙	7969	HAcmsa
Amos 1:6	פִּשְׁעֵ֣י	6588	HNcmpc
Amos 1:6	עַזָּ֔ה	5804	HNp
Amos 1:6	וְ/עַל	c/5921 a	HC/R
Amos 1:6	אַרְבָּעָ֖ה	702	HAcmsa
Amos 1:6	לֹ֣א	3808	HTn
Amos 1:6	אֲשִׁיבֶ֑/נּוּ	7725	HVhi1cs/Sp3ms
Amos 1:6	עַל	5921 a	HR
Amos 1:6	הַגְלוֹתָ֛/ם	1540	HVhc/Sp3mp
Amos 1:6	גָּל֥וּת	1546	HNcfsa
Amos 1:6	שְׁלֵמָ֖ה	8003	HAafsa
Amos 1:6	לְ/הַסְגִּ֥יר	l/5462	HR/Vhc
Amos 1:6	לֶ/אֱדֽוֹם	l/123	HR/Np
Amos 1:7	וְ/שִׁלַּ֥חְתִּי	c/7971	HC/Vpq1cs
Amos 1:7	אֵ֖שׁ	784	HNcbsa
Amos 1:7	בְּ/חוֹמַ֣ת	b/2346	HR/Ncfsc
Amos 1:7	עַזָּ֑ה	5804	HNp
Amos 1:7	וְ/אָכְלָ֖ה	c/398	HC/Vqq3fs
Amos 1:7	אַרְמְנֹתֶֽי/הָ	759	HNcmpc/Sp3fs
Amos 1:8	וְ/הִכְרַתִּ֤י	c/3772	HC/Vhq1cs
Amos 1:8	יוֹשֵׁב֙	3427	HVqrmsa
Amos 1:8	מֵֽ/אַשְׁדּ֔וֹד	m/795	HR/Np
Amos 1:8	וְ/תוֹמֵ֥ךְ	c/8551	HC/Vqrmsc
Amos 1:8	שֵׁ֖בֶט	7626	HNcmsa
Amos 1:8	מֵֽ/אַשְׁקְל֑וֹן	m/831	HR/Np
Amos 1:8	וַ/הֲשִׁיב֨וֹתִי	c/7725	HC/Vhq1cs
Amos 1:8	יָדִ֜/י	3027	HNcbsc/Sp1cs
Amos 1:8	עַל	5921 a	HR
Amos 1:8	עֶקְר֗וֹן	6138	HNp
Amos 1:8	וְ/אָֽבְדוּ֙	c/6	HC/Vqq3cp
Amos 1:8	שְׁאֵרִ֣ית	7611	HNcfsc
Amos 1:8	פְּלִשְׁתִּ֔ים	6430	HNgmpa
Amos 1:8	אָמַ֖ר	559	HVqp3ms
