ref	word	lemma	morph
Obad 1:1	חֲז֖וֹן	2377	HNcmsc
Obad 1:1	עֹֽבַדְיָ֑ה	5662	HNp
Obad 1:1	כֹּֽה	3541	HD
Obad 1:1	אָמַר֩	559	HVqp3ms
Obad 1:1	אֲדֹנָ֨/י	136	HNcmpc/Sp1cs
Obad 1:1	יְהוִ֜ה	3069	HNp
Obad 1:1	לֶ/אֱד֗וֹם	l/123	HR/Np
Obad 1:1	שְׁמוּעָ֨ה	8052	HNcfsa
Obad 1:1	שָׁמַ֜עְנוּ	8085	HVqp1cp
Obad 1:1	מֵ/אֵ֤ת	m/854	HR/R
Obad 1:1	יְהוָה֙	3068	HNp
Obad 1:1	וְ/צִיר֙	c/6735 a	HC/Ncmsa
Obad 1:1	בַּ/גּוֹיִ֣ם	b/1471 a	HRd/Ncmpa
Obad 1:1	שֻׁלָּ֔ח	7971	HVPp3ms
Obad 1:1	ק֛וּמוּ	6965 b	HVqv2mp
Obad 1:1	וְ/נָק֥וּמָה	c/6965 b	HC/Vqh1cp
Obad 1:1	עָלֶי/הָ	5921 a	HR/Sp3fs
Obad 1:1	לַ/מִּלְחָמָֽה	l/4421	HRd/Ncfsa
Obad 1:2	הִנֵּ֥ה	2009	HTm
Obad 1:2	קָטֹ֛ן	6996 b	HAamsa
Obad 1:2	נְתַתִּ֖י/ךָ	5414	HVqp1cs/Sp2ms
Obad 1:2	בַּ/גּוֹיִ֑ם	b/1471 a	HRd/Ncmpa
Obad 1:2	בָּז֥וּי	959	HVqsmsa
Obad 1:2	אַתָּ֖ה	859 a	HPp2ms
Obad 1:2	מְאֹֽד	3966	HD
Obad 1:3	זְד֤וֹן	2087	HNcmsc
Obad 1:3	לִבְּ/ךָ֙	3820 a	HNcmsc/Sp2ms
Obad 1:3	הִשִּׁיאֶ֔/ךָ	5377	HVhp3ms/Sp2ms
Obad 1:3	שֹׁכְנִ֥י	7931	HVqrmsc
Obad 1:3	בְ/חַגְוֵי	b/2288	HR/Ncmpc
Obad 1:3	סֶּ֖לַע	5553	HNcmsa
Obad 1:3	מְר֣וֹם	4791	HNcmsc
Obad 1:3	שִׁבְתּ֑/וֹ	7675	HNcfsc/Sp3ms
Obad 1:3	אֹמֵ֣ר	559	HVqrmsa
Obad 1:3	בְּ/לִבּ֔/וֹ	b/3820 a	HR/Ncmsc/Sp3ms
Obad 1:3	מִ֥י	4310	HTi
Obad 1:3	יוֹרִדֵ֖/נִי	3381	HVhi3ms/Sp1cs
Obad 1:3	אָֽרֶץ	776	HNcbsa
Obad 1:4	אִם	518 a	HC
Obad 1:4	תַּגְבִּ֣יהַּ	1361	HVhi2ms
Obad 1:4	כַּ/נֶּ֔שֶׁר	k/5404	HRd/Ncmsa
Obad 1:4	וְ/אִם	c/518 a	HC/C
Obad 1:4	בֵּ֥ין	996	HR
Obad 1:4	כּֽוֹכָבִ֖ים	3556	HNcmpa
Obad 1:4	שִׂ֣ים	7760 a	HVqsmsa
Obad 1:4	קִנֶּ֑/ךָ	7064	HNcmsc/Sp2ms
Obad 1:4	מִ/שָּׁ֥ם	m/8033	HR/D
Obad 1:4	אוֹרִֽידְ/ךָ֖	3381	HVhi1cs/Sp2ms
Obad 1:4	נְאֻם	5002	HNcmsc
Obad 1:4	יְהוָֽה	3068	HNp
Obad 1:5	אִם	518 a	HC
Obad 1:5	גַּנָּבִ֤ים	1590	HNcmpa
Obad 1:5	בָּאֽוּ	935	HVqp3cp
Obad 1:5	לְ/ךָ֙	l	HR/Sp2ms
Obad 1:5	אִם	518 a	HC
Obad 1:5	שׁ֣וֹדְדֵי	7703	HVqrmpc
Obad 1:5	לַ֔יְלָה	3915	HNcmsa
Obad 1:5	אֵ֣יךְ	349 a	HTi
Obad 1:5	נִדְמֵ֔יתָה	1820	HVNp2ms
Obad 1:5	הֲ/ל֥וֹא	i/3808	HTi/Tn
Obad 1:5	יִגְנְב֖וּ	1589	HVqi3mp
Obad 1:5	דַּיָּ֑/ם	1767	HNcmsc/Sp3mp
Obad 1:5	אִם	518 a	HC
Obad 1:5	בֹּֽצְרִים֙	1219	HVqrmpa
Obad 1:5	בָּ֣אוּ	935	HVqp3cp
Obad 1:5	לָ֔/ךְ	l	HR/Sp2fs
Obad 1:5	הֲ/ל֖וֹא	i/3808	HTi/Tn
Obad 1:5	יַשְׁאִ֥ירוּ	7604	HVhi3mp
Obad 1:5	עֹלֵלֽוֹת	5955	HNcfpa
Obad 1:6	אֵ֚יךְ	349 a	HTi
Obad 1:6	נֶחְפְּשׂ֣וּ	2664	HVNp3cp
Obad 1:6	עֵשָׂ֔ו	6215	HNp
Obad 1:6	נִבְע֖וּ	1158	HVNp3cp
Obad 1:6	מַצְפֻּנָֽי/ו	4710	HNcmpc/Sp3ms
Obad 1:7	עַֽד	5704	HR
Obad 1:7	הַ/גְּב֣וּל	d/1366	HTd/Ncmsa
Obad 1:7	שִׁלְּח֗וּ/ךָ	7971	HVpp3cp/Sp2ms
Obad 1:7	כֹּ֚ל	3605	HNcmsc
Obad 1:7	אַנְשֵׁ֣י	376	HNcmpc
Obad 1:7	בְרִיתֶ֔/ךָ	1285	HNcfsc/Sp2ms
Obad 1:7	הִשִּׁיא֛וּ/ךָ	5377	HVhp3cp/Sp2ms
Obad 1:7	יָכְל֥וּ	3201	HVqp3cp
Obad 1:7	לְ/ךָ֖	l	HR/Sp2ms
Obad 1:7	אַנְשֵׁ֣י	376	HNcmpc
Obad 1:7	שְׁלֹמֶ֑/ךָ	7965	HNcmsc/Sp2ms
Obad 1:7	לַחְמְ/ךָ֗	3899	HNcbsc/Sp2ms
Obad 1:7	יָשִׂ֤ימוּ	7760 a	HVqi3mp
Obad 1:7	מָזוֹר֙	4204	HNcmsa
Obad 1:7	תַּחְתֶּ֔י/ךָ	8478	HR/Sp2ms
Obad 1:7	אֵ֥ין	369	HTn
Obad 1:7	תְּבוּנָ֖ה	8394	HNcfsa
Obad 1:7	בּֽ/וֹ	b	HR/Sp3ms
Obad 1:8	הֲ/ל֛וֹא	i/3808	HTi/Tn
Obad 1:8	בַּ/יּ֥וֹם	b/3117	HRd/Ncmsa
Obad 1:8	הַ/ה֖וּא	d/1931	HTd/Pp3ms
Obad 1:8	נְאֻם	5002	HNcmsc
Obad 1:8	יְהוָ֑ה	3068	HNp
