ref	word	lemma	morph
Jonah 1:1	וַֽ/יְהִי֙	c/1961	HC/Vqw3ms
Jonah 1:1	דְּבַר	1697	HNcmsc
Jonah 1:1	יְהוָ֔ה	3068	HNp
Jonah 1:1	אֶל	413	HR
Jonah 1:1	יוֹנָ֥ה	3124	HNp
Jonah 1:1	בֶן	1121 a	HNcmsc
Jonah 1:1	אֲמִתַּ֖י	573	HNp
Jonah 1:1	לֵ/אמֹֽר	l/559	HR/Vqc
Jonah 1:2	ק֠וּם	6965 b	HVqv2ms
Jonah 1:2	לֵ֧ךְ	3212	HVqv2ms
Jonah 1:2	אֶל	413	HR
Jonah 1:2	נִֽינְוֵ֛ה	5210	HNp
Jonah 1:2	הָ/עִ֥יר	d/5892 b	HTd/Ncfsa
Jonah 1:2	הַ/גְּדוֹלָ֖ה	d/1419 a	HTd/Aafsa
Jonah 1:2	וּ/קְרָ֣א	c/7121	HC/Vqv2ms
Jonah 1:2	עָלֶ֑י/הָ	5921 a	HR/Sp3fs
Jonah 1:2	כִּֽי	3588 a	HC
Jonah 1:2	עָלְתָ֥ה	5927	HVqp3fs
Jonah 1:2	רָעָתָ֖/ם	7451 c	HNcfsc/Sp3mp
Jonah 1:2	לְ/פָנָֽ/י	l/6440	HR/Ncbpc/Sp1cs
Jonah 1:3	וַ/יָּ֤קָם	c/6965 b	HC/Vqw3ms
Jonah 1:3	יוֹנָה֙	3124	HNp
Jonah 1:3	לִ/בְרֹ֣חַ	l/1272	HR/Vqc
Jonah 1:3	תַּרְשִׁ֔ישָׁ/ה	8659	HNp/Sd
Jonah 1:3	מִ/לִּ/פְנֵ֖י	m/l/6440	HR/R/Ncbpc
Jonah 1:3	יְהוָ֑ה	3068	HNp
Jonah 1:3	וַ/יֵּ֨רֶד	c/3381	HC/Vqw3ms
Jonah 1:3	יָפ֜וֹ	3305	HNp
Jonah 1:3	וַ/יִּמְצָ֥א	c/4672	HC/Vqw3ms
Jonah 1:3	אָנִיָּ֣ה	591	HNcfsa
Jonah 1:3	בָּאָ֣ה	935	HVqrfsa
Jonah 1:3	תַרְשִׁ֗ישׁ	8659	HNp
Jonah 1:3	וַ/יִּתֵּ֨ן	c/5414	HC/Vqw3ms
Jonah 1:3	שְׂכָרָ֜/הּ	7939	HNcmsc/Sp3fs
Jonah 1:3	וַ/יֵּ֤רֶד	c/3381	HC/Vqw3ms
Jonah 1:3	בָּ/הּ֙	b	HR/Sp3fs
Jonah 1:3	לָ/ב֤וֹא	l/935	HR/Vqc
Jonah 1:3	עִמָּ/הֶם֙	5973 a	HR/Sp3mp
Jonah 1:3	תַּרְשִׁ֔ישָׁ/ה	8659	HNp/Sd
Jonah 1:3	מִ/לִּ/פְנֵ֖י	m/l/6440	HR/R/Ncbpc
Jonah 1:3	יְהוָֽה	3068	HNp
Jonah 1:4	וַֽ/יהוָ֗ה	c/3068	HC/Np
Jonah 1:4	הֵטִ֤יל	2904	HVhp3ms
Jonah 1:4	רֽוּחַ	7307	HNcbsa
Jonah 1:4	גְּדוֹלָה֙	1419 a	HAafsa
Jonah 1:4	אֶל	413	HR
Jonah 1:4	הַ/יָּ֔ם	d/3220	HTd/Ncmsa
Jonah 1:4	וַ/יְהִ֥י	c/1961	HC/Vqw3ms
Jonah 1:4	סַֽעַר	5591 a	HNcmsa
