ref	word	lemma	morph
Mic 1:1	דְּבַר	1697	HNcmsc
Mic 1:1	יְהוָ֣ה	3068	HNp
Mic 1:1	אֲשֶׁ֣ר	834 a	HTr
Mic 1:1	הָיָ֗ה	1961	HVqp3ms
Mic 1:1	אֶל	413	HR
Mic 1:1	מִיכָה֙	4318	HNp
Mic 1:1	הַ/מֹּ֣רַשְׁתִּ֔י	d/4183	HTd/Ngmsa
Mic 1:1	בִּ/ימֵ֥י	b/3117	HR/Ncmpc
Mic 1:1	יוֹתָ֛ם	3147	HNp
Mic 1:1	אָחָ֥ז	271	HNp
Mic 1:1	יְחִזְקִיָּ֖ה	2396	HNp
Mic 1:1	מַלְכֵ֣י	4428	HNcmpc
Mic 1:1	יְהוּדָ֑ה	3063	HNp
Mic 1:1	אֲשֶׁר	834 a	HTr
Mic 1:1	חָזָ֥ה	2372	HVqp3ms
Mic 1:1	עַל	5921 a	HR
Mic 1:1	שֹׁמְר֖וֹן	8111	HNp
Mic 1:1	וִ/ירֽוּשָׁלִָֽם	c/3389	HC/Np
Mic 1:2	שִׁמְעוּ֙	8085	HVqv2mp
Mic 1:2	עַמִּ֣ים	5971 a	HNcmpa
Mic 1:2	כֻּלָּ֔/ם	3605	HNcmsc/Sp3mp
Mic 1:2	הַקְשִׁ֖יבִי	7181	HVhv2fs
Mic 1:2	אֶ֣רֶץ	776	HNcbsa
Mic 1:2	וּ/מְלֹאָ֑/הּ	c/4393	HC/Ncmsc/Sp3fs
Mic 1:2	וִ/יהִי֩	c/1961	HC/Vqj3ms
Mic 1:2	אֲדֹנָ֨/י	136	HNcmpc/Sp1cs
Mic 1:2	יְהוִ֤ה	3069	HNp
Mic 1:2	בָּ/כֶם֙	b	HR/Sp2mp
Mic 1:2	לְ/עֵ֔ד	l/5707	HR/Ncmsa
Mic 1:2	אֲדֹנָ֖/י	136	HNcmpc/Sp1cs
Mic 1:2	מֵ/הֵיכַ֥ל	m/1964	HR/Ncmsc
Mic 1:2	קָדְשֽׁ/וֹ	6944	HNcmsc/Sp3ms
Mic 1:3	כִּֽי	3588 a	HC
Mic 1:3	הִנֵּ֥ה	2009	HTm
Mic 1:3	יְהוָ֖ה	3068	HNp
Mic 1:3	יֹצֵ֣א	3318	HVqrmsa
Mic 1:3	מִ/מְּקוֹמ֑/וֹ	m/4725	HR/Ncmsc/Sp3ms
Mic 1:3	וְ/יָרַ֥ד	c/3381	HC/Vqp3ms
Mic 1:3	וְ/דָרַ֖ךְ	c/1869	HC/Vqp3ms
Mic 1:3	עַל	5921 a	HR
Mic 1:3	במותי	1116	HNcfpc
Mic 1:3	אָֽרֶץ	776	HNcbsa
Mic 1:4	וְ/נָמַ֤סּוּ	c/4549	HC/VNq3cp
Mic 1:4	הֶֽ/הָרִים֙	d/2022	HTd/Ncmpa
Mic 1:4	תַּחְתָּ֔י/ו	8478	HR/Sp3ms
Mic 1:4	וְ/הָ/עֲמָקִ֖ים	c/d/6010	HC/Td/Ncmpa
Mic 1:4	יִתְבַּקָּ֑עוּ	1234	HVti3mp
Mic 1:4	כַּ/דּוֹנַג֙	k/1749	HRd/Ncmsa
Mic 1:4	מִ/פְּנֵ֣י	m/6440	HR/Ncbpc
Mic 1:4	הָ/אֵ֔שׁ	d/784	HTd/Ncbsa
Mic 1:4	כְּ/מַ֖יִם	k/4325	HR/Ncmpa
Mic 1:4	מֻגָּרִ֥ים	5064	HVHsmpa
Mic 1:4	בְּ/מוֹרָֽד	b/4174	HR/Ncmsa
Mic 1:5	בְּ/פֶ֤שַׁע	b/6588	HR/Ncmsc
Mic 1:5	יַֽעֲקֹב֙	3290	HNp
Mic 1:5	כָּל	3605	HNcmsc
Mic 1:5	זֹ֔את	2063	HPdxfs
Mic 1:5	וּ/בְ/חַטֹּ֖אות	c/b/2403 b	HC/R/Ncfpc
Mic 1:5	בֵּ֣ית	1004 b	HNcmsc
Mic 1:5	יִשְׂרָאֵ֑ל	3478	HNp
Mic 1:5	מִֽי	4310	HTi
Mic 1:5	פֶ֣שַׁע	6588	HNcmsc
Mic 1:5	יַעֲקֹ֗ב	3290	HNp
Mic 1:5	הֲ/לוֹא֙	i/3808	HTi/Tn
Mic 1:5	שֹֽׁמְר֔וֹן	8111	HNp
