ref	word	lemma	morph
Nah 1:1	מַשָּׂ֖א	4853 b	HNcmsc
Nah 1:1	נִֽינְוֵ֑ה	5210	HNp
Nah 1:1	סֵ֧פֶר	5612 a	HNcmsc
Nah 1:1	חֲז֛וֹן	2377	HNcmsc
Nah 1:1	נַח֖וּם	5151	HNp
Nah 1:1	הָ/אֶלְקֹשִֽׁי	d/512	HTd/Ngmsa
Nah 1:2	אֵ֣ל	410	HNcmsa
Nah 1:2	קַנּ֤וֹא	7072	HAamsa
Nah 1:2	וְ/נֹקֵם֙	c/5358	HC/Vqrmsa
Nah 1:2	יְהוָ֔ה	3068	HNp
Nah 1:2	נֹקֵ֥ם	5358	HVqrmsa
Nah 1:2	יְהוָ֖ה	3068	HNp
Nah 1:2	וּ/בַ֣עַל	c/1167	HC/Ncmsc
Nah 1:2	חֵמָ֑ה	2534	HNcfsa
Nah 1:2	נֹקֵ֤ם	5358	HVqrmsa
Nah 1:2	יְהוָה֙	3068	HNp
Nah 1:2	לְ/צָרָ֔י/ו	l/6862 c	HR/Ncmpc/Sp3ms
Nah 1:2	וְ/נוֹטֵ֥ר	c/5201	HC/Vqrmsa
Nah 1:2	ה֖וּא	1931	HPp3ms
Nah 1:2	לְ/אֹיְבָֽי/ו	l/341	HR/Vqrmpc/Sp3ms
Nah 1:3	יְהֹוָ֗ה	3068	HNp
Nah 1:3	אֶ֤רֶךְ	750	HAamsc
Nah 1:3	אַפַּ֨יִם֙	639	HNcmda
Nah 1:3	ו/גדול	c/1419 a	HC/Aamsc
Nah 1:3	כֹּ֔חַ	3581 b	HNcmsa
Nah 1:3	וְ/נַקֵּ֖ה	c/5352	HC/Vpa
Nah 1:3	לֹ֣א	3808	HTn
Nah 1:3	יְנַקֶּ֑ה	5352	HVpi3ms
Nah 1:3	יְהוָ֗ה	3068	HNp
Nah 1:3	בְּ/סוּפָ֤ה	b/5492 a	HR/Ncfsa
Nah 1:3	וּ/בִ/שְׂעָרָה֙	c/b/8183	HC/R/Ncfsa
Nah 1:3	דַּרְכּ֔/וֹ	1870	HNcbsc/Sp3ms
Nah 1:3	וְ/עָנָ֖ן	c/6051	HC/Ncmsa
Nah 1:3	אֲבַ֥ק	80	HNcmsc
Nah 1:3	רַגְלָֽי/ו	7272	HNcfdc/Sp3ms
Nah 1:4	גּוֹעֵ֤ר	1605	HVqrmsa
