ref	word	lemma	morph
Hab 1:1	הַ/מַּשָׂא֙	d/4853 b	HTd/Ncmsa
Hab 1:1	אֲשֶׁ֣ר	834 a	HTr
Hab 1:1	חָזָ֔ה	2372	HVqp3ms
Hab 1:1	חֲבַקּ֖וּק	2265	HNp
Hab 1:1	הַ/נָּבִֽיא	d/5030	HTd/Ncmsa
Hab 1:2	עַד	5704	HR
Hab 1:2	אָ֧נָה	575	HD
Hab 1:2	יְהוָ֛ה	3068	HNp
Hab 1:2	שִׁוַּ֖עְתִּי	7768	HVpp1cs
Hab 1:2	וְ/לֹ֣א	c/3808	HC/Tn
Hab 1:2	תִשְׁמָ֑ע	8085	HVqi2ms
Hab 1:2	אֶזְעַ֥ק	2199	HVqi1cs
Hab 1:2	אֵלֶ֛י/ךָ	413	HR/Sp2ms
Hab 1:2	חָמָ֖ס	2555	HNcmsa
Hab 1:2	וְ/לֹ֥א	c/3808	HC/Tn
Hab 1:2	תוֹשִֽׁיעַ	3467	HVhi2ms
Hab 1:3	לָ֣/מָּה	l/4100	HR/Ti
Hab 1:3	תַרְאֵ֤/נִי	7200	HVhi2ms/Sp1cs
Hab 1:3	אָ֨וֶן֙	205	HNcmsa
Hab 1:3	וְ/עָמָ֣ל	c/5999	HC/Ncbsa
Hab 1:3	תַּבִּ֔יט	5027	HVhi2ms
Hab 1:3	וְ/שֹׁ֥ד	c/7701	HC/Ncmsa
Hab 1:3	וְ/חָמָ֖ס	c/2555	HC/Ncmsa
Hab 1:3	לְ/נֶגְדִּ֑/י	l/5048	HR/R/Sp1cs
Hab 1:3	וַ/יְהִ֧י	c/1961	HC/Vqw3ms
Hab 1:3	רִ֦יב	7379	HNcbsa
Hab 1:3	וּ/מָד֖וֹן	c/4066	HC/Ncmsa
Hab 1:3	יִשָּֽׂא	5375	HVqi3ms
Hab 1:4	עַל	5921 a	HR
Hab 1:4	כֵּן֙	3651 c	HTm
Hab 1:4	תָּפ֣וּג	6313	HVqi3fs
Hab 1:4	תּוֹרָ֔ה	8451	HNcfsa
Hab 1:4	וְ/לֹֽא	c/3808	HC/Tn
Hab 1:4	יֵצֵ֥א	3318	HVqi3ms
Hab 1:4	לָ/נֶ֖צַח	l/5331	HR/Ncmsa
Hab 1:4	מִשְׁפָּ֑ט	4941	HNcmsa
Hab 1:4	כִּ֤י	3588 a	HC
Hab 1:4	רָשָׁע֙	7563	HAamsa
Hab 1:4	מַכְתִּ֣יר	3803	HVhrmsa
Hab 1:4	אֶת	853	HTo
Hab 1:4	הַ/צַּדִּ֔יק	d/6662	HTd/Aamsa
Hab 1:4	עַל	5921 a	HR
Hab 1:4	כֵּ֛ן	3651 c	HTm
Hab 1:4	יֵצֵ֥א	3318	HVqi3ms
Hab 1:4	מִשְׁפָּ֖ט	4941	HNcmsa
Hab 1:4	מְעֻקָּֽל	6127	HVPsmsa
Hab 1:5	רְא֤וּ	7200	HVqv2mp
Hab 1:5	בַ/גּוֹיִם֙	b/1471 a	HRd/Ncmpa
Hab 1:5	וְֽ/הַבִּ֔יטוּ	c/5027	HC/Vhv2mp
Hab 1:5	וְ/הִֽתַּמְּה֖וּ	c/8539	HC/Vtv2mp
Hab 1:5	תְּמָ֑הוּ	8539	HVqv2mp
Hab 1:5	כִּי	3588 a	HC
Hab 1:5	פֹ֨עַל֙	6467	HNcmsa
Hab 1:5	פֹּעֵ֣ל	6466	HVqrmsa
Hab 1:5	בִּֽ/ימֵי/כֶ֔ם	b/3117	HR/Ncmpc/Sp2mp
Hab 1:5	לֹ֥א	3808	HTn
Hab 1:5	תַאֲמִ֖ינוּ	539	HVhi2mp
Hab 1:5	כִּ֥י	3588 a	HC
Hab 1:5	יְסֻפָּֽר	5608 a	HVPi3ms
Hab 1:6	כִּֽי	3588 a	HC
Hab 1:6	הִנְ/נִ֤י	2005	HTm/Sp1cs
Hab 1:6	מֵקִים֙	6965 b	HVhrmsa
Hab 1:6	אֶת	853	HTo
Hab 1:6	הַ/כַּשְׂדִּ֔ים	d/3778	HTd/Np
Hab 1:6	הַ/גּ֖וֹי	d/1471 a	HTd/Ncmsa
Hab 1:6	הַ/מַּ֣ר	d/4751	HTd/Aamsa
Hab 1:6	וְ/הַ/נִּמְהָ֑ר	c/d/4116 a	HC/Td/VNrmsa
Hab 1:6	הַֽ/הוֹלֵךְ֙	d/1980	HTd/Vqrmsa
Hab 1:6	לְ/מֶרְחֲבֵי	l/4800	HR/Ncmpc
Hab 1:6	אֶ֔רֶץ	776	HNcbsa
Hab 1:6	לָ/רֶ֖שֶׁת	l/3423	HR/Vqc
Hab 1:6	מִשְׁכָּנ֥וֹת	4908	HNcmpa
Hab 1:6	לֹּא	3808	HTn
Hab 1:6	לֽ/וֹ	l	HR/Sp3ms
Hab 1:7	אָיֹ֥ם	366	HAamsa
Hab 1:7	וְ/נוֹרָ֖א	c/3372	HC/VNrmsa
Hab 1:7	ה֑וּא	1931	HPp3ms
Hab 1:7	מִמֶּ֕/נּוּ	4480 a	HR/Sp1cp
Hab 1:7	מִשְׁפָּט֥/וֹ	4941	HNcmsc/Sp3ms
Hab 1:7	וּ/שְׂאֵת֖/וֹ	c/7613	HC/Ncfsc/Sp3ms
Hab 1:7	יֵצֵֽא	3318	HVqi3ms
Hab 1:8	וְ/קַלּ֨וּ	c/7043	HC/Vqp3cp
Hab 1:8	מִ/נְּמֵרִ֜ים	m/5246	HR/Ncmpa
Hab 1:8	סוּסָ֗י/ו	5483 b	HNcmpc/Sp3ms
Hab 1:8	וְ/חַדּוּ֙	c/2300 a	HC/Vqp3cp
Hab 1:8	מִ/זְּאֵ֣בֵי	m/2061	HR/Ncmpc
Hab 1:8	עֶ֔רֶב	6153	HNcmsa
Hab 1:8	וּ/פָ֖שׁוּ	c/6335 a	HC/Vqp3cp
Hab 1:8	פָּֽרָשָׁ֑י/ו	6571 b	HNcmpc/Sp3ms
Hab 1:8	וּ/פָֽרָשָׁי/ו֙	c/6571 b	HC/Ncmpc/Sp3ms
Hab 1:8	מֵ/רָח֣וֹק	m/7350	HR/Aamsa
Hab 1:8	יָבֹ֔אוּ	935	HVqi3mp
Hab 1:8	יָעֻ֕פוּ	5774 a	HVqi3mp
Hab 1:8	כְּ/נֶ֖שֶׁר	k/5404	HR/Ncmsa
Hab 1:8	חָ֥שׁ	2363 a	HVqrmsa
Hab 1:8	לֶ/אֱכֽוֹל	l/398	HR/Vqc
Hab 1:9	כֻּלֹּ/ה֙	3605	HNcmsc/Sp3ms
Hab 1:9	לְ/חָמָ֣ס	l/2555	HR/Ncmsa
Hab 1:9	יָב֔וֹא	935	HVqi3ms
Hab 1:9	מְגַמַּ֥ת	4041	HNcfsc
Hab 1:9	פְּנֵי/הֶ֖ם	6440	HNcbpc/Sp3mp
Hab 1:9	קָדִ֑ימָ/ה	6921	HNcmsa/Sd
Hab 1:9	וַ/יֶּאֱסֹ֥ף	c/622	HC/Vqw3ms
Hab 1:9	כַּ/ח֖וֹל	k/2344	HRd/Ncmsa
Hab 1:9	שֶֽׁבִי	7628 a	HNcbsa
Hab 1:10	וְ/הוּא֙	c/1931	HC/Pp3ms
Hab 1:10	בַּ/מְּלָכִ֣ים	b/4428	HRd/Ncmpa
Hab 1:10	יִתְקַלָּ֔ס	7046	HVti3ms
Hab 1:10	וְ/רֹזְנִ֖ים	c/7336	HC/Vqrmpa
Hab 1:10	מִשְׂחָ֣ק	4890	HNcmsa
Hab 1:10	ל֑/וֹ	l	HR/Sp3ms
Hab 1:10	ה֚וּא	1931	HPp3ms
Hab 1:10	לְ/כָל	l/3605	HR/Ncmsc
Hab 1:10	מִבְצָ֣ר	4013	HNcmsa
Hab 1:10	יִשְׂחָ֔ק	7832	HVqi3ms
Hab 1:10	וַ/יִּצְבֹּ֥ר	c/6651	HC/Vqw3ms
Hab 1:10	עָפָ֖ר	6083	HNcmsa
Hab 1:10	וַֽ/יִּלְכְּדָֽ/הּ	c/3920	HC/Vqw3ms/Sp3fs
Hab 1:11	אָ֣ז	227 a	HD
Hab 1:11	חָלַ֥ף	2498	HVqp3ms
Hab 1:11	ר֛וּחַ	7307	HNcbsa
Hab 1:11	וַֽ/יַּעֲבֹ֖ר	c/5674 a	HC/Vqw3ms
Hab 1:11	וְ/אָשֵׁ֑ם	c/816	HC/Vqp3ms
Hab 1:11	ז֥וּ	2098	HTr
Hab 1:11	כֹח֖/וֹ	3581 b	HNcmsc/Sp3ms
