ref	word	lemma	morph
Zeph 1:1	דְּבַר	1697	HNcmsc
Zeph 1:1	יְהוָ֣ה	3068	HNp
Zeph 1:1	אֲשֶׁ֣ר	834 a	HTr
Zeph 1:1	הָיָ֗ה	1961	HVqp3ms
Zeph 1:1	אֶל	413	HR
Zeph 1:1	צְפַנְיָה֙	6846	HNp
Zeph 1:1	בֶּן	1121 a	HNcmsc
Zeph 1:1	כּוּשִׁ֣י	3570	HNp
Zeph 1:1	בֶן	1121 a	HNcmsc
Zeph 1:1	גְּדַלְיָ֔ה	1436 a	HNp
Zeph 1:1	בֶּן	1121 a	HNcmsc
Zeph 1:1	אֲמַרְיָ֖ה	568	HNp
Zeph 1:1	בֶּן	1121 a	HNcmsc
Zeph 1:1	חִזְקִיָּ֑ה	2396	HNp
Zeph 1:1	בִּ/ימֵ֛י	b/3117	HR/Ncmpc
Zeph 1:1	יֹאשִׁיָּ֥הוּ	2977	HNp
Zeph 1:1	בֶן	1121 a	HNcmsc
Zeph 1:1	אָמ֖וֹן	526	HNp
Zeph 1:1	מֶ֥לֶךְ	4428	HNcmsc
Zeph 1:1	יְהוּדָֽה	3063	HNp
Zeph 1:2	אָסֹ֨ף	622	HVqa
Zeph 1:2	אָסֵ֜ף	5486	HVhi1cs
Zeph 1:2	כֹּ֗ל	3605	HNcmsa
Zeph 1:2	מֵ/עַ֛ל	m/5921 a	HR/R
Zeph 1:2	פְּנֵ֥י	6440	HNcbpc
Zeph 1:2	הָ/אֲדָמָ֖ה	d/127	HTd/Ncfsa
Zeph 1:2	נְאֻם	5002	HNcmsc
Zeph 1:2	יְהוָֽה	3068	HNp
Zeph 1:3	אָסֵ֨ף	622	HVhi1cs
Zeph 1:3	אָדָ֜ם	120	HNcmsa
Zeph 1:3	וּ/בְהֵמָ֗ה	c/929	HC/Ncfsa
Zeph 1:3	אָסֵ֤ף	622	HVhi1cs
Zeph 1:3	עוֹף	5775	HNcmsc
Zeph 1:3	הַ/שָּׁמַ֨יִם֙	d/8064	HTd/Ncmpa
Zeph 1:3	וּ/דְגֵ֣י	c/1709	HC/Ncmpc
Zeph 1:3	הַ/יָּ֔ם	d/3220	HTd/Ncmsa
Zeph 1:3	וְ/הַ/מַּכְשֵׁל֖וֹת	c/d/4384	HC/Td/Ncfpa
Zeph 1:3	אֶת	854	HR
Zeph 1:3	הָ/רְשָׁעִ֑ים	d/7563	HTd/Aampa
Zeph 1:3	וְ/הִכְרַתִּ֣י	c/3772	HC/Vhq1cs
Zeph 1:3	אֶת	853	HTo
Zeph 1:3	הָ/אָדָ֗ם	d/120	HTd/Ncmsa
Zeph 1:3	מֵ/עַ֛ל	m/5921 a	HR/R
Zeph 1:3	פְּנֵ֥י	6440	HNcbpc
Zeph 1:3	הָ/אֲדָמָ֖ה	d/127	HTd/Ncfsa
Zeph 1:3	נְאֻם	5002	HNcmsc
Zeph 1:3	יְהוָֽה	3068	HNp
Zeph 1:4	וְ/נָטִ֤יתִי	c/5186	HC/Vqq1cs
Zeph 1:4	יָדִ/י֙	3027	HNcbsc/Sp1cs
Zeph 1:4	עַל	5921 a	HR
Zeph 1:4	יְהוּדָ֔ה	3063	HNp
Zeph 1:4	וְ/עַ֖ל	c/5921 a	HC/R
Zeph 1:4	כָּל	3605	HNcmsc
Zeph 1:4	יוֹשְׁבֵ֣י	3427	HVqrmpc
Zeph 1:4	יְרוּשָׁלִָ֑ם	3389	HNp
Zeph 1:4	וְ/הִכְרַתִּ֞י	c/3772	HC/Vhq1cs
Zeph 1:4	מִן	4480 a	HR
Zeph 1:4	הַ/מָּק֤וֹם	d/4725	HTd/Ncmsa
Zeph 1:4	הַ/זֶּה֙	d/2088	HTd/Pdxms
Zeph 1:4	אֶת	853	HTo
Zeph 1:4	שְׁאָ֣ר	7605	HNcmsc
Zeph 1:4	הַ/בַּ֔עַל	d/1168 a	HTd/Np
Zeph 1:4	אֶת	853	HTo
Zeph 1:4	שֵׁ֥ם	8034	HNcmsc
