ref	word	lemma	morph
Hag 1:1	בִּ/שְׁנַ֤ת	b/8141	HR/Ncfsc
Hag 1:1	שְׁתַּ֨יִם֙	8147	HAcfda
Hag 1:1	לְ/דָרְיָ֣וֶשׁ	l/1867	HR/Np
Hag 1:1	הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa
Hag 1:1	בַּ/חֹ֨דֶשׁ֙	b/2320	HRd/Ncmsa
Hag 1:1	הַ/שִּׁשִּׁ֔י	d/8345	HTd/Aomsa
Hag 1:1	בְּ/י֥וֹם	b/3117	HR/Ncmsa
Hag 1:1	אֶחָ֖ד	259	HAcmsa
Hag 1:1	לַ/חֹ֑דֶשׁ	l/2320	HRd/Ncmsa
Hag 1:1	הָיָ֨ה	1961	HVqp3ms
Hag 1:1	דְבַר	1697	HNcmsc
Hag 1:1	יְהוָ֜ה	3068	HNp
Hag 1:1	בְּ/יַד	b/3027	HR/Ncbsc
Hag 1:1	חַגַּ֣י	2292 a	HNp
Hag 1:1	הַ/נָּבִ֗יא	d/5030	HTd/Ncmsa
Hag 1:1	אֶל	413	HR
Hag 1:1	זְרֻבָּבֶ֤ל	2216	HNp
Hag 1:1	בֶּן	1121 a	HNcmsc
Hag 1:1	שְׁאַלְתִּיאֵל֙	7597 a	HNp
Hag 1:1	פַּחַ֣ת	6346	HNcmsc
Hag 1:1	יְהוּדָ֔ה	3063	HNp
Hag 1:1	וְ/אֶל	c/413	HC/R
Hag 1:1	יְהוֹשֻׁ֧עַ	3091	HNp
Hag 1:1	בֶּן	1121 a	HNcmsc
Hag 1:1	יְהוֹצָדָ֛ק	3087	HNp
Hag 1:1	הַ/כֹּהֵ֥ן	d/3548	HTd/Ncmsa
Hag 1:1	הַ/גָּד֖וֹל	d/1419 a	HTd/Aamsa
Hag 1:1	לֵ/אמֹֽר	l/559	HR/Vqc
Hag 1:2	כֹּ֥ה	3541	HD
Hag 1:2	אָמַ֛ר	559	HVqp3ms
Hag 1:2	יְהוָ֥ה	3068	HNp
Hag 1:2	צְבָא֖וֹת	6635 b	HNcbpa
Hag 1:2	לֵ/אמֹ֑ר	l/559	HR/Vqc
Hag 1:2	הָ/עָ֤ם	d/5971 a	HTd/Ncmsa
Hag 1:2	הַ/זֶּה֙	d/2088	HTd/Pdxms
Hag 1:2	אָֽמְר֔וּ	559	HVqp3cp
Hag 1:2	לֹ֥א	3808	HTn
Hag 1:2	עֶת	6256	HNcbsc
Hag 1:2	בֹּ֛א	935	HVqc
Hag 1:2	עֶת	6256	HNcbsc
Hag 1:2	בֵּ֥ית	1004 b	HNcmsc
Hag 1:2	יְהוָ֖ה	3068	HNp
Hag 1:2	לְ/הִבָּנֽוֹת	l/1129	HR/VNc
Hag 1:3	וַֽ/יְהִי֙	c/1961	HC/Vqw3ms
Hag 1:3	דְּבַר	1697	HNcmsc
Hag 1:3	יְהוָ֔ה	3068	HNp
Hag 1:3	בְּ/יַד	b/3027	HR/Ncbsc
Hag 1:3	חַגַּ֥י	2292 a	HNp
Hag 1:3	הַ/נָּבִ֖יא	d/5030	HTd/Ncmsa
Hag 1:3	לֵ/אמֹֽר	l/559	HR/Vqc
