ref	word	lemma	morph
Zech 1:1	בַּ/חֹ֨דֶשׁ֙	b/2320	HRd/Ncmsa
Zech 1:1	הַ/שְּׁמִינִ֔י	d/8066	HTd/Aomsa
Zech 1:1	בִּ/שְׁנַ֥ת	b/8141	HR/Ncfsc
Zech 1:1	שְׁתַּ֖יִם	8147	HAcfda
Zech 1:1	לְ/דָרְיָ֑וֶשׁ	l/1867	HR/Np
Zech 1:1	הָיָ֣ה	1961	HVqp3ms
Zech 1:1	דְבַר	1697	HNcmsc
Zech 1:1	יְהוָ֗ה	3068	HNp
Zech 1:1	אֶל	413	HR
Zech 1:1	זְכַרְיָה֙	2148 a	HNp
Zech 1:1	בֶּן	1121 a	HNcmsc
Zech 1:1	בֶּ֣רֶכְיָ֔ה	1296	HNp
Zech 1:1	בֶּן	1121 a	HNcmsc
Zech 1:1	עִדּ֥וֹ	5714	HNp
Zech 1:1	הַ/נָּבִ֖יא	d/5030	HTd/Ncmsa
Zech 1:1	לֵ/אמֹֽר	l/559	HR/Vqc
Zech 1:2	קָצַ֧ף	7107	HVqp3ms
Zech 1:2	יְהוָ֛ה	3068	HNp
Zech 1:2	עַל	5921 a	HR
Zech 1:2	אֲבֽוֹתֵי/כֶ֖ם	1	HNcmpc/Sp2mp
Zech 1:2	קָֽצֶף	7110 a	HNcmsa
Zech 1:3	וְ/אָמַרְתָּ֣	c/559	HC/Vqq2ms
Zech 1:3	אֲלֵ/הֶ֗ם	413	HR/Sp3mp
Zech 1:3	כֹּ֤ה	3541	HD
Zech 1:3	אָמַר֙	559	HVqp3ms
Zech 1:3	יְהוָ֣ה	3068	HNp
Zech 1:3	צְבָא֔וֹת	6635 b	HNcbpa
Zech 1:3	שׁ֣וּבוּ	7725	HVqv2mp
Zech 1:3	אֵלַ֔/י	413	HR/Sp1cs
Zech 1:3	נְאֻ֖ם	5002	HNcmsc
Zech 1:3	יְהוָ֣ה	3068	HNp
Zech 1:3	צְבָא֑וֹת	6635 b	HNcbpa
Zech 1:3	וְ/אָשׁ֣וּב	c/7725	HC/Vqi1cs
Zech 1:3	אֲלֵי/כֶ֔ם	413	HR/Sp2mp
Zech 1:3	אָמַ֖ר	559	HVqp3ms
Zech 1:3	יְהוָ֥ה	3068	HNp
Zech 1:3	צְבָאֽוֹת	6635 b	HNcbpa
Zech 1:4	אַל	408	HTn
Zech 1:4	תִּהְי֣וּ	1961	HVqj2mp
Zech 1:4	כַ/אֲבֹֽתֵי/כֶ֡ם	k/1	HR/Ncmpc/Sp2mp
Zech 1:4	אֲשֶׁ֣ר	834 a	HTr
Zech 1:4	קָרְאֽוּ	7121	HVqp3cp
Zech 1:4	אֲלֵי/הֶם֩	413	HR/Sp3mp
Zech 1:4	הַ/נְּבִיאִ֨ים	d/5030	HTd/Ncmpa
Zech 1:4	הָ/רִֽאשֹׁנִ֜ים	d/7223	HTd/Aampa
Zech 1:4	לֵ/אמֹ֗ר	l/559	HR/Vqc
Zech 1:4	כֹּ֤ה	3541	HD
Zech 1:4	אָמַר֙	559	HVqp3ms
Zech 1:4	יְהוָ֣ה	3068	HNp
Zech 1:4	צְבָא֔וֹת	6635 b	HNcbpa
Zech 1:4	שׁ֤וּבוּ	7725	HVqv2mp
Zech 1:4	נָא֙	4994	HTe
