ref	word	lemma	morph
Mal 1:1	מַשָּׂ֥א	4853 b	HNcmsa
Mal 1:1	דְבַר	1697	HNcmsc
Mal 1:1	יְהוָ֖ה	3068	HNp
Mal 1:1	אֶל	413	HR
Mal 1:1	יִשְׂרָאֵ֑ל	3478	HNp
Mal 1:1	בְּ/יַ֖ד	b/3027	HR/Ncbsc
Mal 1:1	מַלְאָכִֽי	4401	HNp
Mal 1:2	אָהַ֤בְתִּי	157	HVqp1cs
Mal 1:2	אֶתְ/כֶם֙	853	HTo/Sp2mp
Mal 1:2	אָמַ֣ר	559	HVqp3ms
Mal 1:2	יְהוָ֔ה	3068	HNp
Mal 1:2	וַ/אֲמַרְתֶּ֖ם	c/559	HC/Vqp2mp
Mal 1:2	בַּ/מָּ֣ה	b/4100	HR/Ti
Mal 1:2	אֲהַבְתָּ֑/נוּ	157	HVqp2ms/Sp1cp
Mal 1:2	הֲ/לוֹא	i/3808	HTi/Tn
Mal 1:2	אָ֨ח	251	HNcmsa
Mal 1:2	עֵשָׂ֤ו	6215	HNp
Mal 1:2	לְ/יַֽעֲקֹב֙	l/3290	HR/Np
Mal 1:2	נְאֻם	5002	HNcmsc
Mal 1:2	יְהוָ֔ה	3068	HNp
Mal 1:2	וָ/אֹהַ֖ב	c/157	HC/Vqw1cs
Mal 1:2	אֶֽת	853	HTo
Mal 1:2	יַעֲקֹֽב	3290	HNp
Mal 1:3	וְ/אֶת	c/853	HC/To
Mal 1:3	עֵשָׂ֖ו	6215	HNp
Mal 1:3	שָׂנֵ֑אתִי	8130	HVqp1cs
Mal 1:3	וָ/אָשִׂ֤ים	c/7760 a	HC/Vqw1cs
Mal 1:3	אֶת	853	HTo
Mal 1:3	הָרָי/ו֙	2022	HNcmpc/Sp3ms
Mal 1:3	שְׁמָמָ֔ה	8077 a	HNcfsa
Mal 1:3	וְ/אֶת	c/853	HC/To
Mal 1:3	נַחֲלָת֖/וֹ	5159	HNcfsc/Sp3ms
Mal 1:3	לְ/תַנּ֥וֹת	l/8568	HR/Ncbpc
Mal 1:3	מִדְבָּֽר	4057 b	HNcmsa
Mal 1:4	כִּֽי	3588 a	HC
Mal 1:4	תֹאמַ֨ר	559	HVqi3fs
Mal 1:4	אֱד֜וֹם	123	HNp
Mal 1:4	רֻשַּׁ֗שְׁנוּ	7567	HVPp1cp
Mal 1:4	וְ/נָשׁוּב֙	c/7725	HC/Vqi1cp
Mal 1:4	וְ/נִבְנֶ֣ה	c/1129	HC/Vqi1cp
Mal 1:4	חֳרָב֔וֹת	2723	HNcfpa
Mal 1:4	כֹּ֤ה	3541	HD
Mal 1:4	אָמַר֙	559	HVqp3ms
Mal 1:4	יְהוָ֣ה	3068	HNp
Mal 1:4	צְבָא֔וֹת	6635 b	HNcbpa
Mal 1:4	הֵ֥מָּה	1992	HPp3mp
Mal 1:4	יִבְנ֖וּ	1129	HVqi3mp
Mal 1:4	וַ/אֲנִ֣י	c/589	HC/Pp1cs
Mal 1:4	אֶהֱר֑וֹס	2040	HVqi1cs
Mal 1:4	וְ/קָרְא֤וּ	c/7121	HC/Vqq3cp
Mal 1:4	לָ/הֶם֙	l	HR/Sp3mp
Mal 1:4	גְּב֣וּל	1366	HNcmsc
Mal 1:4	רִשְׁעָ֔ה	7564	HNcfsa
Mal 1:4	וְ/הָ/עָ֛ם	c/d/5971 a	HC/Td/Ncmsa
Mal 1:4	אֲשֶׁר	834 a	HTr
Mal 1:4	זָעַ֥ם	2194	HVqp3ms
Mal 1:4	יְהוָ֖ה	3068	HNp
Mal 1:4	עַד	5704	HR
Mal 1:4	עוֹלָֽם	5769	HNcmsa
Mal 1:5	וְ/עֵינֵי/כֶ֖ם	c/5869 a	HC/Ncbdc/Sp2mp
Mal 1:5	תִּרְאֶ֑ינָה	7200	HVqi3fp
Mal 1:5	וְ/אַתֶּ֤ם	c/859 d	HC/Pp2mp
Mal 1:5	תֹּֽאמְרוּ֙	559	HVqi2mp
Mal 1:5	יִגְדַּ֣ל	1431	HVqj3ms
Mal 1:5	יְהוָ֔ה	3068	HNp
Mal 1:5	מֵ/עַ֖ל	m/5921 a	HR/R
Mal 1:5	לִ/גְב֥וּל	l/1366	HR/Ncmsc
Mal 1:5	יִשְׂרָאֵֽל	3478	HNp
Mal 1:6	בֵּ֛ן	1121 a	HNcmsa
Mal 1:6	יְכַבֵּ֥ד	3513	HVpi3ms
Mal 1:6	אָ֖ב	1	HNcmsa
Mal 1:6	וְ/עֶ֣בֶד	c/5650	HC/Ncmsa
Mal 1:6	אֲדֹנָ֑י/ו	113	HNcmpc/Sp3ms
Mal 1:6	וְ/אִם	c/518 a	HC/C
Mal 1:6	אָ֣ב	1	HNcmsa
Mal 1:6	אָ֣נִי	589	HPp1cs
Mal 1:6	אַיֵּ֣ה	346	HTi
Mal 1:6	כְבוֹדִ֡/י	3519	HNcbsc/Sp1cs
Mal 1:6	וְ/אִם	c/518 a	HC/C
Mal 1:6	אֲדוֹנִ֣ים	113	HNcmpa
Mal 1:6	אָנִי֩	589	HPp1cs
Mal 1:6	אַיֵּ֨ה	346	HTi
Mal 1:6	מוֹרָאִ֜/י	4172 a	HNcmsc/Sp1cs
Mal 1:6	אָמַ֣ר	559	HVqp3ms
Mal 1:6	יְהוָ֣ה	3068	HNp
Mal 1:6	צְבָא֗וֹת	6635 b	HNcbpa
Mal 1:6	לָ/כֶם֙	l	HR/Sp2mp
Mal 1:6	הַ/כֹּֽהֲנִים֙	d/3548	HTd/Ncmpa
Mal 1:6	בּוֹזֵ֣י	959	HVqrmpc
Mal 1:6	שְׁמִ֔/י	8034	HNcmsc/Sp1cs
Mal 1:6	וַ/אֲמַרְתֶּ֕ם	c/559	HC/Vqq2mp
Mal 1:6	בַּ/מֶּ֥ה	b/4100	HR/Ti
Mal 1:6	בָזִ֖ינוּ	959	HVqp1cp
Mal 1:6	אֶת	853	HTo
Mal 1:6	שְׁמֶֽ/ךָ	8034	HNcmsc/Sp2ms
Mal 1:7	מַגִּישִׁ֤ים	5066	HVhrmpa
Mal 1:7	עַֽל	5921 a	HR
Mal 1:7	מִזְבְּחִ/י֙	4196	HNcmsc/Sp1cs
Mal 1:7	לֶ֣חֶם	3899	HNcbsa
Mal 1:7	מְגֹאָ֔ל	1351	HVPsmsa
Mal 1:7	וַ/אֲמַרְתֶּ֖ם	c/559	HC/Vqq2mp
Mal 1:7	בַּ/מֶּ֣ה	b/4100	HR/Ti
Mal 1:7	גֵֽאַלְנ֑וּ/ךָ	1351	HVpp1cp/Sp2ms
Mal 1:7	בֶּ/אֱמָרְ/כֶ֕ם	b/559	HR/Vqc/Sp2mp
Mal 1:7	שֻׁלְחַ֥ן	7979	HNcmsc
Mal 1:7	יְהוָ֖ה	3068	HNp
Mal 1:7	נִבְזֶ֥ה	959	HVNrmsa
Mal 1:7	הֽוּא	1931	HPp3ms
Mal 1:8	וְ/כִֽי	c/3588 a	HC/C
Mal 1:8	תַגִּשׁ֨וּ/ן	5066	HVhi2mp/Sn
Mal 1:8	עִוֵּ֤ר	5787	HAamsa
Mal 1:8	לִ/זְבֹּ֨חַ֙	l/2076	HR/Vqc
Mal 1:8	אֵ֣ין	369	HTn
Mal 1:8	רָ֔ע	7451 a	HAamsa
Mal 1:8	וְ/כִ֥י	c/3588 a	HC/C
Mal 1:8	תַגִּ֛ישׁוּ	5066	HVhi2mp
