ref	word	lemma	morph
Ps 1:1	אַ֥שְֽׁרֵי	835	HNcmpa
Ps 1:1	הָ/אִ֗ישׁ	d/376	HTd/Ncmsa
Ps 1:1	אֲשֶׁ֤ר	834 a	HTr
Ps 1:1	לֹ֥א	3808	HTn
Ps 1:1	הָלַךְ֮	1980	HVqp3ms
Ps 1:1	בַּ/עֲצַ֪ת	b/6098	HR/Ncfsc
Ps 1:1	רְשָׁ֫עִ֥ים	7563	HAampa
Ps 1:1	וּ/בְ/דֶ֣רֶךְ	c/b/1870	HC/R/Ncbsc
Ps 1:1	חַ֭טָּאִים	2400	HAampa
Ps 1:1	לֹ֥א	3808	HTn
Ps 1:1	עָמָ֑ד	5975	HVqp3ms
Ps 1:1	וּ/בְ/מוֹשַׁ֥ב	c/b/4186	HC/R/Ncmsc
Ps 1:1	לֵ֝צִ֗ים	3887	HAampa
Ps 1:1	לֹ֣א	3808	HTn
Ps 1:1	יָשָֽׁב	3427	HVqp3ms
Ps 1:2	כִּ֤י	3588 a	HC
Ps 1:2	אִ֥ם	518 a	HC
Ps 1:2	בְּ/תוֹרַ֥ת	b/8451	HR/Ncfsc
Ps 1:2	יְהוָ֗ה	3068	HNp
Ps 1:2	חֶ֫פְצ֥/וֹ	2656	HNcmsc/Sp3ms
Ps 1:2	וּֽ/בְ/תוֹרָת֥/וֹ	c/b/8451	HC/R/Ncfsc/Sp3ms
Ps 1:2	יֶהְגֶּ֗ה	1897	HVqi3ms
Ps 1:2	יוֹמָ֥ם	3119	HD
Ps 1:2	וָ/לָֽיְלָה	c/3915	HC/Ncmsa
Ps 1:3	וְֽ/הָיָ֗ה	c/1961	HC/Vqq3ms
Ps 1:3	כְּ/עֵץ֮	k/6086	HR/Ncmsa
Ps 1:3	שָׁת֪וּל	8362	HVqsmsa
Ps 1:3	עַֽל	5921 a	HR
Ps 1:3	פַּלְגֵ֫י	6388	HNcmpc
Ps 1:3	מָ֥יִם	4325	HNcmpa
Ps 1:3	אֲשֶׁ֤ר	834 a	HTr
