ref	word	lemma	morph
Job 1:1	אִ֛ישׁ	376	HNcmsa
Job 1:1	הָיָ֥ה	1961	HVqp3ms
Job 1:1	בְ/אֶֽרֶץ	b/776	HR/Ncbsc
Job 1:1	ע֖וּץ	5780	HNp
Job 1:1	אִיּ֣וֹב	347	HNp
Job 1:1	שְׁמ֑/וֹ	8034	HNcmsc/Sp3ms
Job 1:1	וְ/הָיָ֣ה	c/1961	HC/Vqp3ms
Job 1:1	הָ/אִ֣ישׁ	d/376	HTd/Ncmsa
Job 1:1	הַ/ה֗וּא	d/1931	HTd/Pp3ms
Job 1:1	תָּ֧ם	8535	HAamsa
Job 1:1	וְ/יָשָׁ֛ר	c/3477	HC/Aamsa
Job 1:1	וִ/ירֵ֥א	c/3373	HC/Aamsc
Job 1:1	אֱלֹהִ֖ים	430	HNcmpa
Job 1:1	וְ/סָ֥ר	c/5493	HC/Vqrmsa
Job 1:1	מֵ/רָֽע	m/7451 b	HR/Aamsa
Job 1:2	וַ/יִּוָּ֥לְדוּ	c/3205	HC/VNw3mp
Job 1:2	ל֛/וֹ	l	HR/Sp3ms
Job 1:2	שִׁבְעָ֥ה	7651	HAcmsa
Job 1:2	בָנִ֖ים	1121 a	HNcmpa
Job 1:2	וְ/שָׁל֥וֹשׁ	c/7969	HC/Acfsa
Job 1:2	בָּנֽוֹת	1323	HNcfpa
Job 1:3	וַ/יְהִ֣י	c/1961	HC/Vqw3ms
Job 1:3	מִ֠קְנֵ/הוּ	4735	HNcmsc/Sp3ms
Job 1:3	שִֽׁבְעַ֨ת	7651	HAcmsc
Job 1:3	אַלְפֵי	505	HAcbpc
Job 1:3	צֹ֜אן	6629	HNcbsa
Job 1:3	וּ/שְׁלֹ֧שֶׁת	c/7969	HC/Acmsc
Job 1:3	אַלְפֵ֣י	505	HAcbpc
Job 1:3	גְמַלִּ֗ים	1581	HNcmpa
Job 1:3	וַ/חֲמֵ֨שׁ	c/2568	HC/Acfsa
Job 1:3	מֵא֤וֹת	3967	HAcbpa
Job 1:3	צֶֽמֶד	6776	HNcmsc
Job 1:3	בָּקָר֙	1241	HNcbsa
Job 1:3	וַ/חֲמֵ֣שׁ	c/2568	HC/Acfsa
Job 1:3	מֵא֣וֹת	3967	HAcbpa
Job 1:3	אֲתוֹנ֔וֹת	860	HNcfpa
Job 1:3	וַ/עֲבֻדָּ֖ה	c/5657	HC/Ncfsa
Job 1:3	רַבָּ֣ה	7227 a	HAafsa
Job 1:3	מְאֹ֑ד	3966	HD
Job 1:3	וַ/יְהִי֙	c/1961	HC/Vqw3ms
Job 1:3	הָ/אִ֣ישׁ	d/376	HTd/Ncmsa
Job 1:3	הַ/ה֔וּא	d/1931	HTd/Pp3ms
Job 1:3	גָּד֖וֹל	1419 a	HAamsa
Job 1:3	מִ/כָּל	m/3605	HR/Ncmsc
Job 1:3	בְּנֵי	1121 a	HNcmpc
Job 1:3	קֶֽדֶם	6924 a	HNcmsa
Job 1:4	וְ/הָלְכ֤וּ	c/1980	HC/Vqp3cp
Job 1:4	בָנָי/ו֙	1121 a	HNcmpc/Sp3ms
Job 1:4	וְ/עָשׂ֣וּ	c/6213 a	HC/Vqp3cp
Job 1:4	מִשְׁתֶּ֔ה	4960	HNcmsa
Job 1:4	בֵּ֖ית	1004 b	HNcmsc
Job 1:4	אִ֣ישׁ	376	HNcmsa
Job 1:4	יוֹמ֑/וֹ	3117	HNcmsc/Sp3ms
Job 1:4	וְ/שָׁלְח֗וּ	c/7971	HC/Vqp3cp
Job 1:4	וְ/קָרְאוּ֙	c/7121	HC/Vqp3cp
Job 1:4	לִ/שְׁלֹ֣שֶׁת	l/7969	HR/Acmsc
Job 1:4	אחיתי/הם	269	HNcfpc/Sp3mp
Job 1:4	לֶ/אֱכֹ֥ל	l/398	HR/Vqc
Job 1:4	וְ/לִ/שְׁתּ֖וֹת	c/l/8354	HC/R/Vqc
Job 1:4	עִמָּ/הֶֽם	5973 a	HR/Sp3mp
Job 1:5	וַ/יְהִ֡י	c/1961	HC/Vqw3ms
Job 1:5	כִּ֣י	3588 a	HC
Job 1:5	הִקִּיפֽוּ֩	5362 b	HVhp3cp
Job 1:5	יְמֵ֨י	3117	HNcmpc
Job 1:5	הַ/מִּשְׁתֶּ֜ה	d/4960	HTd/Ncmsa
Job 1:5	וַ/יִּשְׁלַ֧ח	c/7971	HC/Vqw3ms
Job 1:5	אִיּ֣וֹב	347	HNp
Job 1:5	וַֽ/יְקַדְּשֵׁ֗/ם	c/6942	HC/Vpw3ms/Sp3mp
Job 1:5	וְ/הִשְׁכִּ֣ים	c/7925	HC/Vhp3ms
Job 1:5	בַּ/בֹּקֶר֮	b/1242	HRd/Ncmsa
Job 1:5	וְ/הֶעֱלָ֣ה	c/5927	HC/Vhp3ms
Job 1:5	עֹלוֹת֮	5930 a	HNcfpa
Job 1:5	מִסְפַּ֣ר	4557	HNcmsc
Job 1:5	כֻּלָּ/ם֒	3605	HNcmsc/Sp3mp
Job 1:5	כִּ֚י	3588 a	HC
Job 1:5	אָמַ֣ר	559	HVqp3ms
Job 1:5	אִיּ֔וֹב	347	HNp
Job 1:5	אוּלַי֙	194	HD
Job 1:5	חָטְא֣וּ	2398	HVqp3cp
Job 1:5	בָנַ֔/י	1121 a	HNcmpc/Sp1cs
Job 1:5	וּ/בֵרֲכ֥וּ	c/1288	HC/Vpp3cp
Job 1:5	אֱלֹהִ֖ים	430	HNcmpa
Job 1:5	בִּ/לְבָבָ֑/ם	b/3824	HR/Ncmsc/Sp3mp
Job 1:5	כָּ֛כָה	3602	HD
Job 1:5	יַעֲשֶׂ֥ה	6213 a	HVqi3ms
Job 1:5	אִיּ֖וֹב	347	HNp
Job 1:5	כָּל	3605	HNcmsc
Job 1:5	הַ/יָּמִֽים	d/3117	HTd/Ncmpa
Job 1:6	וַ/יְהִ֣י	c/1961	HC/Vqw3ms
Job 1:6	הַ/יּ֔וֹם	d/3117	HTd/Ncmsa
Job 1:6	וַ/יָּבֹ֨אוּ֙	c/935	HC/Vqw3mp
Job 1:6	בְּנֵ֣י	1121 a	HNcmpc
Job 1:6	הָ/אֱלֹהִ֔ים	d/430	HTd/Ncmpa
Job 1:6	לְ/הִתְיַצֵּ֖ב	l/3320	HR/Vtc
Job 1:6	עַל	5921 a	HR
Job 1:6	יְהוָ֑ה	3068	HNp
Job 1:6	וַ/יָּב֥וֹא	c/935	HC/Vqw3ms
Job 1:6	גַֽם	1571	HD
Job 1:6	הַ/שָּׂטָ֖ן	d/7854	HTd/Ncmsa
Job 1:6	בְּ/תוֹכָֽ/ם	b/8432	HR/Ncmsc/Sp3mp
Job 1:7	וַ/יֹּ֧אמֶר	c/559	HC/Vqw3ms
Job 1:7	יְהוָ֛ה	3068	HNp
