ref	word	lemma	morph
Prov 1:1	מִ֭שְׁלֵי	4912	HNcmpc
Prov 1:1	שְׁלֹמֹ֣ה	8010	HNp
Prov 1:1	בֶן	1121 a	HNcmsc
Prov 1:1	דָּוִ֑ד	1732	HNp
Prov 1:1	מֶ֝֗לֶךְ	4428	HNcmsc
Prov 1:1	יִשְׂרָאֵֽל	3478	HNp
Prov 1:2	לָ/דַ֣עַת	l/3045	HR/Vqc
Prov 1:2	חָכְמָ֣ה	2451	HNcfsa
Prov 1:2	וּ/מוּסָ֑ר	c/4148	HC/Ncmsa
Prov 1:2	לְ֝/הָבִ֗ין	l/995	HR/Vhc
Prov 1:2	אִמְרֵ֥י	561	HNcmpc
Prov 1:2	בִינָֽה	998	HNcfsa
Prov 1:3	לָ֭/קַחַת	l/3947	HR/Vqc
Prov 1:3	מוּסַ֣ר	4148	HNcmsc
Prov 1:3	הַשְׂכֵּ֑ל	7919 a	HVha
Prov 1:3	צֶ֥דֶק	6664	HNcmsa
Prov 1:3	וּ֝/מִשְׁפָּ֗ט	c/4941	HC/Ncmsa
Prov 1:3	וּ/מֵישָׁרִֽים	c/4339	HC/Ncmpa
Prov 1:4	לָ/תֵ֣ת	l/5414	HR/Vqc
Prov 1:4	לִ/פְתָאיִ֣ם	l/6612 a	HR/Ncmpa
Prov 1:4	עָרְמָ֑ה	6195	HNcfsa
Prov 1:4	לְ֝/נַ֗עַר	l/5288	HR/Ncmsa
Prov 1:4	דַּ֣עַת	1847	HNcfsa
Prov 1:4	וּ/מְזִמָּֽה	c/4209	HC/Ncfsa
Prov 1:5	יִשְׁמַ֣ע	8085	HVqi3ms
Prov 1:5	חָ֭כָם	2450	HNcmsa
Prov 1:5	וְ/י֣וֹסֶף	c/3254	HC/Vhi3ms
Prov 1:5	לֶ֑קַח	3948	HNcmsa
Prov 1:5	וְ֝/נָב֗וֹן	c/995	HC/VNrmsa
Prov 1:5	תַּחְבֻּל֥וֹת	8458	HNcfpa
Prov 1:5	יִקְנֶֽה	7069	HVqi3ms
Prov 1:6	לְ/הָבִ֣ין	l/995	HR/Vhc
Prov 1:6	מָ֭שָׁל	4912	HNcmsa
Prov 1:6	וּ/מְלִיצָ֑ה	c/4426	HC/Ncfsa
Prov 1:6	דִּבְרֵ֥י	1697	HNcmpc
Prov 1:6	חֲ֝כָמִ֗ים	2450	HAampa
Prov 1:6	וְ/חִידֹתָֽ/ם	c/2420	HC/Ncfpc/Sp3mp
Prov 1:7	יִרְאַ֣ת	3374	HNcfsc
Prov 1:7	יְ֭הוָה	3068	HNp
Prov 1:7	רֵאשִׁ֣ית	7225	HNcfsc
Prov 1:7	דָּ֑עַת	1847	HNcfsa
Prov 1:7	חָכְמָ֥ה	2451	HNcfsa
Prov 1:7	וּ֝/מוּסָ֗ר	c/4148	HC/Ncmsa
Prov 1:7	אֱוִילִ֥ים	191	HAampa
Prov 1:7	בָּֽזוּ	936	HVqp3cp
Prov 1:8	שְׁמַ֣ע	8085	HVqv2ms
Prov 1:8	בְּ֭נִ/י	1121 a	HNcmsc/Sp1cs
Prov 1:8	מוּסַ֣ר	4148	HNcmsc
Prov 1:8	אָבִ֑י/ךָ	1	HNcmsc/Sp2ms
Prov 1:8	וְ/אַל	c/408	HC/Tn
Prov 1:8	תִּ֝טֹּ֗שׁ	5203	HVqj2ms
Prov 1:8	תּוֹרַ֥ת	8451	HNcfsc
Prov 1:8	אִמֶּֽ/ךָ	517	HNcfsc/Sp2ms
Prov 1:9	כִּ֤י	3588 a	HC
Prov 1:9	לִוְיַ֤ת	3880	HNcfsc
Prov 1:9	חֵ֓ן	2580	HNcmsa
Prov 1:9	הֵ֬ם	1992	HPp3mp
Prov 1:9	לְ/רֹאשֶׁ֑/ךָ	l/7218 a	HR/Ncmsc/Sp2ms
Prov 1:9	וַ֝/עֲנָקִ֗ים	c/6060 b	HC/Ncmpa
Prov 1:9	לְ/גַרְגְּרֹתֶֽי/ךָ	l/1621	HR/Ncfpc/Sp2ms
Prov 1:10	בְּנִ֡/י	1121 a	HNcmsc/Sp1cs
Prov 1:10	אִם	518 a	HC
