ref	word	lemma	morph
Ruth 1:1	וַ/יְהִ֗י	c/1961	HC/Vqw3ms
Ruth 1:1	בִּ/ימֵי֙	b/3117	HR/Ncmpc
Ruth 1:1	שְׁפֹ֣ט	8199	HVqc
Ruth 1:1	הַ/שֹּׁפְטִ֔ים	d/8199	HTd/Vqrmpa
Ruth 1:1	וַ/יְהִ֥י	c/1961	HC/Vqw3ms
Ruth 1:1	רָעָ֖ב	7458	HNcmsa
Ruth 1:1	בָּ/אָ֑רֶץ	b/776	HRd/Ncbsa
Ruth 1:1	וַ/יֵּ֨לֶךְ	c/3212	HC/Vqw3ms
Ruth 1:1	אִ֜ישׁ	376	HNcmsa
Ruth 1:1	מִ/בֵּ֧ית	m/1035+	HR/Np
Ruth 1:1	לֶ֣חֶם	1035	HNp
Ruth 1:1	יְהוּדָ֗ה	3063	HNp
Ruth 1:1	לָ/גוּר֙	l/1481 a	HR/Vqc
Ruth 1:1	בִּ/שְׂדֵ֣י	b/7704 b	HR/Ncmpc
Ruth 1:1	מוֹאָ֔ב	4124	HNp
Ruth 1:1	ה֥וּא	1931	HPp3ms
Ruth 1:1	וְ/אִשְׁתּ֖/וֹ	c/802	HC/Ncfsc/Sp3ms
Ruth 1:1	וּ/שְׁנֵ֥י	c/8147	HC/Acmdc
Ruth 1:1	בָנָֽי/ו	1121 a	HNcmpc/Sp3ms
Ruth 1:2	וְ/שֵׁ֣ם	c/8034	HC/Ncmsc
Ruth 1:2	הָ/אִ֣ישׁ	d/376	HTd/Ncmsa
Ruth 1:2	אֱֽלִימֶ֡לֶךְ	458	HNp
Ruth 1:2	וְ/שֵׁם֩	c/8034	HC/Ncmsc
Ruth 1:2	אִשְׁתּ֨/וֹ	802	HNcfsc/Sp3ms
Ruth 1:2	נָעֳמִ֜י	5281	HNp
Ruth 1:2	וְ/שֵׁ֥ם	c/8034	HC/Ncmsc
Ruth 1:2	שְׁנֵֽי	8147	HAcmdc
Ruth 1:2	בָנָ֣י/ו	1121 a	HNcmpc/Sp3ms
Ruth 1:2	מַחְל֤וֹן	4248	HNp
Ruth 1:2	וְ/כִלְיוֹן֙	c/3630	HC/Np
Ruth 1:2	אֶפְרָתִ֔ים	673	HNgmpa
Ruth 1:2	מִ/בֵּ֥ית	m/1035+	HR/Np
Ruth 1:2	לֶ֖חֶם	1035	HNp
Ruth 1:2	יְהוּדָ֑ה	3063	HNp
Ruth 1:2	וַ/יָּבֹ֥אוּ	c/935	HC/Vqw3mp
Ruth 1:2	שְׂדֵי	7704 b	HNcmpc
Ruth 1:2	מוֹאָ֖ב	4124	HNp
Ruth 1:2	וַ/יִּֽהְיוּ	c/1961	HC/Vqw3mp
