ref	word	lemma	morph
Song 1:1	שִׁ֥יר	7892 a	HNcbsc
Song 1:1	הַ/שִּׁירִ֖ים	d/7892 a	HTd/Ncbpa
Song 1:1	אֲשֶׁ֥ר	834 a	HTr
Song 1:1	לִ/שְׁלֹמֹֽה	l/8010	HR/Np
Song 1:2	יִשָּׁקֵ֨/נִי֙	5401 a	HVqi3ms/Sp1cs
Song 1:2	מִ/נְּשִׁיק֣וֹת	m/5390	HR/Ncfpc
Song 1:2	פִּ֔י/הוּ	6310	HNcmsc/Sp3ms
Song 1:2	כִּֽי	3588 a	HC
Song 1:2	טוֹבִ֥ים	2896 a	HAampa
Song 1:2	דֹּדֶ֖י/ךָ	1730	HNcmpc/Sp2ms
Song 1:2	מִ/יָּֽיִן	m/3196	HR/Ncmsa
Song 1:3	לְ/רֵ֨יחַ֙	l/7381	HR/Ncmsa
Song 1:3	שְׁמָנֶ֣י/ךָ	8081	HNcmpc/Sp2ms
Song 1:3	טוֹבִ֔ים	2896 a	HAampa
Song 1:3	שֶׁ֖מֶן	8081	HNcmsa
Song 1:3	תּוּרַ֣ק	7324	HVHi3fs
Song 1:3	שְׁמֶ֑/ךָ	8034	HNcmsc/Sp2ms
Song 1:3	עַל	5921 a	HR
Song 1:3	כֵּ֖ן	3651 c	HTm
Song 1:3	עֲלָמ֥וֹת	5959	HNcfpa
Song 1:3	אֲהֵבֽוּ/ךָ	157	HVqp3cp/Sp2ms
Song 1:4	מָשְׁכֵ֖/נִי	4900	HVqv2ms/Sp1cs
Song 1:4	אַחֲרֶ֣י/ךָ	310 a	HR/Sp2ms
Song 1:4	נָּר֑וּצָה	7323	HVqh1cp
Song 1:4	הֱבִיאַ֨/נִי	935	HVhp3ms/Sp1cs
Song 1:4	הַ/מֶּ֜לֶךְ	d/4428	HTd/Ncmsa
Song 1:4	חֲדָרָ֗י/ו	2315	HNcmpc/Sp3ms
Song 1:4	נָגִ֤ילָה	1523	HVqh1cp
Song 1:4	וְ/נִשְׂמְחָה֙	c/8055	HC/Vqh1cp
Song 1:4	בָּ֔/ךְ	b	HR/Sp2fs
Song 1:4	נַזְכִּ֤ירָה	2142	HVhh1cp
Song 1:4	דֹדֶ֨י/ךָ֙	1730	HNcmpc/Sp2ms
Song 1:4	מִ/יַּ֔יִן	m/3196	HR/Ncmsa
Song 1:4	מֵישָׁרִ֖ים	4339	HNcmpa
Song 1:4	אֲהֵבֽוּ/ךָ	157	HVqp3cp/Sp2ms
Song 1:5	שְׁחוֹרָ֤ה	7838	HAafsa
Song 1:5	אֲנִי֙	589	HPp1cs
Song 1:5	וְֽ/נָאוָ֔ה	c/5000	HC/Aafsa
Song 1:5	בְּנ֖וֹת	1323	HNcfpc
Song 1:5	יְרוּשָׁלִָ֑ם	3389	HNp
Song 1:5	כְּ/אָהֳלֵ֣י	k/168	HR/Ncmpc
Song 1:5	קֵדָ֔ר	6938	HNp
Song 1:5	כִּ/ירִיע֖וֹת	k/3407	HR/Ncfpc
Song 1:5	שְׁלֹמֹֽה	8010	HNp
Song 1:6	אַל	408	HTn
Song 1:6	תִּרְא֨וּ/נִי֙	7200	HVqj2mp/Sp1cs
Song 1:6	שֶׁ/אֲנִ֣י	s/589	HTr/Pp1cs
Song 1:6	שְׁחַרְחֹ֔רֶת	7840	HAafsa
Song 1:6	שֶׁ/שֱּׁזָפַ֖תְ/נִי	s/7805	HTr/Vqp3fs/Sp1cs
Song 1:6	הַ/שָּׁ֑מֶשׁ	d/8121	HTd/Ncbsa
Song 1:6	בְּנֵ֧י	1121 a	HNcmpc
Song 1:6	אִמִּ֣/י	517	HNcfsc/Sp1cs
Song 1:6	נִֽחֲרוּ	2787	HVNp3cp
Song 1:6	בִ֗/י	b	HR/Sp1cs
Song 1:6	שָׂמֻ֨/נִי֙	7760 a	HVqp3cp/Sp1cs
Song 1:6	נֹטֵרָ֣ה	5201	HVqrfsa
Song 1:6	אֶת	853	HTo
Song 1:6	הַ/כְּרָמִ֔ים	d/3754	HTd/Ncbpa
Song 1:6	כַּרְמִ֥/י	3754	HNcbsc/Sp1cs
Song 1:6	שֶׁ/לִּ֖/י	s/l	HTr/R/Sp1cs
Song 1:6	לֹ֥א	3808	HTn
Song 1:6	נָטָֽרְתִּי	5201	HVqp1cs
Song 1:7	הַגִּ֣ידָ/ה	5046	HVhv2ms/Sh
Song 1:7	לִּ֗/י	l	HR/Sp1cs
Song 1:7	שֶׁ֤/אָהֲבָה֙	s/157	HTr/Vqp3fs
Song 1:7	נַפְשִׁ֔/י	5315	HNcbsc/Sp1cs
Song 1:7	אֵיכָ֣ה	349 b	HTi
Song 1:7	תִרְעֶ֔ה	7462 b	HVqi2ms
Song 1:7	אֵיכָ֖ה	349 b	HTi
Song 1:7	תַּרְבִּ֣יץ	7257	HVhi2ms
Song 1:7	בַּֽ/צָּהֳרָ֑יִם	b/6672 a	HRd/Ncmpa
Song 1:7	שַׁ/לָּ/מָ֤ה	s/l/4100	HTr/R/Ti
Song 1:7	אֶֽהְיֶה֙	1961	HVqi1cs
Song 1:7	כְּ/עֹ֣טְיָ֔ה	k/5844 a	HR/Vqrfsa
Song 1:7	עַ֖ל	5921 a	HR
Song 1:7	עֶדְרֵ֥י	5739	HNcmpc
Song 1:7	חֲבֵרֶֽי/ךָ	2270	HNcmpc/Sp2ms
Song 1:8	אִם	518 a	HC
Song 1:8	לֹ֤א	3808	HTn
Song 1:8	תֵדְעִי֙	3045	HVqi2fs
