ref	word	lemma	morph
Eccl 1:1	דִּבְרֵי֙	1697	HNcmpc
Eccl 1:1	קֹהֶ֣לֶת	6953	HNcmsa
Eccl 1:1	בֶּן	1121 a	HNcmsc
Eccl 1:1	דָּוִ֔ד	1732	HNp
Eccl 1:1	מֶ֖לֶךְ	4428	HNcmsa
Eccl 1:1	בִּ/ירוּשָׁלִָֽם	b/3389	HR/Np
Eccl 1:2	הֲבֵ֤ל	1892	HNcmsc
Eccl 1:2	הֲבָלִים֙	1892	HNcmpa
Eccl 1:2	אָמַ֣ר	559	HVqp3ms
Eccl 1:2	קֹהֶ֔לֶת	6953	HNcmsa
Eccl 1:2	הֲבֵ֥ל	1892	HNcmsc
Eccl 1:2	הֲבָלִ֖ים	1892	HNcmpa
Eccl 1:2	הַ/כֹּ֥ל	d/3605	HTd/Ncmsa
Eccl 1:2	הָֽבֶל	1892	HNcmsa
Eccl 1:3	מַה	4100	HTi
Eccl 1:3	יִּתְר֖וֹן	3504	HNcmsa
Eccl 1:3	לָֽ/אָדָ֑ם	l/120	HRd/Ncmsa
Eccl 1:3	בְּ/כָל	b/3605	HR/Ncmsc
Eccl 1:3	עֲמָל֔/וֹ	5999	HNcbsc/Sp3ms
Eccl 1:3	שֶֽׁ/יַּעֲמֹ֖ל	s/5998	HTr/Vqi3ms
Eccl 1:3	תַּ֥חַת	8478	HR
Eccl 1:3	הַ/שָּֽׁמֶשׁ	d/8121	HTd/Ncbsa
Eccl 1:4	דּ֤וֹר	1755	HNcmsa
Eccl 1:4	הֹלֵךְ֙	1980	HVqrmsa
Eccl 1:4	וְ/ד֣וֹר	c/1755	HC/Ncmsa
Eccl 1:4	בָּ֔א	935	HVqrmsa
Eccl 1:4	וְ/הָ/אָ֖רֶץ	c/d/776	HC/Td/Ncbsa
Eccl 1:4	לְ/עוֹלָ֥ם	l/5769	HR/Ncmsa
Eccl 1:4	עֹמָֽדֶת	5975	HVqrfsa
Eccl 1:5	וְ/זָרַ֥ח	c/2224	HC/Vqq3ms
Eccl 1:5	הַ/שֶּׁ֖מֶשׁ	d/8121	HTd/Ncbsa
Eccl 1:5	וּ/בָ֣א	c/935	HC/Vqq3ms
Eccl 1:5	הַ/שָּׁ֑מֶשׁ	d/8121	HTd/Ncbsa
Eccl 1:5	וְ/אֶ֨ל	c/413	HC/R
Eccl 1:5	מְקוֹמ֔/וֹ	4725	HNcmsc/Sp3ms
Eccl 1:5	שׁוֹאֵ֛ף	7602 a	HVqrmsa
Eccl 1:5	זוֹרֵ֥חַֽ	2224	HVqrmsa
Eccl 1:5	ה֖וּא	1931	HPp3ms
Eccl 1:5	שָֽׁם	8033	HD
Eccl 1:6	הוֹלֵךְ֙	1980	HVqrmsa
Eccl 1:6	אֶל	413	HR
Eccl 1:6	דָּר֔וֹם	1864	HNcmsa
Eccl 1:6	וְ/סוֹבֵ֖ב	c/5437	HC/Vqrmsa
Eccl 1:6	אֶל	413	HR
Eccl 1:6	צָפ֑וֹן	6828	HNcfsa
Eccl 1:6	סוֹבֵ֤ב	5437	HVqrmsa
Eccl 1:6	סֹבֵב֙	5437	HVqrmsa
Eccl 1:6	הוֹלֵ֣ךְ	1980	HVqrmsa
Eccl 1:6	הָ/ר֔וּחַ	d/7307	HTd/Ncbsa
Eccl 1:6	וְ/עַל	c/5921 a	HC/R
Eccl 1:6	סְבִיבֹתָ֖י/ו	5439	HNcbpc/Sp3ms
Eccl 1:6	שָׁ֥ב	7725	HVqrmsa
Eccl 1:6	הָ/רֽוּחַ	d/7307	HTd/Ncbsa
Eccl 1:7	כָּל	3605	HNcmsc
Eccl 1:7	הַ/נְּחָלִים֙	d/5158 a	HTd/Ncmpa
Eccl 1:7	הֹלְכִ֣ים	1980	HVqrmpa
Eccl 1:7	אֶל	413	HR
Eccl 1:7	הַ/יָּ֔ם	d/3220	HTd/Ncmsa
Eccl 1:7	וְ/הַ/יָּ֖ם	c/d/3220	HC/Td/Ncmsa
Eccl 1:7	אֵינֶ֣/נּוּ	369	HTn/Sp3ms
Eccl 1:7	מָלֵ֑א	4392	HAamsa
Eccl 1:7	אֶל	413	HR
Eccl 1:7	מְק֗וֹם	4725	HNcmsc
Eccl 1:7	שֶׁ֤/הַ/נְּחָלִים֙	s/d/5158 a	HTr/Td/Ncmpa
Eccl 1:7	הֹֽלְכִ֔ים	1980	HVqrmpa
Eccl 1:7	שָׁ֛ם	8033	HD
Eccl 1:7	הֵ֥ם	1992	HPp3mp
Eccl 1:7	שָׁבִ֖ים	7725	HVqrmpa
Eccl 1:7	לָ/לָֽכֶת	l/3212	HR/Vqc
Eccl 1:8	כָּל	3605	HNcmsc
Eccl 1:8	הַ/דְּבָרִ֣ים	d/1697	HTd/Ncmpa
Eccl 1:8	יְגֵעִ֔ים	3023	HAampa
Eccl 1:8	לֹא	3808	HTn
Eccl 1:8	יוּכַ֥ל	3201	HVqi3ms
Eccl 1:8	אִ֖ישׁ	376	HNcmsa
Eccl 1:8	לְ/דַבֵּ֑ר	l/1696	HR/Vpc
Eccl 1:8	לֹא	3808	HTn
Eccl 1:8	תִשְׂבַּ֥ע	7646	HVqi3fs
Eccl 1:8	עַ֨יִן֙	5869 a	HNcbsa
Eccl 1:8	לִ/רְא֔וֹת	l/7200	HR/Vqc
Eccl 1:8	וְ/לֹא	c/3808	HC/Tn
Eccl 1:8	תִמָּלֵ֥א	4390	HVNi3fs
Eccl 1:8	אֹ֖זֶן	241	HNcfsa
Eccl 1:8	מִ/שְּׁמֹֽעַ	m/8085	HR/Vqc
Eccl 1:9	מַה	4100	HTi
Eccl 1:9	שֶּֽׁ/הָיָה֙	s/1961	HTr/Vqp3ms
Eccl 1:9	ה֣וּא	1931	HPp3ms
Eccl 1:9	שֶׁ/יִּהְיֶ֔ה	s/1961	HTr/Vqi3ms
Eccl 1:9	וּ/מַה	c/4100	HC/Ti
Eccl 1:9	שֶׁ/נַּֽעֲשָׂ֔ה	s/6213 a	HTr/VNp3ms
Eccl 1:9	ה֖וּא	1931	HPp3ms
Eccl 1:9	שֶׁ/יֵּעָשֶׂ֑ה	s/6213 a	HTr/VNi3ms
Eccl 1:9	וְ/אֵ֥ין	c/369	HC/Tn
Eccl 1:9	כָּל	3605	HNcmsc
Eccl 1:9	חָדָ֖שׁ	2319	HAamsa
Eccl 1:9	תַּ֥חַת	8478	HR
Eccl 1:9	הַ/שָּֽׁמֶשׁ	d/8121	HTd/Ncbsa
Eccl 1:10	יֵ֥שׁ	3426	HTm
Eccl 1:10	דָּבָ֛ר	1697	HNcmsa
Eccl 1:10	שֶׁ/יֹּאמַ֥ר	s/559	HTr/Vqi3ms
Eccl 1:10	רְאֵה	7200	HVqv2ms
Eccl 1:10	זֶ֖ה	2088	HPdxms
Eccl 1:10	חָדָ֣שׁ	2319	HAamsa
Eccl 1:10	ה֑וּא	1931	HPp3ms
Eccl 1:10	כְּבָר֙	3528	HD
Eccl 1:10	הָיָ֣ה	1961	HVqp3ms
Eccl 1:10	לְ/עֹֽלָמִ֔ים	l/5769	HR/Ncmpa
Eccl 1:10	אֲשֶׁ֥ר	834 a	HTr
Eccl 1:10	הָיָ֖ה	1961	HVqp3ms
Eccl 1:10	מִ/לְּ/פָנֵֽ/נוּ	m/l/6440	HR/R/Ncbpc/Sp1cp
