ref	word	lemma	morph
Lam 1:1	אֵיכָ֣ה	349 b	HTi
Lam 1:1	יָשְׁבָ֣ה	3427	HVqp3fs
Lam 1:1	בָדָ֗ד	910	HNcmsa
Lam 1:1	הָ/עִיר֙	d/5892 b	HTd/Ncfsa
Lam 1:1	רַבָּ֣תִי	7227 a	HAafsc
Lam 1:1	עָ֔ם	5971 a	HNcmsa
Lam 1:1	הָיְתָ֖ה	1961	HVqp3fs
Lam 1:1	כְּ/אַלְמָנָ֑ה	k/490	HR/Ncfsa
Lam 1:1	רַּבָּ֣תִי	7227 a	HAafsc
Lam 1:1	בַ/גּוֹיִ֗ם	b/1471 a	HRd/Ncmpa
Lam 1:1	שָׂרָ֨תִי֙	8282	HNcfsc
Lam 1:1	בַּ/מְּדִינ֔וֹת	b/4082	HRd/Ncfpa
Lam 1:1	הָיְתָ֖ה	1961	HVqp3fs
Lam 1:1	לָ/מַֽס	l/4522	HR/Ncmsa
Lam 1:2	בָּכ֨וֹ	1058	HVqa
Lam 1:2	תִבְכֶּ֜ה	1058	HVqi3fs
Lam 1:2	בַּ/לַּ֗יְלָה	b/3915	HRd/Ncmsa
Lam 1:2	וְ/דִמְעָתָ/הּ֙	c/1832	HC/Ncfsc/Sp3fs
Lam 1:2	עַ֣ל	5921 a	HR
Lam 1:2	לֶֽחֱיָ֔/הּ	3895	HNcbsc/Sp3fs
Lam 1:2	אֵֽין	369	HTn
Lam 1:2	לָ֥/הּ	l	HR/Sp3fs
Lam 1:2	מְנַחֵ֖ם	5162	HVprmsa
Lam 1:2	מִ/כָּל	m/3605	HR/Ncmsc
Lam 1:2	אֹהֲבֶ֑י/הָ	157	HVqrmpc/Sp3fs
Lam 1:2	כָּל	3605	HNcmsc
Lam 1:2	רֵעֶ֨י/הָ֙	7453	HNcmpc/Sp3fs
Lam 1:2	בָּ֣גְדוּ	898	HVqp3cp
Lam 1:2	בָ֔/הּ	b	HR/Sp3fs
Lam 1:2	הָ֥יוּ	1961	HVqp3cp
Lam 1:2	לָ֖/הּ	l	HR/Sp3fs
Lam 1:2	לְ/אֹיְבִֽים	l/341	HR/Vqrmpa
Lam 1:3	גָּֽלְתָ֨ה	1540	HVqp3fs
Lam 1:3	יְהוּדָ֤ה	3063	HNp
Lam 1:3	מֵ/עֹ֨נִי֙	m/6040	HR/Ncmsa
Lam 1:3	וּ/מֵ/רֹ֣ב	c/m/7230	HC/R/Ncbsc
Lam 1:3	עֲבֹדָ֔ה	5656	HNcfsa
Lam 1:3	הִ֚יא	1931	HPp3fs
Lam 1:3	יָשְׁבָ֣ה	3427	HVqp3fs
Lam 1:3	בַ/גּוֹיִ֔ם	b/1471 a	HRd/Ncmpa
Lam 1:3	לֹ֥א	3808	HTn
Lam 1:3	מָצְאָ֖ה	4672	HVqp3fs
Lam 1:3	מָנ֑וֹחַ	4494	HNcbsa
Lam 1:3	כָּל	3605	HNcmsc
Lam 1:3	רֹדְפֶ֥י/הָ	7291	HVqrmpc/Sp3fs
Lam 1:3	הִשִּׂיג֖וּ/הָ	5381	HVhp3cp/Sp3fs
Lam 1:3	בֵּ֥ין	996	HR
Lam 1:3	הַ/מְּצָרִֽים	d/4712	HTd/Ncmpa
Lam 1:4	דַּרְכֵ֨י	1870	HNcbpc
Lam 1:4	צִיּ֜וֹן	6726	HNp
Lam 1:4	אֲבֵל֗וֹת	57	HAafpa
Lam 1:4	מִ/בְּלִי֙	m/1097	HR/Ncmsc
Lam 1:4	בָּאֵ֣י	935	HVqrmpc
Lam 1:4	מוֹעֵ֔ד	4150	HNcmsa
Lam 1:4	כָּל	3605	HNcmsc
Lam 1:4	שְׁעָרֶ֨י/הָ֙	8179	HNcmpc/Sp3fs
Lam 1:4	שֽׁוֹמֵמִ֔ין	8074	HVqrmpa
Lam 1:4	כֹּהֲנֶ֖י/הָ	3548	HNcmpc/Sp3fs
Lam 1:4	נֶאֱנָחִ֑ים	584	HVNsmpa
Lam 1:4	בְּתוּלֹתֶ֥י/הָ	1330	HNcfpc/Sp3fs
Lam 1:4	נּוּג֖וֹת	3013	HVNsfpa
Lam 1:4	וְ/הִ֥יא	c/1931	HC/Pp3fs
Lam 1:4	מַר	4751	HVqp3ms
Lam 1:4	לָֽ/הּ	l	HR/Sp3fs
Lam 1:5	הָי֨וּ	1961	HVqp3cp
Lam 1:5	צָרֶ֤י/הָ	6862 c	HNcmpc/Sp3fs
Lam 1:5	לְ/רֹאשׁ֙	l/7218 a	HR/Ncmsa
Lam 1:5	אֹיְבֶ֣י/הָ	341	HVqrmpc/Sp3fs
Lam 1:5	שָׁל֔וּ	7951	HVqp3cp
Lam 1:5	כִּֽי	3588 a	HC
Lam 1:5	יְהוָ֥ה	3068	HNp
Lam 1:5	הוֹגָ֖/הּ	3013	HVhp3ms/Sp3fs
Lam 1:5	עַ֣ל	5921 a	HR
Lam 1:5	רֹב	7230	HNcbsc
Lam 1:5	פְּשָׁעֶ֑י/הָ	6588	HNcmpc/Sp3fs
Lam 1:5	עוֹלָלֶ֛י/הָ	5768	HNcmpc/Sp3fs
Lam 1:5	הָלְכ֥וּ	1980	HVqp3cp
Lam 1:5	שְׁבִ֖י	7628 a	HNcbsa
Lam 1:5	לִ/פְנֵי	l/6440	HR/Ncbpc
Lam 1:5	צָֽר	6862 c	HNcmsa
Lam 1:6	וַ/יֵּצֵ֥א	c/3318	HC/Vqw3ms
Lam 1:6	מן	4480 a	HR
Lam 1:6	בת	1323	HNcfsc
Lam 1:6	צִיּ֖וֹן	6726	HNp
Lam 1:6	כָּל	3605	HNcmsc
Lam 1:6	הֲדָרָ֑/הּ	1926	HNcmsc/Sp3fs
Lam 1:6	הָי֣וּ	1961	HVqp3cp
Lam 1:6	שָׂרֶ֗י/הָ	8269	HNcmpc/Sp3fs
Lam 1:6	כְּ/אַיָּלִים֙	k/354	HR/Ncbpa
Lam 1:6	לֹא	3808	HTn
Lam 1:6	מָצְא֣וּ	4672	HVqp3cp
Lam 1:6	מִרְעֶ֔ה	4829	HNcmsa
Lam 1:6	וַ/יֵּלְכ֥וּ	c/3212	HC/Vqw3mp
Lam 1:6	בְ/לֹא	b/3808	HR/Tn
Lam 1:6	כֹ֖חַ	3581 b	HNcmsa
Lam 1:6	לִ/פְנֵ֥י	l/6440	HR/Ncbpc
Lam 1:6	רוֹדֵֽף	7291	HVqrmsa
Lam 1:7	זָֽכְרָ֣ה	2142	HVqp3fs
Lam 1:7	יְרוּשָׁלִַ֗ם	3389	HNp
Lam 1:7	יְמֵ֤י	3117	HNcmpc
Lam 1:7	עָנְיָ/הּ֙	6040	HNcmsc/Sp3fs
Lam 1:7	וּ/מְרוּדֶ֔י/הָ	c/4788	HC/Ncmpc/Sp3fs
Lam 1:7	כֹּ֚ל	3605	HNcmsc
Lam 1:7	מַחֲמֻדֶ֔י/הָ	4262	HNcmpc/Sp3fs
Lam 1:7	אֲשֶׁ֥ר	834 a	HTr
Lam 1:7	הָי֖וּ	1961	HVqp3cp
Lam 1:7	מִ֣/ימֵי	m/3117	HR/Ncmpc
Lam 1:7	קֶ֑דֶם	6924 a	HNcmsa
Lam 1:7	בִּ/נְפֹ֧ל	b/5307	HR/Vqc
Lam 1:7	עַמָּ֣/הּ	5971 a	HNcmsc/Sp3fs
Lam 1:7	בְּ/יַד	b/3027	HR/Ncbsc
Lam 1:7	צָ֗ר	6862 c	HNcmsa
Lam 1:7	וְ/אֵ֤ין	c/369	HC/Tn
Lam 1:7	עוֹזֵר֙	5826	HVqrmsa
Lam 1:7	לָ֔/הּ	l	HR/Sp3fs
Lam 1:7	רָא֣וּ/הָ	7200	HVqp3cp/Sp3fs
Lam 1:7	צָרִ֔ים	6862 c	HNcmpa
Lam 1:7	שָׂחֲק֖וּ	7832	HVqp3cp
Lam 1:7	עַ֥ל	5921 a	HR
Lam 1:7	מִשְׁבַּתֶּֽ/הָ	4868	HNcmpc/Sp3fs
Lam 1:8	חֵ֤טְא	2399	HNcmsa
Lam 1:8	חָֽטְאָה֙	2398	HVqp3fs
Lam 1:8	יְר֣וּשָׁלִַ֔ם	3389	HNp
Lam 1:8	עַל	5921 a	HR
Lam 1:8	כֵּ֖ן	3651 c	HTm
Lam 1:8	לְ/נִידָ֣ה	l/5206	HR/Ncfsa
Lam 1:8	הָיָ֑תָה	1961	HVqp3fs
Lam 1:8	כָּֽל	3605	HNcmsc
Lam 1:8	מְכַבְּדֶ֤י/הָ	3513	HVprmpc/Sp3fs
Lam 1:8	הִזִּיל֨וּ/הָ֙	2107	HVhp3cp/Sp3fs
Lam 1:8	כִּי	3588 a	HC
Lam 1:8	רָא֣וּ	7200	HVqp3cp
Lam 1:8	עֶרְוָתָ֔/הּ	6172	HNcfsc/Sp3fs
Lam 1:8	גַּם	1571	HTa
Lam 1:8	הִ֥יא	1931	HPp3fs
Lam 1:8	נֶאֶנְחָ֖ה	584	HVNp3fs
Lam 1:8	וַ/תָּ֥שָׁב	c/7725	HC/Vqw3fs
Lam 1:8	אָחֽוֹר	268	HNcmsa
Lam 1:9	טֻמְאָתָ֣/הּ	2932	HNcfsc/Sp3fs
Lam 1:9	בְּ/שׁוּלֶ֗י/הָ	b/7757	HR/Ncmpc/Sp3fs
Lam 1:9	לֹ֤א	3808	HTn
Lam 1:9	זָֽכְרָה֙	2142	HVqp3fs
Lam 1:9	אַחֲרִיתָ֔/הּ	319	HNcfsc/Sp3fs
Lam 1:9	וַ/תֵּ֣רֶד	c/3381	HC/Vqw3fs
Lam 1:9	פְּלָאִ֔ים	6382	HNcmpa
Lam 1:9	אֵ֥ין	369	HTn
Lam 1:9	מְנַחֵ֖ם	5162	HVprmsa
Lam 1:9	לָ֑/הּ	l	HR/Sp3fs
Lam 1:9	רְאֵ֤ה	7200	HVqv2ms
Lam 1:9	יְהוָה֙	3068	HNp
Lam 1:9	אֶת	853	HTo
Lam 1:9	עָנְיִ֔/י	6040	HNcmsc/Sp1cs
Lam 1:9	כִּ֥י	3588 a	HC
Lam 1:9	הִגְדִּ֖יל	1431	HVhp3ms
Lam 1:9	אוֹיֵֽב	341	HVqrmsa
Lam 1:10	יָד/וֹ֙	3027	HNcbsc/Sp3ms
Lam 1:10	פָּ֣רַשׂ	6566	HVqp3ms
Lam 1:10	צָ֔ר	6862 c	HNcmsa
Lam 1:10	עַ֖ל	5921 a	HR
Lam 1:10	כָּל	3605	HNcmsc
Lam 1:10	מַחֲמַדֶּ֑י/הָ	4261	HNcmpc/Sp3fs
Lam 1:10	כִּֽי	3588 a	HC
Lam 1:10	רָאֲתָ֤ה	7200	HVqp3fs
